dates,oahuoahu0084_0001,oahuoahu0084_0002,oahuoahu0084_0003,oahuoahu0084_0004,oahuoahu0084_0005,oahuoahu0084_0006,oahuoahu0084_0007,oahuoahu0084_0008,oahuoahu0084_0009,oahuoahu0084_0010,oahuoahu0084_0011,oahuoahu0084_0012,oahuoahu0084_0013,oahuoahu0084_0014,oahuoahu0084_0015,oahuoahu0084_0016,oahuoahu0084_0017,oahuoahu0084_0018,oahuoahu0084_0019,oahuoahu0084_0020,oahuoahu0084_0021,oahuoahu0084_0022,oahuoahu0084_0023,oahuoahu0084_0024,oahuoahu0084_0025,oahuoahu0084_0026,oahuoahu0084_0027,oahuoahu0084_0028,oahuoahu0084_0029,oahuoahu0084_0030,oahuoahu0084_0031,oahuoahu0084_0032,oahuoahu0084_0033,oahuoahu0084_0034
2017-01-01 00:13:54.000,,,,,,,,,,,,,,,,,16.904423049340433,13.231512606350424,3.67206606049469,13.254982801995222,,,,,,,,,,,,,,
2017-01-01 00:13:54.100,31.89152378007256,23.57415529352943,19.005138963857647,24.931886083951387,,,,,,42.79675740911014,21.434688630419423,18.95790868664054,18.20168485881968,13.360715103226148,12.80246955317546,16.10371487608535,16.904423049340433,13.231512606350424,3.67206606049469,13.254982801995222,,,,,,,,,,,,,,
2017-01-05 20:19:30.000,11.46951509032527,12.739323723062654,9.18589576248102,12.257683894747718,16.645068733745518,21.382607023728653,21.660769518885125,18.14172767224966,13.621290302499638,14.67877343761024,9.005318803800767,8.075540229922876,7.35379255968252,4.8313006194536765,2.932218285236407,4.913320799351313,7.371019542507341,4.713561782146839,3.2348764647658346,7.052935220739572,9.451196723807785,0.9214823447989624,8.155445603714284,8.611391748436368,8.220060160603156,4.574887730123977,5.96735518239023,7.537022988725007,6.696753626574355,13.603702085850047,8.062585466158877,8.233404103353616,7.219522155073202,
2017-02-16 20:21:21.000,15.135977450794703,16.71689612780018,12.543714908049376,12.921895562112947,28.09827249616012,47.03240734188158,31.07431125293209,21.157255357238977,15.925976455764584,17.75069131737359,12.227064202274164,12.13902167176789,9.616812520225682,7.196521680370401,5.805539234662376,8.82116190876868,9.038963792917189,6.622222566058077,0.502984567740087,7.234109349766785,7.104657638746419,1.5997593496057467,5.309881311465454,7.806479682024969,6.333966793855138,4.0809723330015135,4.732016577380379,3.106304599489579,6.366438142020735,11.961851282308846,4.556013421711025,6.834775639586906,4.523152668567737,15.121025115607564
2017-02-18 19:26:43.000,12.812868472590848,12.778075465380956,8.748544582843385,10.707771851208255,19.8498063035994,31.536985890242622,27.460491537924288,20.19793597813647,13.611291172703869,13.635906124499735,5.630078615831607,8.547801076508042,4.39803352181292,6.438958448864148,1.7432784621057686,-0.1698787274334987,6.412791213568643,6.2344180044912765,3.6076477760808814,7.861260257460656,4.163287244004517,,6.928513448183649,8.014740406937038,6.08625162691318,0.5854777204573131,3.213829725192848,1.337306458047423,3.07141818368222,9.389476291266725,5.443005955959815,5.54322314221506,4.552977365496765,15.57023245148943
2017-02-20 18:08:41.000,13.433178175164404,14.465504942074096,10.164528740102137,15.371381006951172,46.11098387354173,,,,,,,0.3194603895934373,3.2807689144154653,0.984960061074556,3.861119013086066,1.0811464594646052,2.2368059648031284,0.5379503301106908,3.319516851769249,2.0289199308611354,1.785010609041308,,,,,,,,,,,,,
2017-02-20 18:08:42.000,15.562887322781178,17.140274059532384,10.985635617833614,15.31138268392873,47.598550893489296,,10.183847509489148,13.508152102145662,,,,,3.871135059648066,1.008863816384188,3.7995720857072808,2.743195059342132,2.3701802153873,3.6822425319458953,3.247294054994234,5.221909048851041,3.249343268476099,,,3.183025531503573,2.7424934729867987,,2.95235806634079,,1.0601204226966603,7.090735172112995,1.692103255437046,0.2355651476603888,,11.462818978101794
2017-03-07 20:22:41.000,31.648584021015747,41.42408050264185,,,,,,,41.83882611760322,,33.83494808557326,23.94148787788665,18.650144169597603,15.034702657878276,13.343168673313471,14.98258694541039,15.724035606998484,10.658530259766987,7.399663046814871,11.495890716461338,9.960929237906983,4.931477525918262,9.67465316319976,9.336508217286069,8.29640743997143,8.169102095390414,7.110592087535144,4.117563499320271,7.832416197487082,12.695705457908767,8.250391944202029,7.072211233341158,6.554661311311207,16.14401262582418
2017-03-07 20:22:42.000,28.303001890359976,24.06769493964068,,41.18014739234491,,,,,41.83010341801162,,21.711030593720093,21.952687170616887,16.84729240300686,16.12798050788629,15.562445604942909,15.724498352475964,12.957005149661873,11.773503533423884,6.473465749015451,11.524311664720187,9.356145182751447,3.609175005762258,8.640961045623033,9.232454406882145,8.419748386240139,7.9954977275703,6.2793219415385,4.8231239773009245,5.758064276641676,11.59304717630222,,,,
2017-03-13 19:16:21.000,11.437877259605353,11.808727878431686,7.779196995894115,12.164785618538444,44.99856355633047,46.49137453722028,47.259383008692566,37.07404446340811,19.9260712784024,17.87896706966731,7.041644146866406,6.894737699054573,1.807887358338528,5.754938159307755,2.126088580694144,-0.1945754203732699,3.684890224902701,5.5453906357531295,2.377410283966653,4.9736042501314905,3.7616300218472034,,5.77214917582518,7.236318418487504,1.0275518205424443,,0.5183771292333132,-0.9983398627062928,1.0753973020068677,6.658000854357673,1.1546013509715414,0.3341998584313175,1.3507612943713485,10.4057723890799
