dates,oahuoahu0033_0001,oahuoahu0033_0002,oahuoahu0033_0003,oahuoahu0033_0004,oahuoahu0033_0005,oahuoahu0033_0006,oahuoahu0033_0007,oahuoahu0033_0008,oahuoahu0033_0009,oahuoahu0033_0010,oahuoahu0033_0011,oahuoahu0033_0012,oahuoahu0033_0013,oahuoahu0033_0014,oahuoahu0033_0015,oahuoahu0033_0016,oahuoahu0033_0017,oahuoahu0033_0018,oahuoahu0033_0019,oahuoahu0033_0020,oahuoahu0033_0021,oahuoahu0033_0022,oahuoahu0033_0023,oahuoahu0033_0024,oahuoahu0033_0025,oahuoahu0033_0026,oahuoahu0033_0027,oahuoahu0033_0028,oahuoahu0033_0029,oahuoahu0033_0030,oahuoahu0033_0031,oahuoahu0033_0032,oahuoahu0033_0033,oahuoahu0033_0034,oahuoahu0033_0035,oahuoahu0033_0036,oahuoahu0033_0037,oahuoahu0033_0038,oahuoahu0033_0039,oahuoahu0033_0040,oahuoahu0033_0041,oahuoahu0033_0042
2017-03-22 20:22:20.000,2.389789118136418,-1.0617757401635886,-8.309106904010303,-12.000188572813936,-7.508047485185973,-10.393574829388347,-8.831926804585917,-8.676033918785055,-6.856798829260077,-8.297870521447177,-4.390033862864689,-1.3583503947415694,-0.667184887046242,-1.043891188380981,0.0611556864746396,0.6521780620606292,2.481177954065996,3.096872804070171,1.3083009766854032,3.411608829876067,2.104967496802794,5.152092735811335,4.26839068829212,2.4834714087364818,2.2578173484008466,5.403910685889949,6.493221156786808,6.324659283750046,7.365544939626437,8.33211996267348,4.330832180725034,1.7802459411939298,1.4261109853094895,1.4957377183702127,-0.5187644326944985,5.1915735699313625,1.0179311352751,6.965556530316876,6.043999787724703,19.61242930033397,27.57607937169,17.432451802356375
2017-03-30 20:22:49.000,,,,,,,,,,,,,,,,,,2.764616980801735,1.51280109032154,-1.0770171794398475,3.465178215380684,3.278718154045757,2.7920109482012787,1.3921868043999035,3.132065923249039,6.85958395249809,7.707049801236872,8.531558360694278,10.77546493165194,11.86562085875705,9.767974853808813,7.675130218955624,8.929811628759099,7.742460702362605,7.393845340581636,13.683882161447077,10.540203146852436,10.498755994340756,25.63213442784471,,43.26807694193327,28.371932495264268
2017-05-07 20:17:15.000,9.284679682509635,6.97096552443708,2.03114542941243,-3.263960662214384,0.8841611836812223,-0.4109148896242512,-1.099342970433568,-0.8878301005707275,-0.9304001782232516,-1.6391901681149503,4.017660977495584,4.173104087518681,3.200711902351107,3.28435256403358,-0.0464313749914456,1.7682185824349723,2.0554160188175,7.043871945756848,5.572173770526007,5.757145209016382,8.606605887455466,10.375708149883348,10.322387924929792,10.887630195163156,11.349705587368469,10.991889119358788,13.945370770479984,13.911453929060931,14.550753968800077,18.370102226608783,15.275017290153365,11.554284585382138,14.232409850862709,12.421193484047762,12.320206008324412,16.79218666492587,13.885570372898954,18.547907711139487,16.861353279859628,17.400920401870174,29.530151264434465,27.852720068026706
2017-07-10 19:09:45.000,5.823446593866013,2.493579762581653,-4.407604331640908,-11.17595198073439,-4.68628308509717,-6.740898054160972,-4.623258989052818,-3.323154189367426,-2.733995445340497,-5.308958791315295,3.657176444906849,3.671657306675271,2.602342890397324,-1.0284807935030753,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-10 19:09:46.100,6.9119216269251655,4.990696293990602,-3.7755605082882586,-7.73388838620655,-3.0498373496925244,-4.302484624365118,-3.8127998291966567,-3.114829862823765,-2.0912670416488983,-1.0815266998908126,3.715461899454055,7.141332809628237,4.070524074819364,-1.1339777263026356,-2.0728904229352594,1.3149026838182285,0.5505417384015869,3.755655436407039,3.847994542277902,1.8222892686291945,1.7145614228870651,4.557614624801982,3.744818215740149,3.954497537497623,4.65632709457738,5.55176660288204,7.036660901943812,7.403508661463807,8.851445914120742,11.393712925512622,8.402200798681877,6.467923173432233,5.708317383274828,4.97732971798062,5.532370606568829,7.392556993157244,7.139937463536482,6.147010638329249,14.297224817283148,,42.15630267258443,27.91011249377635
2017-07-10 20:21:53.000,11.475098269025764,10.291364785943475,2.40206061011635,-2.427238536131722,1.8381580677429945,2.972394982285372,1.6024348514327569,2.9758556373286025,2.597285300816224,4.149429041958991,12.146775644176412,15.247702632891237,16.44165343956199,17.853099898346496,5.964094985277543,10.552828027610447,11.299933880221104,10.788820121214858,8.9409942314313,8.739899511392238,9.630032501633664,13.317472421871894,13.820472849990235,,,,37.16813429584108,27.30348521335561,21.430252690721023,26.50873654491155,25.92878607226408,,,23.88863444964396,21.96553856060787,24.0117603364702,16.868066512172362,15.411136937401851,,,51.31894803680001,37.60187211774424
2017-08-06 20:25:57.000,4.701887918448786,-1.4227208526320938,-5.85584477147338,-9.88513046143578,-5.3628843355534,-8.010046528418702,-5.754423393272021,-4.648785724087259,-1.7979797012366463,-5.7758315000313205,2.52048310353113,4.313641332361597,4.309732694167688,1.5592293421101455,-0.088809640715273,2.4054695009688944,2.7565008922821645,4.561187486411771,2.629648687637689,1.7973648995442155,0.9514733569175312,4.018987918359513,3.9129036252550113,4.681390689707999,3.797543870316967,5.621054607406761,6.095988505805223,7.32072095844392,7.879075218329883,10.682539104247292,5.436584521253195,1.377922534426797,2.768005409145746,3.473632258638765,2.46463064059846,5.870348566476497,6.7360848351918206,10.876682004901344,11.60503494960295,22.88883503944953,33.21247629310289,22.841422901052606
2017-08-06 21:44:35.000,5.365666823777485,5.340404139635884,0.9933417302688142,-1.1062338805984624,-0.8129682016368025,0.4302217800021821,-6.148473474385191,-3.198151106497856,-2.031509915467079,-0.5902063876696169,0.837600501702547,4.38132436704963,6.09102583046008,3.8370778655484346,2.8986241765211536,5.331990107444068,4.683996257541328,9.151863224417,5.406693484131261,6.192862941788058,5.643704535226299,4.560497921026809,6.780443271860983,8.907764488930344,9.074157892180892,11.787829569006552,11.466643648405828,12.93947981895738,13.107916410445934,18.921473513190687,20.82910222022447,19.213606951129297,19.36555725621164,23.774487119045784,16.44173410028463,18.38084394439252,12.188443771058306,11.408194107792989,9.637096003373234,31.261938618961413,43.26673170044083,31.258295611443906
2017-08-08 20:24:49.000,8.716498146663335,5.248495541725047,-0.4989875016143705,-4.845511304301661,-0.968641192675166,-1.543019988967346,-3.7504807461243015,-3.327912722189461,-3.4201172484554028,-2.729348918602463,1.7146193907019152,5.07535132700623,6.432689302476101,1.6744539935695912,2.3481176257980594,2.203332519965573,3.264509303655528,5.05923875586336,3.5761284710554926,2.664353687088364,2.3325871199265102,4.7128801386776775,5.084477917825845,5.634139072145972,6.567246348295987,9.143112113376654,9.059032658772106,9.971644874506898,10.21401068974545,12.71384766009302,6.2623072963042095,3.511359091195706,3.5555528882544096,3.591392399047502,6.614788097335618,8.364029583400495,5.642474766335239,10.003710934225422,13.638767390314802,36.48601484422792,38.46930767747558,27.56897509295568
2017-08-08 21:28:35.000,14.746310943716416,12.378382600425338,6.814403264475528,2.669545235660154,6.923498028627511,5.641045717369517,4.411233263093768,5.055634932008404,6.085567427782175,3.878949163873168,6.929166847452956,11.401201522247828,10.570583272951188,7.429270476566989,6.263192526585323,9.48967506569588,9.092451890305224,11.718782801473784,10.017890610260013,7.609698716359476,7.683999989200563,9.49872463907456,9.909380138474967,11.137577638604354,13.692396051998456,13.999989554486488,17.93628287207797,16.34122929036288,18.647530291890373,21.55158191569896,19.522118100077385,16.866757019947894,19.152003242195025,16.691437588225664,14.556591345194752,18.4462661309739,16.312481468346217,16.120151643223938,14.480786874137598,11.651101851656716,36.43143899953702,31.039823468336763
