dates,oahuoahu0024_0001,oahuoahu0024_0002,oahuoahu0024_0003,oahuoahu0024_0004,oahuoahu0024_0005,oahuoahu0024_0006,oahuoahu0024_0007,oahuoahu0024_0008,oahuoahu0024_0009,oahuoahu0024_0010,oahuoahu0024_0011,oahuoahu0024_0012,oahuoahu0024_0013,oahuoahu0024_0014,oahuoahu0024_0015,oahuoahu0024_0016,oahuoahu0024_0017,oahuoahu0024_0018,oahuoahu0024_0019,oahuoahu0024_0020,oahuoahu0024_0021,oahuoahu0024_0022,oahuoahu0024_0023,oahuoahu0024_0024,oahuoahu0024_0025,oahuoahu0024_0026,oahuoahu0024_0027,oahuoahu0024_0028,oahuoahu0024_0029,oahuoahu0024_0030,oahuoahu0024_0031,oahuoahu0024_0032,oahuoahu0024_0033,oahuoahu0024_0034,oahuoahu0024_0035,oahuoahu0024_0036,oahuoahu0024_0037,oahuoahu0024_0038,oahuoahu0024_0039,oahuoahu0024_0040,oahuoahu0024_0041,oahuoahu0024_0042,oahuoahu0024_0043,oahuoahu0024_0044,oahuoahu0024_0045,oahuoahu0024_0046,oahuoahu0024_0047,oahuoahu0024_0048,oahuoahu0024_0049,oahuoahu0024_0050,oahuoahu0024_0051,oahuoahu0024_0052,oahuoahu0024_0053,oahuoahu0024_0054
2018-08-29 20:36:51.000,19.78589853772403,18.80599263230945,22.249448444353177,19.497482636265683,18.01758860557009,17.98187245249719,14.975618344301246,15.720855152732018,14.706103217867415,14.370598144792275,14.428766662994429,13.902920066498217,10.473118983774542,14.179189148519418,10.55571175674555,10.178990519803962,14.609702618454603,12.52564467647636,15.246193987523151,14.00955573150556,14.967366128056398,16.637937119858005,15.928852531010357,14.605833655873507,14.696081481966235,13.335118947337582,12.625200850276732,13.362146718817115,5.513208653624308,8.190362867213429,9.913318508238609,10.294647096105972,13.004722085824442,13.721148168864351,11.83455020426312,12.108210816018117,6.159863596293482,6.998273775026028,4.341318139658595,9.421814186414284,10.358160706163371,26.644216119357345,,21.19514349876615,24.15425726259062,,,,,,,,5.775021578277364,
2018-08-30 20:47:12.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.512584735275158,7.969590398545123,21.743862892349664,20.49438855878605,,,,,11.587541378419054,-0.2162123313936726,3.4684038340668364,1.1307441640078182,,9.366499328882467,
2018-08-30 20:47:13.000,21.283220090135355,,,,,21.00510987139523,15.219840684050965,22.71485339016044,,,,,,,,,,21.9098257500217,16.32375537890486,16.087702669018302,16.316131877455188,16.102379679240517,15.846824410344782,17.221200586779876,19.12855537552108,18.512526072926768,18.64870949732877,19.3285989404136,11.609576382398156,11.97195090436724,16.613257520874114,18.27500806223477,21.20582520332509,20.681050686219056,17.625756903991043,15.428018894067469,9.396220029260403,10.326437406911932,6.3634021091996384,9.835611648161612,8.761577277250733,15.090363128771918,19.04263384015741,,,,10.795423488453231,11.954279766953396,6.763342950838062,7.603846690031885,2.2860533572085333,2.494547788432399,15.60826403049088,
2018-09-01 20:36:39.000,15.033699779120136,13.477286450188714,12.092884773640051,12.96099647866498,13.099637445962795,13.546220850562229,10.987315067993745,11.550653906762546,10.9839441742163,11.369575996573118,14.866131105409982,20.23730074806684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-02 20:47:12.000,15.15330149979734,15.269249277620029,17.91492199370685,19.267945393826515,17.337253177329135,17.05164334620758,14.112251784503508,15.659429557381792,15.24464545144391,14.84275445672966,13.532157925533166,13.51867801707253,13.834387428143712,17.411206395253476,13.156170665700028,16.18210872403591,20.27440981202634,18.309974906793386,15.478397374381428,14.34213969087064,15.098306676608706,15.761242047014202,16.357123786317313,17.300069847494104,17.948897118644503,17.65368166572497,15.875919113073016,17.081366672880097,11.828101702423554,11.957639900187177,14.745185215864703,13.868379281104287,14.809885625164627,16.401364725626433,14.457029240533684,13.901633411317194,8.655784262267538,7.585358728808393,2.389132821030073,3.8336503877717374,,5.726158364276971,3.634006080550401,3.862751016243772,5.774391390212452,4.550811133152347,2.742951881261212,3.431938599110537,1.8657418278881648,4.8461453253538185,,,8.17813095245456,
2018-09-08 20:37:50.000,18.108251013685333,18.2910088957711,19.516231956049943,19.502493431534408,18.44969775519667,18.645546592373243,16.577481044820992,16.80905429388393,16.169564324962302,15.427194412512357,17.89973783398784,17.88223177715101,17.634604449642467,21.531741343193485,14.281868070741297,15.603193195568949,19.92356766469016,17.06801090577594,14.468425913015414,15.320220941507442,15.1403168088761,14.839840150118285,14.616061740357086,17.2507765534287,18.70592248000579,17.74788920901781,16.833254136404705,16.261417072349467,9.373262886866762,11.548253512589593,14.769748795719504,16.96190957637066,19.282389539251195,19.42145953516793,15.820196933663814,14.868592930111598,10.50195580593369,11.610962122042702,5.131497270674124,8.256762520402441,7.208225073648681,10.829922674444605,7.652875944644397,8.183902878540803,9.704766906121623,8.52345033287457,5.940356543873452,7.065470840267625,1.2717710285038006,3.661278936264396,0.7638436137813768,,9.24309343385882,
2018-09-10 20:45:37.000,18.412707579118624,16.946362851847887,15.510749279777432,10.983335666760276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-19 20:37:13.000,18.08115525202614,17.358694055107783,21.83717046122569,20.027157765663794,20.199930525540875,20.205109065057965,16.60335617964854,17.93497949588309,17.305246301111154,16.065520565019103,15.84274022499048,15.35038229135007,14.87891300047501,18.85976496928233,14.121962943985888,16.64135064735055,18.63220321820548,15.748137043804022,13.826461053207492,14.968447570226928,16.066725860884347,15.095769031541796,16.988150815652553,17.964968226066638,17.41653969000427,17.511781718574145,17.474564158670916,18.19295335565016,10.614825162986712,11.506681327500056,13.16196372420663,13.136554711601413,15.246198161719644,15.035211251171711,14.220483360350846,13.885018582072776,8.751901338633486,9.771337089969748,4.088274592131453,5.957355803034882,4.7429691660699005,11.87743133856693,7.516649156736397,7.656819087123956,8.114802223423334,7.28196167562861,5.455579970855739,6.382977119929681,3.395584361162037,4.7984388468530215,,,10.159403223154277,
2018-09-29 20:37:45.000,12.181323141578217,12.155915059671116,12.61433896782199,11.934776911593794,9.459925065428106,9.19967996397656,6.433059028319194,6.991826802976147,4.67746246326105,3.594127846523434,,,,,,,,,,,,,,,,,,12.52851692155265,5.449119773050958,5.646186075112854,4.562168324642516,2.258682305755837,,,,,,,,,,,,,,,,,,0.29017604056049,,,1.994807587633027,
2018-10-02 20:38:37.000,18.60682703323104,17.888287843308287,18.71671998952737,19.19087114648133,18.330549929359613,18.311570489452368,16.60644507256301,17.120896309675132,14.857508090963206,12.271306172556706,12.87152860054852,12.87074239021431,11.501446500857318,14.58952151430335,9.454757851855026,12.525283731402002,18.32780743728601,16.27840613623886,15.128829695486166,14.38493929679097,14.039502519595551,13.096932354016706,14.643733776727194,16.377212233154356,16.902528228282858,17.14378587205397,16.423852562880697,15.099525985934324,7.781802587025025,8.192317246897717,10.798950797892658,10.446864054684644,13.573532912201893,14.049892531769814,11.879063430046694,11.710081437957706,6.270650690554952,6.958381550481247,4.531745431040795,7.497132787171791,4.246124741272321,6.95328794402322,4.700612354721313,3.0841168925768727,4.504823725467611,6.088139541559201,4.870168493000506,5.241511940245722,,5.055186012783439,,,9.359878224768073,
