dates,oahuoahu0108_0001,oahuoahu0108_0002,oahuoahu0108_0003,oahuoahu0108_0004,oahuoahu0108_0005,oahuoahu0108_0006,oahuoahu0108_0007,oahuoahu0108_0008,oahuoahu0108_0009,oahuoahu0108_0010,oahuoahu0108_0011,oahuoahu0108_0012,oahuoahu0108_0013,oahuoahu0108_0014,oahuoahu0108_0015,oahuoahu0108_0016,oahuoahu0108_0017,oahuoahu0108_0018,oahuoahu0108_0019,oahuoahu0108_0020,oahuoahu0108_0021,oahuoahu0108_0022,oahuoahu0108_0023,oahuoahu0108_0024,oahuoahu0108_0025,oahuoahu0108_0026,oahuoahu0108_0027,oahuoahu0108_0028,oahuoahu0108_0029,oahuoahu0108_0030,oahuoahu0108_0031,oahuoahu0108_0032,oahuoahu0108_0033,oahuoahu0108_0034,oahuoahu0108_0035,oahuoahu0108_0036,oahuoahu0108_0037,oahuoahu0108_0038,oahuoahu0108_0039
2017-01-01 00:17:42.000,,,45.76018317201554,42.385825922622,31.36628089270865,34.33475348151984,41.11021558236098,44.82935001201403,46.23126355552646,43.01744501524716,42.32801753890705,48.216744955546616,51.8022645406867,55.79552661954188,62.43625626554374,65.51783143404845,69.76488361316336,73.26917978984514,76.69655285382477,75.22920572552579,70.24164059458727,61.39954182133099,58.998898907638655,52.61789005274359,45.23461509088463,36.22817841874422,31.84297889918353,25.23382375800501,27.762353824756413,32.553192661648566,22.01094741731748,39.12640924835053,12.827261624201274,26.56370620636489,27.08800188153884,24.77134022430571,27.2660919472982,21.51421101131013,19.71660351606893
2017-01-02 20:21:47.000,20.82672440351877,29.42868391640592,26.87677590424429,27.774453976500688,30.78917647912364,31.11318159164194,37.31930264070096,41.37658167100334,47.275281440900855,48.480851712466574,49.41447191422554,50.60142182512112,51.19605712644703,51.877768931183525,59.19290128079456,62.48747183140364,68.87057181986572,74.40250906780966,78.70445025696141,77.30719560332214,69.16115384148294,61.39025927901839,57.314879171279706,50.987941228709886,40.76015198527576,38.80600144316288,35.394923252889,33.75006992548683,29.333010304398226,25.53046208721257,15.739873921521632,11.855162563341471,10.493105312292684,23.31369966994621,26.02478150262474,22.856804388382063,23.47606217684638,21.07419840785696,14.654936653399108
2017-01-29 20:21:30.000,,,,,16.74964615402056,33.17637753655057,33.26813006887319,29.731156693933208,27.70266259230892,30.322930884401966,33.29807160196371,40.74938748949656,38.50294193971224,38.97678523411209,43.19211695548404,51.01503458455627,55.95538583242339,59.732591644305295,64.3178165762799,62.48640495931709,50.45081089368096,46.60232896003793,,,,,,,17.928329146212715,,,,,,,,,,
2017-02-20 20:21:55.000,,,,46.2478224726149,44.30323657311239,56.51434463608712,55.236992035430696,49.0384114428318,48.24731218682495,48.175925320436775,46.63239176329648,47.96087046918949,47.21762652051526,48.27026155509579,53.08002689100427,57.07749941430741,66.81267324784716,70.97720650261587,76.50706460630435,76.01431195907168,66.0034043448942,54.33707104187722,49.85473054693947,44.26636462472659,33.15499588752329,39.06942909011105,32.79589583964348,27.5014242547828,30.290384673499563,51.819477812040496,34.31426238326245,27.487449046576184,19.718180727058137,29.2603055533951,33.78749866072758,37.88171704991039,29.538117831634995,24.3779025414498,21.449594286918582
2017-02-20 20:21:56.000,,,51.76630400913614,44.87952047438001,42.25364062809046,55.29012457480119,55.23697002736539,49.94315899244105,48.64630633671693,47.56939885072424,46.5053895844277,47.71275526000733,46.2692506188012,47.51362468739554,53.91616663737636,58.16089378323516,65.26278668509728,70.97718449455056,76.50343062950661,75.522421695042,65.03895319829394,53.923630582822334,49.90033663608993,44.37101808848482,32.89232474834399,39.42747227650352,30.736462747627407,27.39722440444533,27.57284356917068,52.808198691961685,44.22734292290021,22.315235303006773,15.914617946405263,23.352384916116456,37.971602799021845,37.13140724055146,30.026404796775545,24.42428093089794,23.736288162724616
2017-02-22 20:22:36.000,,,,,,,,,,47.67951142257727,45.006791171810406,47.03079823045964,48.85024871842714,49.63707766054439,52.48584802657147,56.90946825857157,63.21528183831102,68.93949536961236,74.4740283673638,73.41790586895193,65.77843880850527,53.81175376013857,48.17833492012421,39.97298067764874,32.13751628832626,29.490980301650207,27.63640904668891,23.54320670144163,24.63664612212062,28.58515744249273,19.27300388048852,17.531064690923625,15.436776870641877,23.67427415772724,29.080888756372964,29.18770585458438,26.44336333595108,20.782107129239662,15.81956645319318
2017-02-22 20:22:37.000,38.7314178077169,45.53455503888013,45.89651979199759,40.65411577088278,37.54135636731714,43.52111052325493,48.81630055244587,46.69384988375667,48.04987496759313,46.20448844722226,45.31902690848296,47.90921070871107,50.86501289243689,50.67197186964613,54.30086958994671,57.03578116582782,63.21532046773815,70.77096775014654,74.47406699679094,75.0456034757062,67.25141217137579,56.01243016903273,49.26940403941058,41.658041561925664,34.30717177109706,30.286593051882583,29.57127970715648,24.8671350917992,24.80011453470751,31.463978391858785,23.566459458970392,20.875962422616897,16.5638665777458,26.451537984908786,29.42951829252076,30.28666730452224,25.96283736988265,21.496232953707867,18.398717919547792
2017-04-15 20:24:36.000,16.747139597653995,25.15622552482772,28.16446746556948,26.187681437543283,22.933964585957067,,,,39.673534122419625,37.86117314673013,47.29087411904432,56.57325303412741,62.87649633698456,64.32297922232084,69.61150438951498,72.94596192558798,74.78885115499001,80.45417035625731,83.39042533788955,78.76484625183404,68.06673723708012,58.47315903359386,55.50428320348325,51.308903576114496,48.1223159193458,39.31212982898564,32.2600851967021,23.020347515603344,23.2645109280182,23.37565140115844,19.407661715449777,18.25013851996789,10.901788885201874,21.99739619142365,27.70875356227054,36.05462701888004,25.096909914716555,17.08585995172647,11.414003564849834
2017-04-23 17:50:33.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.330619839852288,7.111993782065972,15.946307928550365,,,,,2.987751174313055,
2017-04-27 01:38:25.000,14.35015964470576,21.96194786614779,23.74448235418025,25.63816941155181,28.58562157950982,30.12688138148633,,,,40.43982412197816,44.00437460588682,51.56382491278881,60.524706635275685,64.36988018885371,67.03550357411555,70.13572608475765,76.31546067405803,77.69499220332735,78.77033782433517,74.69408410932793,65.60019100650945,59.44543686672246,57.066764069468526,59.91393859643747,,,,,,,55.79640980431869,40.68180878290892,9.5856160656175,22.68119076303801,30.32445004897493,25.74694950203181,25.758714288583,17.731887710699947,10.260602528727915
