dates,oahuoahu0099_0001,oahuoahu0099_0002,oahuoahu0099_0003,oahuoahu0099_0004,oahuoahu0099_0005,oahuoahu0099_0006,oahuoahu0099_0007,oahuoahu0099_0008,oahuoahu0099_0009,oahuoahu0099_0010,oahuoahu0099_0011,oahuoahu0099_0012,oahuoahu0099_0013,oahuoahu0099_0014,oahuoahu0099_0015,oahuoahu0099_0016,oahuoahu0099_0017,oahuoahu0099_0018,oahuoahu0099_0019,oahuoahu0099_0020,oahuoahu0099_0021,oahuoahu0099_0022,oahuoahu0099_0023,oahuoahu0099_0024,oahuoahu0099_0025,oahuoahu0099_0026,oahuoahu0099_0027,oahuoahu0099_0028,oahuoahu0099_0029,oahuoahu0099_0030,oahuoahu0099_0031,oahuoahu0099_0032,oahuoahu0099_0033,oahuoahu0099_0034,oahuoahu0099_0035,oahuoahu0099_0036,oahuoahu0099_0037,oahuoahu0099_0038,oahuoahu0099_0039,oahuoahu0099_0040,oahuoahu0099_0041,oahuoahu0099_0042,oahuoahu0099_0043,oahuoahu0099_0044,oahuoahu0099_0045,oahuoahu0099_0046,oahuoahu0099_0047,oahuoahu0099_0048,oahuoahu0099_0049,oahuoahu0099_0050,oahuoahu0099_0051,oahuoahu0099_0052,oahuoahu0099_0053,oahuoahu0099_0054,oahuoahu0099_0055,oahuoahu0099_0056,oahuoahu0099_0057,oahuoahu0099_0058,oahuoahu0099_0059,oahuoahu0099_0060,oahuoahu0099_0061,oahuoahu0099_0062,oahuoahu0099_0063,oahuoahu0099_0064,oahuoahu0099_0065,oahuoahu0099_0066,oahuoahu0099_0067,oahuoahu0099_0068,oahuoahu0099_0069,oahuoahu0099_0070,oahuoahu0099_0071,oahuoahu0099_0072,oahuoahu0099_0073,oahuoahu0099_0074,oahuoahu0099_0075,oahuoahu0099_0076,oahuoahu0099_0077,oahuoahu0099_0078,oahuoahu0099_0079,oahuoahu0099_0080,oahuoahu0099_0081,oahuoahu0099_0082,oahuoahu0099_0083,oahuoahu0099_0084,oahuoahu0099_0085,oahuoahu0099_0086,oahuoahu0099_0087,oahuoahu0099_0088,oahuoahu0099_0089,oahuoahu0099_0090,oahuoahu0099_0091,oahuoahu0099_0092,oahuoahu0099_0093,oahuoahu0099_0094,oahuoahu0099_0095,oahuoahu0099_0096,oahuoahu0099_0097,oahuoahu0099_0098
2017-01-01 00:17:44.000,43.89700797269175,49.10136221842538,50.126759118729325,49.21598612193555,44.01834292652443,41.78699657248451,37.944927679312784,36.270904739706666,36.47487344181524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-02 20:21:48.000,41.52931059389344,49.44747489613647,48.73969304751118,48.435654813581216,45.09873514081831,42.710239013424896,39.02242301896916,34.280385155988434,36.22525918371171,34.51284908720758,35.08803420420563,34.17137463908955,32.90324849401799,33.147544583015126,32.92081272401086,32.759442584114055,33.37841860266019,33.44924787500706,33.78169381982256,34.21387376095877,34.65504868093298,35.170473952350946,30.738142913262088,28.89899165230182,28.567246846017927,30.56121237577201,31.95698346899851,32.12163335758861,31.948048983292203,28.128851644794587,28.26428807742548,28.473958291729243,28.892637462591992,30.360897792448604,30.47274879910502,29.2413256635981,28.12446234130083,28.70759563002727,29.98793127755504,28.160494511151928,27.87522072484082,29.15291051901044,28.192396354337458,26.96836250086384,25.83493489289461,25.547111966139223,28.69202287629064,32.951097880813734,34.315140383495475,36.36551832203549,38.41522453641096,40.01508823957448,37.46489953482614,33.48593912602666,31.632478957809827,34.8705710169913,38.033879717217424,40.30769707453128,45.90226660368756,51.26219643224945,48.48946794375786,54.09930667906634,57.79457131081548,46.06627072167639,35.06918933470972,25.24518571543472,29.055901612280795,34.60009459711307,38.78096011049933,35.105713166673674,33.10410611819184,36.46824560726844,37.36024798360541,40.70556534351032,40.52615186966359,38.66024820098789,37.79326701668576,38.30680296691308,38.34197124813666,38.01894307203442,40.920760096430605,39.48604864314392,33.749308929754164,38.50026846576285,41.448776265594816,36.88425118568479,35.40235017352618,37.75771511930574,40.80430210361341,40.29889120135107,37.16762223295437,32.19510793172596,29.62613219931898,33.71615223864307,33.67560348050746,37.79842526589555,39.95196428992538,35.86908415801249
2017-01-29 20:21:31.000,60.15912707010677,,64.55421237399256,52.970388339133535,42.83044520111482,38.720952701790985,39.31129631902764,35.91186563259595,35.77970993903893,35.9901346084424,36.65021306291983,37.4204143283463,38.09384794474319,37.623135605994,36.60465909287435,37.07285341533551,36.12157767195757,37.77229738728918,41.38523385206205,42.02450723295805,40.57878080880868,40.96592229198739,38.31459035703131,36.82548958117182,35.57281987051432,35.32254793746176,35.63986871918468,35.183699615297456,35.71196906870857,30.9878164332345,32.194049790354256,34.4811429653809,32.57810525573862,33.80957521887873,32.124668179924875,39.46156805761903,41.08990586823022,37.63865673179063,34.34162750268945,33.41684068728139,32.13715392052461,36.93783682833698,37.60802934942228,34.00856483769513,31.321228075544035,30.718023467132088,35.038881332257844,40.41199519515479,37.43128699732007,39.158733238928704,39.64837084231572,39.58885066120872,38.96649694514869,36.715826363770766,36.90619158609056,41.71333637895639,51.01557387525918,53.49578529872315,53.44508793658722,58.14364328415885,60.20299551328281,58.47497887822989,63.59059484942205,59.50176571428755,51.116734071853415,36.88660025632385,35.48524837627201,37.69912106173922,37.79637578491001,33.12351164730309,34.18028195872582,36.0540017019232,38.72432697560735,42.7736401902338,44.98536515656672,45.66679738274024,45.20098263442685,44.68212546525654,43.5098793117977,42.44892913990058,43.6798527702188,47.68975224506655,47.96140262085389,49.9304596766375,50.305832048747625,45.38167807820872,44.552740142262266,44.62763921801108,47.59915904230038,44.961962671387575,50.745839920559824,39.8313982018524,33.600494945036615,42.74659223139558,38.8363496089184,40.345222041275,42.485599077445926,38.00107125162709
2017-02-20 18:16:03.000,55.59946106927385,72.95559222814474,65.87501348246384,58.10797932100471,50.16868945651751,44.52225163530226,39.318789981655335,30.126875402113164,34.6981560851723,28.19314630660248,31.97372000919757,38.03989423932031,38.17662849116094,36.3170821604473,37.073788573279685,37.72631595566301,38.9381771099246,39.87460987731176,40.9114793362797,42.945872004044034,44.99049699380208,40.86826128125657,37.13291200822668,36.17883656920681,37.11283576628648,37.92994902828697,36.49087449665123,37.32766678188818,36.66410999035531,22.47893068155723,16.553864494627483,31.88168761806503,31.07497265551726,33.79621851245672,36.23904823926546,34.66510397844182,31.07952719463006,35.02710610886088,36.95456264408723,36.70644357420269,36.60215050579489,37.625235282549454,31.48610043914076,30.54617142345764,31.61702306826289,32.22138273467881,34.787984977714686,37.28076372737873,37.89322172739815,38.01862161040163,39.1883200002244,40.89618906461956,42.04166684390674,39.9278725611152,39.87967562687052,49.74838754320872,,,,27.52678088988918,39.51731058425965,50.60369972967487,46.48159486024987,41.6057645156674,39.23498622463247,41.40425400164674,46.36440662996152,46.34605183359368,43.90899436812177,39.260516624393,41.39238168647962,49.831298160333525,54.8514001584864,52.58373915976895,48.20132205090376,49.27759159971329,52.006165556802586,53.72474248554988,52.2801478725466,53.6216268024701,53.62571747170854,57.62968482226992,60.653233336068766,54.73505696300348,57.97876820752096,50.53788314604804,,66.23028921749123,67.06474800891093,65.36361077732441,67.7770181267983,,,,60.46023720205351,48.60303671385073,47.62477761585716,43.59447039933444
2017-02-20 20:21:56.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.06145839032813,53.90240062269713,47.4990566069223,44.23351430955887
2017-02-20 20:21:57.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.34209320448021,54.83796030601866,45.65817608977334,41.038382131062384
2017-02-21 03:38:23.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.63216583984863,51.73708562178074,46.41823493760073,44.98487089140987,45.037018431718565,44.506289629465385,42.7128628536404,40.01440617329056,25.01723037381821,46.82242477566621,50.40869567376402,53.72392698286643,58.07108382260573,30.312413539213885,35.38049605596028,45.14719574644737,37.42563011604657,50.00625570892224,41.69923751108645,40.14745565483528
2017-02-21 03:38:24.000,27.615589508675257,46.74124063042455,42.05345071057615,34.184266786101354,28.42137981448051,25.440324616623712,18.989515779228785,17.877818979867225,19.07397729350804,19.10550980890932,19.289417342545985,21.48913408737514,20.7379768106254,21.455346740457667,21.33570243282634,18.377648815444186,19.401305062089666,19.77290498828694,19.78836711171313,18.30849919877169,17.248118432566745,17.453374805401534,14.787663581590596,15.224544668938035,14.449617971605347,13.723623714783365,16.227516221335932,18.759938863401,13.2991033126338,10.753723918188165,11.079334085191029,10.87098080298475,10.966673126473058,13.324500930952237,13.933755939437807,10.807118276934984,12.725191282278082,14.915958372298842,12.607329948467845,12.364534098544253,13.902215394632227,11.576084935273052,9.295691784359054,10.04360423698369,11.84178461337103,14.236778707747824,11.762943086930097,13.035867437747516,17.235107435339398,18.23127981678376,19.611795517786675,20.871044571625536,21.70954807996489,20.468561667177507,16.755969778232654,20.3621820297705,20.177151487115687,31.84087936440282,30.79291357584754,37.744419754495375,,53.016112272747534,37.32402571895844,25.586559178729942,17.03807127357293,6.907711099181619,5.617370183688832,17.458806660478636,29.17278691548581,22.387034670895712,19.735193884983968,22.137696185633228,21.55022698605778,25.37798215118261,26.9724339026778,25.06479389987301,31.14692814913037,30.123120080848626,31.38349487303586,36.629989815509454,28.51765629226779,29.787013823252515,31.27451882649623,29.095495312309136,25.266723661249703,10.033570500463426,35.989844220262945,49.28384730782359,42.75246317071432,42.28503675733259,,18.78842399420574,13.745602222478066,42.39008258463125,45.53245519129107,29.4682830307692,34.62251123824506,34.584207583852645
2017-02-22 20:22:37.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.01927445257526,40.99946496115067,48.79083937946069,53.74889925906127,57.99556871562139,59.8382750927644,62.335239533850896,49.90939082652799,37.00460177321733,28.38289320264672,30.46458576668364,33.23548351912192,39.24675252941663,35.219288426482095,34.56069251990136,38.81501494955919,42.00964489529724,41.79505159929991,41.204232536934256,40.53122245923157,39.96369277272,39.94534567437519,39.388456781616256,40.05896803336414,42.4394824183031,43.03089719843794,35.681422875571485,37.44957602995232,43.642166230857,41.59480402362537,29.17391346844372,44.42719001461152,46.62111769978201,46.93070853035655,50.13366655192958,31.65200831065321,29.82414126338924,34.559157655762014,34.834348953183486,42.8300922773272,40.79191971105777,36.95266718307349
2017-02-22 20:22:38.000,54.947406553481095,63.971150379454976,61.14118277486346,58.41179574108589,50.973402454147305,43.11799474628496,37.927785368797096,34.077778680913084,34.27086833586746,34.482882328036354,36.45099042922799,38.03619393246616,38.709627548863054,38.238915210113866,37.220438696994215,36.10435950874387,37.18868898425989,39.328789925783006,40.669821852468665,39.87242726991186,39.39498039495118,39.667259911179215,36.47298419326663,33.759033826679406,32.86620234016111,33.816965821037314,34.13432708350563,33.67807841317482,32.404869482494675,28.53199070572071,29.804824046044267,31.408727744216016,31.071272348663108,32.539748948325006,32.65182544307152,32.53197259275716,32.426713464615055,34.403261624501134,33.7103609040999,33.27517907647633,33.62320881843207,31.38833154186448,30.369750341164952,27.43660238642412,27.1319891768662,27.454852736677445,31.65907217009188,36.77067728736503,35.947070015067226,37.88636469362206,37.8502655672276,37.95422599693803,39.61378263840982,38.449362910603,34.920936519607274,36.38305088022474,38.7792818171977,41.11041530785312,48.42149477509119,56.018339014028776,54.81991358639027,57.13592115588119,62.23471525681952,50.24899477169026,36.600351657542376,28.497293755598623,30.24919280009694,35.952182256568555,39.079237049637904,34.62292593425975,35.65069068492296,38.72175585959349,41.77807046202818,42.93509457070361,41.16106445898546,40.484429023076,40.85510375711489,41.22470852333402,40.11514836443791,41.99276687084722,44.745475152000886,44.32338660507301,36.470821627103625,39.89202786469212,43.574807410104086,39.72043890871697,37.66737528462565,39.41711393540178,45.56365181550645,46.84000006333304,51.083650282865655,36.38207158292926,28.158855068901133,41.28368027293285,41.3042294384034,40.19766148979569,43.53271267725175,39.51461900257071
