dates,oahuoahu0055_0001,oahuoahu0055_0002,oahuoahu0055_0003,oahuoahu0055_0004,oahuoahu0055_0005,oahuoahu0055_0006,oahuoahu0055_0007,oahuoahu0055_0008,oahuoahu0055_0009,oahuoahu0055_0010,oahuoahu0055_0011,oahuoahu0055_0012,oahuoahu0055_0013,oahuoahu0055_0014,oahuoahu0055_0015,oahuoahu0055_0016,oahuoahu0055_0017,oahuoahu0055_0018,oahuoahu0055_0019,oahuoahu0055_0020,oahuoahu0055_0021,oahuoahu0055_0022,oahuoahu0055_0023,oahuoahu0055_0024,oahuoahu0055_0025,oahuoahu0055_0026,oahuoahu0055_0027,oahuoahu0055_0028,oahuoahu0055_0029,oahuoahu0055_0030,oahuoahu0055_0031,oahuoahu0055_0032,oahuoahu0055_0033,oahuoahu0055_0034,oahuoahu0055_0035,oahuoahu0055_0036,oahuoahu0055_0037,oahuoahu0055_0038,oahuoahu0055_0039,oahuoahu0055_0040,oahuoahu0055_0041,oahuoahu0055_0042,oahuoahu0055_0043,oahuoahu0055_0044,oahuoahu0055_0045,oahuoahu0055_0046,oahuoahu0055_0047,oahuoahu0055_0048,oahuoahu0055_0049,oahuoahu0055_0050,oahuoahu0055_0051,oahuoahu0055_0052,oahuoahu0055_0053,oahuoahu0055_0054,oahuoahu0055_0055,oahuoahu0055_0056,oahuoahu0055_0057,oahuoahu0055_0058,oahuoahu0055_0059,oahuoahu0055_0060,oahuoahu0055_0061,oahuoahu0055_0062,oahuoahu0055_0063,oahuoahu0055_0064,oahuoahu0055_0065,oahuoahu0055_0066,oahuoahu0055_0067,oahuoahu0055_0068,oahuoahu0055_0069,oahuoahu0055_0070,oahuoahu0055_0071,oahuoahu0055_0072,oahuoahu0055_0073,oahuoahu0055_0074,oahuoahu0055_0075,oahuoahu0055_0076,oahuoahu0055_0077,oahuoahu0055_0078,oahuoahu0055_0079,oahuoahu0055_0080,oahuoahu0055_0081,oahuoahu0055_0082,oahuoahu0055_0083,oahuoahu0055_0084,oahuoahu0055_0085,oahuoahu0055_0086,oahuoahu0055_0087
2017-01-01 00:13:17.000,,,,,,,,,,,,,,,,,,,,,,,,,-3.3788548331501898,-3.371846218549476,-3.346312856095246,1.8358267628522704,-2.9706686938895577,5.383723730436105,,,9.40401206524326,14.961280605711597,14.719818416349629,18.13320840302549,26.11472305555299,-1.7078051264965564,153.55249913103484,154.87244074103558,158.5714671645855,156.10140790449933,150.6473728897365,143.93258777148398,144.89516613813382,148.2394211089798,150.95859785635454,3.389138950166845,8.442008595411746,10.531966783533884,8.72155455661801,15.330291109171116,3.3163262752153564,0.393344809079664,-5.106898808730002,-3.5406441419429666,-4.123010293427391,4.213882710021799,2.90346683153368,-1.2878736926097685,1.7458762143240951,2.881587731776118,-0.562973388591026,10.826302356602303,16.903842537114887,12.331046898123414,12.14562700464074,24.450405179410257,12.604649994420878,14.793519137651362,29.37929221867024,26.453403444292903,35.00873128685185,36.04531726328161,36.42965921802013,40.13593419157957,41.74760913686001,37.72303372028862,43.11307875730444,43.51331878550201,42.05126412838787,35.26725224709848,32.85927198645826,26.520077438426856,27.85306998444732,35.974332405264654,24.681366324339823
2017-01-01 00:15:41.000,20.03080176632476,19.439894370610407,18.601203193209,17.392144455521713,20.265614562522178,26.12031996470153,24.125125461019906,17.60570718008172,19.9025527329604,17.910591840424555,15.531271477845996,15.865753318744124,15.081699311149654,22.620443480334178,37.24516423370446,30.335316568849937,31.749365658120308,40.54546329789865,34.21575940841906,29.93310798358483,17.94016325736059,12.89931714626403,12.473976762447604,14.154033997966364,22.42201373557964,18.26221358683838,16.555111124702183,23.940386046461985,18.8289942976854,25.03930405574881,26.598976742040307,18.622687629402343,28.047042653165818,28.787261059681462,24.861201986950125,25.9482448012231,31.435727408658405,12.642497379624308,165.7486735125736,162.8037425163257,169.99657244907723,168.0512067348283,162.0173177613849,159.0086022026858,159.42207890207266,161.86509327410576,164.86830077729897,19.67470204572792,20.42235821276117,18.600733702628727,19.07991525342202,21.34279812782949,16.693314608138312,18.19832988416601,9.137071119951658,14.336658346559508,12.208588412599836,15.435983030848892,15.718137443594417,14.766837794280685,16.72057032330535,19.120369023181777,11.34360897200918,18.964912295761508,24.997646217182226,23.259426672544866,18.61676083315596,30.998249983563746,27.1381461277474,26.989380565281618,30.04776832356381,29.98543398568312,33.42403481211798,45.68036228778205,49.86081954177095,50.48511200883416,47.43898902072567,41.74235241945727,45.53849196473956,47.19482149468171,47.87541102098576,44.82086289389918,41.45083401091184,41.20774848378589,36.06030209104976,33.0642078863657,21.339052409989296
2017-01-01 20:19:48.000,9.039476656643576,15.179745253281837,10.414800191812796,7.420884489971528,6.558943403796531,14.366947589290058,12.944721318664316,7.717545479169009,10.273292456573683,6.433982921626979,8.795946151346701,10.865893498345583,10.92440377326628,16.13107160096134,28.615952956222685,21.204470337578293,22.041631604292544,29.11559394919699,25.77830257408408,25.692644693892703,16.749851604907626,16.37346557289805,11.257788216390312,3.803588448868561,12.014755899142123,6.955184528693533,7.300536974045714,15.142661417607089,10.27640060752608,15.86529741269849,17.969137299190294,16.101280536094734,18.010452872137673,25.40269658861176,22.537251116075893,24.68499174078061,26.79223087915107,2.652726672709137,158.85569714508785,161.5599845832827,163.00949273748105,158.56385759215402,152.07713787652318,149.98520401669472,149.83818670704756,152.37659474164624,154.12989392748466,8.2765389927169,15.029794299515334,15.069629551814142,12.694628900032322,17.176848664379598,8.4943124420624,3.0369968874273403,-1.6008636562619205,1.5667115107980485,2.456944719616492,6.7849066427315785,6.767213927667464,5.529798550095546,6.092715471454793,9.202892417380973,9.42246645866315,15.660406878029471,19.488921159799823,16.208249246085813,17.096821945206038,28.560174249944232,19.44269666359678,22.27207084873712,29.888520713056263,33.634715903536225,36.49425986279805,44.67091735699261,45.135978634646975,45.00830048220587,42.12915554647903,39.037214117227016,43.85001777440724,43.79542976844937,,,,,,,
2017-01-01 20:19:50.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3253386244700853,-0.9779607076668168,1.0612046683834753,3.220744309387176,5.941043776572254,6.766951815322731,4.713043146024852,4.91063664736275,7.985707158969205,6.418640193797956,14.516060425718075,18.71004042111636,16.899946355456674,14.073295473536708,24.445934586308912,16.02275101744132,19.431229835771013,29.55121804008684,33.299080605041944,35.37073557447636,41.57073256152977,43.933727646257424,44.87888914146557,41.44019815477686,38.2301825896954,41.99299984461359,40.34946803597904,38.620896165906,33.95313426251716,38.11656348284576,38.33555080833279,38.05206168998824,34.68262906947848,21.27234349355258
2017-01-03 20:19:09.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.31297044835275,-8.960782012237555,3.325799689302643,8.494422260154005,5.698517737713947,5.225245019421579,22.75626727990304,13.32156221349586,16.305588447909464,36.545363188940605,37.37472409684629,36.03872169445543,42.47549749076729,42.445391185827575,38.66891841395508,36.23098316297468,28.94070971061156,40.98107484421943,38.11941896824872,36.041711434514944,30.269056855098555,28.837451228197608,32.55759560273597,35.90833353451991,35.168994466135224,24.79264976831081
2017-03-14 20:21:07.000,24.40318702281603,18.89574966278252,24.387893762005195,15.602613656783976,17.753932447715453,33.43503382075163,19.401155340499013,18.905256454816733,18.11302193422266,13.37478456798284,13.618372871414156,14.82887828992246,26.223428349071565,20.038249099702004,32.67781171798073,24.082951661087595,27.831375299009483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-14 20:21:08.000,19.0958993435432,18.40984250979594,19.16566250752741,14.442624616126746,13.982426860428705,25.86513258877356,27.17894286443172,20.903108654557567,21.45813690605976,14.535500175442468,13.265188382316769,17.72988254965782,24.37612407633507,22.21508395189455,33.39737676560601,26.07377957317137,27.81574160367536,35.009714198922254,34.74312384725313,36.246410555857736,19.607798023922097,18.779161157228508,17.898688031291492,11.4235661878182,19.46271435961312,21.01648824019849,22.35446381468732,22.621094065992192,17.434965890655373,21.2220484638142,24.54684372533787,20.02165342265048,22.54058028823324,27.316642384701225,23.44000184584035,26.695932913235968,31.40798488093916,10.904544650455623,163.67683551141283,162.24380491076906,167.92964704151106,163.3219472681428,158.44125898971245,154.5879666044334,155.79635710786454,157.31221753018562,160.43522420566498,16.847817289110797,25.73915626940244,25.346355549148942,26.97267407485012,25.31071240117128,12.728849395752173,8.769172708943064,1.582632965759462,3.818505831649272,4.798193647233571,9.403182781323146,9.350934192875544,7.226658378141073,9.077035082603196,13.960084976597,14.519815651604096,20.65022127334148,24.32328657051264,17.243840533895618,16.20132244017251,32.3978590647304,23.81971906009156,26.61484694446536,38.12283181908177,44.50308125169815,50.45462410945765,54.76761430740304,54.51946499684424,55.71836769866856,53.606819911336586,45.40214116459316,45.70142361384413,41.80771433316285,40.36623384294447,33.909576456462815,25.681417743295395,22.0604362004453,36.98968190613215,41.48416522723019,32.954929482872146
2017-03-20 20:21:10.000,16.69941767615399,16.519589183809185,19.042752948179245,15.845290977572208,16.511312870672082,24.75652983448876,20.883853616903384,13.6698880960104,12.222705632551172,6.659928379281398,9.952445776177791,10.211684396813384,17.778096110715556,20.763944879542134,29.311572685358254,22.890263577117604,26.55532955277617,36.52674758278013,30.913391992757493,31.91055842585867,16.435296421586482,13.184650405678006,16.200560584890372,13.030326764837849,19.83167249268654,17.932276135460842,20.4967641016161,21.608121308628505,12.669865412090054,20.172730586464542,23.7685165391194,20.73973999889104,22.9202882810932,25.231904054615995,22.82768805195268,25.422222338059047,31.127711811352345,11.639236069576052,167.89719378208372,166.54886227098893,167.65353325236373,165.37104388384486,158.82843363629863,155.01152140834327,156.34239237707052,159.13850031327314,161.09228578931894,15.883379132566375,19.729841635233004,22.124886789123504,23.657809601011145,23.878474165401983,10.98508604436848,8.462902465358596,0.3002866236301913,4.907094489162857,4.424436328033591,7.262492082741494,9.188922489728704,7.41602915203079,7.531961091415605,22.83136341506931,14.536701110297942,18.8257082180273,22.437592311347853,19.834633071732306,13.627313657498664,28.50458020886009,17.974279954943714,21.33821498717677,37.39560377741378,42.57345332607408,43.67190696734205,50.33785815725008,50.62295039015111,47.46588006504933,41.39487703405277,34.74504410563942,38.77395273932444,37.726525810895865,35.28672065101968,28.57940459803664,27.962113742939668,20.501759023055268,36.97545940548705,37.33407401889368,30.10501604995679
2017-03-28 20:13:53.000,15.453623940393085,14.09569705014548,12.243867879986288,9.707787390322542,11.463853169949676,33.965272434308794,25.192101597651146,15.730099478394257,23.30342478978902,11.111562680109982,10.572944643105036,5.6374313994541705,23.8215337154455,15.782540022520186,28.243952251594944,17.37347035023681,16.981419063474622,28.43371895138845,25.15457633021645,27.13535381920074,15.131891781451356,11.10054755059672,20.380742065226087,9.375368326460828,20.70847010840837,12.90254021138447,15.138038190167356,20.087753310265413,18.1819306651648,25.847077313069544,26.19940608796848,22.36137223227235,23.86124376507018,27.891786383842938,24.564292758001667,23.106674117980763,33.34915545208753,15.29667339077496,169.86055278851669,171.98476104929708,168.24651361510936,165.1380463430247,163.94282836284336,153.32951056064078,156.90283501881666,158.69615090061333,161.7739151287739,29.33268092023965,30.928405700694373,23.465321614439272,32.54793117468832,32.417228805049284,9.963879367083178,10.386904350005764,4.833415601879809,4.743226208525469,2.294646224346726,6.581909341948231,7.317408770814888,4.103280246819692,7.655525972210922,17.943602724791948,13.3798986057052,18.4888259512756,23.40942569016581,20.786882126321306,17.913424049499394,33.436414906767496,20.32467626884173,20.38108718940224,32.57961493562473,43.49561145457801,43.65877970613393,43.91810281402358,43.537358248194,43.57942095492673,49.62255913019959,,,,,,,,,44.72826829824717,33.72539749251551
2017-04-18 19:19:11.000,7.689769391809895,12.491171666881018,7.886420983313899,7.422359246178354,9.499869491345535,11.578723222077544,9.429827081539974,3.29773984918676,6.8959244025918505,4.461882098081441,2.7916152710756084,-0.3148691052679471,5.181852146467376,14.94502530150468,25.112629631800587,16.313682853097625,17.58210308462354,25.363198011264306,20.770698403011806,16.409249186985377,7.684121945305184,6.258205361588201,-0.0196308528330906,-1.6404251540631396,4.751492373968409,10.762031412644063,13.638539358266744,18.04465507435534,13.289424426893982,16.099154398093894,24.44896219350864,19.661010634702905,18.88520384020412,18.54244190046469,16.29115607310171,15.368110713090063,19.157133202935647,-2.109215572085565,156.66538156443767,160.22126353912137,161.3154358264279,158.80840677403347,151.15195390878685,148.21723802818244,147.53938870658013,151.98481066600746,153.51793860698388,5.985211927830472,9.720372278738756,12.202756275900985,12.339518007038224,13.83910235484438,4.114672735335182,1.8349662810759304,-4.532077440407411,-1.395226923673965,0.3778415849047984,3.883436413493376,3.841928085794757,1.8401843410474343,1.1845245870516998,4.538239411309389,3.4265424497985304,14.634335030955514,18.12787051077312,15.297022421423272,12.841560213915525,28.166482234891298,20.58857604064097,22.858445644100943,30.586868256876897,37.05597558271622,41.74359167805133,46.90058683712784,47.36333603371176,44.20285976987795,39.91519555913124,32.770741008007505,37.35565142103248,36.59817395532496,28.90384199476704,24.041207575904068,22.244938171732308,21.41019780017253,24.45390338761858,34.57571143146328,21.589652053403533
