dates,oahuoahu0019_0001,oahuoahu0019_0002,oahuoahu0019_0003,oahuoahu0019_0004,oahuoahu0019_0005,oahuoahu0019_0006,oahuoahu0019_0007,oahuoahu0019_0008,oahuoahu0019_0009,oahuoahu0019_0010,oahuoahu0019_0011,oahuoahu0019_0012,oahuoahu0019_0013,oahuoahu0019_0014,oahuoahu0019_0015,oahuoahu0019_0016,oahuoahu0019_0017,oahuoahu0019_0018,oahuoahu0019_0019,oahuoahu0019_0020,oahuoahu0019_0021,oahuoahu0019_0022,oahuoahu0019_0023,oahuoahu0019_0024,oahuoahu0019_0025,oahuoahu0019_0026,oahuoahu0019_0027,oahuoahu0019_0028,oahuoahu0019_0029,oahuoahu0019_0030,oahuoahu0019_0031,oahuoahu0019_0032,oahuoahu0019_0033,oahuoahu0019_0034,oahuoahu0019_0035,oahuoahu0019_0036,oahuoahu0019_0037,oahuoahu0019_0038,oahuoahu0019_0039,oahuoahu0019_0040,oahuoahu0019_0041,oahuoahu0019_0042,oahuoahu0019_0043,oahuoahu0019_0044,oahuoahu0019_0045,oahuoahu0019_0046,oahuoahu0019_0047,oahuoahu0019_0048,oahuoahu0019_0049,oahuoahu0019_0050,oahuoahu0019_0051,oahuoahu0019_0052,oahuoahu0019_0053,oahuoahu0019_0054,oahuoahu0019_0055,oahuoahu0019_0056,oahuoahu0019_0057,oahuoahu0019_0058,oahuoahu0019_0059,oahuoahu0019_0060,oahuoahu0019_0061,oahuoahu0019_0062,oahuoahu0019_0063,oahuoahu0019_0064,oahuoahu0019_0065,oahuoahu0019_0066,oahuoahu0019_0067,oahuoahu0019_0068,oahuoahu0019_0069,oahuoahu0019_0070,oahuoahu0019_0071,oahuoahu0019_0072,oahuoahu0019_0073,oahuoahu0019_0074,oahuoahu0019_0075,oahuoahu0019_0076,oahuoahu0019_0077,oahuoahu0019_0078,oahuoahu0019_0079
2017-03-02 23:39:25.000,31.977288525905514,36.74454170035485,42.39429356097856,43.80712272556897,37.75059155891817,36.85851702080673,37.23604227016529,41.630888926710206,,61.23381483514578,48.65943658762001,53.41814895148511,52.929959127215206,42.77593346803776,41.23707021477863,54.90201401989239,,,,,,52.106926112739686,48.86759623958476,41.04938627896781,30.44242949005764,29.04595549990167,28.876729016097613,29.46639411114264,31.40094983203833,32.070369845676154,31.39229232216011,28.631604014381907,26.845692160385973,27.04187912226152,21.48148188421464,23.514825887293707,23.059962125517444,27.20402936198203,27.08378461987979,38.48169085035333,35.68062672382579,38.40923977485496,54.25192845264303,51.30268634322572,44.662676916566326,48.98099011812324,50.27048838929565,42.64006396080071,37.21184113069526,37.45529240347945,41.78879298147986,48.64331890898046,49.327666459317314,45.31820115340213,38.401520726868846,37.08773052091645,38.49744794110538,44.31398420781228,53.48531657849597,52.30785454818221,48.73299174777286,48.52862588772005,44.28475274295364,47.69218375566735,41.44942306257671,44.63567485229852,49.1431647223296,76.77910748259856,83.61778633621785,94.08904022703892,93.73228605574036,,,,,,,,
2017-03-07 20:22:35.000,26.54936250874033,34.05578252137507,39.24371516928584,44.83352029429216,39.86865230079025,36.05717860882622,31.808813465074085,35.71991943024302,35.30335503292347,39.30363294574128,41.61642086848879,50.64816124335818,45.61569277412832,43.87535871940904,41.37264803052011,42.741638959556695,57.71469150956069,61.64756887028963,43.085337648253,41.63294706431224,45.40465910008426,51.62380671888745,48.871696425939376,43.63210402797104,,,,,39.80667254069224,40.28218502550632,36.87420756825986,,44.44758107410087,30.490622882960743,22.68019800686132,24.89406404765628,22.488385507750426,26.386741734463182,23.967088082056083,32.48275484035024,32.67129689226216,41.30765218917099,42.80909490473047,47.73111493138627,59.324528043031606,45.35890915580356,53.54391360736455,,,,,,,33.29657514643482,33.66545283023231,32.524457865303006,33.29561775899488,38.39884000706403,43.43684563682376,49.27702918000706,,52.70910778160283,44.57973712285972,50.68155084678816,42.99557562175646,46.347154074776654,,64.53031467239023,51.24020175425643,,,,,,,,40.48857384354572,45.522864563029565,57.48349054161322
2017-04-05 20:23:52.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.01301261569377,38.58675028820605,36.24506280729102,35.908926110509874,38.80678763524477,37.675487053660575,38.18407514630292,41.94568117582966,43.84444782025158,35.642051152339214,30.9814876556778,30.390800827069583,29.80140123279889,28.480273650047128,34.085925601124245,42.4713291951326,38.88209449160834,33.54108009720232,28.00016309995649,29.289797325937645,34.37369369539625,32.71200597659529,40.33330581117222,,73.46832435502958,67.20001736580811,82.18394921861069,,77.30166311523533,66.02458687636484,70.11570667992189,78.04049618841935,,44.17315426398838,38.4098348875052,44.37879476975238
2017-05-31 02:55:47.100,16.16323847070403,23.52528258414804,29.13539296996406,35.48559657928014,29.42840525167722,26.87984559974594,26.12010287241888,33.51912172382854,37.67446168305337,34.344013993779505,32.77816711646899,35.37985843954212,27.6174539621424,24.96097761024057,22.376948293679504,29.59880255834924,39.63750300360581,40.56854400689453,39.6033151008868,34.780693037786314,33.60473095637503,36.590431198032434,32.819927571435215,25.180183123396887,17.209582298936496,14.178083259673082,14.975187437937604,18.436548136075693,23.02206193275343,25.56361420955315,26.37597226306186,23.089631698393795,22.34143071128618,23.829745043131105,22.747686950731094,21.51694180042371,19.24455411513541,22.565545775787434,21.716944274975223,23.14242114224088,19.114622163275666,23.2399781112965,29.77147658640572,20.935511322229488,24.17680546372354,25.83463003615728,28.854569135921288,33.29510566665765,28.103254437326854,28.68565931144464,28.39640869935215,27.573641102911743,24.631729259362626,22.209358986374063,22.361604475482608,19.626370226309447,18.018084950223844,25.008348756389125,26.11366983567745,,23.289343022401766,20.32242976589133,17.78694683382225,29.176727318289338,28.236282686079647,28.435635314439835,,61.18353581256311,58.75065490417811,73.01484730214408,61.51272221772144,,,,,,29.08062648360341,27.67246987337,39.13992123473392
2017-06-06 00:34:44.000,,,,,,,,,,,,,,,15.054298236018228,28.072481883263464,45.94154476891364,48.724990962037616,43.50346541545074,36.37745627022688,30.630483691210674,32.74649246801472,35.3718219850087,33.18604856241406,23.352636146414604,21.942824716036963,21.417399038906208,22.28210367114612,22.723191972958222,23.27487597393852,22.188639301040222,22.29974376259613,24.23983383034657,21.427767112003444,19.37466749450819,19.066965261452104,18.746934418528188,21.802483896810248,21.8104418763866,29.53300170641701,27.476623064881352,33.89597127883308,38.82657567285169,33.96276856151869,35.613962036996526,36.29503866712104,35.944067376567325,36.52692423176465,33.0374291042402,34.115276537053674,39.95704871470325,40.90653719054928,33.691905146788535,29.42175986724721,29.109309940544364,26.628492217842368,27.3402015609788,33.35664772791108,36.336146888677,35.32686430944296,29.128319390774287,23.228973729372463,24.66193988457077,30.613048833972208,29.69896519461978,37.62874597849642,38.77156838360341,63.44228751146969,68.52997862100383,77.29352673139573,79.47698610089594,74.29956421384796,51.1473566434238,54.11778571996148,,56.50525855242692,44.38297003446975,47.073562852049584,55.57350217913186
2017-06-06 20:18:43.000,24.72331860422959,32.74826920923819,38.09690375669076,42.83207990754695,38.45911076704756,34.84477854973422,33.610380657923315,35.56617367175719,37.945586617671815,42.21239102754707,40.39078131258477,42.96457454517958,37.73375682034021,34.01253649535359,32.873369876459144,38.80268028889699,52.94576109058183,52.76637915960415,,,,46.54647110295351,45.21898325102012,39.84605140498941,32.06342047324955,29.72372274706204,30.424088044605025,30.104423550805127,31.071471268136754,30.801223081234586,29.71430071761259,24.39174880260402,25.05917127593525,24.07976120391575,22.09348327667207,23.019819015507224,23.05876834251569,26.94181783844333,27.94216874275825,36.8255724233749,33.2499993252874,35.91681053247328,41.38265489181725,34.234144565684325,37.37505486697472,37.16079341884721,33.886619591609886,35.89994973814215,31.788004201324576,32.783236967272266,38.95959294622019,40.83875121036039,36.61830906042224,32.64980169612407,30.53559359045605,29.32634793719397,28.217713832426192,35.644101523781934,44.59781718098327,43.106585980020334,34.89717270700314,35.69837086959017,36.34179260412029,40.5864601546899,35.94042333994896,40.27648250599446,,72.78009453334592,67.68753926811736,79.47016716843169,79.34707847371777,75.57029081511716,75.22821152897022,87.82250057789912,100.55609014657286,81.58243360201676,45.74588334551737,41.16267853246113,47.76180334819207
2017-06-11 20:19:48.000,29.410738085834392,34.504121529817816,38.57031800638887,40.553272724984126,35.04703691005617,35.72676778437375,32.9251349634833,38.447713435285415,,61.01452256397307,48.09806280883523,56.81019808976979,48.90304733278784,31.020137873655447,29.952178193496312,41.13021271424805,49.13371614950681,48.01024473258824,44.76378189100555,40.76702089708832,40.82124234249871,43.33427230709192,40.89939329704352,37.47724726784669,29.952814289504,25.71019140937973,26.373033889324848,29.75891829050153,30.98199662396735,30.55665759472465,29.628567028879967,27.24096676684304,26.35557883384139,24.41967012349345,24.63914114082256,24.1497358853314,23.46715428397188,26.46779248657109,27.416792259384973,38.169378641906974,35.823271503566865,40.56486592514079,45.35094928792561,38.83401083991928,39.87490069241155,37.38148315756966,37.17213345652723,40.1700383254605,36.29813103084464,35.76763418196468,47.13229156370149,49.969105619943726,39.04494390825536,34.19764217033813,32.62769370897137,31.000974136043684,30.566477666895512,38.25006623834184,60.988613640219526,59.77227679676368,45.4136590818497,43.65433441535115,37.91025171496464,37.86384527404984,31.956973394426765,36.17779285580983,58.77483082667867,65.16781311121092,61.05975345698617,77.99973122518485,78.03859853324144,73.62896993876926,76.29175628623773,89.99469883153009,,89.31544397126204,47.93054958321483,46.83566438701507,50.4281135542377
2017-06-16 20:19:32.000,29.266603077213706,34.12629647555999,39.30811959485968,43.075500699502925,37.400330913426,35.625863918319624,34.1043055599238,38.02209338243215,,56.67450145195652,44.920248310984576,49.39699514925018,42.601115817604295,35.08355523638264,30.655274168026764,40.85956838930818,54.664927262070805,55.37875726776196,53.54601014636149,,,51.293035335065184,48.33936486812252,43.77877777739416,35.50129344132663,31.78680986925549,31.75325193934756,33.890128974107256,35.38500367406477,34.863510134445065,32.95916809701812,28.25850131616814,29.64264346225877,26.69083272435793,24.653921851092207,25.96437112791225,25.44142818663415,29.28505754220851,30.8159321004465,40.26250179676672,34.68994809573118,38.59450352738275,45.571908851790965,39.40427456748769,42.328770648159406,40.99258724742516,39.197608994053866,41.45125734643376,40.01379640041615,38.76841432223634,48.89305858216797,50.58600712080082,45.060343723538885,38.531752105421816,36.55312344108948,35.11508881798757,35.23112351756718,47.349481793992894,,62.54191846837459,43.68450036510811,50.14303929934869,42.02297859642439,40.979286412852815,37.49201433411218,43.78397219755143,,76.17254228010898,75.66595006863507,83.43418138110017,80.89370821073508,75.64925448862066,78.22961477408204,,,89.43565829199058,45.14763952820516,40.256621886658536,45.08115973980925
2017-06-24 17:03:28.000,,,,,,,35.256961479983325,32.74428008176163,48.17233144268811,,,,,,40.99951706668738,51.94690411722504,61.933195648460135,55.35937959569396,51.91517304629318,48.25334328382291,55.3737682457358,57.93444393337238,58.66848214706494,,,33.782662281636455,34.1507337912016,50.10538980692687,,,,,,,,,40.78635561441342,37.55245466456078,24.960117255848104,35.31958911468927,35.79609573739164,46.61563726691345,,,42.52113891668461,40.016690135295725,39.38705568593819,37.33885735481881,32.32574714416057,32.46315806073893,36.213105941244095,43.77189319567975,38.85491649841506,35.06010869541741,32.590014582667244,30.61790516852516,31.592575908737977,35.67191733677689,42.51422657751073,47.671306017119136,36.93700903292471,33.141423039052256,32.62513194953397,36.18303025427831,24.21873501853261,23.67314306477917,30.94748977940328,62.1706405175369,63.84360216296077,66.27793596884925,70.75783220328651,66.5583599487336,61.7225440634268,71.97604062972432,83.11689456297142,76.00398903965478,47.952152295892446,46.35455789487771,56.10538503601551
2017-07-05 20:19:50.000,27.801046082396493,34.47529741748065,39.85464557396168,44.47369215728194,39.62378469695603,38.31265022459075,36.401812814710325,38.82904276573106,42.51855902348088,45.301435615965815,44.109186815357965,46.12992973103731,40.10422504193229,36.26633290712996,33.23296605035558,47.42303300810663,,,48.77166799528603,46.99134484176939,43.93430697522606,45.78623705094166,43.11080412986052,39.80172438701571,32.4536446786527,29.993832592514384,29.459261312469177,29.73167024982685,30.715271313309326,32.17889499881147,30.77869505874704,27.0353302595533,24.893983431928824,25.03741217555988,27.32552890512804,25.8194798578896,23.965160191456658,28.96128334846152,34.50149613575861,39.41542236414343,31.96771315035029,36.87749005878717,41.22729659154362,35.38381545272167,37.97079509603415,36.776144742432365,36.48211927989482,37.85360523589038,34.11855331905713,34.74767396683241,42.82496453373819,45.46439388747012,41.99411162517821,33.713939836210244,31.945977669791805,30.36283605143637,30.359936168924204,36.919009089621376,49.77454000089233,52.4934577256544,39.278248610808085,41.02690658247282,33.585685468820856,36.48930029692656,34.67290719098024,40.05035491684298,,74.3435882302015,84.81486955964183,88.03986952197982,79.2269740945018,73.18760560673418,75.14109580902402,92.2979905614027,,86.52172202730583,48.217817324436375,32.41340420188854,32.24126378253561
