dates,oahuoahu0011_0001,oahuoahu0011_0002,oahuoahu0011_0003,oahuoahu0011_0004,oahuoahu0011_0005,oahuoahu0011_0006
2017-01-29 20:21:27.000,23.53463688087576,32.595726356221334,34.49444315701767,58.21715467674771,29.624000246438047,21.884425891447982
2017-02-22 20:22:34.000,35.87159353725133,42.216322753818986,34.83025782562841,29.03625973137189,12.40080848493755,6.07550727209501
2017-03-02 23:39:25.000,54.73074992000175,58.05301798208064,50.58335174790299,50.77173613605745,53.2093478871544,
2017-04-15 20:24:33.000,25.88474466114398,33.39673492475893,32.046960782236745,28.105345562644168,22.069081791900164,20.466814975878428
2017-04-19 19:30:11.000,33.26304629165487,37.31610443527808,37.1510802090359,35.52344373271484,20.616941727840928,12.753031399112068
2017-05-07 20:17:15.000,44.48658628085636,48.13450431568681,36.04639552165099,33.701010953019065,27.930055152674708,
2017-05-18 20:25:28.000,34.90842677584681,43.47976756349066,34.752951595881186,33.401864937368735,30.982476931869147,30.38492552288489
2017-05-25 20:18:51.000,36.815949228638274,41.4306866212268,31.876800933180192,27.02031214506217,21.61040921161088,19.84274844898176
2017-05-25 20:18:52.000,37.333932806717584,42.320515886936015,32.24959532067702,31.3475365932146,,
2017-05-31 01:54:05.000,43.31438504288718,45.486658055271725,33.927858441961185,32.18629161682395,28.659536922854343,27.47711153031876
2017-06-11 20:19:49.000,44.47531687906689,45.38229895214651,32.53578381186865,29.96029495914449,24.062109261541053,22.26959268880851
2017-06-27 01:00:11.000,42.9087538854666,45.767751926307696,37.92988052538327,35.00145202592867,30.15641139747236,27.50981648577202
2017-07-14 20:25:47.000,44.547722095760086,47.26168420776473,34.79246747787037,31.5786837522439,26.62203692227128,23.68690554576077
2017-07-16 20:21:16.000,,,,,47.844840991895865,37.42050486816325
2017-07-23 20:21:44.000,42.93602401022856,45.44476849470273,33.37466928577166,30.37288368414155,24.07998063340749,24.14330832166608
2017-07-27 02:54:32.000,43.322163861295486,44.637179029545614,31.920606696307544,28.44077739407542,22.71818688437053,19.301332608574103
2017-07-30 20:19:51.000,44.07478595265541,49.27363527379988,39.22658947436802,37.780773466175376,34.785783897444574,35.336855299754454
2017-08-09 20:23:11.000,37.51473665147496,38.89903280219343,27.72055619833224,24.817492829996315,19.31323085430089,20.59657826108788
2017-08-12 20:21:58.000,41.826172585398254,43.847642337227775,30.11784587616925,27.13236737868832,21.68528837857678,21.473798604856743
2017-08-16 20:27:56.000,41.28458039852933,43.95907862873226,33.66011280525882,31.271856651623224,28.018631440969475,27.7850198909776
2017-08-19 21:43:59.000,,52.48920796583928,42.79664447336015,42.18953250022939,38.09039990688111,35.521722675205595
2017-08-20 20:23:16.000,42.11047811563815,41.13276377507722,30.4131609666982,27.83825238253057,19.30457315013863,13.12733948332157
2017-08-26 20:23:53.000,42.60848794917676,41.74979688327916,27.348408849522222,24.8195021919762,20.09110231425969,18.28903355083964
2017-08-28 20:23:40.000,37.94927845712765,40.56420611021176,29.388164601881904,26.74257158406193,20.38311590642852,18.893758724052034
2017-08-29 20:25:03.000,42.624392834117806,42.11440338746131,29.59998879372532,25.76456105449875,19.54866785508269,15.966137986923064
2017-08-30 20:24:00.000,42.74030578764445,41.65519091798536,28.86655833970097,25.539713353329056,20.630246931689648,14.703193575037124
2017-08-31 21:41:36.000,44.60706330431757,45.88401465755903,35.243508839267655,33.05672357376773,28.112671649551825,24.79103992061604
2017-09-03 20:23:24.000,40.986056240327,42.78412144490789,30.657043263021453,31.27114032219644,26.023301638951235,17.645060022000553
2017-09-05 20:23:29.000,38.94084240190882,41.88461946210836,30.375269636743525,27.15766111102285,20.27968185444487,17.24774155535726
2017-09-07 21:40:22.000,42.37619282905292,48.10505948728403,44.50508204901174,42.885590978966,36.101848244844,29.47147658655979
2017-09-12 20:24:54.000,39.11326193980554,42.97330754207384,36.83883475366813,35.08377042301332,25.03554186862594,20.290500036489068
2017-09-14 20:22:27.000,38.64668976461717,43.53154251864324,31.59450354710556,25.477372436540392,19.19338402349168,15.530085230203232
2017-09-14 20:25:18.000,40.75903108812684,43.85618608284992,32.536720024148195,29.278950617678674,24.7918079877262,22.878481534571904
2017-09-16 21:39:24.000,,,,30.42888414373529,26.08844877608872,24.245341990344023
2017-09-18 21:39:44.000,45.299833973166194,49.146020521039816,37.406334174985496,34.193203364451115,29.44740273176304,27.929310300957344
2017-09-22 20:25:19.000,53.50716155995978,41.62955449827815,30.67474540293632,28.39930390964133,20.87399161186841,18.237322800240065
2017-09-23 20:26:25.000,52.06753124764988,56.97009851647507,49.499669229114296,47.34568345587408,37.66190292170807,28.984016650148984
2017-09-28 20:25:29.000,36.875986879517846,40.96689698515777,35.09766409061749,33.02871317662485,20.623558531212105,17.28321570406333
2017-09-30 20:29:29.000,43.37496720797043,47.41327043312472,36.960028933222674,32.81368580564201,25.27462500806924,20.68134729665177
2017-10-03 20:26:06.000,35.33429348892341,39.35514188964905,32.12217224980635,28.138835556195257,24.05282975384672,18.24250609086157
2017-10-08 20:24:40.000,38.501179438456575,41.74550904853886,30.15857324012005,24.82071125272577,13.98945485541932,15.12392569042273
2017-10-09 20:24:24.000,37.85405858722025,42.46184678821975,29.431762100405848,23.55596149141989,17.11714687412891,14.361051821702455
2017-10-10 19:59:00.000,37.9413985105513,41.25809168217907,28.572528487267707,22.037416896229384,2.8614369358413407,3.39897836263514
2017-10-22 20:26:32.000,29.136178753064183,41.9446422876586,34.20500302526232,27.612627195600915,15.093889748810838,0.186170368915391
2017-10-26 20:26:15.000,29.54476881611758,34.41791688103945,32.91240096596086,33.820596051297,32.053498402272886,
2017-10-26 20:26:16.000,29.61510350542541,35.459438333483504,35.10993044785576,34.35715716047164,31.896671673392724,29.542126610121816
2017-11-02 20:26:21.000,34.4058055522261,38.02264029500459,38.16921535554869,37.96180740091381,32.641389461350734,25.30160943892367
2017-11-06 18:36:56.000,23.50649883589256,35.52870033169785,30.395635346531805,18.707539040170285,5.44253071608062,4.977273627546857
2017-11-17 21:28:30.000,42.776661249056176,48.37304976932661,38.90747125521928,38.688687579301565,30.899641929345155,25.2910441253218
2017-11-18 21:30:51.000,38.73908445140874,44.31450579942697,32.212280218514046,26.774124995806368,16.73595753904224,14.271866988427687
2017-11-21 21:29:47.000,,,20.963994949555328,25.52704003892624,17.771174634691334,15.86201850916759
2017-11-21 21:29:48.000,,,18.7221381565728,21.832799502735053,16.370306504576195,18.462857521602924
2017-11-24 20:27:15.000,60.32439003999174,52.41748043072658,,,,
2017-11-29 20:26:13.000,32.919115148109235,36.87705453778696,34.97935569640746,34.90152803916964,22.33844044436035,12.139271275605669
2017-12-06 21:27:45.000,24.62593121224802,31.91296820815503,26.19090397042064,24.31405199434494,14.695421699730051,17.97412823081342
2017-12-07 20:27:33.000,30.96257048494753,35.2173074938357,31.95662382501644,32.55373365178957,27.235636599529943,20.21753068739768
2017-12-07 21:27:35.100,56.48524689061569,69.30479468880652,,,,
2017-12-08 20:27:08.000,64.11354470787505,,,33.51008282478005,16.502549680108938,6.837028106050213
2017-12-08 21:27:43.000,45.25922864218378,39.80305005315144,39.92480039376766,39.46400949489923,34.19917017664132,23.539886900200493
2017-12-09 20:28:03.000,31.94948607695062,36.18149046031744,36.074086350364816,35.241877831225246,17.71983907801968,7.1868184562750725
2017-12-16 20:27:47.000,28.175740855174887,35.765656764064886,32.80607341989176,29.00521921830836,12.834404124886571,7.6579139558979294
2017-12-16 21:26:44.100,28.09274654643163,37.799553004908574,28.89034211328621,25.39948571159784,13.175558963723203,7.239413910904158
2017-12-17 20:28:43.000,46.661993123602805,46.73370173359981,41.85086734325896,,,
2017-12-18 20:28:42.000,20.92363837457017,31.47773507859993,29.95693600633536,25.107049632671696,8.798289312535273,2.832831657491803
2017-12-21 20:27:56.000,29.117384797261856,40.33045753270441,35.19553731063347,31.550607405338724,12.912133329944837,8.721844194082994
2017-12-25 20:28:45.000,25.818536881396746,33.94080149610305,28.29471463749343,23.492632234483985,15.377895953133969,2.35114660421525
2017-12-25 20:28:46.000,28.680470280634417,36.061537137187344,30.21627306277744,25.3689693814708,4.492679010859155,3.9707447190657534
2018-01-03 20:26:44.000,38.27171886394439,39.368154694584646,32.970108893686664,27.56983753910763,20.18057833646418,
2018-01-03 21:22:35.000,33.33762268583546,39.3727561061521,41.00838689423959,39.47826802163404,23.181092494496617,5.022279825112612
2018-01-08 21:21:22.000,,,,31.505297268211525,24.90018221980997,15.364480403706734
2018-01-09 20:30:12.000,,23.66707529209941,14.317815245743814,11.477347492327592,35.609182391622184,45.42296702050731
2018-01-11 20:29:11.000,53.45099126048357,,,39.90255133478957,30.48387940548544,16.945936894803665
2018-01-11 21:21:00.000,,42.32132675610199,33.537004556642806,33.59794656015122,29.641684431075664,22.069366227726672
2018-01-12 20:29:35.000,46.42107024355498,33.60608270029666,34.89142162694435,34.45654754400985,24.77812927547569,12.340022431628048
2018-01-14 21:20:40.000,,,,,33.530192149378294,21.92159096015181
2018-01-15 20:29:06.000,65.0403862452802,,,29.11025604226664,27.65834394800204,6.552146600081981
2018-01-15 21:21:20.000,28.18473110075437,39.49093638482842,41.78477437529604,40.23169567214206,36.76760159021578,32.450016662133365
2018-01-16 20:29:11.000,18.42317684918501,22.33998273022397,29.301418994094607,26.367481359041225,15.706425534077749,12.907049244110794
2018-01-16 21:20:44.000,34.374471868318714,37.51514222102708,37.06810316656045,38.67252079245262,36.92083233700876,35.53713366038295
2018-01-22 20:30:17.000,29.700225034251723,40.54687781046932,34.061431929998186,29.00530091448004,14.890764920334457,5.774567117882699
2018-01-23 20:29:17.000,27.804768461615826,34.62615819706523,34.023648364911445,32.02773425009518,15.39049788140345,6.205344837399956
2018-01-27 20:30:11.000,28.884679686269223,37.77359868495418,34.5109284169519,29.60035530335528,15.0936160013232,13.898417893172752
2018-02-06 20:30:05.000,27.855938550581165,34.16400026744803,26.756344378611765,22.78406070214931,,
2018-02-06 20:30:06.000,31.97757843579136,35.23831163103378,26.818333779466187,21.22072581387345,,
2018-02-06 21:17:58.000,28.46698813006244,37.33503818669279,35.1543822002798,34.736328974656075,28.804758817279424,21.50111061043332
2018-02-08 20:30:43.000,33.313995245297185,37.87468058096067,37.52466723588169,34.038731853351614,21.54392355616578,12.75103656056392
2018-02-08 21:17:19.000,31.37039653104637,38.60875460700828,35.95373098556185,36.041055034840525,29.32634012985252,22.276075517257205
2018-02-12 20:30:43.000,26.58813706031318,33.45004898938279,31.6949518335078,30.62036145947533,21.199864420005223,18.796687967452904
2018-02-19 20:31:02.000,39.0441662472289,38.92210363237886,35.904154944710854,33.738496838677136,20.842170644219262,22.578773492057696
2018-02-19 21:16:26.000,39.95923699713772,36.40858825327409,34.82081469160492,33.27364427858638,23.66232540666724,16.566201509957214
2018-02-19 21:16:26.100,31.806636034168346,34.58358159362804,35.45733357210073,33.67541907179727,23.645766999093045,15.360823382551724
2018-03-27 21:10:31.000,40.40012046209599,44.26986845947547,35.50125235275093,32.51480594657984,22.90447345169024,17.715512290823174
2018-03-27 21:10:32.000,39.86783721413219,44.26992750604072,34.97490110681367,32.33737111368524,23.89813330736217,21.148098542827483
2018-03-30 21:10:32.000,55.7600050633723,58.95920830186629,46.60170377809434,44.41483960725197,41.31599456644887,
2018-06-17 20:59:08.000,42.53795338759349,44.40413588364723,40.48567085492594,38.536140196082016,27.668696596877524,21.809406220132395
2018-06-18 20:58:33.000,42.83848111039691,46.11743090736887,40.48398890641983,39.57816007939158,28.73687799689588,24.77468726380973
2018-06-29 20:56:26.000,42.28754786981753,45.28547183036793,35.65532054139115,34.75329235806071,28.28812317912849,23.552846506639465
2018-06-29 20:56:27.000,43.71302723695209,46.08191728843892,36.064099209156055,34.44685063557753,26.864898441230213,23.464043154297627
2018-07-02 20:35:46.000,41.78601072470615,46.948724880300105,36.42514285890442,34.954734505010634,26.7437470384029,25.190894016485505
2018-07-02 20:56:42.000,45.96836056263958,48.76166787919014,37.58428604471842,35.3460465744185,25.99569632834024,22.97681533063317
2018-07-05 20:35:48.000,46.64555705059647,48.41351279672419,36.85342925295556,34.962643752983595,29.02288367723721,23.632231283115583
2018-07-10 20:36:37.000,56.520871365182735,57.4010818762384,46.34405415473129,45.27825692487461,39.62530964117976,33.79547153978532
2018-07-10 20:36:38.000,56.32598609928222,56.93570408645847,45.45432675554446,44.31333900143122,39.15103112502619,33.78342701776772
2018-07-16 20:33:32.000,48.5976135739826,47.550593763597846,35.66747180777226,33.97243508175886,25.87946831908024,22.670433221275964
2018-07-31 20:37:18.000,47.17655459377088,47.52792807427125,35.405501762843734,33.87699990905459,27.6375782797226,24.46263355737109
2018-08-13 20:37:38.000,49.238939572203215,49.30542719486779,36.932630382677054,34.48379102543904,27.453704133472485,25.50200390393774
