dates,oahuoahu0046_0001,oahuoahu0046_0002,oahuoahu0046_0003,oahuoahu0046_0004,oahuoahu0046_0005,oahuoahu0046_0006,oahuoahu0046_0007,oahuoahu0046_0008,oahuoahu0046_0009,oahuoahu0046_0010,oahuoahu0046_0011,oahuoahu0046_0012,oahuoahu0046_0013,oahuoahu0046_0014,oahuoahu0046_0015,oahuoahu0046_0016,oahuoahu0046_0017,oahuoahu0046_0018,oahuoahu0046_0019,oahuoahu0046_0020,oahuoahu0046_0021,oahuoahu0046_0022,oahuoahu0046_0023,oahuoahu0046_0024,oahuoahu0046_0025,oahuoahu0046_0026,oahuoahu0046_0027,oahuoahu0046_0028,oahuoahu0046_0029,oahuoahu0046_0030,oahuoahu0046_0031,oahuoahu0046_0032,oahuoahu0046_0033,oahuoahu0046_0034,oahuoahu0046_0035,oahuoahu0046_0036,oahuoahu0046_0037,oahuoahu0046_0038,oahuoahu0046_0039,oahuoahu0046_0040,oahuoahu0046_0041,oahuoahu0046_0042,oahuoahu0046_0043,oahuoahu0046_0044,oahuoahu0046_0045,oahuoahu0046_0046,oahuoahu0046_0047,oahuoahu0046_0048,oahuoahu0046_0049,oahuoahu0046_0050,oahuoahu0046_0051,oahuoahu0046_0052,oahuoahu0046_0053,oahuoahu0046_0054,oahuoahu0046_0055,oahuoahu0046_0056,oahuoahu0046_0057,oahuoahu0046_0058,oahuoahu0046_0059,oahuoahu0046_0060,oahuoahu0046_0061,oahuoahu0046_0062,oahuoahu0046_0063,oahuoahu0046_0064,oahuoahu0046_0065,oahuoahu0046_0066,oahuoahu0046_0067,oahuoahu0046_0068,oahuoahu0046_0069,oahuoahu0046_0070,oahuoahu0046_0071
2017-01-01 20:19:46.000,5.3322721556333805,18.573239161534747,25.16288646486348,22.263231131385965,17.542792614422325,17.214009678255316,,,9.375483834561969,5.6239163156411225,13.116437619595027,12.680628944987577,11.579891456660398,9.966834756162417,9.586603943572888,16.032187214459015,,34.37011197613481,40.25096624958746,38.2179304779286,33.43668903392763,37.5381265708718,38.03724487705643,33.469538023724674,32.4707190134759,32.87343446962475,26.92775849773504,25.36056289145464,24.50644053876611,23.35583068187206,21.318410798373183,19.88225655169067,23.150255412978133,25.76477528135176,26.3057558739826,26.56576308148964,26.56950774227733,28.19585698941164,28.50463163968212,26.49216485401793,29.8689443063661,29.13687827573589,28.76107066793804,31.14946991094973,33.43949299864381,34.633359403272785,32.60848663933895,29.5059811998132,23.191446583117266,25.53393027717907,27.38501829598003,30.56465117838625,29.59067869219875,25.345791198699903,26.319843893741066,31.624829565534363,34.90758429949746,31.249696425514102,20.942220772537432,15.211411942634207,14.636607508528932,-6.260915287664632,-7.288154065352653,-11.953118402766377,-13.16185520400925,-16.674177374865813,-14.946894863423209,-17.96006623573229,,,
2017-02-18 19:26:46.000,-9.921709414325978,3.363712863737166,21.4392374019172,16.95184002696615,19.81986985383044,23.923099280498658,26.3203129952362,21.69801888281157,19.467544351110803,,-9.082073115824718,3.6316936531121504,4.009996308158325,5.001023919118292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-18 19:26:47.000,-7.99392360545478,4.323875842928706,22.17263943978384,17.578934773331934,20.23732132096867,24.669543596360004,28.429919823126287,23.457252679447308,21.52692809938588,,-9.419265093809774,0.7956657748690695,6.894451187642302,7.114459873053599,11.697165731631292,11.761799545553698,10.683754840691604,11.769081702328412,14.41356967274015,12.220282944895445,11.389559583055652,20.481591057262417,18.26540208686185,13.070334606455766,14.041433803388946,13.459694848008224,15.70138764694851,20.884940824938493,26.594228950002428,27.63528926518772,27.746670654875697,24.979299771870203,26.568565804003548,28.49983341336613,28.41835880720493,27.39168117259428,30.20802554023575,29.041369137270227,31.23108357908575,27.036104452426184,27.34724160802548,25.54788440189705,-5.56020031083259,,,,,,,,,,,,,,,0.3399737702329816,,12.326409971615872,-10.152414468015778,-16.177290993059874,-20.034602061341023,,,,,,,,
2017-03-14 20:21:05.000,14.923724688212012,26.689899582432982,29.70413449037656,35.441970467463776,36.551538425517634,34.549141408319315,34.33385470101686,32.720418889947936,31.936740616437,24.75502765093321,20.08646161967877,33.614539796091414,36.52937908779696,20.29023919035089,23.30608268492573,18.50973304047286,16.18252461164027,20.787773629829708,22.81861328215534,23.14808096800436,22.044457305434538,25.89409234476696,24.62417759780584,19.195179341068545,20.875015409012377,22.76353539913337,24.84448632080065,24.882329776435,29.87220139230962,30.532133481547667,33.09135111648062,34.1145542987472,34.90861403315105,35.82795251041551,34.44439396792822,32.549363609882704,30.839992094623348,33.64687626832426,38.49325009578413,39.98238007925289,44.17430710337366,36.61625737144458,35.07400493770001,37.26639464370454,36.25138173296671,35.67194926269861,33.44051718978487,33.03017180024228,35.182313580680926,42.74553540961114,41.50794376789364,36.39629801985481,37.24280610108657,35.451880276836434,39.81845690631753,46.13926988099896,44.146857147047285,42.70086046104733,36.68662534940289,31.975032133051585,33.76915544566449,29.10450506452343,28.00617432502805,24.992606169724304,15.166925104850506,18.75724049927789,17.25081101706415,3.0160029626679483,15.824474524630162,18.97149020991661,22.09765464967045
2017-03-14 20:21:06.000,15.73216141485633,28.92866053819302,33.388965055757616,34.94730095797047,35.01398382774506,33.46314727322509,35.64104702507304,32.287303821393785,31.630997813912213,25.874339661388543,20.10486492984426,33.51688771316104,34.852712682278046,22.54055718478755,24.301245862382626,19.002399818093743,18.229168055817613,20.70787321938468,23.503537944328546,23.81048383455852,21.830672276326226,27.217443389280245,24.65848087214476,21.059768520522727,21.704510304031032,22.5570075726367,25.698826743807206,28.1308304519664,30.27518006917104,31.89562346970828,35.79553647153423,36.0873623092817,34.92988696293497,35.65642185101853,34.30406402162746,32.565213098607984,31.44974770885999,33.50345555069624,39.39809974667478,40.82000668984875,44.287470348847606,36.72786250552297,34.693616223698506,36.87877565449129,36.51177649575829,36.02961248896712,34.32224870694499,32.74354919348683,34.93209616173193,43.130195040251095,41.77001254452882,36.51958483604551,36.01043528595472,36.59514689878665,40.46964746539304,46.173675996902695,43.65816047165314,41.87262284804648,37.58493095784465,35.03403264533837,33.78627740669826,28.53106845226967,27.10127641487232,23.74911539751351,14.597143185033042,17.889908416135082,16.18278175502019,7.055591675407493,16.892889028657212,21.848951375345344,21.7873949915291
2017-03-22 20:22:21.000,18.045030612576152,28.38916356538627,,,38.87094649768683,39.89279625072735,43.52166787765752,34.75360496269167,36.00023195402009,31.643174806180383,25.324450867468336,26.200931474006225,32.23545760594462,21.4760480703466,23.604191177554604,21.68242527602129,17.810016261980287,19.927745188706417,24.652541106442648,20.45554416057416,17.30187993387237,21.47507025330298,20.78795979978328,22.118673982688044,24.88185377413045,23.69590689704636,20.880159028691715,21.97446834874058,27.895492552238693,27.5675680677412,30.182740534964136,31.925910360540307,33.03104857515137,33.42069745617337,34.65798668404633,33.22198913685838,28.77571633774241,33.24807906670831,37.74038195144607,40.16711379128044,38.53593917319032,35.55945174738192,36.508675134312384,37.72440697118381,36.8106209765045,34.65897824647956,35.33235972059872,33.47339333457662,36.33502971878334,40.74209881560724,46.28869225475508,38.1163778374632,39.61921258645408,41.76935351252576,41.40100518828357,45.88837069809831,41.81753009459068,34.7132075671712,26.97451458212816,25.129681929681496,31.7775080762274,24.13305039665068,24.33743050212985,20.1884160095058,10.477811022064854,10.948367194354743,14.54290571439472,15.514272308927923,19.277459803462698,25.45507786543204,27.71837946051692
2017-04-07 23:37:33.000,,,,,,,,,29.614363548981263,42.51433447907544,45.69119731086603,17.230240551868615,,,,,21.92933484707416,29.673881536599826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4386261767772,14.05398372952818,11.579141724217,12.901255058442269,17.877726176345707,21.25465009766889,26.87681421447287
2017-04-13 21:49:27.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.36585051560844,44.76416998603993,40.09338944815952,42.02105358353765,41.491046938606,44.72764545877048,45.02569915564917,44.81429417385914,39.47579213196532,29.00781365745877,25.75752073774291,31.02124599865736,33.15574659451064,27.190056630254585,13.774979696436722,-12.573036883597007,,,-11.96035332998808,-12.132116599384345,,,,,,,,
2017-06-04 20:24:29.000,,,,,,,,,,,,,24.17873172482576,20.139979316045387,27.86528793985143,35.7916027933446,,,,,,,,,,,30.37071708154971,30.65246143376969,30.324893817029352,34.37635311183686,32.13911146449656,28.27664454473836,31.0188850625096,33.25259858493209,35.865457288060945,40.81148931635695,43.257807770823895,42.18163673606223,44.45947675085532,,,,,,,,,,,,,,33.005984403311544,30.483440012778,33.47871915409644,39.65918698839364,40.92237600621907,38.39880236005847,31.961703008080857,,28.4520791770228,21.304102181149364,18.01766926547812,20.29957003859487,14.02950490491176,8.794004741115453,10.443036253520898,4.871973962092516,13.690146140861724,23.234293013327527,21.91391594629193
2017-06-21 17:04:44.000,,,,,,,,,,,,,,,36.57841183245945,44.12870484061496,47.97825082465744,56.6382656775066,55.66284647937613,51.84863123402255,51.05884558040563,57.37728848184477,52.916246131522456,48.867117572214056,45.55106433714231,45.63626776531974,41.7739351516348,43.42547288282695,48.10918791714533,50.04806436138996,49.02741476675543,45.48360370214103,50.35245511710924,,,,,,,48.93225389438622,47.37236517301776,47.35026569048573,45.51602087295318,36.16724794218552,22.219933260462945,-0.7137931107571482,12.08132856894482,-5.038129875493144,2.832423744072802,,,,,,-6.758788814258068,25.13786459402313,,,,,,,,,,,,,,,
