dates,oahuoahu0078_0001,oahuoahu0078_0002,oahuoahu0078_0003,oahuoahu0078_0004,oahuoahu0078_0005,oahuoahu0078_0006,oahuoahu0078_0007,oahuoahu0078_0008,oahuoahu0078_0009,oahuoahu0078_0010,oahuoahu0078_0011,oahuoahu0078_0012,oahuoahu0078_0013,oahuoahu0078_0014,oahuoahu0078_0015,oahuoahu0078_0016,oahuoahu0078_0017,oahuoahu0078_0018,oahuoahu0078_0019,oahuoahu0078_0020,oahuoahu0078_0021,oahuoahu0078_0022,oahuoahu0078_0023,oahuoahu0078_0024,oahuoahu0078_0025,oahuoahu0078_0026,oahuoahu0078_0027,oahuoahu0078_0028,oahuoahu0078_0029,oahuoahu0078_0030,oahuoahu0078_0031,oahuoahu0078_0032,oahuoahu0078_0033,oahuoahu0078_0034,oahuoahu0078_0035,oahuoahu0078_0036,oahuoahu0078_0037
2017-01-01 00:13:54.100,4.665474255007639,2.855408830261904,3.535482818023035,4.305776646307586,0.2507871398064856,2.175196360524448,12.564472270169537,30.631713281862144,29.700123622113413,28.2154287967297,19.26593780898419,16.638194036499037,15.011760763872404,14.858740013468916,12.416898017482756,11.176948981904172,9.103569430024464,9.991339625163157,10.460533104589294,11.149829509333918,22.30840340634301,25.457370039287344,12.62707042655615,6.237797726657612,7.0679172473311205,13.195453806253932,8.525988458926205,6.327363212099412,6.963071833877764,7.228476917753688,8.38850718032257,7.483714093651331,11.046960061252532,5.035260236381132,2.665576983957892,4.853586706753956,1.3926628878338725
2017-01-05 20:19:29.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.10056017801915,2.806933437502962,3.9523238659762288,
2017-01-15 18:16:30.000,4.602367948448817,3.4835630011552388,2.368447420189545,4.453315785193648,,,8.815280530874455,9.681515579221198,17.057636687092305,17.484673592094854,13.056779052887151,8.128914561388862,11.27258409519965,7.94646387326705,5.5630863876334615,3.4260306769465574,2.284487719237773,5.341315911637253,2.229752488130086,3.1728600580568145,14.531255252336663,6.089526319722002,3.78605305894412,16.451484632637822,8.628714606836775,,,,,,,,,,,,
2017-01-30 02:52:03.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5218184811809
2017-01-30 02:52:04.000,1.4951658508065984,1.0228584524410376,1.0508928094102166,,,3.351183968008561,12.8179498077054,32.63533096589585,30.17010463341668,28.281506169830323,21.59819252566021,17.246444204989043,17.958820217432983,14.23949556161772,12.318097195717264,13.941942770841704,8.360059601940991,10.050324971600384,10.472747636566329,8.285492931592062,18.833685528772136,25.44493269289812,13.032248900001049,6.573053059584222,3.445006020617002,9.774037124364654,11.894918260525197,10.588505899192937,7.83134339103621,5.498561058486286,7.394129121840628,8.420799993424056,7.97910914293458,0.0348293344966379,,,
2017-02-16 20:21:21.000,6.529442813269476,3.873708327427731,2.12574615230212,1.634133244234731,1.0935535209021805,1.6502194151250635,11.021910942887896,31.3836029484094,29.484073096777163,27.023215183523405,17.53212217902889,12.589541653344194,14.541368723956776,12.55487333724586,11.026796954473136,10.4259226910862,8.459286728002917,7.2232865767829555,8.414069901263122,10.785095898814657,18.95851268564928,23.0372766969074,11.803001969870554,5.596459923502294,6.5811763746533245,9.08800558772514,9.043822719631178,5.706703880050012,5.750184017360195,6.060277398743578,5.67500703838049,4.883702988207285,7.883042552943399,5.13634356928389,4.293830064447163,3.182837754562654,
2017-02-17 19:21:43.000,5.346321668092864,4.767171466799656,3.655030341941431,3.686225984863244,1.306046981390958,3.466513157011748,12.549404840032777,30.422153660626748,29.57432263042389,26.107877900288408,17.94960874799578,16.2206370292898,14.680601269629934,12.781823312183018,12.48274202104968,10.2906185229062,7.056024933732042,7.5677211487540195,,,,,,,,,,,,,,,,,,,
2017-02-18 19:26:43.200,6.6922852299176565,4.798892233714633,3.686751108856408,2.6464991017125667,0.0548227804672614,3.1582843649576327,9.05829236621458,30.453874427541724,28.647101735434973,24.787772652387936,17.981329514910755,15.249394966400352,14.071085873158372,13.865497553318704,12.39184946478506,9.301135389026689,9.255259189889465,7.903416358135897,8.62528527211154,11.880051092148117,21.189932789192287,22.183209125712374,11.132574059893004,3.0970600092898994,4.030919662054724,1.516111511510032,3.264070746048991,3.1220871315038417,4.565379880839455,5.685112971920239,7.55770192418629,5.207425430844361,4.48197783579782,1.0440420551022684,,-0.0587633377880035,
2017-02-20 18:08:42.000,9.060315440171507,4.913794438511119,4.347878203204872,4.330421015760088,2.945459814607569,3.10967574114958,12.203050840771589,30.56877663233821,29.09838210404209,25.59947155846787,16.45218355923559,14.17784976264341,14.79370535271378,11.183532618232412,10.6569558579123,9.385988407490794,8.84190750502185,8.09665672686797,10.39759645506536,14.51698424596646,19.2216414038172,23.384065058493185,10.699988405367067,3.859976842035166,4.112339572361468,,7.15643919033669,6.302983537618214,4.770201265299858,5.5531046353063145,8.056693911151855,9.170224557356171,12.130600773778486,10.050243888915002,4.06309854665654,5.221326327946279,
2017-03-07 20:22:41.000,10.322889383945,10.85805623462026,10.620662169399209,9.46014134806884,5.836112565404473,9.085772290487332,18.667088239802258,37.45506830553958,35.97022409773794,31.60719763204597,24.81808851618222,22.98195798713612,20.93691319598698,19.43319104224948,18.282842638442027,16.182014209520585,13.18730997251578,12.723605885732953,15.903010043508678,21.08793148591187,30.14192063592139,33.9709081541737,20.71474401381691,16.266183017311754,17.52954960464069,35.516111801066984,,,,,38.914427865961386,32.32683894471283,,23.13419526351849,,22.41422271353454,9.999716139261691
