dates,oahuoahu0082_0001,oahuoahu0082_0002,oahuoahu0082_0003,oahuoahu0082_0004,oahuoahu0082_0005
2017-02-16 20:21:21.000,29.20228081895553,25.482085203523887,29.766230275123643,11.563826455195098,1.0769332809260492
2017-02-18 19:26:43.000,30.646837199757314,25.379421058775915,29.34384278346471,11.92538707488196,
2017-02-20 18:08:42.000,31.99334043268577,26.330704880666257,31.43822147203539,13.724480071501814,4.654568404752686
2017-03-07 20:22:41.000,30.6390268749824,26.01741177355192,32.366992412286095,15.155581493270594,4.616347581190424
2017-03-07 20:22:42.000,29.039500708126305,26.00798946530984,29.658973596038507,13.036636924381508,3.886126333805495
2017-03-13 19:16:21.000,30.60521926141104,26.16140993955556,30.55853310412834,12.483746237297034,3.3331482424058247
2017-03-22 20:22:25.000,31.92482996646472,28.915912478914848,35.91369481664285,16.624865874235333,7.4892041042353155
2017-03-26 20:23:10.000,,,,13.16374974329547,4.2930005671786695
2017-05-02 00:12:35.000,25.51939501340544,22.474757747133992,28.369068656341938,9.636315416411987,1.1100563078102788
2017-05-19 17:04:27.000,,21.38451826481728,25.5246342294113,6.635245158993857,
2017-06-06 20:18:49.000,31.35353115655484,27.55271392487495,32.025037585549605,13.719569789213033,1.4638713006642416
2017-06-20 03:42:16.000,26.152276631631704,24.434428703883995,29.870052780052696,11.110286522534492,
2017-06-21 17:26:44.000,24.405089044847458,24.2176282041176,29.725975574773774,11.572975737123592,
2017-06-22 02:53:58.000,26.333426682623564,23.92717947030125,27.059274861103702,7.3058415295469565,
2017-06-27 00:39:40.000,29.52461804401897,26.895730388285383,31.70083908120137,14.808161602098686,2.991683937911609
2017-06-28 20:19:14.000,27.640244559601832,25.00500684993886,31.451542463108524,13.001966973466407,3.613380510489304
2017-06-28 20:24:50.000,28.71635291089728,25.634429694252777,31.30225086515394,14.945899360605088,3.6045309560160863
2017-07-03 20:19:37.000,29.752046208346773,26.76752820136968,33.12067442662206,17.11733829353776,6.481844063663008
2017-07-03 20:19:38.000,30.108128803945043,27.40216339667056,33.08787265129961,16.965436794717068,5.979572632464097
2017-07-09 19:39:53.000,27.390331811538896,27.323636628327392,31.37508604855775,14.579922590889886,5.153214745182511
2017-07-10 20:21:57.000,28.07201583036052,27.48219029675857,33.669887626663574,15.25728579309281,5.311768413613691
2017-07-14 20:25:52.000,27.198435686442245,25.352260820606027,31.42836722353416,12.898738574832072,3.960634481156473
2017-07-16 20:20:16.000,24.462644548399247,23.464421370708976,29.78198344242141,11.002391626819357,2.0997199313852626
2017-07-21 20:26:05.000,29.917487636746284,29.36753572784537,34.788739624839785,16.700470292260327,7.948984488269984
2017-07-25 20:24:30.000,29.19414708371428,27.59614647577879,33.83435870792775,15.381986412700927,6.135280497810771
2017-07-25 20:24:31.000,30.13705807386615,27.74857543366581,33.624151107077616,15.379124815558969,6.123978742969922
2017-07-26 03:12:06.100,21.50099752291625,19.632944794840384,25.323507358183896,6.588262070169182,
2017-07-27 03:14:00.000,27.852644118534613,24.37579226189815,31.20604967366217,13.887455556903577,3.784751123723301
2017-08-07 20:22:36.000,34.0859048973628,31.276294772849685,36.02007093181615,21.128703528785312,10.490405110552093
2017-08-08 20:20:39.000,24.758385081360423,24.873764954847395,30.22087999178629,11.94699138904777,
2017-08-08 20:24:54.000,27.844960850408786,26.149946954340592,31.841666322207328,15.155923281041776,3.527672501394073
2017-08-11 20:27:01.000,26.928570002057977,25.155956422745778,29.452752098425584,12.963259584972578,1.8003983232654628
2017-08-12 21:44:25.000,28.976008371665586,25.70725107775057,32.382280752619,14.278894982754736,6.155437246301919
2017-08-15 21:44:10.000,25.01037836505741,21.21907350357436,28.250381550705804,11.657858700851738,
2017-08-15 21:44:11.000,26.21001733767053,24.2473691398311,30.44657409273193,11.68454630007464,2.8947964884720903
2017-08-18 20:21:03.000,24.729140405038866,24.032878802633768,29.52538372453157,13.15518012607252,
2017-08-19 20:22:45.000,26.395340569818984,26.511168171444123,32.56306757706943,14.032969456284672,3.2798016351312294
2017-08-20 20:22:05.000,28.756378487577702,,,,
2017-08-23 20:23:23.000,28.525723553472783,27.30016200849377,33.36018136684542,15.645813345663374,3.524888727703683
2017-08-26 20:23:18.000,25.79241901694794,25.90824661857308,32.12208735639154,14.80016679572598,4.516620279123524
2017-08-26 20:23:58.000,24.811114779793183,22.86671038223287,29.168000801989063,10.097328253418883,0.8286914020192182
2017-08-30 20:23:04.000,24.0086903653514,21.085106611599667,27.41413718537123,10.693291382356328,
2017-08-31 20:23:19.000,28.13577317766811,26.99384600299917,33.20495966631958,15.220948492822648,5.611104397068477
2017-08-31 21:41:32.000,23.56570131147758,21.44783529067965,29.883185662627884,11.676477102191278,
2017-09-01 20:21:16.000,14.878269916973911,14.503274202006123,19.65886345737419,5.49788773393861,
2017-09-03 20:23:29.000,26.3739075741798,24.803210417203392,32.54163458143025,15.381655352957836,5.098108836355383
2017-09-03 20:56:05.000,26.79492329446057,26.91075089608571,32.96265030171102,14.43255218092626,2.505598973487872
2017-09-06 20:24:24.000,28.122722292423536,25.499757027935683,31.59945140693537,13.16477680664246,0.9089374384545807
2017-09-07 21:40:17.000,31.35405985495936,26.82716581252236,33.17176355437228,18.613210162112484,10.57375887966131
