dates,oahuoahu0067_0001,oahuoahu0067_0002,oahuoahu0067_0003,oahuoahu0067_0004,oahuoahu0067_0005,oahuoahu0067_0006,oahuoahu0067_0007,oahuoahu0067_0008
2017-01-01 00:13:17.100,10.614081996850212,11.303414947107465,23.82146048631969,35.20481145876293,42.73067903408528,48.59818497252463,51.75740868614304,52.67375688344152
2017-01-01 00:13:56.000,13.549667422116196,13.119316146112824,26.90014977222273,37.83093026135742,45.156225135483226,48.42750110339763,51.730066746240645,51.98068492456682
2017-01-01 20:19:50.000,,3.69207968467602,,,30.85528202853104,42.51574778574871,48.08910032744025,47.53252633084912
2017-01-05 20:19:30.000,,2.818463341541352,,24.636527268602688,31.627391049484228,45.30383455765055,48.60451707562093,46.60755762893956
2017-01-30 02:52:03.100,10.978316555839434,11.36376759048609,22.558598703854912,36.42164621339447,42.29764743473065,46.02378843436916,51.78909853941041,50.59064001179509
2017-02-16 20:21:21.000,,5.040459417775866,,25.385566763651298,31.66298873389274,42.274254662173455,47.894691735344765,47.17053374240832
2017-02-18 19:26:43.200,18.83963022318689,,,,,38.286672098823615,48.28602048050317,47.6203669016966
2017-03-13 19:16:23.100,17.99207241151056,,,,34.54262234642953,35.39973730563592,43.89027625749676,45.15202678808436
2017-03-14 20:21:08.000,3.13476015005008,7.067749153810058,8.50781366541154,22.9922914544623,44.067237081937314,47.613775958035305,50.5145603049935,51.04014267186034
2017-03-20 20:21:10.000,,4.856537632261151,15.713937426975107,27.199621801621127,41.97844753627568,44.894810469594816,47.57654807884551,48.86110842676637
2017-03-20 20:21:12.000,3.649887642739151,6.805684068389675,16.79241374700422,27.45205772617729,42.00386744887084,44.898067324973766,50.00390260122101,49.57060256333366
2017-03-22 20:22:25.000,,5.230010971431535,16.087410766145492,27.573095140791512,42.37739874118102,45.23978012224705,48.2811631809607,50.02265313030398
2017-05-31 02:47:10.000,6.134673047900389,3.029082788041923,7.051544039320086,,,,,
2017-06-04 20:24:32.000,10.370025252809873,10.821395931514266,10.836875306612992,31.648498410897098,42.916145491733424,49.195278179563466,49.24263803988623,49.8835212316951
2017-06-12 20:18:07.000,11.67787925473052,12.733038304717551,15.411362886886767,31.883826431857194,44.4028187438431,50.39192499658796,53.54554472673495,54.24432904518592
2017-06-21 17:26:44.000,,,3.139220321938799,19.106847319364167,30.75645594813292,41.017892816921545,46.43030691777928,47.69482174507533
2017-06-21 17:26:45.000,,,3.139353618730075,19.106980616155443,30.75658924492419,40.45056873816172,46.43044021457056,46.01898386788295
2017-06-21 20:19:22.000,7.870547300497941,7.016041502583297,11.654382609108191,29.23313987881403,38.95822336352692,49.10834898249394,52.18362571236312,64.36785345765877
2017-06-25 20:18:41.000,11.748458352584931,12.554841060911665,13.18624013778163,34.03492332993269,47.252115915520776,54.57115483648117,56.39443431913006,55.197944817529965
2017-06-25 20:18:42.000,11.748616510533042,9.474625349523578,13.186398295729738,31.70578734599941,47.06929173918,53.417031653813694,53.920385267703125,53.88158472200455
2017-06-26 20:18:37.000,11.710768114190058,12.51715082251679,13.148549899386754,31.66793894965643,45.72394190326904,53.454319422723216,55.5036785393838,54.13480015056327
2017-06-28 20:19:14.000,,6.503505530453383,7.600166864219646,28.335545803807808,41.304238714154295,48.64929287895918,50.53424524918668,49.15639880094389
2017-06-30 20:19:36.000,14.10686307873477,,20.60514636769836,26.740488061521127,40.792742628026,48.65416342148151,48.58100453046676,49.50146232039496
2017-06-30 20:24:05.000,10.494837511781396,11.30794435137316,13.942625645789647,28.90657809660696,42.50513538874929,49.76352622534243,50.71083214522758,50.14655882564604
2017-07-03 20:19:38.000,12.150360397211369,,12.731836851416912,31.834929122957483,43.79274063229524,49.53895630319072,52.39603761237238,52.79579181348724
2017-07-03 20:20:15.000,8.03738010455277,9.636692617941202,12.026623786714463,30.138839028027498,41.46602456197826,49.28525710181661,52.3323270844496,50.23733239669176
2017-07-04 20:18:45.000,11.054379907652416,11.867486747244184,15.605319725752286,29.46612049247798,45.62087064416536,50.44683665125844,55.258767013857465,53.59929457937908
2017-07-09 19:39:55.000,,,19.9280565235149,29.588426178829984,43.4479979953625,47.14753697705122,51.32618882800948,51.06800052728941
2017-07-10 20:21:57.000,2.6434038493959964,6.770228056701344,14.056250755362528,29.74668833726708,41.80237177030386,50.13470430631057,51.53603871472707,53.17546074400911
2017-07-17 20:20:23.000,17.012312318639907,,22.8925912628502,27.45877946335248,41.68258193440244,48.18038284620327,51.55120638202694,50.39959981752126
2017-07-21 20:20:51.000,4.246387184345681,8.327450818389575,7.149319913201424,31.29220611383777,43.43152376627034,48.943152738587926,51.89640824380722,50.329008858128965
2017-07-25 20:24:31.000,5.768662787387467,10.565812990473022,15.750879516960916,31.952149688660192,43.54362306990992,48.077236586637966,51.36061819601321,51.23345180041087
2017-07-26 20:19:17.000,10.138089712925538,10.57190669972241,10.594518942833384,32.17012470444061,41.702666340616325,48.331352770131694,51.65267615313675,51.50912603774808
2017-07-26 20:19:57.000,9.101140426503228,9.311498170965791,12.535456939010665,32.17146929487277,43.72984181420082,48.24299813367998,53.34735969266849,53.22976660230789
2017-07-26 20:19:58.000,7.671818786415763,9.91428136121299,13.528166766875149,32.17150338999077,43.73770169150448,50.2376717786363,53.62165806872938,54.46150111523843
2017-07-27 03:14:01.000,10.660995824693718,10.01802996524523,16.141541106036517,30.746240864227246,40.965532374482144,47.202280498376325,49.49217760728212,49.61845240180288
2017-08-02 01:37:44.000,8.057092169394846,11.98335704188979,20.460329491374264,31.86697507301108,43.10725764227757,49.1501892439147,51.15881161483326,52.70032196671328
2017-08-02 20:22:18.000,16.95420520979515,,22.83448415400544,27.40067235450772,40.14831786614187,46.29613068921725,49.07465388895934,47.04758757688532
2017-08-07 20:21:24.000,,,21.22609123992597,34.25014947953209,46.67238885567743,51.671699100329775,54.50381774137512,53.75489431870877
2017-08-08 20:19:06.000,3.0562358304261643,8.50230974384679,16.198243464941754,27.65160500092,41.3595481503335,48.43450011139008,50.41340719728246,51.04065212722234
2017-08-08 20:20:39.000,14.7999331653532,,17.918065232640583,29.978530882143826,42.06043166492824,50.83323222756842,51.80205449507961,51.50530208419333
2017-08-08 20:24:54.000,3.330555405475117,8.564174308915069,16.26010803001003,30.042763707705788,41.919547902375335,50.869232868101626,50.47527176235074,51.19633326752583
2017-08-16 18:24:41.000,1.6917039426439366,5.631417077668949,5.516022685532644,21.26219311405865,32.69620067134034,46.053041657781726,51.22225883764049,50.751764988484304
2017-08-16 21:43:21.000,21.313245568677623,13.472544636500324,19.96672581768868,27.250009811124887,37.83247343494915,46.68227044888939,46.68451458795936,47.92110876480034
2017-08-19 20:22:45.000,10.893598311763212,8.600271249716839,15.61582656825477,,,,,
2017-08-24 20:22:15.000,13.865729247070975,,,26.624999869682703,35.14229469123964,44.58445401954852,44.00290652631796,45.30545682820092
2017-08-25 20:20:52.000,3.602052043366382,10.251235612262247,17.179387005543628,24.886413958724283,37.802886139298536,44.850231725601,47.64272718069167,47.14385222110537
2017-08-25 20:26:31.000,0.4238469389909247,4.429946374998889,7.014718601382846,24.10320840600552,38.74432055224976,48.00132058691774,47.80200513946173,48.74016494500328
2017-08-26 20:23:18.000,17.03094414360939,,22.921746636417872,27.063839478836897,39.208473524506665,48.590883335042605,50.41843670295381,49.98513666506646
