dates,oahuoahu0077_0001,oahuoahu0077_0002,oahuoahu0077_0003,oahuoahu0077_0004,oahuoahu0077_0005,oahuoahu0077_0006,oahuoahu0077_0007,oahuoahu0077_0008,oahuoahu0077_0009,oahuoahu0077_0010,oahuoahu0077_0011,oahuoahu0077_0012,oahuoahu0077_0013,oahuoahu0077_0014,oahuoahu0077_0015,oahuoahu0077_0016,oahuoahu0077_0017,oahuoahu0077_0018,oahuoahu0077_0019,oahuoahu0077_0020,oahuoahu0077_0021,oahuoahu0077_0022,oahuoahu0077_0023,oahuoahu0077_0024,oahuoahu0077_0025,oahuoahu0077_0026,oahuoahu0077_0027,oahuoahu0077_0028,oahuoahu0077_0029,oahuoahu0077_0030,oahuoahu0077_0031,oahuoahu0077_0032,oahuoahu0077_0033,oahuoahu0077_0034,oahuoahu0077_0035,oahuoahu0077_0036,oahuoahu0077_0037,oahuoahu0077_0038,oahuoahu0077_0039,oahuoahu0077_0040,oahuoahu0077_0041,oahuoahu0077_0042,oahuoahu0077_0043,oahuoahu0077_0044,oahuoahu0077_0045,oahuoahu0077_0046,oahuoahu0077_0047,oahuoahu0077_0048,oahuoahu0077_0049,oahuoahu0077_0050,oahuoahu0077_0051,oahuoahu0077_0052,oahuoahu0077_0053,oahuoahu0077_0054,oahuoahu0077_0055,oahuoahu0077_0056,oahuoahu0077_0057,oahuoahu0077_0058,oahuoahu0077_0059,oahuoahu0077_0060,oahuoahu0077_0061,oahuoahu0077_0062,oahuoahu0077_0063,oahuoahu0077_0064,oahuoahu0077_0065,oahuoahu0077_0066,oahuoahu0077_0067,oahuoahu0077_0068,oahuoahu0077_0069,oahuoahu0077_0070,oahuoahu0077_0071,oahuoahu0077_0072,oahuoahu0077_0073,oahuoahu0077_0074,oahuoahu0077_0075,oahuoahu0077_0076,oahuoahu0077_0077,oahuoahu0077_0078,oahuoahu0077_0079,oahuoahu0077_0080
2017-01-01 00:13:54.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.20137149550745,10.655686756235646,12.581576439834487,11.811527665227414,15.537283950666763,18.50085040709283,16.112085097012105,14.64985512814858,12.48128675349228,10.2829442208197,9.10300050525088,15.556799775147068,17.886962561913233,11.227116188091536,11.730372754913269,14.054242293308452,11.632861357196742,10.115204353426543,10.913274052519007,12.134329172992246,30.938170494731647,35.17885319095506,34.3644161705383,26.058629273393965,12.60974656438574,13.188870515250352,16.81811723734073
2017-01-01 00:13:55.000,14.170783606597478,17.846426024564842,17.128923938409535,12.516216134582091,12.46200887334066,13.589470746898726,12.776126283864468,13.956843423107411,11.979537913411235,11.917623690666863,13.155694806427986,15.955215956865894,15.4894821575146,12.59153478653801,12.224039073380087,12.0068048743145,12.002602119448833,10.700380266899922,10.194884272878555,11.33851616179843,15.23824587891601,16.254712864186207,13.913962505025712,17.738624123581047,17.156036589547266,10.644977323184303,9.615906845324142,15.601452313783131,15.36782178399872,14.146682699434448,14.29058692228156,16.186633835321803,17.586273405858872,16.646570560009263,15.741282516280672,11.22518595892247,9.735013268659738,11.203909948867622,10.216264650882934,12.909630686613635,12.249396674761282,10.780100940019809,12.755789865990833,11.463510777358447,11.052559216110966,10.954273402592026,9.27449080173186,12.200762881300454,11.665798102744708,11.814352619815788,10.70064171295428,14.089678220504366,10.55130479225489,10.668409836831662,10.211307877050046,10.528126367774648,10.910529954512995,14.26141558916796,16.89130577702593,13.802856413093028,12.528021825738875,12.527692559872882,9.391791105649238,,,,,,,,,,,,,,,,,
2017-01-05 20:19:30.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7807037721606,29.93663735268152,,,,26.076929360077017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-30 02:52:03.100,12.794847702380109,14.888903049665911,12.98149469138976,11.123559155863669,10.876488426902403,8.908975098317805,9.709599104383871,9.540912522377182,7.365105571276094,7.863352463420442,9.797427933373957,13.26801957127676,13.459323438037975,10.873484696847743,12.283104583468438,11.115794769604266,10.710840689608895,9.295469681555574,8.652622603013016,8.986555332957547,13.052051001251195,11.756527396017516,12.17391522702344,17.054272339337246,17.095930462077977,10.704042833272654,6.53886402519014,13.001550213816902,13.23178468939821,10.79323958952471,13.541342368453094,15.828965775315451,16.293029677147057,14.352644846669078,12.943551800961558,10.322797696350984,10.291833563999893,9.508776229019066,9.426708762963612,10.845568115695194,10.329035533225545,9.088304159441542,10.49010114863852,10.820870611191657,10.12641050761312,9.98871580726971,8.397836904396133,10.211426431856,9.136585176222283,9.849637479202798,10.824303237402106,12.176950864547328,9.388894554348266,9.94448784250041,9.366555400640667,10.193680987564475,9.65704579256197,12.955089190926763,14.671639458059762,12.265072209998545,12.581234507612573,11.214097662625203,9.390273971386575,9.2673040440679,14.800391829238793,16.78049021334518,11.2974321354651,11.789471971762325,14.11334151015751,11.886696242559236,8.456805094837565,9.430483291058716,10.787217386971433,31.095051647572035,35.30271735219879,33.23846307730938,25.87324431276896,13.162973798017726,13.155284164278385,15.541933908343946
2017-02-16 20:21:21.000,9.794854881110568,12.411065757075798,11.252746883365578,9.58806246549204,8.660515742208522,8.96357140532137,7.651129557719136,9.143651062781064,8.948547742767374,5.922948947987585,7.073011289790228,9.245793160228924,9.453058416379475,8.390575719224111,8.730081779901354,8.40335906890781,8.197365273720708,7.723797738472546,7.691402624466308,7.86020050057143,11.89989124706067,13.559770518821464,11.827318910881296,16.13698973483331,15.94882974943762,9.354308714902336,7.244214752140662,11.715692144079036,11.701087961488648,8.810115100143468,11.309960454652757,13.45299469724045,14.935387380246526,13.77102474873,12.26435767584926,9.04085823015726,8.642412002657897,8.581505210954003,7.890071124350522,9.86198750426232,9.91098874818668,9.468222795145394,9.630347626426628,8.520723743414992,9.102666387863938,10.442251648328822,7.460747884075991,9.17182054776896,7.9285947246080255,8.36469289834515,8.018450524579032,11.508571372929184,8.490129181944255,9.746133446151786,9.581737255314808,11.052055095750932,10.784348721394242,11.822030490704012,12.415174264504024,11.477369468070272,11.825251588077618,10.1815282155598,8.631961998102797,8.141441402372859,13.30879389019764,15.745111176394008,9.45132264914454,9.890175693113308,11.686720885388748,9.263698397473128,7.578703117271189,9.156100141219882,10.482466682157265,29.10684819496725,33.95538856008678,32.263856029296385,24.740442896148643,11.615511204896388,11.138776938066124,15.21268877714264
2017-02-18 19:26:43.200,8.542887208047354,9.620624949939096,8.877211058233733,6.734970636716098,6.853117973059906,7.48078337908137,6.654688361353221,8.141352074669134,5.435521618951169,5.273525490946166,6.061353250589296,9.695000496110788,7.583494499361398,5.390798671740912,6.998109559202686,6.450468430757286,5.83020402048505,5.457946466020797,5.4180582549414265,5.404707003435076,8.63632727829306,9.43499489370562,9.764310036576893,12.44244736840312,12.095720777983308,5.81793798587525,4.389326107141396,9.156581030936133,8.15334311089097,5.449318593975705,7.852492304971823,9.177039950846329,10.968620131527368,9.249670904649705,7.666083632210388,4.119281839798387,3.029478404333644,4.435164596900354,3.279611578743844,4.131641989915849,4.628858905056391,4.385829425164133,4.662476245812301,3.727744460934949,3.776008721041933,4.173687339286273,2.5485137757739285,3.8185723151527977,2.86465754295815,4.738300336465888,4.246138098766216,7.382087857880461,4.007740287182722,5.35002758303342,5.542919052708822,6.435236647197607,4.825118259451977,7.023592385288641,8.789478217220946,7.440965202891183,6.1635379536912485,6.478208007519855,5.38580875263952,4.2184736946409735,9.36659674720373,10.55735690798665,5.4413017770797865,5.400783459135955,5.168657565303981,4.920768341062606,1.2693430486944908,3.18543232688302,3.6991724584411503,24.188809084687623,28.56055024857921,26.11171054709559,19.133788636438176,5.972434511707086,5.837711077434127,9.887766294080295
2017-02-20 18:08:42.000,8.08083130402116,6.965851093836484,4.126799433057268,5.42658925647219,6.822235950573351,6.343071737339429,5.247260036059823,7.14723432730435,4.182007074385423,4.170470450380078,4.356069362501192,5.870702302653202,3.9998600358512153,9.047604004190267,9.310187143832025,9.109473049580169,8.742051351609181,6.400887596636047,5.484424213197774,8.029512012339097,9.5212406116509,13.427005550449476,8.127942051926837,11.038425098599989,10.905364052138935,6.207502514103682,4.73219494769902,6.736039379718447,6.202618051593553,4.021072369636863,,7.220663430716105,8.362657922326308,,4.227622118668477,4.257103328661289,3.14438060913013,3.919866964486796,2.2186428383473524,4.401009667654282,,,8.003165686720985,7.603624931975842,7.597938432585411,8.620312187146796,8.07343716100309,8.107310535865162,7.2911937471551855,9.301901352366228,6.334639146824654,13.983896433599424,4.968194419074578,8.912107515776487,9.331054125792708,10.100905812421631,7.826129520472714,7.280292250895269,12.121788215975958,12.143036343625552,12.465051469454236,12.270294103920792,8.215422826764124,6.915884708240495,13.996726707187614,16.025407321409517,8.477136138394577,7.616047220308673,11.015352516542828,10.885309390645007,8.587218020802057,9.358079971906752,12.086396278679128,31.634399309769098,37.234664231801766,34.1523519516002,24.58533719006734,11.76350748678459,7.7549965340645555,14.606001833361216
2017-03-13 19:16:22.000,9.46230917513519,11.311579071821091,8.279922702429559,5.346867717387439,4.015821494674221,5.8264216899627606,4.22577988671957,4.866664016306825,4.751092227231609,4.381212958164347,5.022265161160407,8.725653450074466,6.584625209317298,6.390851972498622,7.585524576117937,7.708002589651445,7.59747392968076,6.961680284782219,6.769337873890946,6.788927122840642,10.42677941943649,11.074703258367164,11.128314423467586,13.0069433882692,13.25809893282593,7.286088383650503,2.9499768621632727,8.349790341637275,7.597027066024701,5.857861128844845,9.20852223177845,11.581744755241507,12.59135805782491,10.75899017168162,9.797512125002376,5.1902118628160885,4.236018792662589,4.229902018937796,5.985258769335415,8.44329147528937,7.05712743166956,7.420574781335818,8.137224359033686,7.493153172913672,7.576372925525709,7.336196511430717,6.328627374974764,6.650553962735234,6.206944496322376,7.494352913960242,7.485062044774033,9.989024924762866,5.5916920254407,7.746416782438526,8.02498549863191,8.979302060615202,7.431207763002192,8.275558820573666,11.181543916121251,9.099604052941473,10.908389308048994,9.021430453628634,6.407183113289487,5.831635457407685,11.671902061225282,13.76911809866535,8.248138113424973,7.538661483250358,10.0733662898126,9.02996390741682,6.846836014382065,7.0081565102805445,8.166944599208074,27.27172207787237,32.17074560340484,31.30563014901744,23.29746057119568,9.652714322950178,9.900057417684437,14.134731662963992
2017-03-22 20:22:25.000,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5948974157700375,12.307370891275747,13.282972702431085,12.933904769514466,16.040453743647745,17.15379356509875,18.57576546929472,19.39256925641893,24.234782049374296,34.028295842390776,31.436288777856035,28.286526378025165,29.40255756966686,34.30770219763028,37.66613817960383,,,22.93692148895907,12.147482599219725,9.169390147839284,10.701806532974462,12.545694533517974,13.579754862712186,14.045026798114524,12.337487625368674,14.56400475094422,10.976104619912988,13.392355773252524,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-26 20:23:10.000,12.789318368845615,15.671431184191093,14.26065067718364,10.164360939968825,8.416376636802077,10.023251149443992,8.725760977632284,11.22675401283246,10.069725339733749,8.799612689891147,9.568146794035457,16.297156896958647,21.77511683696044,21.17541369532464,17.901474284448387,15.444680305551753,13.59168558546921,13.143590339687304,12.820144405566234,10.838203604843246,12.885532369244247,15.568078728485265,12.57161380275362,18.07872297717964,17.069237325579028,10.220439129325648,8.096035993130178,15.176914119924476,13.491894099166844,12.617648507079055,15.958109490069615,15.37187520821585,17.863364045234825,18.64627225373396,24.435194843371075,17.467677597885324,15.92592967642148,16.650143836037767,15.844978679820883,14.664396681452583,15.734424684820162,15.55539500696855,18.173044930963066,17.720607759409134,17.201034782434906,16.8604798904382,15.858957312656663,16.484394885545093,15.775482543561608,15.09230271739298,13.678940358001476,15.781486515288693,13.613445729287704,14.442383281067448,12.359468724011965,12.815101309945108,14.638681330941704,22.96418964997804,26.049663398835303,20.12518988923677,18.26861887382139,16.217621867679032,11.996855114483685,11.229120328830168,19.47964207010394,20.13899803022456,13.608690034442754,13.734780183134564,16.635437482807298,15.386260187907084,13.496457155087144,15.103002536640258,16.12693498072125,34.806299921194054,39.01826970094802,37.41822642275709,30.11226550236947,16.714301910946343,17.05689393881704,20.453628159862312
