dates,oahuoahu0022_0001,oahuoahu0022_0002,oahuoahu0022_0003,oahuoahu0022_0004,oahuoahu0022_0005,oahuoahu0022_0006,oahuoahu0022_0007,oahuoahu0022_0008,oahuoahu0022_0009,oahuoahu0022_0010,oahuoahu0022_0011,oahuoahu0022_0012,oahuoahu0022_0013,oahuoahu0022_0014,oahuoahu0022_0015,oahuoahu0022_0016,oahuoahu0022_0017,oahuoahu0022_0018,oahuoahu0022_0019,oahuoahu0022_0020,oahuoahu0022_0021,oahuoahu0022_0022,oahuoahu0022_0023,oahuoahu0022_0024,oahuoahu0022_0025,oahuoahu0022_0026,oahuoahu0022_0027,oahuoahu0022_0028,oahuoahu0022_0029,oahuoahu0022_0030,oahuoahu0022_0031,oahuoahu0022_0032,oahuoahu0022_0033,oahuoahu0022_0034,oahuoahu0022_0035,oahuoahu0022_0036,oahuoahu0022_0037,oahuoahu0022_0038,oahuoahu0022_0039,oahuoahu0022_0040,oahuoahu0022_0041,oahuoahu0022_0042,oahuoahu0022_0043,oahuoahu0022_0044,oahuoahu0022_0045,oahuoahu0022_0046,oahuoahu0022_0047,oahuoahu0022_0048,oahuoahu0022_0049,oahuoahu0022_0050,oahuoahu0022_0051,oahuoahu0022_0052,oahuoahu0022_0053,oahuoahu0022_0054,oahuoahu0022_0055,oahuoahu0022_0056,oahuoahu0022_0057,oahuoahu0022_0058,oahuoahu0022_0059,oahuoahu0022_0060,oahuoahu0022_0061,oahuoahu0022_0062,oahuoahu0022_0063,oahuoahu0022_0064,oahuoahu0022_0065,oahuoahu0022_0066,oahuoahu0022_0067,oahuoahu0022_0068,oahuoahu0022_0069,oahuoahu0022_0070
2017-03-07 20:22:35.000,26.24888739525941,24.45603126755292,23.21015842174339,23.68733158158519,24.566242900728703,25.271892563271862,27.967483412335657,33.53252331774999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-07 20:22:36.000,24.98746706287937,23.562803225761204,21.604000453403643,21.582649257319183,22.52498099491218,24.25471954591457,27.05109423212069,33.24334883492508,35.719943672087986,31.89092967080833,31.376311461634312,30.849085886745737,34.72337651451568,38.12262090903879,39.7046085468845,39.183375609582846,37.976288884935535,36.03918833616018,35.74689697715617,40.6873659122275,39.81856091638165,43.85765546837188,45.0646078709431,46.22336917938022,45.95262342262591,45.10910806247635,44.77467805482809,44.95245985598866,45.761285014616405,45.711849269587056,48.09074556770698,48.484071265592135,50.4734145314895,,,,,47.99345056897353,47.689584191814326,42.44390952508953,33.614408503779295,30.212345218238006,29.992952661274305,25.428070183673007,21.360958381737,24.17523240183493,24.311960895545017,23.85331115500585,25.20220198245235,27.92084155156699,40.61437863221041,39.16007829645985,36.41005400259721,29.584652883513154,24.83524683262405,25.83153742504433,25.646391463974,26.739733166795304,24.05401199566513,22.52226094593662,19.703866986006137,21.90375361658017,25.93813859087096,23.45901412773357,19.70066155054169,20.866432312091945,25.807615114422315,34.31704025024461,35.46096248421724,36.92003095198301
2017-05-31 02:55:47.100,,4.101415379555244,3.869054141529945,3.382797609900101,2.975231360844359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-01 01:33:24.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.79925322436918,31.20478590186827,37.89573937512531,,,,,,,,38.858533382812745,33.08607989150916,35.11149055173967,49.59029632775532,
2017-06-06 20:18:43.000,14.07426510210954,11.849151208133735,13.089766011967807,13.783566639449871,14.793663079220416,20.291245558961656,21.7545990646742,24.19318489704921,25.33992528604572,21.636816818227256,22.716717009485823,27.57349635120316,28.33602651169115,26.280138666407595,23.560722847137708,22.919035831716425,24.91227221256037,30.391818257582848,31.72920447505445,34.25174185182002,31.29699164806189,30.571010415624134,28.311321655586102,29.082364752543345,27.63384102191729,27.13902436204516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-16 20:19:32.000,21.868376982899203,19.55126109399389,16.88894017551862,17.3510455968204,18.985461401457147,20.322555203094154,22.495412206831308,26.60834731458249,27.59633588490667,22.5184267441852,,,,,,,,,,,,,,,,,,,,,22.35749822528936,22.39498778290284,27.528987035614392,26.0836219197804,25.51272988152292,29.69234119760689,29.503646054693824,34.72785569820123,39.72397665006503,51.575715191579285,,,,,,,,,,,,,,,,,,,,,,,31.09303917547073,31.801340637482404,31.162446958312945,32.81685019965623,38.80518910019264,40.09480792473829,36.80571908841158,34.00756156384947
2017-06-24 17:03:28.000,16.599965158146688,11.062068709466852,13.653507102261017,15.437787852355694,17.115728139717294,22.829670331572792,28.459070126048417,33.29175625781963,34.31385373382891,29.428858049044656,31.07560093695953,37.52494377444193,42.82343183064094,44.84166908439219,44.04132365683088,43.08316799716997,45.54156194878419,45.43270953919384,44.32914519361003,45.05598677351099,41.62310392100758,41.64253562771466,41.89443319084732,42.91932630613336,39.5078989774844,38.44400376964484,40.48291214493277,,,55.78024725919716,,,,47.35707533863461,40.84433415891732,29.63048648790017,26.262744110723435,27.510290165377555,29.855773213543337,33.8595595171492,30.07021062852526,27.012376516898204,24.02258128510427,22.4989400914214,19.60450635750089,20.96567084643884,18.29717193978456,15.505106495951956,14.96137705299811,13.943021922628049,17.043262295038176,16.165842416896552,15.353203177507975,16.412546278550366,16.7856134065038,22.41884172761876,26.08854925290925,32.420638866091025,33.27888695290576,33.94353999413094,27.3171460243872,26.49145372195997,29.44863483771545,27.617251536768737,31.51383304828628,35.42546400594837,42.69566173473224,51.412738622513984,47.64498402816196,46.08944528657948
2017-06-24 20:19:20.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-25 20:19:25.000,34.0809434748766,16.814077463743562,14.353121794977852,15.388431264771556,15.462025126973543,17.337408457917412,24.321672309933675,28.822764562557804,30.460863439988344,26.358242251072603,28.570896746864808,33.185625419492894,38.71700975967372,41.4251340844302,42.9149064404071,42.10783584508291,40.90871223484626,40.36348203891852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.09546439080962,,,39.14479275098284,30.4829952820887,28.966483729135383,26.194807903966566,28.841548856703064,47.28231030008905,,57.00969328256419,49.66113464018365,48.399526377537335
2017-06-28 20:19:09.000,27.15249981058848,16.108809461832863,16.398988766559487,17.07154869788283,21.47464220534323,20.9179110929202,27.755227502728296,31.531055814927868,30.28348883481302,25.212262733820435,27.251599593724784,31.84608126581795,37.67722427149132,40.630187177453685,41.763799184448686,40.23047096098913,39.376700429000415,38.4006325388664,40.87678894910554,38.080469535705575,29.211834662291256,31.039802720949545,32.5719669748567,33.52665171916814,26.440977358122247,25.749917736275773,27.58312623749937,22.821639016545788,25.449967327052057,27.55483740992574,26.107545699979383,23.669129340216013,22.25320989934505,23.185976824314256,25.670081950144745,35.84177127677944,34.07467736053308,35.803775062759286,37.55347753556659,38.12599670865864,33.721805721157864,30.139699969217435,27.6470058726252,26.01369096843842,23.022080058237947,24.85890320326143,21.276994731583784,19.051298597528703,17.84787671899413,16.1778629381135,15.912851031126872,15.472039508330347,15.770583113905522,18.08260732348421,21.044059432407835,29.82190924431753,40.04735234877345,41.47802834831561,40.72751042650667,40.63045318958462,30.11555511610401,20.38731833298054,21.223097199195315,18.890937355690333,20.531964225420943,26.413051190931,34.419778655561295,39.928339751980026,38.781254871416046,37.35772464345092
