dates,oahuoahu0021_0001,oahuoahu0021_0002,oahuoahu0021_0003,oahuoahu0021_0004,oahuoahu0021_0005,oahuoahu0021_0006,oahuoahu0021_0007,oahuoahu0021_0008,oahuoahu0021_0009,oahuoahu0021_0010,oahuoahu0021_0011,oahuoahu0021_0012,oahuoahu0021_0013,oahuoahu0021_0014,oahuoahu0021_0015,oahuoahu0021_0016,oahuoahu0021_0017,oahuoahu0021_0018,oahuoahu0021_0019,oahuoahu0021_0020,oahuoahu0021_0021,oahuoahu0021_0022,oahuoahu0021_0023,oahuoahu0021_0024,oahuoahu0021_0025,oahuoahu0021_0026,oahuoahu0021_0027,oahuoahu0021_0028,oahuoahu0021_0029,oahuoahu0021_0030,oahuoahu0021_0031,oahuoahu0021_0032,oahuoahu0021_0033,oahuoahu0021_0034,oahuoahu0021_0035,oahuoahu0021_0036,oahuoahu0021_0037,oahuoahu0021_0038,oahuoahu0021_0039,oahuoahu0021_0040,oahuoahu0021_0041,oahuoahu0021_0042,oahuoahu0021_0043,oahuoahu0021_0044,oahuoahu0021_0045,oahuoahu0021_0046,oahuoahu0021_0047,oahuoahu0021_0048,oahuoahu0021_0049,oahuoahu0021_0050,oahuoahu0021_0051,oahuoahu0021_0052,oahuoahu0021_0053,oahuoahu0021_0054,oahuoahu0021_0055,oahuoahu0021_0056,oahuoahu0021_0057,oahuoahu0021_0058,oahuoahu0021_0059,oahuoahu0021_0060
2017-03-02 23:39:26.000,,,,,,,,,,,,,,,,,,,,,,,,,,38.92778037934075,44.508673199002494,58.20327983183126,57.09492849785333,60.01431034195454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-07 20:22:35.000,19.519670988661744,19.7625630983529,18.775067976966817,17.89354753881898,16.271569954935476,14.1548721685809,15.502491198710688,16.349613903818984,16.931888750449907,19.07431993290423,23.33417852553059,24.829498708604227,23.19280981135181,22.7922119218944,15.061896134417951,17.44647896159381,19.754083953837338,17.027152390453857,24.276896350705275,42.14161841058434,54.13134599022516,53.33888290430457,52.66034512794603,48.85269809605074,49.51444599618789,44.42954057325735,39.73506880351617,25.58092964609025,30.174148098966416,38.946931081815066,36.51413935115629,22.61076277581132,23.683860596970344,27.34775321024245,28.198186498671568,28.108316310247098,32.24673120907015,41.51516524886481,48.61172064230498,53.90921990694096,50.37552934269719,45.33061367330603,41.521572269722505,47.06165543578204,45.15693145984349,41.933024116245065,39.150901312415975,43.65787791439086,43.28633967257062,35.88253630641853,27.67107002048913,26.367808948145026,19.856499175539163,21.38410986605629,22.58455240477748,20.35804895898063,24.1535800490483,23.599752142046107,22.694108061439486,24.10096604158248
2017-03-07 20:22:36.000,19.84552562441122,19.42193643160372,18.25138977931801,20.254814323437888,18.10444293812704,16.050290873650972,17.720160632704044,18.53660279084092,17.39909110653538,19.20544289891248,24.43436174704475,27.05035481556101,25.562707901724952,25.216386039335912,17.597030148170866,19.80866170905028,21.97536313135848,19.23667621018292,25.421447131665627,42.94234647260749,55.46085455512303,56.70993343552992,59.3668224937255,54.99282710010142,51.41376717945714,45.92536737462016,39.01859260882962,27.55816860727504,24.90479614663456,38.88836543992846,44.10494545818017,25.02751015679983,26.49838372210777,28.446316027144004,26.625487169180627,29.66806731284777,33.56769507701153,41.83476472688975,49.22690113868206,55.45592533549344,50.12642221123449,43.47115752219691,42.24431293266903,47.72509548264041,43.7283009179309,41.0000085374388,37.56055357808789,41.86920280775912,43.7519823579248,34.17998984265969,25.540659608613552,27.13059956262892,17.63804711261146,18.13098907181939,20.355074553711564,17.756752359966487,21.53609834463173,20.806616751203578,20.71908300605256,23.42449899457173
2017-04-05 20:23:52.000,8.195267183452305,6.430378997650483,6.73584427636176,7.502247430277272,8.463822623825239,9.499824754905328,10.07761726333688,11.964800921071491,9.465896005050658,10.64520444933325,16.15841507181143,16.77913609315577,25.625698737876142,36.36810228816487,19.49746619602585,16.145169400724985,19.41412040403461,13.612666496304524,11.83750120439672,34.93297810945869,48.060928640580606,54.56417235725955,57.19092343955192,53.76545283258507,47.63835125438491,41.141234096570905,38.42896132446256,35.407198240662275,39.24261588915244,41.42027833420516,36.629908736692855,19.85382088228338,15.556372019876138,,27.10295242185189,36.69250073117407,39.76601499759152,46.82272024289758,50.55377846521095,53.23037397874874,45.15444893734022,35.27056122653331,33.186580169336324,41.24451559634813,41.32387205625971,38.94442735804623,35.31091751600281,35.25225570512958,35.57494904386426,,,,,,,,,,,
2017-05-31 02:55:47.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.574569735052576,7.802978012055641,7.797444813738329,14.539316568580562,9.552760347240262,11.65904147711359,9.977928602987014,5.190009197827447,11.501794925188026,20.78131239241752,40.08691285174843,53.090090134115
2017-06-06 20:18:43.000,25.82697395099103,18.63944248248276,17.895081631647273,15.238341844806298,14.393015208779715,13.700175771495962,12.587313527385314,13.745351938937866,10.95823315873822,11.577275964377089,18.747962267567065,17.744988494938656,14.53471879070838,28.2781519730006,20.446894257224915,19.63282577469718,34.05839612085173,33.63608705323008,41.54216538100489,50.07234959993783,56.1693941412709,57.872083600727024,57.79686980329699,55.19699032456183,47.97566105037226,45.81275835886424,47.13353236053772,44.00458420327403,44.32054257732649,45.56945540384445,38.36636652234743,39.36201708130825,43.42845192863899,53.2250507402789,46.896325986512586,37.61287102644807,39.6612459825788,49.05874137933423,46.42081378523422,51.2776219943971,45.550144611645,36.91408712298164,35.54744019022962,40.952119176866695,38.50176675615682,32.294661005154325,25.987357218198216,27.675254202765952,27.00277106661063,23.37694456930378,22.86088456812744,25.02725412189112,15.046693100833249,16.708309810721456,17.47387615854679,17.304889091278117,19.436622094233226,18.6508035758986,16.858001434127036,28.783507018136945
2017-06-16 20:19:32.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.36891453702413,21.760946178453743,12.731000295044014,15.772799282911263,20.21190856114284,,19.78134237538146,23.65876534051293,25.37318558851841,33.77927069155182
2017-06-24 17:03:28.000,25.513639589487152,26.330838289788588,25.47428783361676,24.266338712788706,21.56641086192465,19.49992454007232,18.58459585518479,17.802655113453696,15.6531998699366,16.652046500653444,22.535841922908965,26.848374494636808,34.98466498589483,44.86842330183628,34.738317427307805,28.8053676315378,41.78363715043266,40.2513846811317,42.29907060469449,51.70207672254836,59.02632436918192,58.27880308420783,58.75774740167866,54.69208838233058,53.06363740598838,49.637463059653946,47.78236543957716,40.784138482402334,45.00596991915342,46.472977771783,49.3586128167728,48.44045203021961,49.774738953257504,51.19858194191878,49.16003254490695,46.05905050628788,43.90962111388058,51.16607487497362,55.62959534571952,58.61734373734473,53.01642714447684,44.088616284480544,41.72824727569108,45.41129741341592,47.15179163759525,42.45397612042641,35.92905104862325,37.92247979735826,36.69877095833247,32.41544924414079,29.78273183625377,28.42391971963357,20.201109907685613,21.11417134586294,23.600012709302188,22.75041981178541,24.96940831533768,24.22224365027507,22.536856573520755,16.990107118479898
2017-06-28 20:19:08.000,30.77454545371127,28.098750382342104,21.333266897840097,19.27664130229276,16.38173986012237,14.364918882263494,12.976929357983597,11.120063868834562,7.638748806767824,16.047655633019158,29.929283601138224,30.756210815222488,41.74946185754373,43.275960445436176,40.07914665272397,40.20971341422389,45.53147663463829,44.19260240974701,47.11690953050752,55.78678531585141,57.6546236017111,57.347477550831336,58.43363335431859,55.41876265190034,54.23592850956039,51.96861692228058,47.86851787974359,46.69950278318351,45.97729419747655,47.7553932236315,46.78022443823266,51.11612890529277,49.6963569684143,50.43490357882289,47.55696933944494,45.21785761063404,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-28 20:19:09.000,,,7.768996986710846,7.8819634910462355,4.563510541405116,4.682281068052862,2.4138305968705085,1.2897146440395808,-0.0893526785124441,18.408145569186185,20.5622047996832,24.1420454742207,35.50193675606585,38.629828820132026,29.04448636173897,33.84272923048949,41.41768208574402,39.23746877828055,43.03722208608512,51.19282976648839,55.25098879688617,54.53649133692336,54.2094749814452,51.63570922588699,51.8258481677103,48.91521403853541,46.72736293013836,44.21786292101309,44.9798329554038,46.36104955007129,45.36397031154374,47.96381546230436,47.31356067103297,49.26988258057386,45.92638427655352,40.736716992039895,40.56953124517091,42.63704210170608,43.49167826513673,45.57562941942722,39.75712673547509,31.830333247469085,31.220597337719106,38.71249749822324,37.45236310656176,30.325576012659354,21.60114461872184,25.118810894491,29.00154132189877,26.67177919018348,27.25127361093712,24.91769577701184,17.264497743343718,20.19558703291089,21.37991775453268,20.8896867338,22.62909944926144,23.466301256417765,23.781893834800904,34.017698449235084
