dates,oahuoahu0085_0001,oahuoahu0085_0002,oahuoahu0085_0003,oahuoahu0085_0004,oahuoahu0085_0005,oahuoahu0085_0006,oahuoahu0085_0007,oahuoahu0085_0008,oahuoahu0085_0009,oahuoahu0085_0010,oahuoahu0085_0011,oahuoahu0085_0012,oahuoahu0085_0013,oahuoahu0085_0014,oahuoahu0085_0015,oahuoahu0085_0016,oahuoahu0085_0017,oahuoahu0085_0018,oahuoahu0085_0019,oahuoahu0085_0020,oahuoahu0085_0021,oahuoahu0085_0022,oahuoahu0085_0023,oahuoahu0085_0024,oahuoahu0085_0025,oahuoahu0085_0026
2017-01-01 00:13:54.000,5.467134193228081,5.135689099698058,4.634034559309511,,,7.280441012735338,22.5199785126678,29.240216942272085,14.439583411263389,6.1200832515288734,8.794888665465681,2.0095205280293253,11.35335257456402,9.344707504840745,9.583767827483369,11.987415692026495,10.5367092113278,6.3177029127706605,9.713198874149484,13.115582817540682,18.763943916533457,15.302417564422864,15.043568038919014,23.473682009122324,36.01671544677481,37.96484963147087
2017-02-16 20:21:21.000,4.15589102078723,2.800337367639837,2.166914962707841,,,7.476990249933543,22.3981524947459,29.06657207820033,13.645751212653904,4.882921403471218,6.413657912252168,0.5237698925340335,8.537045873807452,7.346514786792868,7.691672736288934,10.14112580543419,10.592173937770172,9.414628466687487,12.064555779652189,12.105122217434094,18.43945118734012,14.604983590870452,15.022643511066574,23.392038398968765,33.27585965857424,35.356786092987306
2017-02-18 19:26:43.000,4.113640366664205,2.273968705058733,1.602188050462054,,,5.878880830795813,21.70244520742333,28.808402203826745,11.759416411436376,5.332128739353084,6.7479533760331964,1.415527689316138,8.881409522818338,6.895310331528096,7.05523518400137,9.884652058346436,8.621535081806236,7.70234198354999,10.34207683789282,12.5643499588248,18.73337617637747,15.575307635027766,14.816308190783452,21.3661013571385,31.35756816830413,33.44564434390857
2017-02-20 18:08:41.000,7.312981717632466,4.712032957919778,3.8550031461996026,,,6.081128239635925,24.572033544158224,31.395410457458503,14.609704712064264,8.394181643810363,9.908337392172076,2.626263368694769,12.229119586950922,11.875147925303049,11.535538547433646,14.481706193000504,13.504149267573837,13.484043710694069,16.459488501719804,16.033302286648254,23.729107389880912,21.238940593799143,20.171898969779708,27.03410408393623,34.67398594032785,37.63496712306977
2017-02-20 18:08:42.000,7.051753651245504,5.037913996610537,3.877692075634008,,,7.916686667223708,23.823463519331543,29.93166358539438,14.493170323509892,8.394170817174432,10.062308776954852,2.748455745249444,12.36756444699905,12.846326568156464,12.098970263504402,14.774520118121211,15.6289372312786,16.72614358343014,,,,,,,,
2017-03-07 20:22:41.000,29.04361739084484,,22.21657589210151,13.467128889319746,8.738375824700178,19.539787230801192,27.94349501513377,33.45231508122837,17.329360413900684,9.172325818000958,11.651438317191854,3.38298183129451,11.408345596740132,10.292928594829307,9.479445271201852,17.516597179006787,21.291821250723544,24.995371744332267,,,,,,,39.03450141744776,46.41887382544955
2017-03-07 20:22:42.000,,,,,,,26.44274024328304,31.894287313931912,17.32937595857054,8.458200766045243,11.644162231279424,3.395685006746181,11.330285893778834,10.211161655437714,10.620068324553277,17.59788802581479,20.23907491438036,,,,,,,,49.7576806236937,
2017-03-13 19:16:21.000,3.2153623909365585,2.750217185250716,2.3072276319433023,,,6.860288043523812,21.091289847916432,27.87363672381769,13.408920531912145,7.25880341176908,8.101226790383702,0.268284355902467,8.183122858152366,7.730671577158573,6.67536736853391,9.425542516380718,8.187895371315053,7.181958147118768,10.87928708605943,12.904682641398944,19.70604730991868,15.637249944107351,15.16331062382056,22.917041219835586,32.75571940750684,34.45731410524058
2017-03-22 20:22:25.000,,,,,,,,,,,,,,,,,,,,,,,,19.73455325331612,32.692554483389586,40.083372183241885
2017-03-26 20:23:10.000,10.528672066128236,9.521222195461508,8.227539194102416,,2.215203278692733,12.43435885598716,27.781263415605352,33.941787256152985,17.122536961807377,8.325055781836468,11.0877068633542,3.1436576101701053,11.563982993818213,10.303037242536387,10.185167300194903,13.884791159825085,14.21101746450128,11.98045481789403,15.843866016127985,17.942309250731192,24.000342456518144,21.27189660759266,21.497326643598072,30.64080028634569,41.40985858439279,44.62139239925474
2017-05-02 00:12:34.000,5.871898502658153,4.962119828175264,4.209855710485776,,,1.3594611702534256,,,,,,,,,,,,,,,,,,,,
2017-05-02 00:12:35.000,5.872017495763614,4.9622388212807245,4.392521514879078,,,8.800103481502358,23.2747715170066,29.40067707270014,13.729136686978762,4.06671068224313,7.778313328796451,1.5119545793289086,10.649618812313646,7.498537361155942,6.594775800500679,9.341008239054789,8.334733464376713,10.42745197077658,15.815824834704312,16.543131456355773,23.19325788421768,20.292773040468347,20.39444576932805,28.32626241845504,38.04398033871431,40.11060729074463
2017-05-07 20:17:19.000,8.066929290244962,5.543172283110452,4.96318091984875,,,9.110207887040534,23.92097170876361,30.895457636522035,14.601189498551571,4.481580229083561,8.529549072330527,2.317157856211874,11.651882238921898,8.220869015463332,7.537030336835082,10.18303966762601,11.395031148546218,11.300417658149982,15.74794305361092,14.797547115331383,20.395971454116623,18.57439947686982,18.25148245293706,26.8227715286732,37.60302726129562,38.49352796453763
2017-05-19 17:04:27.000,1.6285878649233871,1.4646616893400144,0.7663334324689578,,,7.308833837238013,21.65914462541508,27.950953556817865,11.023408398017583,2.185912130057311,4.835945667930829,,7.645724315042185,5.304025738465789,4.975170445295817,7.917740081241262,6.717178062487835,7.787155868599924,12.907193435918428,11.827312753599504,17.306535328948662,14.703308599925773,14.914290887952497,19.602798546486213,28.312618393618955,34.914159329902475
2017-06-06 20:18:48.000,9.188753815479554,5.786729296228415,4.948963106685712,,0.4297095627817797,8.898426378414149,25.20859448849662,30.79461488078607,14.528015420565774,8.20614200440913,8.852695826322467,1.9499301782105416,,,,,,,,,,,,,,
2017-06-06 20:18:49.000,10.561218501308904,6.815515449792978,6.620091091713501,,0.7187643214962908,10.172060157733815,25.50194091116543,31.581955709963403,14.528220522147704,6.201198897502876,8.871859167418338,2.0135734337015445,10.472892112417096,9.522521966183422,8.734446155091758,11.681842158501825,11.14473617417056,10.8853911321409,15.849470615337804,14.165473683235955,19.74799386191957,19.62473665190181,19.53102208930231,28.0536401858138,38.18289176345481,40.63223385274301
2017-06-20 03:42:16.000,3.4583075307422777,2.885143204316487,2.540390071146265,,,7.369236313424038,21.03449566338042,26.534021852793185,5.798121044904904,0.531863605224525,2.6126218404802914,,0.1188688897862388,0.3603111096815592,,2.119180050833887,3.8441826532489856,6.303899026709441,10.678113879899165,7.958662015076831,14.16868531781113,10.978133682732004,12.113088086825837,17.177862454013518,32.124908015566696,34.10110887188341
2017-06-22 02:53:58.000,2.848191198621956,1.7780781736794824,1.0805750033045096,,,5.960685662767704,20.40002210943031,27.083377026312203,7.448032065333457,2.2351721615984026,4.789841572775977,,3.358259930133584,4.242978773810102,2.2156626273540736,5.313625300852861,6.877413998584151,9.129607871701024,13.482890321792482,11.819644515708132,17.365597644159397,17.673247934191483,18.783701401621407,27.789340060886243,40.16598528955953,43.77053729636175
2017-06-27 00:39:40.000,7.753645124913069,6.423393566481332,5.498547215584699,,,9.57021748842448,24.99632941478118,31.2823047018496,15.60147850013725,6.0566023914015705,7.682351680425578,3.142725071289146,10.313668994291277,7.9847168458953295,7.364307700116473,11.35019537945013,12.33878540088287,15.385120793118906,17.71472620562527,13.85397951810702,,18.444260772027214,18.438642226145948,27.7905222832358,,24.19377699283642
2017-06-28 20:19:14.000,,,,,,23.088411692779182,24.00394798650717,24.40171847644225,5.174039041005038,,9.18784676054026,2.337722657987339,10.0930775355144,3.160318087864101,,,,,,,,,,,,
2017-06-28 20:24:50.000,35.91118366041598,20.08214813022999,9.957885916276927,0.6770743301015052,-0.0028574187429213,8.757823385063421,24.27747436852815,30.322242549261656,13.443132874921298,4.885042148370239,7.671706284389945,0.811962224556694,8.71592528318337,5.760694491004413,6.051534000137712,9.522196456210828,7.755237580162776,8.924946048806056,12.730902780288863,13.20668781216018,19.50442521209803,18.32782907892454,18.57246219471204,27.94025024192449,38.289530327363714,39.59155635485027
2017-07-03 20:19:37.000,7.080112462911092,4.586043861253244,3.1724041957782,,,8.3672158705373,23.78681395428919,29.676935431172566,13.328550418866977,5.570396837633144,6.448077231490139,,8.462259194937722,6.458013556508018,6.419061198124529,9.76895586924773,8.871536499561604,9.931409307538251,13.993470806267917,14.283205882420198,20.16243115229993,19.860349292617155,19.608181686841032,27.571227245923552,37.34205310655271,38.619495105801406
2017-07-09 19:39:53.000,7.200085039172032,5.526475653391071,4.62475144889405,,-1.0673093663971978,7.987394108318685,24.08916386251648,29.78469033214426,12.795121819510952,3.748564485471244,4.215494862654222,0.0839226306610494,7.137729506628312,6.138579994400837,5.972278409450204,9.310945899635634,9.41001809450412,9.623935745008424,13.26441892076214,12.045799693809489,18.19891979733024,16.23476300624294,17.548711544286,25.300883739695937,36.11317061460954,36.69971977639776
2017-07-14 20:25:52.000,6.80992667249413,5.052069562263162,4.189729836772534,,,8.106060934336199,22.914219735717783,29.042974247950387,12.767262078786072,4.276085339432568,5.006948188402577,0.1799707937849761,7.441347635650196,5.684963359787461,5.411784268180134,8.838264646178958,9.114128539388986,7.420526842757649,11.463735755308871,11.848515830009536,18.023048180703555,16.595260376495624,17.40981733428317,26.33764040213012,37.88103292796034,39.56832814331133
2017-07-16 20:20:16.000,1.5154655056698187,,9.541246078416128,2.9598529220707976,2.0034811008189224,5.378673796951625,19.74515672020504,26.44195754808344,8.969978481991777,3.571979546448808,3.1745903740623325,,5.906334448221181,3.943386102536085,3.5703120679287608,6.265799134998476,5.597763693786888,6.881971950430007,12.616346788685943,10.92297310782851,16.991561827207867,16.571769908962576,16.52509074725062,25.27280914052097,36.1744415167891,36.37957274344652
2017-07-21 20:26:05.000,,,,16.382425631530342,3.890953301527705,13.020432501178766,25.197907468032817,31.23749699895293,14.71803204129574,3.906455480968325,7.937483589814022,1.9201379856941696,9.990660083220334,7.816332898245518,8.152046126325443,10.86737263780311,10.081917063983752,11.014707872101663,15.920814379086265,14.473636586714065,20.203735066999936,18.595185740066785,18.57340094438697,27.914185828687348,38.26869589881223,40.11895271817818
2017-07-25 20:24:30.000,8.787661926385118,6.341521691711108,6.015881466699372,,1.5282114888670046,11.683947700595986,26.072052673015342,32.72264597357706,15.937193212184669,4.377636732278237,7.876034870923618,2.327162765600505,11.217052326787764,8.843826665784267,9.372929691495203,13.844485076087215,14.181227424149178,11.6495931901458,14.94402436661666,14.681202658948507,20.05205717457347,19.19739120629919,19.93758994916225,28.721626634081,39.01959180608392,40.011659579957815
