dates,oahuoahu0027_0001,oahuoahu0027_0002,oahuoahu0027_0003,oahuoahu0027_0004,oahuoahu0027_0005,oahuoahu0027_0006,oahuoahu0027_0007,oahuoahu0027_0008,oahuoahu0027_0009,oahuoahu0027_0010,oahuoahu0027_0011,oahuoahu0027_0012,oahuoahu0027_0013,oahuoahu0027_0014,oahuoahu0027_0015,oahuoahu0027_0016,oahuoahu0027_0017,oahuoahu0027_0018
2017-03-07 20:22:36.000,,,,4.648707211395902,1.1959624408367748,2.5493972285682585,,4.182281114141764,8.530802943618246,,1.9654224628826715,3.0552516823623543,2.9282228763292,-0.2043574125992923,0.0943039400195647,0.90287835440854,1.4418274691715198,1.9959995823572907
2017-03-22 20:22:19.000,1.108681748909265,4.04401019251252,3.860578048357579,13.25975516285002,3.955329304369967,8.283642730665166,1.6376501805889347,4.30975067409179,12.566459308302704,10.415278438514168,16.83183336583486,10.363611422458996,1.45744602298342,-0.2629226051037227,-0.0817378742520291,0.4639229651142151,0.669273510344975,-0.0148274739009622
2017-05-07 20:17:15.000,,,,,,,,,,8.259349722769885,9.906024969991684,3.3024658166216967,1.4720996458022886,1.0157843071982176,0.324217779820666,1.985626317203156,3.358907843475025,0.9928704970257136
2017-06-21 20:19:16.000,5.916492668808893,,,9.427588259191504,10.741243917489566,12.741175516735709,5.563152696969502,16.799634740093147,23.72620189837408,22.26753033460032,27.765159010662323,38.53241003553795,,,,,,
2017-06-24 17:03:27.000,0.8011055055785987,3.853007808687146,0.491252362282133,2.18328573555556,3.2362438122282904,,,,,,,,,,,,,
2017-06-24 20:19:21.000,33.081173447902835,31.08991632706136,22.038041497496707,26.77607711191481,,,,,,,38.28076484293072,31.398589793265337,29.64880244812912,25.824826913980235,,,,
2017-06-25 20:19:25.000,,,,,,3.925703668651239,2.311972586910138,14.412063187285767,14.92202262739238,3.5402005001337007,12.705036133736462,19.480399240394107,15.484871620268944,8.154131568874424,7.369319831344717,8.493492606615737,8.683241899550788,4.481594776629319
2017-06-28 20:19:09.000,15.889385241491205,29.610182099294903,,,,40.8698242985597,24.46973764409674,27.814961976867178,36.1027245306363,30.512307305074422,29.751767438737623,20.40351036023032,11.927755618593748,7.4899941094064015,9.262637230707496,8.84626611420155,6.427401122672862,6.811468029730664
2017-07-08 20:20:07.000,,,,,0.0846089910423502,4.347827237972101,,6.721582059103652,17.922059747017556,9.957004782134636,14.919180067007575,5.083815989949359,-0.9542445737983074,,-1.0059166127305748,,-0.7242257917961368,-0.8775795573019559
2017-07-10 19:09:44.100,7.901951258978736,15.810277238483708,2.2445018448679748,6.331932289834171,7.00675961161544,9.356958667772435,4.8797223516798525,17.403023627479016,27.99706915822263,25.199093963423785,18.48044328329786,10.55094680157918,6.37359966545964,2.4273302269485826,3.331169653172205,4.572944082464854,3.283580868882253,3.693283565245096
