dates,oahuoahu0086_0001,oahuoahu0086_0002,oahuoahu0086_0003,oahuoahu0086_0004,oahuoahu0086_0005,oahuoahu0086_0006,oahuoahu0086_0007,oahuoahu0086_0008,oahuoahu0086_0009,oahuoahu0086_0010,oahuoahu0086_0011,oahuoahu0086_0012,oahuoahu0086_0013,oahuoahu0086_0014,oahuoahu0086_0015,oahuoahu0086_0016,oahuoahu0086_0017,oahuoahu0086_0018,oahuoahu0086_0019,oahuoahu0086_0020,oahuoahu0086_0021,oahuoahu0086_0022,oahuoahu0086_0023,oahuoahu0086_0024,oahuoahu0086_0025,oahuoahu0086_0026,oahuoahu0086_0027,oahuoahu0086_0028,oahuoahu0086_0029,oahuoahu0086_0030,oahuoahu0086_0031,oahuoahu0086_0032,oahuoahu0086_0033,oahuoahu0086_0034,oahuoahu0086_0035,oahuoahu0086_0036,oahuoahu0086_0037,oahuoahu0086_0038,oahuoahu0086_0039,oahuoahu0086_0040,oahuoahu0086_0041,oahuoahu0086_0042,oahuoahu0086_0043,oahuoahu0086_0044,oahuoahu0086_0045,oahuoahu0086_0046,oahuoahu0086_0047,oahuoahu0086_0048
2017-01-01 00:13:54.000,33.949865335340974,25.45421821441411,23.88396894133807,20.79308948245049,26.131189677973705,34.76321684988508,23.67995485091687,22.014268899885053,28.472922393275088,33.93874087157767,40.38278666156308,23.671031845067443,32.31664804331293,32.03675702066725,38.97876152950163,26.62301714771249,20.05780832213988,25.12822383755365,42.56090716662499,41.88831675643053,35.97802591097409,25.37163805905583,27.71721586794521,32.26514476514403,32.235665669354674,37.62009395125588,36.80769472554159,50.80518187738705,56.70318349433414,45.818014856896895,40.46733934269396,23.16517646507005,36.62445376860937,36.27716237830265,25.88486715043595,18.669146304954907,17.65759557787471,16.097484309702967,18.86554724220233,18.507088766956745,19.30608743478763,23.404019416414044,19.686115328890256,23.04028647295157,18.07782119376151,15.99274341239824,15.160498855656163,16.420683860667996
2017-02-16 20:21:21.000,29.0427565061388,20.43754321415213,18.892219348079177,16.54953529389107,21.314415630901525,33.01604950674359,22.88920686257453,20.0340497361809,25.79030606422617,32.356994251791534,35.78699234940441,20.99435983366756,28.462326686572567,28.94094146385924,39.83163677555488,24.52712199487404,17.440456903363177,21.85214299374539,39.84861019761735,43.38026640063979,36.93274242558021,25.022755194763143,27.84351000294924,34.744745602140426,34.461052161833486,36.38838904813682,34.05150028878749,49.31156832402042,59.82383324458686,46.99971911084276,41.38845418697126,26.55089708839656,36.96068382176033,,,,,,,,,,,,,,,
2017-02-18 19:26:43.000,31.74134079990213,22.41831334167988,20.3375024764334,19.342048603521288,25.63281575757745,32.373297964107444,22.84636920929434,22.604579073097792,27.953305192499435,33.371749789781525,39.09574085644073,24.41877986602864,31.735472301961288,31.300762514541464,40.80265732807871,24.556788417260744,18.30097887623499,22.824556146087563,39.79403780558251,40.600890854576186,32.46998555878577,23.206672077376343,27.42501236994748,31.460679366332243,31.994260607481365,34.63298852257223,32.348031224694985,48.83133963999664,57.4859227016081,43.96305040056571,36.21000856732323,21.91085652814357,34.92479876071269,35.36452961798663,24.08672773258646,15.27628547461414,15.436768935032076,16.229988467934515,18.38851361415984,15.514733591003877,16.523524088836112,19.598978174121555,29.85707231024328,31.872386750564324,25.931365029279707,20.590711354401503,18.96203927436517,17.801973659693395
2017-02-20 18:08:41.000,31.85625383118653,25.77759670374584,24.84987960324437,24.950662137103045,32.69190362321519,33.39501825768101,26.79895292001429,24.8408141053348,30.34654610964398,38.52491324068269,41.27662545827514,25.00311181933037,33.52829564282204,34.922418156906005,39.53057311814258,28.42715150882616,19.335863376621564,24.134786188693905,42.803202232823686,40.955418589633126,33.90869484243736,25.22832256393924,28.48090919025912,34.824480078964086,34.721037954373195,37.41561912975432,33.91566420210967,47.473201616718896,56.7857884369424,43.864759926808006,38.67432703200889,25.231758588999813,37.18304448840293,38.02622876255022,26.21597710685419,17.26385107619099,18.483075505694178,20.893229700735283,17.70479671692285,15.41543541820327,14.675300198480958,19.516076369702635,30.473298975968053,31.987299781848733,25.01912224906924,21.97740465652359,19.444620991366552,18.054050942421323
2017-03-07 20:22:41.000,46.86262946293686,42.38280260697919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-07 20:22:42.000,43.06492251572057,39.27877764362128,,,,,,,,,,,,,,,,,,51.24791346507357,41.747397120947525,31.17662799447117,,,,,,20.678609140299287,,53.74398503883275,47.88017037472196,44.41727035088412,,57.83709106947467,,,,,,,,,,7.958204051456899,10.793079686246251,13.045347497376053,15.482505920992512,18.957286875992096
2017-03-13 19:16:21.000,28.516045760190178,21.431344598523086,20.55443079871112,17.799188038470675,24.349438671080755,30.6908781043948,21.020053395435013,19.513909485113498,25.88143598208772,31.92321860230453,38.17808706243915,22.789629624641627,30.76612471501202,30.773074966004536,37.33694975650351,23.278885775891627,18.898908775878176,23.00706148580341,38.765042846261366,38.80280756774385,32.58701519061363,22.86535791355426,25.421998497327007,32.01355970872412,30.63292841184549,34.72151539413532,32.3796989001138,46.85037517552035,55.29481876822175,42.0075577610889,37.02717566767713,21.98398443535697,35.35823455166624,31.92108215977639,21.735816013748217,14.70904963568073,13.038250408527873,15.108996506055393,17.32828800071287,14.33117479996959,12.455726861593618,17.81108943567978,23.634499929062365,28.50847474977612,25.41798752420313,20.63505144107534,18.88893286713468,18.71329559062412
2017-03-22 20:22:25.000,31.788658425261687,27.38023628293608,23.64214240814848,19.08994694146266,24.52453901893185,37.6782700544681,26.180972065594982,24.661913395181223,29.267055723568816,35.377129164575024,42.4867484098537,23.20966508874418,31.80052787631576,32.368282416406736,36.13772482798174,23.10815331403988,17.688961615916238,23.159278833034936,37.9113373699727,36.61174334124078,31.424400952989068,20.224652162614536,20.48510754795485,25.88019956558829,27.204210068222785,30.72606222492436,29.042362191614032,43.39059240731982,49.54303141605134,38.76613701272357,32.08545243886662,17.86785096623399,30.07014042758256,29.87413904996657,21.824129722744605,,,,,,,,,,,,,
2017-03-26 20:23:10.000,42.686302947153415,36.49666791822921,32.18887126025398,29.695780231657583,37.99043723781631,35.72256395157338,26.866122315435245,25.669780409398754,33.24977144580117,39.959866812826064,,36.103792448931,35.734128755554785,31.70257678265653,42.24952857545762,27.56032489350409,24.74189103984571,28.55666630747164,41.84618329981503,42.24353486685113,35.68050535015575,27.29541585783677,29.875399544388547,,,,,,,,,,,,,,,8.616986402649536,18.44104275510438,18.054423425159182,16.27397087674649,25.29423810073173,,,35.69730272537738,45.42542247760501,,26.599228419540907
2017-05-02 00:12:35.000,35.53724126965495,25.2465993634638,21.10769407666275,15.94737232201275,9.982012211630938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-07 20:17:19.000,31.96426217959228,22.40621385808709,19.5643480636512,18.121204091757377,28.22359212063392,32.69588306972317,23.06750967110112,22.405863802588108,27.42026746447773,34.47989291331751,37.78190668350653,23.21679426866028,32.16357283392386,31.74520903345622,37.20416475199242,24.86378639196075,20.08669989702654,24.670931113280783,41.9195726368375,39.36011535608477,34.0167031908431,25.336330912344987,28.23080297064422,31.85666991607349,31.87838321519217,35.071214939201404,35.33291764956318,50.91681589979508,53.52154332554903,41.86097855812228,36.79869898128632,25.08900787398674,36.93141205557455,35.16184429980452,24.015837866432538,16.87778495953835,14.401166653656963,14.173895437818066,16.17280134210358,15.523443766609018,13.938294916390292,19.947843880331863,24.82676889570179,29.63083418879829,26.94917980242377,25.82344211572839,22.963080418797794,22.87119414259552
2017-05-19 17:04:27.000,26.9555706664153,19.262243924301345,17.385250191221505,14.643109420349996,20.997352296226342,30.067021602817626,20.25775817593476,20.03052678502388,24.56363399981101,30.530433043785266,35.686277105692014,19.869844998102824,27.037419928289943,26.48940812411601,32.3028458406009,21.24764924163525,17.37320671994996,22.88979961041914,39.44230922917314,35.08280085018608,31.20766235204444,23.493642811486342,26.50689667080494,26.537867303995647,28.04981723500273,32.14667287388213,32.60026473911974,46.47220479748361,51.37405092780492,39.62539864752022,34.909233226604435,22.370870661975232,34.517202094918794,30.80731386659735,21.437477816193223,13.72366892064987,14.143322339872746,13.205838657862913,15.2216703395652,14.84779209987997,12.955043226471773,19.349752502292223,24.817475241297306,31.0509782399868,26.740193574435548,22.99694914612524,20.168376711348856,19.307795084140995
2017-06-06 20:18:49.000,33.412153996606214,24.25418042062299,23.97260605198437,19.22166171212781,25.603244229479667,32.83680642491868,23.33425771620476,20.93708856391025,28.45857825502163,36.68922660323226,40.936950151664426,25.04674053172581,34.12460930998282,30.02382277159496,38.34078261309189,26.12210467255259,21.05157933659457,25.999846433513305,40.378682559707066,42.162390055447794,37.27743540844989,27.241381831393674,28.230221224034768,31.26002056096273,31.905824749141555,35.385466762185274,33.633661220180464,47.34833406985071,55.68071697114684,44.25709338881537,38.25716388230365,23.03298793243104,36.57032852357925,33.928126192207245,24.30789683655723,18.082673498386896,19.22544759131786,11.951289846547432,15.9836524067761,15.776169790964667,16.844961880454942,23.58551431122576,26.3467713983762,30.789523828484977,26.19784099424644,22.12855848713709,22.02600115964803,24.46697009319475
2017-06-20 03:42:16.000,27.518719675233704,17.445215892328225,17.4352077738993,14.18843780737076,22.05498426876008,27.61696767511367,17.392112896581285,14.558878091607957,22.23037733682389,29.38335276080093,35.253665771614884,16.969810334579886,28.570972541247286,29.238207576611646,35.257318641244616,22.301967854159216,18.93319756916416,22.847726508001347,37.28923578197983,37.46959153531195,30.42091553565099,19.25140538402699,22.26878373662912,28.566633921081213,28.210240865968323,30.47554981118448,30.331218061319024,46.205801043218685,53.21172551634129,37.94968522440116,34.79823008001535,15.594533186091224,33.81094206448014,31.81947569890457,20.920110499304403,12.958989434155097,12.607289686901044,14.448561036233423,14.60162749841226,12.57608850719652,11.64574931409401,16.601654152570283,24.87998030730716,29.585022054244327,25.188748707979347,21.52678413962849,19.539648936526827,17.621441926847364
2017-06-22 02:53:58.000,35.06206352333732,19.90761732134577,16.048069046557508,13.798160941189188,22.24772841999016,29.7825434779847,19.658260852094703,21.426367315748287,,,52.3608835882624,46.07247563860973,,60.14035878798679,,,,,,,,,,,45.861530391901226,35.80332569739036,32.299043944120434,45.94340349036656,51.47473967458308,39.02336667475263,35.02074837845281,19.535378470486567,30.976938081774687,29.223188772344347,21.15969067716676,12.518728072789669,10.877478120619868,12.014716525827318,13.78794595424111,13.374496552488644,14.193018610514072,16.867448950826855,25.67519328156536,32.870273039860585,30.09520428902299,28.10309882683228,26.593742681370266,26.44406455055212
2017-06-27 00:39:40.000,31.26178230604052,22.68833577088032,3.8094844337534526,2.951453027819692,2.062538928198613,3.517296285066867,5.692190579794804,11.145654456948302,21.089657802571384,25.86309997485137,40.38006060658926,31.13900322154715,60.10020425131413,57.28083418585128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
