dates,oahuoahu0038_0001,oahuoahu0038_0002,oahuoahu0038_0003,oahuoahu0038_0004,oahuoahu0038_0005,oahuoahu0038_0006,oahuoahu0038_0007,oahuoahu0038_0008,oahuoahu0038_0009,oahuoahu0038_0010,oahuoahu0038_0011,oahuoahu0038_0012,oahuoahu0038_0013,oahuoahu0038_0014,oahuoahu0038_0015,oahuoahu0038_0016,oahuoahu0038_0017,oahuoahu0038_0018,oahuoahu0038_0019
2017-02-20 18:08:44.000,189.36308234392573,185.72494553464892,192.48918688391623,187.9368454205567,188.88138306781465,179.9664844309325,182.4975708845737,186.29636543538533,191.9662871517798,187.4297543314024,188.184204611048,188.09188362128043,185.9589263943671,189.0342767570088,188.6451702660126,183.5614401624185,184.01845550394071,190.95417706020623,182.3188526883755
2017-03-07 20:22:39.000,191.07888277374863,187.11807151255348,188.3699231976064,187.0457157122356,188.8210194757777,184.08494469639444,184.80749689568523,183.6161858679046,185.68229278318,183.75334465499927,185.5905752769553,185.14035940013449,187.42860632163504,185.33365661691576,186.0002941799396,182.5288076147039,184.9963279240199,179.7878753529884,179.06612106224492
2017-03-22 20:22:21.000,187.9378958330965,187.03849296425184,187.8698048927602,187.9517237717355,188.5988825645489,184.9495535086475,184.5853599844564,184.4548545661872,188.6183044419508,186.9264877108841,185.61995533977537,187.0385740922496,187.06213346482983,186.63232744636187,187.0513723488434,190.0638352326089,183.9259759617403,183.80690768547305,181.2029061710036
2017-06-24 20:19:23.000,,,,,,,,,,,,,,206.3077736952019,209.52249650545224,204.81482861187808,209.7183460680287,201.01997838121352,
2017-08-08 20:24:50.000,199.0757992581765,195.2449336164784,190.8313082643691,190.82422131464395,189.69842325367668,185.583529902219,186.80285722829908,189.1341636673382,196.85606699289352,187.4087838731946,189.75983858479364,188.7384019105154,189.8288769763864,187.8914766063769,188.2292677675745,192.3088797587055,185.57403463464675,181.1467396142383,179.70883792359948
2017-08-08 21:28:34.000,197.00416627087372,199.4534764443934,198.69704573018564,201.69247063683864,197.58539899549112,190.98385441479203,190.73399234630327,193.400530077678,202.19709492272105,189.7639022894601,189.2300067686898,189.99120256155408,188.6804046659212,191.6249372317469,188.86487123372385,189.9695523289158,183.6463552941654,182.58916438949336,183.6859842624464
2017-08-26 20:23:14.000,189.5879067268792,185.22742929406,187.66325722635864,190.22937042041457,185.7112604402608,185.00819207966927,187.66097473271927,184.96194104940332,184.57595378337908,184.29272049374828,185.9934600064552,184.41117592824872,185.6538238961536,187.6619910208337,187.83677609470016,186.8711849690416,183.07503861143303,180.94657118674772,176.55889320870142
2017-08-30 20:23:01.000,184.1140558195996,180.5054467347185,185.7729236581512,186.7043225872252,187.20649950708253,183.51207834765663,181.79289907094045,180.8474958028272,180.49571265739087,180.47872129425056,180.9091347126628,182.57240345459363,183.5143135734168,184.02137768205003,183.7668216516344,182.0586516183499,176.91802774194937,176.7860475431648,175.96401593732858
2017-08-30 20:27:04.000,189.6561119069466,185.8783395646209,194.741810829472,191.60564299381244,190.83864613719072,190.56428244622367,189.8088905063708,188.840463130689,206.36649308028427,186.40295415916464,191.11955443058707,192.3093784839364,189.267271903476,203.9454341063784,,,,,189.2341017640014
2017-09-03 21:38:24.000,,,,206.8077932721512,209.7630967224128,,210.5219179054052,,,,208.8225609985814,,,,,,199.5017996789851,,
