dates,oahuoahu0050_0001,oahuoahu0050_0002,oahuoahu0050_0003,oahuoahu0050_0004,oahuoahu0050_0005,oahuoahu0050_0006,oahuoahu0050_0007,oahuoahu0050_0008,oahuoahu0050_0009,oahuoahu0050_0010,oahuoahu0050_0011,oahuoahu0050_0012,oahuoahu0050_0013,oahuoahu0050_0014,oahuoahu0050_0015,oahuoahu0050_0016,oahuoahu0050_0017,oahuoahu0050_0018,oahuoahu0050_0019,oahuoahu0050_0020,oahuoahu0050_0021,oahuoahu0050_0022,oahuoahu0050_0023,oahuoahu0050_0024,oahuoahu0050_0025,oahuoahu0050_0026,oahuoahu0050_0027,oahuoahu0050_0028,oahuoahu0050_0029,oahuoahu0050_0030,oahuoahu0050_0031,oahuoahu0050_0032,oahuoahu0050_0033,oahuoahu0050_0034,oahuoahu0050_0035,oahuoahu0050_0036,oahuoahu0050_0037,oahuoahu0050_0038,oahuoahu0050_0039,oahuoahu0050_0040,oahuoahu0050_0041,oahuoahu0050_0042,oahuoahu0050_0043,oahuoahu0050_0044,oahuoahu0050_0045,oahuoahu0050_0046,oahuoahu0050_0047,oahuoahu0050_0048,oahuoahu0050_0049,oahuoahu0050_0050,oahuoahu0050_0051,oahuoahu0050_0052,oahuoahu0050_0053,oahuoahu0050_0054,oahuoahu0050_0055,oahuoahu0050_0056,oahuoahu0050_0057,oahuoahu0050_0058,oahuoahu0050_0059,oahuoahu0050_0060,oahuoahu0050_0061,oahuoahu0050_0062,oahuoahu0050_0063,oahuoahu0050_0064,oahuoahu0050_0065,oahuoahu0050_0066,oahuoahu0050_0067,oahuoahu0050_0068,oahuoahu0050_0069,oahuoahu0050_0070,oahuoahu0050_0071,oahuoahu0050_0072,oahuoahu0050_0073,oahuoahu0050_0074
2017-01-01 20:19:47.000,-2.487132702222123,-2.1496272961905483,5.531954292488518,8.773657534931441,11.77294996063372,14.39637480608973,16.180630178802023,20.650443570176204,21.803646490887296,36.1991173197753,20.50266446576741,16.821839653978923,18.22369494626923,22.588948554313177,16.653014720177797,31.123629783988484,24.149241176714984,22.8432350324418,9.974543195937509,10.131212617028622,19.487113424345885,20.81670905702367,11.378101415556245,10.557351652251423,13.657232426391875,17.646683405494734,11.707220291217292,12.762161984841017,12.96173687623216,10.791825316778386,9.35735005427474,3.1538556716389152,-5.929179983470247,-9.932829143889563,-12.090982372695386,-7.276351928848319,-7.860886209189879,-10.13483227042709,-19.40123786273113,,-10.297061543743874,1.351578187230167,-9.740916169441558,,-7.326124746784362,-2.485810805141625,-4.471290775050733,-6.7358120913042825,-2.716716508789453,0.4674974930037371,-8.076199852004304,-9.203532683372575,-4.499605126154796,-8.077735596230392,1.2694124364743933,-9.487510258977215,-10.21763123795344,-9.985774357820263,-4.877735082800733,-7.411099498512229,-7.652717754508622,-8.19327781325419,-1.8999785131202176,-3.4798623840725966,-9.302589171924868,-6.525346334081782,-5.845572005594571,-12.350579021291251,-14.217543586821945,,,,,
2017-01-05 20:19:28.000,-1.4737179586727511,-1.4329830076036498,4.089749543148659,8.983273552603372,11.836935713139724,14.00563315910398,16.346014680247478,22.73591582039379,25.821916247740383,37.69720457417847,21.51607920931678,17.96929771533398,17.835706662884895,22.928318368704183,16.025669688233656,29.04342061403028,20.838287936261963,19.95600362175542,7.521266087774346,10.388966943627835,18.03061404787215,19.148467326292028,12.562062261447371,11.369141178050306,16.721936285566365,18.660098149044103,12.814971023091262,14.239957802314237,12.029715578328531,11.744020674655332,10.98000794715594,2.380598919248392,-3.894727238912453,-9.746680306386288,-8.985086670158228,-7.140469844077148,-5.905184964162038,-5.395102077170397,-4.619166522499158,-4.026624230767344,-0.974628395495437,2.061683453701864,-3.844149302826944,-7.889137167369538,-8.708996367546412,-1.3358964971868774,-1.265479775699963,-4.301101941091038,-2.2401036498377747,0.6527831902190961,-9.049751876295897,-8.520766068984896,-5.374662285944399,-7.114914546316709,0.6193613840445267,-7.079541630931025,-9.076639097575589,-9.489505221058506,-4.436550509238562,-7.099068069516641,-6.918365248042636,-7.554113871553713,-6.574653400762217,-5.4422003619046775,-9.610626598085249,-7.934618343868373,-8.0137063215023,-4.191573864185593,-10.772292748105208,-10.734208181644991,-7.331348645915194,-3.766241713130658,-5.229364369052592,-18.07689831488475
2017-02-18 19:26:46.000,-2.3631353305546137,-4.509740402280763,2.005101441566264,7.081836864178686,12.463298378214672,16.880895084956627,18.04541987366936,21.799502430876103,23.721268858905667,36.110372138353895,24.56399224762381,21.37866565173905,20.31651591310174,22.88143448411823,19.37925298954808,35.19702334139701,24.395712577127377,22.64117042607107,10.998606503769524,11.402999983949622,20.2773092141209,22.74810787934787,12.549781024254385,12.464224163184296,17.237503504233217,19.61162171585473,13.55535754095642,14.396979689398746,11.979802515913532,11.95895417437287,12.243286114540474,8.08408473732945,1.474639683605246,-0.5955878257248354,-5.517342226798928,-7.317062132231013,-6.590510585104924,-7.667431476525262,-6.5929302712249855,-7.254251721082151,-5.420153958764746,-1.2566540756599676,0.1218404098900041,-0.8472265710092384,-0.5964670096387198,-1.8658987537220613,-3.4169256383743174,-4.976285119886776,-4.518428597005488,0.0959090265070325,-1.8374239647969093,-6.377331603054848,-2.453818305638298,-5.667171566983245,2.120268273861728,-6.853070295052004,-6.598821804853171,-7.224136712551657,-0.1096342010906366,-2.160169303139072,-3.94701717173771,-4.657084580144683,-2.236377586939821,-0.7618075218261541,-2.495571976538291,-4.237626125567543,-5.472838431341441,-3.702055448380887,-5.770424289980251,-6.873455099636941,-6.545898294824734,-1.7826181621783816,8.222795516845961,-9.176656427821696
2017-03-14 20:21:06.000,-0.619911062933119,-6.495248960815304,3.0129692121023064,7.065007882200942,12.26510011689808,15.112110047187306,15.605918513256864,18.85537505873842,21.782361759236192,37.340142621052365,23.382821388800767,20.263050043109565,18.0476422188446,23.136369264080297,19.600089994521145,30.9435739397552,22.8071576900829,21.4965506812848,9.1373071456716,10.927394054195032,20.939338917750188,22.04864426187245,16.77363637187025,,,,,,19.74152184446333,13.665628794071022,15.060268528637613,10.091917367901145,0.4860294479872469,-7.145477630132107,-7.332288548074685,-6.331147350574985,-6.729833682163824,-7.749249732401039,-6.189317687153955,-6.965166194927716,0.5235781011764413,1.6275952144371868,2.542543425560873,0.8906434089250201,-3.2502551913423643,-0.1858501268897352,-3.2985790689446643,-5.454981865287091,-3.943062021644198,4.155438555620373,-7.343210528678503,-7.79719688358045,0.8508429266423942,-5.6849188348497846,1.100857931756104,-7.906793862586815,-7.413127513681977,-8.904594138065942,-2.7336030566648715,-5.8791531766333724,-5.312355935360745,-5.8566094451391,-4.348822903342216,-3.674254631406284,-3.8766237250523607,-7.155331016784621,-5.562507327393624,-5.850716657409319,-6.957180494660196,-9.654109077305392,-7.602594511574389,-1.5423243892536564,7.648280761243684,1.110309907920816
2017-04-07 23:37:33.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7929177040257167,-2.2178275016181868,-7.949861221971499,-9.283915619174982,-9.884192360531584,-10.081847832444586,-8.746489465107214,-10.967028334052175,-11.451779038940542,-4.011445188532719,-4.48570914701685,-1.8058442421613403,-7.443751952720703,-9.71198551005718,-9.990191931303595,-6.3674011836923246,-9.343650728400402,-11.000722088792442,-9.20543263256572,-10.305265417485897,-15.74429620892902,-15.774039612825227,-11.462129552180716,-13.189324256436768,-4.597989664904487,-13.863894018227402,-10.884564705284353,-12.414373261814452,-4.839198073594783,-5.28684596471985,-11.407855109698172,-11.363191479910787,-10.173863298191344,,,,,,,,,,,
2017-04-13 21:49:27.100,1.346449314526674,7.744642912409074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-26 02:33:10.000,-0.7206184575959289,-2.030971255330602,0.000227928827666,6.47420085307902,12.016322430389687,16.4752492475745,16.571881932075303,20.08806961960208,24.79982250887616,37.42492817221154,22.6290177091978,17.56405061155451,15.197107096066327,22.00305339180096,14.901010596200503,31.088993869333542,21.692138304352323,20.8222333415864,8.271118866799775,8.261853977814937,16.961514883566554,17.102466870188294,8.680912437984961,10.48553308655464,14.344320423229068,15.792132376345156,10.11944052625208,9.710180392312434,9.415913162553394,10.998511684904503,10.230233946242343,5.8244803292367,0.1824861884743251,-3.99520272386693,-3.586231604902766,-1.2812213930094527,-1.0749556917585716,-1.4355610837253463,-2.2868252580877435,-0.6491342091922545,0.1552537026260092,-0.1471880933425386,-2.259754212068998,-3.616990543072502,-3.0270723065866783,-0.3844089591391861,-0.7060765839295298,-1.1550239462984526,-0.2644431411426355,-1.4075767097979683,-3.954025984705407,-6.179935999945021,-3.365120120319641,-9.0687286971773,-4.080758330230543,-12.7673252595944,-7.641242492209344,-6.973527157526119,-5.945885794541042,-10.190342514063168,-6.237571540013342,-5.667565586644852,-6.714367189707552,-8.62615109345002,-5.267418622723799,-4.843346600561448,-5.939792970659742,-2.051376433051601,-4.957914569585775,,,,,-13.730624133692984
2017-06-20 03:31:36.000,,,,-7.030487045004414,-13.407949363657645,,9.564136980302656,15.357904378366625,19.64360582212525,32.335736008746025,14.700100276984866,11.365944044860033,10.91697458497294,15.380609646180826,6.903614973751076,22.82246098465951,14.635987430841478,14.403145429471484,3.127031322238594,6.374315292226165,12.709125388587475,14.173653674774853,4.822167881379692,5.931964379220074,9.776452153305804,,-19.296021151483945,1.204694407995398,7.771427066456931,-9.17049524121179,1.9611127118682927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-21 17:04:43.100,,,,,,,,9.58559428870922,17.06013927556424,28.081999700580813,15.751565130212494,10.98645835151128,11.20945069396847,19.522722906583503,11.406612627057314,24.021185260279186,18.94888882074165,19.640043074199617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.529527605048671,-2.985087296867569,-5.763731544361164,-3.659473325196665,-1.687015184163073,-5.138295796328041,-6.647841963690432,-5.320692243573316,3.317681877277888,8.568064450893186,1.81830624479316
2017-06-25 20:18:39.000,4.688369139724751,1.081045390269237,6.895999113770968,9.760263532391171,14.585800740781144,8.864769576183269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.878193785940203,-15.280216061056676,-14.095500565088438,-11.491504623665014,-14.989895246985917,-4.340095854666204,-13.952755390793468,-15.678042285083178,-14.767197024387215,-11.04490317356752,-13.330172777226174,-12.459697939737469,-16.375601845026676,-15.02504637576241,,,,,-15.541790403186043,-17.850598129926542,-22.19008473340805,-17.945282161014887,-12.366858482125462,-10.552139002755592,-14.743240063653309
