dates,oahuoahu0009_0001,oahuoahu0009_0002,oahuoahu0009_0003,oahuoahu0009_0004,oahuoahu0009_0005,oahuoahu0009_0006,oahuoahu0009_0007,oahuoahu0009_0008,oahuoahu0009_0009,oahuoahu0009_0010,oahuoahu0009_0011,oahuoahu0009_0012,oahuoahu0009_0013,oahuoahu0009_0014,oahuoahu0009_0015
2017-01-29 20:21:27.000,,,,,,,,,,,,,,,
2017-02-22 20:22:34.000,7.547107448938501,14.011212111322653,11.6449515729623,7.541824027278706,8.425100761257358,11.359400253402098,7.309202573582918,6.519061864932304,9.258220557498571,9.134210173878389,5.0653615912738825,2.1856137348283453,8.092734096301808,13.44590043247071,11.755343815372662
2017-03-02 23:39:25.000,,,,,,,,,,,,,,,
2017-04-12 20:17:21.000,31.98924564944079,33.1827250351562,28.97198707558116,20.277708478002,15.46609369603292,,,,,,,,,,
2017-04-14 20:43:39.000,19.43601838475752,18.82881391717622,14.077226794882204,8.118351864789869,9.330389097230464,13.762431770979497,13.495353127691734,12.556462236551187,15.188078568528642,13.855277069958325,13.336512599454096,9.664505528540293,4.724607421201515,20.27341442200732,25.320918729282376
2017-04-15 20:24:33.000,11.836661977712524,15.523722476481586,10.867107852086212,6.306363660900134,10.320302879565554,15.650652730723946,12.36006980008627,11.78213205220258,14.225289687429584,12.77373538425608,9.645422818758824,7.410321956276446,6.072049117229524,21.007844041681988,23.7067825895826
2017-04-19 19:30:11.000,16.720191011905555,17.746308426054245,15.306533417212734,8.048653298891212,9.390759387439266,10.791441355006803,8.520569711125722,10.24347077193488,11.69720864320784,8.626580290993216,5.84566437759418,4.212701550903663,1.2953494483516237,5.450405500684785,8.267197780566613
2017-05-07 20:17:15.000,14.037011367813154,19.62612427799853,16.5527754459924,10.86340704849974,11.58256873160081,16.272117703727975,18.40452197337284,,,,,,,,
2017-05-18 20:25:28.000,16.584440710709483,19.369015958862448,17.00320907256762,12.148958300170316,13.437553196667144,16.917391966938645,15.795161007841386,14.461808481776789,15.073219106885018,12.502099383780704,11.486996100441734,10.623440464778929,9.320670910841311,20.73519669030694,25.27991687765213
2017-05-19 17:04:23.000,,,,,,,,,,,,0.4500734384436339,,,
2017-05-25 20:18:52.000,12.758573690493566,16.363641678668174,13.135302546324986,7.953093048606634,9.907863177046996,11.484175248582831,8.394118181938946,9.166371527819994,11.865704227616762,8.051357484126928,3.249741019231379,3.248194186016116,-0.916040384110961,6.106436276776764,12.372347121194055
2017-05-31 01:54:05.000,19.99087312279977,22.246133669875896,19.772724913425204,15.816363815009478,15.87407932989182,18.377601403519463,15.58044806457035,12.80729300747333,14.877345862806669,12.268195153339317,11.636875523699556,10.443468617193991,4.9016223763361975,11.38761566300091,13.111437238537604
2017-05-31 02:55:45.000,18.653369303439312,20.881949592155745,17.027401788317963,13.913212409522435,16.106608663052068,20.32256262420256,18.241629999720185,19.351153889929485,17.493123500013795,15.14751568542507,14.321903286191665,12.835169973093445,8.394200720770495,12.004624057201427,16.41391780989751
2017-06-05 00:02:24.100,,,,,,,,19.73546295483183,17.390680732774037,13.912394213161535,,,,,
2017-06-06 00:34:42.100,19.63992413467001,23.267231841199976,20.09369699815714,15.159367243670046,16.733403699957083,19.02439684183103,18.315759979581905,15.595324522014105,17.552534803904912,15.551856719238437,14.398785472241691,12.325527739170331,9.163173789211497,16.78768377675148,21.91696452429539
2017-06-11 20:19:49.000,21.476406649566947,21.779583490054687,18.76419446070958,12.219328725915856,13.669602383701768,35.652834704993616,34.73902928095542,23.552357392140905,15.805085447510688,13.56518777285084,10.97831426127454,9.180182966299954,9.767036189320258,25.52319026818459,30.678269084364253
2017-06-27 01:00:11.000,21.32113129405293,23.612933335716587,20.766784129676232,14.671266618476883,16.393051408009704,18.414582895608174,18.580630748189773,17.776858345838825,17.211911812400444,16.58254844752019,16.833698966747715,14.566410996829015,9.539719612931725,22.86892040952636,28.167400226315348
2017-07-13 20:20:23.000,23.67051770111949,25.90252482555859,22.53399483914404,13.805876690548557,14.79718536410654,38.34205905386644,37.2638830603207,28.036626711398903,16.006790982162414,13.145169715392855,11.861332654170322,11.172245215017616,11.081311999922114,28.789713641839768,34.571221974273456
