dates,oahuoahu0112_0001,oahuoahu0112_0002,oahuoahu0112_0003,oahuoahu0112_0004,oahuoahu0112_0005,oahuoahu0112_0006,oahuoahu0112_0007,oahuoahu0112_0008,oahuoahu0112_0009,oahuoahu0112_0010,oahuoahu0112_0011,oahuoahu0112_0012,oahuoahu0112_0013,oahuoahu0112_0014,oahuoahu0112_0015,oahuoahu0112_0016,oahuoahu0112_0017,oahuoahu0112_0018,oahuoahu0112_0019,oahuoahu0112_0020,oahuoahu0112_0021,oahuoahu0112_0022,oahuoahu0112_0023,oahuoahu0112_0024,oahuoahu0112_0025,oahuoahu0112_0026,oahuoahu0112_0027,oahuoahu0112_0028,oahuoahu0112_0029,oahuoahu0112_0030,oahuoahu0112_0031,oahuoahu0112_0032,oahuoahu0112_0033,oahuoahu0112_0034,oahuoahu0112_0035,oahuoahu0112_0036,oahuoahu0112_0037,oahuoahu0112_0038,oahuoahu0112_0039,oahuoahu0112_0040,oahuoahu0112_0041,oahuoahu0112_0042,oahuoahu0112_0043,oahuoahu0112_0044
2017-01-01 00:13:50.000,39.83979403885961,45.281192627588986,49.39488078320729,53.62729380468655,51.36158775832198,46.103351291424346,39.6837351330748,45.19917657976813,54.61229992957113,48.29258318090552,53.26788432321849,60.254437344637125,62.35641561915558,60.61765884368637,56.43978737150124,51.23682733963167,44.415612031744814,34.79938143273903,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-02 20:21:46.000,32.57677668284025,1.4957634133294813,14.672511875192528,29.02809459010767,40.98149199711843,44.38600881652876,37.32507611151949,43.26518637401247,50.7925148161757,45.05744739298361,48.8517956097112,53.220106737971015,55.76476705821568,54.27490266331093,50.89668240458547,45.78031612262971,41.21820138750541,35.57339602250688,35.1555173601655,36.051243989019135,36.69311279646509,46.54958801768119,42.803637958112304,40.83574609448855,41.85050690676576,43.93828180698721,35.49960926566295,32.34949257135035,29.413820760414342,27.737359222161498,28.543212080778847,27.849400109889352,23.941821099506733,23.293168230623213,29.99843431654737,36.15843707076053,37.42850799387129,39.15104925743543,35.55766359560796,31.872936464367275,31.40716598614857,30.681227615974205,30.028349764886617,27.615367069312683
2017-02-08 23:27:57.000,,,,,,,,,,,,,,,,,,,,,,,,,,,39.82776333744365,31.34884776659103,28.954985154443225,26.849621092764096,25.82209598448735,,22.074843576532366,21.50600905438204,28.974306157563227,35.38820005378954,,,,,,,,
2017-02-20 20:21:55.000,37.91004858124908,41.76885451703403,47.56282020258578,52.7410178617148,59.83396097512089,,,,59.53809664190441,55.12042298371276,54.33811767497056,55.7993713147978,57.91274412199629,56.208108853252426,54.53849033571312,47.60017979727774,33.62707625273116,24.00699397820576,21.87514154935342,20.83036963554049,15.442526354106391,29.457539643911296,27.83611739163177,22.50461402515525,37.539212656290566,37.6727227052075,29.00432294683761,33.36124592516643,27.23792157724985,24.954087124993784,26.720973668603826,,,,,,,,,,,,,
2017-02-22 20:22:35.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.65064324963067,25.48843668811213,25.67817549008306,32.30435279332132,52.77259443265002,53.83871044095909,53.96257294795952,37.47901191078348,33.0610447886735,33.803383318806766,34.991746683793195,34.332108114427086,33.157319252449284
2017-02-22 20:22:36.000,16.66486368625066,29.91917937253351,42.54282658865002,50.12066006718107,50.27162344806194,49.54796755479087,47.374087985839736,51.6356027482102,54.54051986704782,53.72509049852807,56.783479182849206,60.15079079176955,62.3360018565263,58.20560243358067,56.37768631258788,51.70955017100926,44.34383196922151,36.84970473583812,30.62508088557951,29.444282369553136,26.19313152704692,38.0864682624194,32.20710747040853,25.51003388724479,35.06182844195187,34.58158686664155,29.97311635346104,35.66105949596676,29.469539058752567,25.83294037686765,27.65946845951039,26.832709851848566,24.870854877193626,26.781634732934258,35.063816057763525,51.63588432032648,52.58334974073854,53.96399795597765,38.140578368716376,34.988859180952474,34.14642567289443,34.99178531704778,34.33214674768167,34.059338486956634
2017-03-13 19:16:16.000,33.180450364028296,38.41557361117278,44.900593966989206,46.74717665921964,47.25533567004786,46.82110340907168,48.2335961526136,50.46997615914465,52.32778325790569,54.79555769652076,58.24260088790809,57.36548325633599,56.43924166929759,54.28664972455133,54.04680395927527,46.99202984798951,45.09717687079474,39.52034918336914,33.66305066995069,30.487723908268144,27.51439476496258,35.21157447451874,35.29305873971536,34.4198675037263,35.44553600202909,36.86421253008443,36.8779991517905,44.33049391888268,41.28286102618577,38.22468831011475,39.03436466739269,40.90795759388676,30.773224378909127,20.495615953441742,23.35643409998467,32.32946149859853,42.76458895936766,37.9509469262365,32.978497965005346,28.122725579495608,,,9.716768163847073,12.672377530948228
2017-04-15 20:24:35.000,32.48172559982376,36.04497740413475,41.15809790177028,47.73327605477975,50.56453162397506,49.283452748142224,46.08135740360021,,,,,,,54.11091467659092,52.11190529741437,46.585713589353546,38.72900774725691,27.613938403351256,20.630687033718143,15.43925700286706,10.62323363211862,26.18912920681098,28.45632879935588,,,,31.974980824669807,25.79902593087964,19.611273230535737,13.45185037120909,14.849139794305811,,16.048387948207186,16.30483603433376,18.795543195683987,23.04201539568061,,27.793272377824653,36.1108201113306,32.289944372728925,30.64134217623669,34.258432016457334,36.876795413328985,38.86251815386874
2017-05-18 20:25:30.000,14.78147334923842,20.427608049355864,26.779532464381937,36.47194687008423,42.12000551028071,42.8619008359436,44.72259579290464,51.12142119973699,51.87819702047451,51.07053577529835,47.39034087802493,28.697428154399816,29.81955551000933,30.26929199900773,36.08088135394917,38.07856223063929,38.78729778287031,34.22602784881136,29.91744388573301,28.84900398093244,,,,,,,50.81719766819463,47.16983194955568,41.09964063319309,39.41204695513503,42.15855433853744,41.64607246054436,40.94316399023814,42.00925566053806,45.29360831593738,56.04234560463494,56.2653274073153,42.2417801364275,38.44399719913302,32.73370296692994,30.19146410156312,32.362792094231594,29.58249454182048,37.58212711119816
2017-06-24 01:53:49.000,25.482960476083854,33.840945759435485,39.61058094129092,42.19558658425457,49.44184445764649,54.51809601763435,56.59636564758917,64.31898309697115,59.17273374344333,54.4783507384944,47.49512462484313,36.969750714554245,37.81628716413544,42.333555742699694,45.81235301506191,48.47606131531929,46.95624204337152,39.52510014362829,35.2971735017663,35.202729703179216,37.998892189159776,55.928422742753234,58.03601048555165,62.497449036425024,64.72138410992743,68.86525384786017,66.21102868542118,61.57045250531241,55.481730549927626,56.58041980624809,62.22596685040728,63.77663719905197,61.64257509138074,58.49418910037452,59.14869411227637,62.54471568044729,59.33746366852414,52.19565589176999,47.7312731841498,44.22147716146014,43.22059708674327,42.408680894205496,49.522818483729424,49.27666616898725
2017-06-28 20:20:52.000,19.876661990061184,26.523237005756027,29.241900832959217,39.48520485415181,46.83581855159309,50.13500026031846,50.14748465901147,54.9278379938068,55.67692099344528,50.57053322168795,48.88888149720582,33.940405651101564,35.67155336007865,34.46317505576853,39.27991266267691,39.730190563437816,38.88092298298536,35.80742775956004,32.051413100700785,34.77987202028227,33.663266237237,48.84638028941767,49.57849677211065,51.43968576779421,61.75083140754993,70.65902108720155,61.27244623298565,55.84347102904979,49.64253124924789,46.660511285687946,51.25222632232798,54.1684111456506,53.14380640095106,47.308734043654766,59.70226847497158,66.2115573397983,68.92830282430349,66.7685099659106,52.05774902798797,11.500501948792344,25.06870589906388,38.88946694716827,52.89345520183963,64.6535948125209
