dates,oahuoahu0083_0001,oahuoahu0083_0002,oahuoahu0083_0003,oahuoahu0083_0004,oahuoahu0083_0005,oahuoahu0083_0006,oahuoahu0083_0007,oahuoahu0083_0008,oahuoahu0083_0009,oahuoahu0083_0010,oahuoahu0083_0011,oahuoahu0083_0012
2017-01-05 20:19:30.000,3.721838112086562,7.057699587552289,16.14142053646139,14.923702080597678,13.19979544682294,11.741404469141084,17.07606908183717,16.48120850367426,5.561856860351508,6.40501081718044,-4.613138960738642,
2017-02-16 20:21:21.000,4.024210536669782,9.358183407544637,18.9014269898138,17.041381682849497,15.477013577893215,16.28670576891669,19.091084242176485,15.464666667572963,7.586002456029313,8.426056911193836,-2.395066198600386,-5.945563707762959
2017-02-18 19:26:43.000,1.3523434872257192,6.490148437638313,18.256707468068434,15.06470864758075,13.850188415853063,14.0843741584288,18.979752724903467,15.35101170686927,7.769751239756806,5.154885098519868,,
2017-02-20 18:08:41.000,,,,-0.2095660978994545,-9.552577156726604,,19.654856261131474,16.51009270455631,1.0452013331175498,,,
2017-02-20 18:08:42.000,,,-4.372153587071959,-0.2731118515279565,-7.970905978426518,,19.654845434778487,17.32720798060022,6.604892225005828,,,
2017-03-07 20:22:41.000,6.804806619723137,11.121855964876987,23.735188649041845,21.27388643144569,18.491651908829468,17.16737036507842,19.615485998049685,19.071214912198805,9.582527751090932,8.174052988469573,-1.140739189940736,-5.279578724258855
2017-03-07 20:22:42.000,10.174812714545476,16.17025006646627,27.12841068485832,22.89357784684116,19.001704099547982,20.17497104826309,22.64705854070298,19.37935567706064,10.444622871337245,11.09461179127233,1.068310144435339,-1.7944030389897152
2017-03-13 19:16:21.000,,,20.9610482062814,18.491427141240777,14.95619889757633,13.114568791924592,15.538712565418985,14.928150838430165,4.661874834035272,-4.153908230122847,,
2017-03-26 20:23:10.000,,,,,,,,,,18.921597805800392,5.164042120232737,1.510004727632401
2017-05-02 00:12:35.000,6.90475629609429,12.326103596087558,21.623855561930046,18.447787019258104,17.84832180022305,16.674312605981267,19.122428238952534,15.49601066434901,9.635471682800192,9.411099339905684,-1.633796949037888,-5.914219710986912
2017-05-07 20:17:19.000,,,26.40132110107553,21.520599648084424,20.30139234448679,17.313303885590255,19.75382693767402,7.125300921841915,,,,
2017-05-19 17:04:27.000,,,,5.221778240356672,-0.9411755385223038,-5.107422602818618,,8.924052079403454,,,,
2017-06-06 20:18:49.000,10.79987367528344,16.049880194900144,27.465449513057266,21.863399553362527,20.22851130409684,20.364943532388253,22.72453072183686,19.26120294253664,15.358547535713775,15.67934337062343,6.232941376431449,6.157267308018754
2017-06-27 00:39:40.000,,,,,,,,,,,-4.006870009632516,-7.680157361603472
2017-06-28 20:19:14.000,6.314784603702761,11.57520844271552,22.14324475060366,18.77907379323692,17.51890878210763,13.157007213493465,16.66461612827233,18.06843689757759,10.201166762606942,11.4146673657309,5.025634227143981,0.8295467668637673
2017-06-28 20:24:50.000,9.165928616463786,15.151402080133586,23.85839560451165,19.20737877092852,18.160251242188764,16.240845435088325,18.60385767242912,18.05958658657824,11.190662054514286,11.41041865532413,2.2657000603013526,0.8206964558644188
2017-07-03 20:19:37.000,12.16968932014442,16.79358502438767,23.834274993414727,19.9780370817358,18.04787576030353,17.923328319697593,20.37144395266886,19.82717286681798,12.699227551377136,12.720784748813651,6.004831920131745,2.747346050769158
2017-07-03 20:19:38.000,10.848568065864386,14.00406790761932,23.75142598014185,20.59092189821428,18.899607901120834,17.92344245055141,20.371558083522675,19.827286997671795,12.92070473927121,13.178119066417684,4.953460796636861,2.7133338209368603
2017-07-03 20:20:15.000,4.606030287508732,10.332062105397984,21.15500096290905,16.20645978734764,14.546862129713476,14.920074351185932,14.31266112823971,14.594126073380064,9.089757162386602,12.603502151947412,-1.599816796315788,2.592613904556236
2017-07-09 19:39:53.000,,,,,,,,,,26.88044049917122,,28.81328981191803
2017-07-10 20:21:57.000,,,,,,,,,,,,
