dates,oahuoahu0100_0001,oahuoahu0100_0002,oahuoahu0100_0003,oahuoahu0100_0004,oahuoahu0100_0005,oahuoahu0100_0006,oahuoahu0100_0007,oahuoahu0100_0008,oahuoahu0100_0009,oahuoahu0100_0010,oahuoahu0100_0011,oahuoahu0100_0012,oahuoahu0100_0013,oahuoahu0100_0014,oahuoahu0100_0015,oahuoahu0100_0016,oahuoahu0100_0017,oahuoahu0100_0018,oahuoahu0100_0019,oahuoahu0100_0020,oahuoahu0100_0021,oahuoahu0100_0022,oahuoahu0100_0023,oahuoahu0100_0024,oahuoahu0100_0025,oahuoahu0100_0026,oahuoahu0100_0027,oahuoahu0100_0028,oahuoahu0100_0029,oahuoahu0100_0030,oahuoahu0100_0031,oahuoahu0100_0032,oahuoahu0100_0033,oahuoahu0100_0034,oahuoahu0100_0035,oahuoahu0100_0036,oahuoahu0100_0037,oahuoahu0100_0038,oahuoahu0100_0039,oahuoahu0100_0040,oahuoahu0100_0041,oahuoahu0100_0042,oahuoahu0100_0043,oahuoahu0100_0044,oahuoahu0100_0045,oahuoahu0100_0046,oahuoahu0100_0047,oahuoahu0100_0048,oahuoahu0100_0049,oahuoahu0100_0050,oahuoahu0100_0051,oahuoahu0100_0052,oahuoahu0100_0053,oahuoahu0100_0054,oahuoahu0100_0055,oahuoahu0100_0056,oahuoahu0100_0057,oahuoahu0100_0058,oahuoahu0100_0059,oahuoahu0100_0060,oahuoahu0100_0061,oahuoahu0100_0062,oahuoahu0100_0063,oahuoahu0100_0064,oahuoahu0100_0065,oahuoahu0100_0066,oahuoahu0100_0067,oahuoahu0100_0068,oahuoahu0100_0069,oahuoahu0100_0070,oahuoahu0100_0071,oahuoahu0100_0072,oahuoahu0100_0073,oahuoahu0100_0074,oahuoahu0100_0075,oahuoahu0100_0076,oahuoahu0100_0077,oahuoahu0100_0078,oahuoahu0100_0079,oahuoahu0100_0080,oahuoahu0100_0081,oahuoahu0100_0082,oahuoahu0100_0083,oahuoahu0100_0084,oahuoahu0100_0085,oahuoahu0100_0086,oahuoahu0100_0087,oahuoahu0100_0088,oahuoahu0100_0089,oahuoahu0100_0090,oahuoahu0100_0091,oahuoahu0100_0092,oahuoahu0100_0093,oahuoahu0100_0094,oahuoahu0100_0095,oahuoahu0100_0096,oahuoahu0100_0097,oahuoahu0100_0098,oahuoahu0100_0099,oahuoahu0100_0100,oahuoahu0100_0101,oahuoahu0100_0102,oahuoahu0100_0103,oahuoahu0100_0104,oahuoahu0100_0105,oahuoahu0100_0106,oahuoahu0100_0107,oahuoahu0100_0108
2017-01-01 00:17:43.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.53654042846508,49.18328091788273,50.873223223334776,48.2854346623044,46.73690481253252,45.5252673300596,43.4827561412102,39.97610783494101,45.16397012007916,56.10491976026025,61.42437592468567,55.92305420986795,46.563871131364245,42.50543300213289,44.99845069196575,45.13182195181252,44.63450154616736,42.42494939058886,45.651097633199534,47.91040822368809,45.62401363365333,41.19230190248136,40.81376397103095,,,,,,,,,,
2017-01-01 00:17:44.000,,,,,11.79966971111286,-3.967294424427015,,14.851137530192922,13.073092516699411,10.78189246184869,9.083856515904898,8.717242941632504,7.597829875757066,6.6210032391962965,-1.0459560650881323,,,-13.369577449253963,-4.955654572156064,1.8813690892478847,5.428357926707895,,24.23351442456769,,,-17.728378286731413,22.562444265670507,,50.9803772020737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.2224065635942,45.64115903967011,32.988101843084245,31.95098496861964,38.89008613818693,39.52878937163717,41.30839610148446,46.62673084995483,42.44902870735648,39.60216230859688,33.55064928120711,33.63948657288271,35.25022142473423,43.42294690109768,41.18824006620706,45.86066179943948,41.11279164641889,38.79091780315486,36.00160988857967,34.72278973939496,34.49143345074299,31.852156922857542,28.29474376717012,34.89021518325409,44.759636221319234,47.276887249063485,,,,,,,,,,,,,,,,,,,,,,
2017-01-02 20:21:47.000,,,,,,,,,,,,,,,,9.409219285355498,13.259380740478631,10.678496788963107,21.950947766296213,28.413607224844103,30.962308186094063,40.76297213739695,44.831202212925696,20.872180465167297,14.409104872065122,11.786617130797104,22.702239587823183,25.69783967115829,49.95679294832114,30.78098993964493,27.227952181473423,35.81082811800135,31.869344402168583,33.99350420011098,37.02849349246883,35.92303089559094,35.49488045551054,34.40139326771973,31.30783193527989,29.958985752005223,25.94373843230192,24.32081227084329,23.923381015710248,27.588343716940013,27.99492512982997,28.541721581138493,33.73288741355998,30.404522088153605,30.00811338770312,30.54842273391114,33.87404958092544,42.99405259404282,42.14684722932262,39.341448112400734,39.41860811003527,38.44889804085247,40.13833808442463,42.029525167000585,47.24328726348075,43.74019312651881,41.57702776300079,38.922205382476896,34.03960273563857,34.81515276385891,38.00181825262694,38.66855168322601,37.740933903954975,37.63818452527847,42.28091245906441,42.47966263447906,39.45747747572046,36.72692380172396,38.394327317513024,40.539966526679656,44.06335720731789,52.784069936964286,52.07712769435671,50.60323291628899,53.64253419232763,47.0927450108325,49.716372310067314,43.28113835636304,34.41317648954175,30.385240967171782,,,,,,,23.54507861118157,26.34293129713911,28.9257925437143,31.598312281630804,34.28103291798749,32.360321379812774,26.01106131157195,26.71796653977163,39.5738638088487,40.08934018526436,40.721361007326784,,,,,,33.71204310470479,41.09875235024519
2017-01-02 20:21:48.000,21.406724887566668,18.83384485617944,21.94138110545963,22.6585804264241,20.68790764912295,21.13178607321694,29.85186719776356,19.950230799795616,23.081924447911177,23.08949080934389,19.999728885494072,20.239822974824538,20.787670923537288,18.491447708823923,13.707184902288525,8.777354053664267,13.417039532099125,10.16723966577626,20.72735795133418,27.145678213762185,30.62345026023484,40.44657821093356,43.1642061789308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-07 20:21:26.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.26181784560147,38.10400428485421,47.054473065099415,48.569192409962426,41.84547096214128,38.23914232849099,38.22588268253544,36.8071151093331,34.74549181610454,26.96757583234586,23.135509641347262,21.142504107521056,20.882433975071137,21.70879211053033,24.403535930379505,,,28.203351774725466,24.31117059706556,26.1861843555344,28.92893514363021,29.05578025836053,37.37458668118786,36.969134367219255,32.4810829788412,28.76390811167384,26.55502761498768,28.70905452830244,32.785117590651176,42.129636661022246,41.53939447959595,35.43017018443489,38.60879488882483,33.596577328953146,,,4.307032777447406,12.60843690251498,21.38669877451001,29.73242604073323,36.16191171159948,39.47224254214375,37.61703667769896,38.77644438883423,37.02019891635336,41.45237639783572,46.70484557573923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-29 20:21:31.000,29.42837181579406,26.066237359410515,27.960160688708527,26.14899939479725,24.47983758835093,23.14723305249268,33.79806747901036,24.92739205080219,27.65961880645025,28.789300493541667,25.70832777852444,23.57689130039275,25.692799383448644,25.325558058976867,23.517813663988782,27.04200395822121,25.274083574816338,17.25194723548342,28.0440417766472,31.86051303874192,38.42029775592827,46.20518667691721,55.22353737706328,39.18234052570445,19.44234337725344,14.059220194223842,28.400196674508138,,63.3431652583957,52.90111918566281,55.515794023109336,70.77487055484585,59.2880543478156,,54.869461597446886,57.10916504356001,43.917559269765306,39.73012410705604,34.80011226750233,37.807378460341965,34.45750494603581,37.75807908433796,38.50700711269203,38.30680014945748,43.682791990466086,41.69289029553719,45.09757075357011,41.87602688131933,38.2181327874204,39.643790157523554,42.99854010068056,48.16097126797759,49.14759181224117,46.92505305316948,47.19314990696924,44.19747733408487,43.74179449842845,47.05884686382189,47.31856935708254,43.91371865688278,43.23965308680581,42.1620523033894,40.42507827830893,43.252623636046806,47.09449517685421,47.361164273803766,45.25653917004324,44.39788833457662,42.961750783102445,41.91925166928012,38.89382393180647,37.67388365847019,40.52989462989812,57.91122215087752,59.80771570420758,60.067719661819055,54.91087944230932,54.32105657073171,55.69058566069826,55.832381570679146,54.67866125674078,49.45516793644035,47.659006081648826,53.81845097187028,63.74251317254277,69.53373876224461,63.17937889325319,58.78358501232401,61.72727860513864,61.32229416173112,56.617594006774524,58.19526371317342,59.72517571215931,57.69249616768391,58.45437449462956,56.93097322610271,49.62091900975007,49.979033438640265,63.93422764546672,66.07716010079088,63.81157916128517,57.16737170658579,55.37502559420082,65.96659157597524,62.47111196875581,46.25072065626564,30.05656281510517,33.79856613607392
2017-02-20 18:16:03.000,,,,20.1965927834552,18.485406249189094,21.15448195476493,29.870544399201737,17.32644438946421,22.25315414132443,23.145187540419773,16.24787762643116,2.693080605322093,10.439599713001096,10.457458936449871,1.7276002939661328,-9.148997086538248,-2.9441947932404786,,-2.4693030344637115,13.53514077699405,29.04085071638261,,,,41.645948335801,,-2.958921979362981,33.773487078901326,,17.341489340064836,22.995486454138064,34.09403904741058,39.23756602916527,36.65041823646203,40.00865893379991,35.98304293772512,-0.1215021646146657,,16.629357483558604,19.050619430768865,27.75759918056965,32.473463959104805,25.28695836393395,40.599973589643966,26.45457288629898,30.517029762052164,33.59925120852843,28.39892299066448,37.009269726183085,43.49230117122671,36.09170347561323,40.60318663692376,45.93686533987229,43.19861858977568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-20 20:21:56.000,29.33396845203725,25.246750426115003,25.23441163698312,26.65800789198485,24.250245949618503,25.083596747412862,36.56194580177473,26.25101087314123,29.6329966994135,28.974121525959315,27.09114286710904,23.678260102001705,25.46715157572988,21.437364697063256,21.023871645287784,21.350183369533813,18.391772172771542,16.020591138801404,25.022632070152785,29.04572329339037,36.64915004401689,45.42897038813129,53.93909552284741,,25.14291888403609,15.35471994430664,36.47874003180312,,65.26844591404637,53.004773036592944,55.32212478518272,66.59371824039724,52.66108007079002,48.48211195945962,49.031933831577184,47.44332951796935,41.83291435839648,40.243389853086384,36.74896501959846,35.214989497870604,34.08335208579986,34.87089525850529,34.83182912669059,38.02241837252197,37.34962329082581,38.97215908234535,40.8417423533648,37.47974541053363,36.77378249287387,40.39372420309282,42.19847986502352,47.58024358624954,49.12613229026992,45.71382682870187,48.46443590853932,44.27048369464372,43.35895842639075,47.93923073953656,51.02146811923164,48.56266111939159,45.48421255164383,47.91736472531238,45.790310922897206,43.0257706190589,40.8385152265548,40.99144984911359,45.091437598737045,48.753742092358806,47.92557839604335,41.88274576335457,36.427924306482005,34.39018277154099,41.0494787467273,53.78698988752032,58.22674781707873,59.784744948962455,62.35637870211957,60.06707966382663,58.90824706548911,56.78777944927343,53.07236788849259,50.94191816747672,51.93781803088551,58.775354808205854,66.22058996202861,71.4179922945029,66.8146437277953,63.65321018135953,69.30518893700457,73.06603987459883,67.82509067610921,61.46458928541807,59.13859295635666,58.344352706880514,57.50052435015456,49.2571350140996,41.00148179040236,43.381235156415,59.41369296431435,61.3845289045334,63.54005638391871,52.84623647456952,49.20294284589818,58.02829950083584,57.35769925239225,43.03743039174892,27.39861723594397,32.09237314838185
2017-02-20 20:21:57.000,29.292475987048785,25.86258816744144,26.971645008517125,26.657985733492648,25.033737558651023,24.663258862214303,36.561923643282526,26.3843787834923,28.3889437636105,30.44590495390906,26.035813435949915,24.01233083658921,26.76904306702487,24.099863523307764,21.023849486795577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-21 03:38:23.000,,,,,,,,,,11.165158543611147,,18.11329391186376,19.871422788248346,17.53994842810812,17.123952721171214,15.064243397538483,15.02648171118198,11.150635097367896,24.231345902848023,30.02915468163081,36.72171935462868,41.37266196366159,45.35981930893999,,7.564488630116769,11.155495807056196,18.063520536822185,1.8946298281823453,,,,,29.313483014482813,43.655214888654925,45.859152757360846,,,,34.717011626651875,,32.551132833630874,35.281165862874026,35.86089077325401,40.719814459899816,43.138934612014765,39.74056311175111,35.860153182469425,28.36632925849605,22.043168558814504,17.807755143491836,13.18343038542991,13.675497988347251,,,,,,,,,,,,,9.44773504343113,15.594099460274556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.27583808763681,45.59719217298627
