dates,oahuoahu0010_0001,oahuoahu0010_0002,oahuoahu0010_0003,oahuoahu0010_0004,oahuoahu0010_0005,oahuoahu0010_0006,oahuoahu0010_0007,oahuoahu0010_0008,oahuoahu0010_0009,oahuoahu0010_0010,oahuoahu0010_0011,oahuoahu0010_0012,oahuoahu0010_0013,oahuoahu0010_0014,oahuoahu0010_0015,oahuoahu0010_0016,oahuoahu0010_0017,oahuoahu0010_0018,oahuoahu0010_0019,oahuoahu0010_0020,oahuoahu0010_0021
2017-01-01 00:13:09.000,22.17754048898496,37.90940300197956,54.04352851178568,68.70207331046083,70.1982773442948,68.64910639007904,,,,,,,,,,,,,,,
2017-01-15 18:16:25.000,,,,,,,,,,,,,55.67167056532895,67.24313587469271,72.35009722753185,67.57390016885599,53.51394623851422,27.790353205944847,,,
2017-01-15 18:16:26.000,,,,,,,,,,,,44.73724276162178,52.99576798968048,64.69465438901125,69.8688382979645,65.108897860503,47.84106493621193,26.654639708370148,,,
2017-01-29 20:21:27.000,,,,,,,,,,,,,98.86991668895456,90.34646673646546,93.94495983068596,87.93130514558015,69.94919437597088,54.30694557775895,37.30425287723362,44.10712945185482,23.31514151402225
2017-02-22 20:22:34.000,11.71869803970091,15.691822979647878,20.52386248845793,28.53538678503836,26.923237128575995,26.75873451145491,37.90402740245605,63.992050178917694,72.62805423468778,86.73651829240353,87.78786856154348,74.63288572629808,72.54127528865955,69.76132105799697,65.81676717956597,59.27436633083904,47.03280868796077,27.40760660800958,14.969099925326791,,9.792925644870854
2017-03-02 23:39:25.000,47.02358905236829,55.13484440175333,65.69789765616434,64.33271222243776,58.1323189657633,49.60841615191412,59.75080870176694,84.95927576153477,92.08040474218642,100.3481862954566,100.3114288542907,85.68137829280488,83.4314485614259,82.36866933017554,71.12043993981584,53.469581635247934,40.244904953071526,55.34880423582827,48.11844548526948,54.68759390595553,32.81751962383018
2017-03-07 20:22:36.000,,,,,,,,103.4876575140566,113.8729110532523,114.46525150525612,117.87251082207732,114.642798526624,,,,,75.35499319167911,53.22726248153137,24.03629962339493,28.02689660606935,11.115546504295628
2017-04-14 20:43:39.000,27.84615120808915,40.57240506106504,52.90880235172105,58.742742737060965,57.837803167051945,52.80536780438106,61.79517803425911,85.22642434331782,90.1184990465863,96.60834466796064,96.2649462447398,82.60388748124153,81.88160823681245,84.05949585917456,90.39775127914034,90.87278613315884,83.24350777896278,68.03490791962213,49.08626165137064,56.88760982317692,33.465282057424105
2017-04-15 20:24:33.000,21.66055920677781,35.28494522832303,46.92212834973955,52.675147855854455,51.30642902065632,44.74849020138875,55.48753997134842,83.31345853593697,90.25078324802789,97.7045404908467,99.21058291071424,87.24353399581085,87.86846101795777,88.67693214362696,91.66365303981291,86.12209882396218,72.59207626437012,63.64969067734512,53.187370101161854,59.85921733602065,37.04235313382568
2017-04-19 19:30:11.000,27.383040041625257,41.70536392328224,55.71561893554554,63.47806433462666,61.65144776717528,54.06264385054924,67.04738642854046,96.1835814326846,102.512490163432,107.95733735106904,106.32435515248513,92.32964701483505,89.79071480468215,89.73145151894438,90.89897323721868,86.02495971035259,74.79566916415857,61.88226457345892,51.42757394416686,57.14308092362848,31.977449193522563
2017-05-07 20:17:15.000,26.05487786710037,40.86397392892712,56.77838552037156,66.43877113380643,65.21521672160159,56.67197574424559,66.13507627478685,91.55854793596494,98.34269064750976,104.74501760049702,103.42024674715752,88.82997310238753,86.95840802725206,87.67579517344599,91.2140191700856,85.24927741346045,72.9529577402275,57.16184820527953,46.04340660380963,52.27794518135279,31.071084950285943
2017-05-18 20:25:28.000,31.471512234647392,46.26964844258634,60.85661744069854,68.05056080701719,68.44759112345784,60.4300790805743,70.55373319584567,95.77234179853208,104.3199061279474,111.89149639495808,110.65674134230144,95.9014368457079,92.5916914836597,92.13157136561126,93.85224626230767,87.02767741798698,76.2671595327103,62.632514186779446,47.72837395537657,54.523728258723686,30.024898188810496
2017-05-25 20:18:51.000,,,,,,57.35381655039246,65.13145858639433,89.04335901013954,94.30801781003736,99.7457327294256,97.7381018129708,83.44840326287488,81.34062900616414,83.1192131896344,88.8792699534726,86.22077914108348,77.93833423860072,,,,
2017-05-25 20:18:52.000,21.97412185953084,39.02019486201789,56.074248333333095,64.36116368330795,64.45933393354555,56.625429675709405,64.92474871299866,89.10935753436536,94.53595676850958,100.8527499458434,98.8580894378456,83.83695045037553,81.66553767109069,82.68481378271994,88.80670747146588,86.23556717734357,74.2200974274317,61.66336717347501,48.19683957375823,54.57965474947359,36.133450019944135
2017-05-31 01:54:05.000,29.03622377461432,43.73601915659328,61.05606694152181,68.11594072572,66.67733143640565,59.82485274728722,68.58643366041288,92.56411130643836,97.53490257986066,103.0210761139699,100.09135673812705,85.0729185834689,83.12780019470674,83.73465549404095,88.41990973745477,,72.24061549448788,62.45374176132765,50.071072367627984,56.86699563130938,36.6823233736196
2017-05-31 02:55:45.000,29.85017725977936,45.65683757779507,61.08131735325061,67.64070540229108,68.7737607008576,61.59368786273996,71.22210234547562,95.33855793159778,101.20414047769204,107.1863112462449,104.33930163965935,89.64147828626906,86.90737340788112,87.22175919466983,92.05570050498314,88.36757383492929,76.24446856710321,63.714066493619455,53.40218165203507,59.80685281308688,37.4489039976398
2017-06-06 00:34:42.100,30.038286485218794,44.362402065514125,60.65857908378207,69.10304920724256,68.12923822799318,59.909818841515296,68.67132072148702,92.78959164876682,99.03158836335228,105.046848215809,103.11104767768845,88.3195398735073,85.61745542066056,86.07472592166286,90.81444261746958,87.10298129366608,75.36045869686687,62.91271845559762,50.91162583524688,57.72475726932266,36.87226032583583
2017-06-11 20:19:49.000,27.7604194359606,42.51375088023268,56.88312335282661,66.29836292830367,65.37831591852566,57.53492245154883,67.10648125238441,90.61863455204444,96.29135179651792,100.31023169743048,98.77038545620732,84.12131383270264,81.66002165113201,82.9224674731444,88.77320612145499,87.09641697918474,72.67310001930721,58.28912076132071,46.547679014497305,52.77723634572726,31.557313071546226
