dates,oahuoahu0110_0001,oahuoahu0110_0002,oahuoahu0110_0003,oahuoahu0110_0004,oahuoahu0110_0005,oahuoahu0110_0006,oahuoahu0110_0007,oahuoahu0110_0008,oahuoahu0110_0009,oahuoahu0110_0010,oahuoahu0110_0011,oahuoahu0110_0012,oahuoahu0110_0013,oahuoahu0110_0014,oahuoahu0110_0015,oahuoahu0110_0016,oahuoahu0110_0017,oahuoahu0110_0018,oahuoahu0110_0019,oahuoahu0110_0020,oahuoahu0110_0021,oahuoahu0110_0022,oahuoahu0110_0023,oahuoahu0110_0024,oahuoahu0110_0025,oahuoahu0110_0026,oahuoahu0110_0027,oahuoahu0110_0028,oahuoahu0110_0029,oahuoahu0110_0030,oahuoahu0110_0031,oahuoahu0110_0032,oahuoahu0110_0033,oahuoahu0110_0034,oahuoahu0110_0035,oahuoahu0110_0036,oahuoahu0110_0037,oahuoahu0110_0038,oahuoahu0110_0039,oahuoahu0110_0040,oahuoahu0110_0041,oahuoahu0110_0042,oahuoahu0110_0043,oahuoahu0110_0044,oahuoahu0110_0045,oahuoahu0110_0046,oahuoahu0110_0047,oahuoahu0110_0048,oahuoahu0110_0049,oahuoahu0110_0050,oahuoahu0110_0051,oahuoahu0110_0052,oahuoahu0110_0053,oahuoahu0110_0054,oahuoahu0110_0055,oahuoahu0110_0056,oahuoahu0110_0057,oahuoahu0110_0058,oahuoahu0110_0059,oahuoahu0110_0060,oahuoahu0110_0061,oahuoahu0110_0062,oahuoahu0110_0063,oahuoahu0110_0064,oahuoahu0110_0065,oahuoahu0110_0066,oahuoahu0110_0067,oahuoahu0110_0068,oahuoahu0110_0069,oahuoahu0110_0070,oahuoahu0110_0071,oahuoahu0110_0072,oahuoahu0110_0073,oahuoahu0110_0074,oahuoahu0110_0075,oahuoahu0110_0076,oahuoahu0110_0077,oahuoahu0110_0078,oahuoahu0110_0079,oahuoahu0110_0080,oahuoahu0110_0081,oahuoahu0110_0082,oahuoahu0110_0083,oahuoahu0110_0084,oahuoahu0110_0085,oahuoahu0110_0086,oahuoahu0110_0087,oahuoahu0110_0088,oahuoahu0110_0089
2017-01-01 00:13:50.000,55.06674955653667,49.04117301315832,29.271829188359494,42.2383293610563,58.02914950465113,45.28249843969434,39.68013941363825,36.08168123692249,36.20144098491941,37.14293970316754,36.36515249318216,36.295688255150814,37.57205146537386,43.15339300994806,45.895855820258085,46.71485958112255,47.40916807567181,43.29352266266465,43.4157574612936,44.19423250988945,45.31380686360352,41.84939466298816,40.77725693962476,35.644242565784985,32.74938292788366,36.16023608111723,42.41531526277618,48.33305308709563,43.53919900562014,47.9918439320014,41.24158564382347,40.69434308762109,45.71390802486716,40.81754221804528,44.83909346565982,60.78356255341202,76.9698665054263,81.89562434320133,85.23290632561887,91.37743931550234,96.51365992343948,83.52482877947592,55.93363159588132,49.74389650054496,53.19062245788693,60.25711759799266,61.34347733838656,61.35335225664574,75.26258908403435,85.05950968595538,87.45954330405793,74.22059128335741,53.11902400853617,36.06215117981273,41.27583737698941,48.11548652670744,48.93211574720196,44.36279670732459,41.48479017540959,40.45116968609429,36.82677876527913,33.080530097964065,34.71961893818975,36.31603167246277,28.86839344713057,41.95326519746365,45.98722830235145,43.17030499667773,35.18344707673079,36.484566245049685,37.89383092356392,32.853004733098906,32.04964299593401,33.28832856683909,35.89823965062923,36.87480769819255,41.08326013385462,30.263847801195592,26.16586672992572,32.6344322084321,34.84618837508946,37.35481499090809,43.18452200644142,65.1349120823379,44.91128712154199,32.491192276469455,26.967727725475765,28.72381202288228,32.46237005041518
2017-01-02 20:21:46.000,46.6910690317435,34.71287628774217,16.648676601198563,29.41875111308569,47.79251413074496,36.25783696940232,32.80469300389054,26.188710084283294,25.79189856400997,28.159931484977097,27.87996714370571,24.023209157416662,28.452541476948408,30.72607754816413,34.94029410979974,35.97925925782408,35.649274333864355,35.21484587248985,35.34452147530772,37.343271862306,34.725822429794114,36.28126116275982,34.90097579035779,29.250653537278577,29.501299614088303,32.68943232215187,34.897921764474525,40.55015087093604,35.4505736735713,45.48145450604554,41.33869796058345,39.54208997435311,31.650557494692805,33.751825566852965,40.15119233157021,41.29011337143095,74.0304159849163,78.39220174764347,80.81504371997227,87.48935614684451,94.86266036052224,62.3408083605196,49.35401044106458,45.89140884355979,51.61041559531636,59.16262012817447,54.94924284251216,54.9809524664013,67.79233610870781,77.64821109459285,81.54799068027201,72.53131099735833,49.52987049631328,28.82377506513677,40.17567666008751,45.37800957825678,45.04586780815448,41.39330767031359,38.19890391613352,36.97054502120074,7.147270909923598,12.889362426857188,32.85971960931441,28.54091820874329,14.632336673900024,34.312000122140226,42.81815237987008,34.58674399459726,34.62347662482384,33.95016075290704,33.50135712797101,24.901490571129287,23.19469616393381,27.87589391516815,31.65703973162449,31.42625761566245,39.79285967421988,20.905832172107885,23.63737868058321,27.850117714749658,29.73693382560285,32.51601334652752,33.85770164191595,57.24228573563941,46.05215820886868,26.06316622301603,21.42637128123933,21.333678606243787,27.79789525316784
2017-01-29 20:21:30.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.18071255670954,36.69922220763824,26.49531270165832,43.57855221610998,48.05074136086953,52.41730141732462,,79.78661725068307,85.5587606143491,74.76243800665638,81.71489451211409,86.37349142736366,73.59871328751213,73.94139749731946,,,,86.05373397467818,74.6040952256409,80.82059951477241,85.94922707024729,87.84886046273431,76.18317290242234,61.62410225539779,39.35102245959422,40.52748299212112,47.12387756176377,44.61366455184365,40.16375339011379,38.37387293940355,35.48146570732935,29.63736697274632,23.473162933249107,39.17549084806907,40.88978634161958,39.18282391351465,33.96567935502973,39.76610816728976,36.72757296879984,28.496109115850576,37.77698435797072,42.06995638765145,32.050364453835066,32.38144773890578,42.74074125830701,42.13486055793299,33.75311603108506,49.32409633013844,16.859162383940134,15.405740755903196,24.50726703031888,33.15095811945246,37.90525653887068,37.020651364812494,45.35476766752395,38.56683582076441,27.790497424150395,26.280250724121792,30.355731813838588,28.55068116660064
2017-02-20 18:16:05.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.23988024614574,34.556877416145404,54.2356702075518,,38.19862666737996,75.32873500269032,,85.72304543373347,,,,10.306661470873506,35.921967673097,54.45988468466448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1192591574519846
2017-02-20 20:21:55.000,46.21173895868444,48.64572265092888,,59.22119165470861,58.543364568911976,51.82788495919383,49.953883877699376,,,,,,48.56699700692853,39.32312847202181,50.595532048599246,52.89377953076623,44.59147405053725,46.847146178076336,49.79296075102689,43.22173257152407,46.62684106609478,45.91099306074393,47.550822131721496,,,39.20270043704963,45.17820482541445,42.63364675187464,43.96811882912175,53.18363371517174,43.55530823778213,44.19291481253855,43.48346481640313,43.57029455479452,46.22991130948544,64.73846438539363,78.23579262011374,79.60172030394877,83.21961731234691,88.58611650540357,93.45113993647396,94.89197681131438,44.98182803659412,49.31369447432291,,,,,,,,,,50.22597231958552,53.71139228379002,57.044085092711256,55.45825206371616,56.92399824615316,49.66767623350068,48.04358641536392,48.36957816188174,48.47711567502824,37.76369585248155,33.0373395220136,34.85969443646001,35.80666606890885,40.5563033442456,38.85852021230594,35.654783982953376,33.17073001676711,39.62731792803541,35.484846434403835,48.08639836394864,,,,,,,,,,,66.40457669353248,49.83843559954954,46.50367213181096,51.45767214085648,,41.53779997851354
2017-02-22 20:22:36.000,46.7045954783221,38.09445194016087,20.641131648172827,41.49456887279812,50.62769278398333,39.475463006375385,33.12627621576569,30.693322993295407,27.594019975269685,28.96157088455921,30.66533183337804,31.92104369928468,33.953503758791804,42.92493360433348,42.69224416111158,43.97665255467911,44.77959562449001,41.229264377961336,37.960386311961926,39.74457506330269,44.26722191664237,45.820898025496746,43.26260462316328,31.267501390435044,27.15427822657536,31.045609920684047,37.77634043310764,45.85191363616567,39.57371681705592,47.06467098427344,39.90929196694443,43.69906527866911,46.5884069375086,40.67676287345497,43.65914262882601,60.51986388578735,76.88350583925558,81.75359193217271,82.95533074975654,88.57286357575673,95.24138333798976,87.69684236153442,51.589406428153765,45.60815725348094,51.69006623950922,63.78351482172603,59.893269440519546,60.5586541934053,72.73565663401446,79.86430208889522,81.46665812372973,71.98320525634252,52.10376360983084,36.78984376636366,41.84761179740045,46.79138574878212,46.57603918900919,42.60173881001068,39.66209786131177,37.90699648520943,36.279774042758646,31.22424853124441,33.56424233257657,29.55009096052104,15.051764825451729,33.223275398162194,39.59961229970294,39.94923049594099,31.27892450376724,31.160151731102665,34.442089333670744,29.695828396432336,26.081389755747217,27.517609946611053,30.944146891539862,31.6329211301268,40.56308358056375,29.64877725394085,24.064927515919862,29.79593053876571,31.79494578011301,34.53661517393324,41.286764147066286,64.42422169923837,43.59728543939325,22.74780733494914,20.8933903397426,22.02671997232242,28.82787678626025
2017-03-13 19:16:16.100,35.837982038419675,20.74084109002893,0.2032048197926264,9.90135702160859,,11.98677927346404,14.35380658022889,14.42604776657608,16.661377938246698,16.07818778320954,15.002996083132263,15.218890821496334,14.770907597763117,7.169527750864823,,11.795550408248811,22.53147531970947,36.22566322212392,41.58194778132346,47.533455007117325,52.88173109196499,53.09832175294852,47.57921827537315,31.31192767441901,27.99510697902629,33.94705469665987,44.84754409835292,46.81347857234016,40.35624247101423,44.06203240733096,31.499772230768563,21.061894724029493,19.06662443142388,20.861381593090115,22.8119266717766,15.403908069497824,,,,,,,24.44029947264013,31.72662358184241,41.57248719861904,52.84034850062722,60.46634873772656,66.14479108658705,72.2331602891725,78.50429818967248,95.10485152190564,74.97487377487249,57.40371091909348,39.3965631653268,46.19409198885998,52.535235967219606,,32.98871804381342,,,,,,9.950023796273276,35.68974921595736,44.60747498473138,45.93641566858684,39.72854990094432,30.62921258744249,28.704840532620604,33.29886951774205,22.72420755564495,20.01262590990826,20.753448857150303,25.9319042291832,23.466387921924504,38.22242014348432,11.992634000797796,13.361292532506797,15.915455039870071,16.03103302597406,14.51570994425083,11.595672551348391,,,-0.6698505779224443,1.118837693375104,4.139203459692109,13.834304903413022
2017-04-15 20:24:35.000,46.93091385495197,44.54223811501437,21.094558957974016,40.32300769652326,54.88853131940373,37.66691999545149,33.222458297603474,30.417411120198,28.757477922211496,31.81444084064851,32.63517678100099,27.930472251004453,30.88767152576085,34.60317598542168,43.16173766868919,47.840005603798446,53.107442921515904,47.895557837699535,45.11495086681945,40.38470275406608,42.35622623396375,49.00805471747982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.52770907825244,43.98939640252162,50.48255256353976,45.66585608910115,45.374243777774986,43.91942279978502,50.90015570173609,,,34.77020307011811,32.46141026886715,38.95634194587769,39.77546476420471,30.45061638372673,32.18586411715126,36.276757179355336,28.133130158910827,28.67794025843541,29.50678092860319,35.34065874582406,29.25388737498345,42.45691286982392,25.770108571799643,25.07407960095029,31.690992359261813,33.957979524928234,38.10950493946449,37.963832688614026,62.364786656073605,44.76107614736421,30.401044782686167,25.523789501677747,24.51488742386829,31.34987123342902
2017-04-27 01:38:24.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.775437332833405,48.76424825282787,55.380909626325945,60.88338105889471,78.60906228074184,82.09312898105502,87.76208964987492,110.39484434602504,,,63.90939154245888,60.02762330449599,61.8278143237483,59.09736750996057,67.18643619516634,68.80757230631727,75.47353102426622,87.6817696611608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-02 00:12:30.000,52.2961688465925,46.45943661154939,21.51954819743193,41.16893872923018,49.43398465822733,41.09911199414746,34.3492119965214,32.45872081265342,31.02691711518086,29.415871919012293,30.534547981436628,31.64898882719612,37.729261278409744,37.32212708694822,51.76058827065918,42.58985549757125,49.24658097798872,43.51520793600175,47.21081407212932,,,,46.18344567922464,37.66893400304976,34.20413670483803,35.76709109122605,40.480767775178265,49.13248372663837,46.56812789298773,49.72301433528564,42.44258250011003,40.51131848675716,36.72957129610106,38.69681222133785,45.39172008794368,32.483070384467126,74.53140267721899,80.04078036908011,85.82460062630629,90.7241438789679,98.97765350536552,89.25892263991278,49.20070970404081,47.86448250179587,54.01751349777343,62.87706016789008,63.183373266631904,,,,,73.59674202388851,54.40986035576381,42.17335797153676,43.72034538869017,49.728552836482095,44.77261380711905,42.37770085119367,40.7014317386814,39.28145293210352,38.008374251291286,29.208739875056168,39.03466787134562,33.86867503948521,34.87135408556553,35.86318418287605,40.38492065738315,41.13630342090037,34.152967794594275,42.1605938883506,39.327342888726506,30.256622562905388,30.630387100401663,28.60244552617393,33.63945818397886,30.39609086666828,46.36356431608239,28.653339788465207,26.608636534039626,29.555417467720293,32.16776283273122,35.07611845009847,38.80976372132095,65.98843757574596,47.70307052279793,27.300391631493927,23.3684418731172,25.77592783843088,32.68037059276507
2017-05-18 20:25:30.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.18357687176118,33.79336915524033,42.64507905719732,46.08668578623136,42.30517513624766,42.17889654353336,40.60480046055184,38.82695653546123,37.20766812988239,36.66330092556245,32.65784562154883,29.4661246323839,13.835033553826342,32.90621262206256,38.5724074293823,40.74109477347111,34.1776214017577,32.62971650774383,37.13792454886134,30.25852295000987,29.57445619072229,29.62054931140328,34.59774743240323,27.277378043121683,43.81665545896473,26.948369071581585,27.26871087941148,31.848429984890863,32.19241643989464,33.69856961639418,35.819196539733554,56.59620543985876,44.67021045374351,27.902699862906925,23.39309548028062,24.10451314403027,30.563499007734205
2017-05-18 20:25:31.000,47.2010429205294,38.31538576781252,18.28944421683632,37.92625876071303,56.65478218914271,41.11475964214478,34.37385860826899,32.68702427897924,32.62806798612096,34.48979177908043,33.16417745377063,23.68339354345328,35.528732781696405,36.94655414734129,40.96918878951757,45.28219852287065,40.201459501358976,,35.86911975068799,38.45530567200502,38.89701527521509,37.79184449758606,36.38362811306684,33.49223008272555,32.4758625240151,33.35544319967892,37.00343367638517,45.19427376312184,42.035906002853366,46.70318068485434,35.74501908633029,38.64475382087387,39.05438026815997,38.53860180520206,30.44385598343447,33.722304434372205,74.1042621166781,80.00384155818045,83.77394573302946,91.20651559278885,98.39722395840826,77.82437641583849,43.1031376214382,47.88912911354346,50.98948917791567,60.96333739159914,56.61887192447171,60.77010108794028,72.072737952337,79.18377441248262,79.94543912921465,66.77911324050447,51.26511401250369,36.01063719864292,42.824050761984125,46.891957530843456,42.944670131289634,38.331854988448434,42.02355295097595,41.30000845436406,35.66090672225035,36.73662389605905,35.07731130513766,30.59496523192514,28.28102706229669,32.121012984122565,43.14741390956024,40.07143639468008,34.28336197546577,31.70969778326716,35.76761889649937,31.334940863424,29.66039572856048,30.04797449921793,34.62477315384465,27.37390392207735,41.99016052423234,30.419106433650548,26.434734287687885,32.52711161259859,33.33830190559132,35.93669198930379,36.10509777821329,59.445879118867246,44.534015820451046,29.016962301386283,23.39308848486479,25.246312321927327,32.14626973508017
