dates,oahuoahu0045_0001,oahuoahu0045_0002,oahuoahu0045_0003,oahuoahu0045_0004,oahuoahu0045_0005,oahuoahu0045_0006,oahuoahu0045_0007,oahuoahu0045_0008,oahuoahu0045_0009,oahuoahu0045_0010,oahuoahu0045_0011,oahuoahu0045_0012,oahuoahu0045_0013,oahuoahu0045_0014,oahuoahu0045_0015,oahuoahu0045_0016,oahuoahu0045_0017,oahuoahu0045_0018,oahuoahu0045_0019,oahuoahu0045_0020,oahuoahu0045_0021,oahuoahu0045_0022,oahuoahu0045_0023,oahuoahu0045_0024
2017-01-01 20:19:46.000,16.30178927839897,27.90011678382064,33.87294667644927,36.67326554142288,41.46674942052058,46.705822132550495,53.57176995909726,44.42339562733077,31.35661098695776,30.30496784427248,35.05310290244888,34.49319490561412,31.751582858327865,32.57077345112129,33.95596453107458,31.120463499022183,26.6444834600526,25.52791227477167,31.913476101524186,38.19176045515472,38.29814768580204,43.77659985451167,42.44610397913184,14.553170692941752
2017-02-18 19:26:46.000,9.889646993588252,9.552760721791287,11.84514631437082,,,,,,,,,29.04325536169672,31.74389107016756,31.612278377334203,35.030052675713904,38.27126116879269,43.88329316355298,46.895894818307525,42.33821893613588,45.92997798118923,49.05183089166631,56.13274562824582,66.26915280696416,46.32279334525523
2017-02-18 19:26:47.000,10.105427083273174,10.348122126838302,11.84504670088117,,,,,,,,,,29.68224631860409,31.261662454057262,34.863219519672654,35.82335536981864,43.26516880074731,45.69599956173921,40.27550149993272,42.12983635669749,48.2519628260185,52.768931944228925,64.44220644446273,41.55093610327656
2017-02-20 18:08:44.000,,,,,,,,,,,,,,,,,,,31.41991633284244,35.60670453264562,,,,
2017-03-14 20:21:05.000,9.587853672964185,8.602513600586033,,,,,,,31.59501961614156,,,,,,,,,,,,,,49.33166040658431,25.0409538740125
2017-03-22 20:22:21.000,10.293182774988864,11.633795167387811,,,,,46.46288758868518,,,,,,,,41.33940067274714,44.84086467153309,44.0420730683174,48.03217032702947,45.22296796770297,55.37400197464888,,,,
2017-06-04 20:24:29.000,14.43468639466903,42.67777263491727,,,,,,,,,,,,,44.42656527592825,35.725361895625994,34.26030056557752,31.456133792715764,32.806697336259894,,,,,
2017-06-24 20:19:23.000,23.58819024801077,37.92913553920773,,,,,,,,,,,,,,,,,,,,,,
2017-06-25 20:18:38.000,16.861098222719953,29.377241114603816,53.44416877467711,,,,,,,,,,,,,,,,,,,,,
2017-06-25 20:18:39.000,20.04398991533924,33.265824511465894,54.72938359486432,61.61492717501132,73.8968120191744,85.32318232369248,,88.12749916394763,81.86475787502528,,,,,,,,,,,,,,,
2017-06-30 20:24:02.000,16.713292286078392,28.311619791500057,50.19942458120807,,,,,,,,,,,,,,,,,,,,,
2017-07-04 20:18:42.000,,,,,,,,,,,,,,,,,,,,,,,50.31713179195156,41.31239966488568
2017-07-10 19:09:47.000,22.675187253656315,,,,,,,,,,,,,,,,,,,,,,,
2017-07-10 19:09:48.000,20.10873668865565,52.54389617750741,60.74696976139006,65.1862346332316,75.06087063546808,73.59448418031377,95.01054017318772,93.12150466395144,81.71380815840917,79.16547484764715,81.52660869955629,79.0083667501766,78.29102367649635,69.66660806783094,61.44052510863492,61.41283585630696,52.0298800418673,48.5245000116474,46.05444981138161,48.144171714111245,46.57374148574511,46.26633689014724,44.68879387100598,22.37686278433225
2017-07-21 20:20:48.000,16.91074591444826,28.509073419869924,34.776554899307634,47.11848982947748,53.9343703996991,64.41183726716774,77.54366774046251,75.86167370620635,71.54789822944166,57.44333040774157,65.5719171003564,65.67637877793675,,,,,38.71844040648102,35.5412864364941,39.05775700512894,39.01452108495897,,,,
2017-07-27 03:14:04.000,16.566305643667345,31.064187533448308,37.15252324182106,45.80088947917861,57.66335190143393,56.26659110898475,63.30934837915685,60.95118045459141,60.23241811590417,,,,,,67.51487371205427,68.60655491297116,67.56567058613753,63.27236755275553,63.25261089187899,56.94835162965949,59.63483630074028,72.26156765302622,70.32821770404557,47.16992770057429
2017-08-08 20:19:02.000,32.82931129861011,49.46793949071326,68.39699242662847,58.29554629363865,,,99.09949860844752,94.2260938366607,,87.19203000447519,88.65918508117637,84.41395749702518,75.23758476516959,69.05066272797687,,57.397530527897466,51.14317751964673,48.68203258604112,47.3016645148585,51.60147595041518,46.90340437186889,42.20522183959266,38.15478623683981,16.210842048005198
2017-08-08 20:24:50.000,35.94361303522209,50.97178043297016,,61.82141723063606,,,,,,,90.32617488245263,,77.40435353673908,70.8690156379719,67.3422134836899,,60.468768615297925,55.48301592658182,54.059477990245696,51.67195998825038,49.821844741721456,48.633076277323084,46.68305468518516,24.984586935140253
2017-08-08 21:28:34.000,,,,26.784114212987056,,,,,,61.65197277337227,55.43901902226805,,,37.19407566556729,30.70121106524733,28.71294500857043,26.34165769939497,,,,,,,
2017-08-16 18:24:44.000,,,,,,,,,,,,87.24438143880369,,,71.23915136911474,58.92766040360539,52.24467153590189,59.945391301959525,49.75319420418765,59.997503196704905,55.89857117332752,53.26151762634256,38.73780982871583,26.242476680083453
2017-08-16 18:24:45.100,41.35782291196864,,,,,,,,,,89.87957151722212,87.1180789393229,82.30498817847459,,75.47796522748489,58.9279108326785,50.21374099243502,58.798381383293645,50.132338885710126,60.66810984595439,54.93045481535394,53.03091545041566,38.79487235653393,25.75432809937304
2017-08-28 20:20:32.000,29.81675371567932,,,,,,,,,,,,,,,,,,,,,,,
