dates,oahuoahu0104_0001,oahuoahu0104_0002
2017-01-02 20:21:47.000,25.3261707617308,19.09243102087332
2017-01-29 20:21:31.000,32.98060893069771,30.534813701633787
2017-02-20 20:21:56.000,33.58858760200073,27.73971130968844
2017-02-22 20:22:37.000,29.179682144176454,22.05016631198864
2017-04-12 20:17:24.000,30.755703774006136,26.673718852438306
2017-04-15 20:24:36.000,27.374816525101675,23.17699651841941
2017-04-19 19:30:07.000,24.403741291737568,20.769941827224905
2017-04-27 01:38:25.000,21.087331182446352,16.95914694758759
2017-05-02 00:12:31.000,29.19244051569233,25.385768184161087
2017-05-18 17:24:51.000,23.95651931434969,
2017-05-18 17:24:52.000,23.817398500846423,
2017-05-18 20:25:31.000,25.230391741972586,20.746885633545656
2017-05-18 20:25:32.000,25.257300668771062,20.746878638361657
2017-06-19 20:20:12.000,32.39275238532412,27.266176051113604
2017-06-28 20:20:53.000,28.89709874643796,23.50682727406628
2017-07-23 20:21:47.000,32.56258563528862,26.72881218012558
2017-07-27 02:54:28.000,28.00607700813417,23.149244315403458
2017-07-30 20:21:41.000,25.38270437684884,19.97096714711854
2017-08-05 20:22:19.000,28.25449881052463,21.258077744056266
2017-08-06 20:22:03.000,30.877169093091464,23.05533575473469
2017-08-12 20:22:01.000,27.675900582547985,20.98960975869453
2017-08-13 20:44:35.000,26.10806794489718,21.435056162591007
2017-08-18 20:22:34.000,25.168852462377107,19.571342539927816
2017-08-20 20:23:20.000,29.047406068534737,23.213513045403765
2017-08-20 20:24:06.000,27.016208059631428,21.092975779310336
2017-08-22 20:22:38.000,32.614450489929446,24.16599728288419
2017-08-22 20:22:39.000,32.52074023807449,23.89495551867616
2017-08-24 20:24:15.000,30.28225391549058,21.14918348407688
2017-08-29 20:25:06.000,21.5944698888614,15.65185426352358
2017-08-30 20:24:03.000,21.235486690179066,13.65973219310742
2017-08-31 20:24:25.000,27.16600476782607,22.401742345211776
2017-09-02 20:23:41.000,36.08700782138511,35.25668754412318
2017-09-03 21:41:47.000,25.313202515512103,19.35068162034516
2017-09-03 21:41:48.000,25.703002187708567,19.35085091192838
2017-09-05 20:23:33.000,29.61105462828023,21.920349451713463
2017-09-07 20:23:29.000,37.43767329463947,31.67903259294456
2017-09-07 20:24:57.000,29.7722149830778,20.717359128034268
2017-09-08 20:25:22.000,41.03300680970975,33.11518155989355
2017-09-10 20:23:24.000,24.67183170866267,17.932298243014593
2017-09-13 20:23:59.000,21.48362112103275,16.482685487926446
2017-09-14 20:25:21.000,24.088155938523656,19.644794091007373
2017-09-23 20:26:28.000,26.73156876570244,20.91553503565285
2017-09-28 20:25:32.000,23.15585676109996,19.19608134908356
2017-09-28 20:26:54.000,24.2099485001962,19.1975729822868
2017-09-30 20:26:17.000,24.39117403894956,19.261005876435167
