dates,oahuoahu0111_0001,oahuoahu0111_0002,oahuoahu0111_0003,oahuoahu0111_0004,oahuoahu0111_0005,oahuoahu0111_0006,oahuoahu0111_0007,oahuoahu0111_0008,oahuoahu0111_0009,oahuoahu0111_0010,oahuoahu0111_0011,oahuoahu0111_0012,oahuoahu0111_0013,oahuoahu0111_0014,oahuoahu0111_0015,oahuoahu0111_0016,oahuoahu0111_0017,oahuoahu0111_0018,oahuoahu0111_0019,oahuoahu0111_0020,oahuoahu0111_0021,oahuoahu0111_0022,oahuoahu0111_0023,oahuoahu0111_0024,oahuoahu0111_0025,oahuoahu0111_0026,oahuoahu0111_0027,oahuoahu0111_0028,oahuoahu0111_0029,oahuoahu0111_0030,oahuoahu0111_0031,oahuoahu0111_0032,oahuoahu0111_0033,oahuoahu0111_0034,oahuoahu0111_0035,oahuoahu0111_0036,oahuoahu0111_0037,oahuoahu0111_0038,oahuoahu0111_0039,oahuoahu0111_0040,oahuoahu0111_0041,oahuoahu0111_0042,oahuoahu0111_0043,oahuoahu0111_0044,oahuoahu0111_0045,oahuoahu0111_0046,oahuoahu0111_0047
2017-01-01 00:13:50.000,70.63665372396757,61.56508479647249,56.3363584239368,51.35447061072962,46.71380978783763,51.3229785283188,50.36521822520545,46.35113995578167,45.52855502721266,45.83925918271014,45.43433615962986,46.83546002801011,46.54800506385799,47.20865345566936,44.16318327939745,40.65270208254914,36.92304673190109,36.62491803688634,34.902250124429365,36.41838329014179,37.70177872696971,37.54603692966216,36.80155332894194,38.49012061581984,41.36005154768561,42.67655270597083,41.45810454085438,39.37831986146127,35.87621014596679,38.9722768648903,37.86515439073536,40.24785173415334,42.10253769028825,41.602828657898165,43.64382752018352,39.96147867756837,35.71576751797983,33.21828017352274,30.716866918356704,40.2602937892227,41.33932099015701,40.665869685872906,48.41647600851094,52.52571376617949,48.85920038858245,39.37767111403495,21.213883306240405
2017-01-02 20:21:46.000,65.14121557199684,59.61831995510748,50.48808195700581,45.50989414158056,40.58561848553389,45.42616338674098,45.08786583142375,43.223556875768345,42.40104645705841,44.15696050475674,43.44538616441886,43.70922828185613,43.42046741404059,42.60028226715389,41.0348999049932,39.38640751177128,39.479695966247306,37.831371058554986,34.620075295089535,32.90174226359952,34.21726728195051,35.117791311337754,35.15820045949741,34.40785839241822,37.39629692064838,36.14633046985588,34.73984799019233,32.415291046272564,31.757265523646605,33.08284482302421,32.16684382205208,37.32439180843839,38.63011321501435,38.706307764568464,39.363963850558974,36.9514835428737,35.636271407154354,30.00004336368029,25.9716226853864,35.350171084162035,38.5785079475139,39.680291080906,42.648496132471664,46.88035433231679,45.481255418404665,34.59760541221665,13.823226174311294
2017-01-29 20:21:30.000,76.29787056686403,81.96841046385826,71.20366440020207,66.70994214321694,57.93084859807984,62.95300035494816,59.64854683616823,57.58584344383535,53.84110865373808,54.16021973061053,51.94248307641753,55.34584863127895,60.86072450727858,57.54864113963243,54.386612294524525,49.90217593922742,53.68473175895068,54.62819772766182,54.63042103914752,,9.434259728748131,16.83390796952905,24.149824167087107,32.3327342585575,42.12970230432969,49.61265086660888,52.29362696456975,54.86525172738,57.50123998456697,59.04192631274034,61.45856696527643,59.65631124243117,45.55506258267157,48.79414636757853,,,68.58876664808842,,,66.80252291147562,,73.31554262849654,74.66921977389002,70.80689368156081,64.28707961584985,53.004619758372776,25.06788865114498
2017-02-20 18:16:05.000,53.26308776424284,59.43416122848719,61.39176948857765,45.55002953491091,34.13033074442884,34.27080619834079,34.767359478219326,28.192458623595613,26.74421808616513,25.510015357826905,15.357234838839522,17.2949602935529,19.019761584805657,23.57379147649641,28.83633073987884,34.34598231706194,37.70250253935253,38.47183922434046,42.21517397009834,40.331066881544366,46.43335452663822,50.656012292316255,54.885707051399855,57.25152483142005,61.430196454831226,62.25767358975229,61.54534246851322,61.385633509838485,59.59655365639913,61.3143859722086,55.88305858806808,44.82675508161946,37.81463913910845,38.11407237311064,54.88863566567074,51.86113673894812,52.4071790826467,28.3539916537858,25.65038954615516,,31.361016900912457,31.66078449654045,,,,,
2017-02-20 20:21:55.000,89.07743923005773,,,70.16169083558685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-22 20:22:36.000,67.17510755085678,59.6740382527572,53.54459747937235,49.26833061919047,43.9727354146791,47.941338939305865,49.5688779671004,46.27935989256986,45.45677496400085,45.77587554787129,48.43703908716575,49.75283175965582,52.47630357855553,47.57996597415388,47.09218822972837,46.055465023782425,42.76180111624697,40.66172138904512,38.64251405224749,38.93129826552052,38.94305208510384,39.404104038583945,41.25690437302463,39.77773066024188,43.1985591889236,44.3779142266357,43.9296237179923,43.38115900001923,44.12502592052145,44.12901831527931,42.591395241513865,41.9392670993792,43.16980097954888,41.99108355824322,41.66854648725032,40.20615900188207,37.57928218156697,35.664284089369524,30.684815463502748,37.97839880436217,39.57991440270548,39.570584798095766,45.553276950378645,50.95743206260836,46.6364161828875,41.07885686855538,25.16825105213118
2017-03-13 19:16:16.000,,,,,,,,,,,,,,,,,,,,,39.11693741881068,41.04392398898658,,,16.081909643497763,22.868939333103995,24.847166786488533,26.699538821533984,28.59650583384486,29.38057870733716,31.02758966268244,33.1808863226735,35.49752971321093,37.944568932506776,38.99514737692709,38.78783196819214,41.3857223828835,41.48445878819105,,,,,,,,,
2017-03-13 19:16:16.100,74.45972362826211,73.23880445308117,61.46447515048456,52.45193852942792,40.431820668465726,43.61903945757668,45.4861737880009,45.18717477747335,41.37425075165915,42.50528485199073,42.4185904590196,42.68243257645686,43.86997525461195,43.19006613364532,42.90677497890045,39.49840801628834,37.85658217395416,37.84935329675854,36.262673431399215,35.72413422180224,39.11693741881068,41.04392398898658,,,16.081909643497763,22.868939333103995,24.847166786488533,26.699538821533984,28.59650583384486,29.38057870733716,31.02758966268244,33.1808863226735,35.49752971321093,37.944568932506776,38.99514737692709,38.78783196819214,41.3857223828835,41.48445878819105,,,,,,,,,
2017-04-15 20:24:35.000,66.08638763881979,52.299307516776366,43.20873899783521,41.89518725104075,39.26917862259741,44.36086620389096,48.1967198065142,50.25511968828753,49.23653066681543,48.56122262491074,48.12922663954458,51.39283840535449,51.599497106509546,51.901296701492406,48.72081508269553,45.21183155047995,42.0503028139053,42.06147915615651,40.3494900995594,40.121312493735,46.480274936905886,46.79526576417052,45.84100121160437,41.56860259086593,44.74808037131102,47.41331519329431,43.991302426639415,41.08526506342161,43.56455567822336,44.45588392567284,41.71291289555795,,,,,,,,,,,,,,,,
2017-05-02 00:12:30.000,77.48475038225354,,,,,47.37385581515781,49.01432081690562,45.75313276469058,46.61744725866546,,,,55.904050082917095,55.73921032076792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-18 20:25:30.000,57.42131604047403,50.45911766982091,44.040632284495295,39.76527928712934,37.13941679175371,42.23117967023245,46.06711427033403,45.777786371854,44.95520144328499,45.27430202715543,45.99967111038157,46.26338972093494,45.97465147993032,43.77100661597844,40.85326999897646,40.13592112999643,39.257636605858686,38.43029377909166,37.18043838150833,38.18436681277561,39.48178243809285,40.0207668440834,41.98305546998397,44.9070235377544,49.53471267194806,51.48252221700389,50.78705164529591,48.68878384508604,45.012589592111446,43.90081797867015,40.04555420535452,38.81882526423002,38.609867386335566,41.69069450672784,40.626045857008336,38.45386341181047,38.71938649148063,37.39900923723295,30.825805072697147,37.47682528364631,47.16691960307884,51.55067834392011,47.97232958912102,49.89876028182599,43.07603080029842,36.08660805106744,21.17153110407151
2017-05-18 20:25:31.000,56.251825437735455,50.16859887353357,44.00317464675436,39.76527229171351,37.13940979633788,42.23117267481662,46.0671072749182,45.77777937643817,44.95519444786916,45.2742950317396,45.99966411496574,46.26338272551911,45.974644484514485,43.77099962056261,41.073792935725855,40.90552851869731,39.257629610442855,36.972873387807184,35.76398430108664,38.1739883118769,39.48177544267702,39.88249907388836,47.79061921264575,50.01293880818904,,,16.286750555954338,18.53221503858981,20.808217753097384,21.96130017722602,23.970583521338167,26.48173421510957,29.15336599075568,31.953546809556656,34.74687987369668,36.68647385530745,37.6092436280192,36.89528547079679,,,,,,,,,
2017-06-28 20:20:52.000,54.47959163073373,46.65642171527531,41.18479410497952,39.22457583225562,36.37134288536951,38.69020504182988,45.49184253717748,43.7320492137219,41.41448777911856,41.73358486532079,44.72345281186936,46.84523948567293,48.43398731401008,48.71812090891243,48.07077626102971,45.79867410296755,46.74568040252944,44.17678445358558,43.54663653870949,42.6638359760865,43.91484609911244,42.32166833508776,42.18828705244765,43.966865083681846,47.51279443929874,48.8218326735644,45.48264076243575,46.34512515382145,46.81882927758455,46.41035403711911,44.68581684209684,46.5681095867323,47.59984881858716,47.423956326265866,45.96917146991811,45.280899955099656,41.34114352362154,36.43682719327261,34.220140881407715,43.5219866587399,45.92441293788598,49.18433863547273,52.79219569364033,56.09910014429887,51.35934191309816,44.30855914641624,28.26523524865957
2017-06-28 20:20:53.000,55.13998496170306,46.62658866560702,40.253102863907415,39.22454837148428,36.09768525613997,38.69017758105853,42.52619317863846,42.23697073705714,41.41446031834721,41.73355740454944,42.45880002570766,45.67401355097324,47.75977542233442,46.75555033370478,46.759669192569845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-05 20:21:00.000,,62.17970239793703,42.64650640887297,38.70804609069057,43.26077934663312,43.172951655291605,44.02460207412504,43.71947363776136,42.89696321905143,45.25493030085171,41.21221439099975,44.20514504384914,43.9163841760336,44.7127786010376,43.8350449084468,41.52438940979859,41.7103313835672,39.37206576415082,36.7459478317051,38.2157297264308,39.436311104024384,41.201095802756114,41.71197236061523,42.85016625874322,46.34546642789555,47.60164660979719,44.21383540931794,43.6612893647229,41.26081002827539,39.579619349504775,39.01923269510331,40.62849806129979,42.833878755486666,43.6283137924085,42.47554611489509,38.94871877390266,38.33995362078176,33.510561537859374,28.705899453706024,34.16909793542147,39.44899718190979,43.046755442464416,42.270152860904304,43.46868861581554,49.37189314119892,43.7022233472541,29.36032869320856
2017-07-23 20:21:46.000,59.36215079692549,46.5325387544074,38.46324101094313,36.82772334240891,36.50463596490903,41.551343107698855,42.781327267515806,42.14292082585752,40.86961947071174,38.82831525683669,39.444378220308536,44.46375410777343,47.01204104612248,44.572093442238376,46.93466425019238,45.44763536350561,41.92942738408305,41.225703006626105,39.75965554301058,41.544994319919766,46.508504350518606,47.03106957719618,46.1932746878362,45.60055436329274,49.06220758299409,47.77390160817604,47.31846741892716,46.68740323024684,46.513749066205015,46.91391713513664,49.31474638206017,50.62559082703021,51.8623790870702,50.08452817758968,49.39219888205876,46.71271997067555,42.26375191399516,41.37679618912997,36.24657805075636,43.516313944373735,49.66011136477636,49.39376606206096,55.371030179080655,53.85038096720806,49.22265246307754,40.77544250627217,25.661783400478534
2017-07-27 02:54:29.000,58.54472191844216,50.68106193628637,40.699174955360256,41.37382059123183,39.541811130767314,44.63357400924605,48.46950860934764,48.1801807108676,47.3575957822986,47.67669636616903,48.40206544939517,48.66578405994854,49.243613666795206,49.17369253011798,47.498477467184976,46.98210397533866,45.44457014669874,43.83676465011968,42.95439095477684,42.135314422647895,46.08754702745242,47.51948734024852,46.85820241437738,46.92271960561017,50.57374536493367,51.988115430077954,48.7561425939974,48.64279377766937,46.477246630367496,44.64557888805928,45.04693300447833,47.712944638461146,48.50989104583172,48.35055670006344,47.01986365702236,43.55829080746415,42.21098448731053,36.17089122008995,33.06732177518644,39.40692417632133,47.61886440763209,49.66256190499183,48.0965354188732,51.21811742074657,48.2584856968965,38.87833042539263,23.729315376970685
2017-07-29 20:21:43.000,,48.02009823694074,34.73166827305559,36.50713648944301,34.8552171261959,47.62018537641852,42.05508004248156,38.02557869728355,36.67131762057012,36.99040771143734,38.13216680620273,42.28481955175131,41.63139196369607,43.67340207891235,41.30519148709037,39.39382097639284,39.57992322915965,38.44565697119304,38.39551737237424,38.38616258748811,38.61678645367079,38.65896287390503,41.64727714864989,42.47751551016265,44.99260083206551,46.64559117395161,44.34249914367111,41.97664645680164,41.06902225996218,40.66078950290421,43.77613656701507,44.48162547408359,46.56588135495937,45.92225076464739,45.86051728292732,41.522794773359664,38.002871942896455,35.290281494266495,29.245365579430143,30.392645545300983,41.09712539212271,43.66509037983146,39.95914638644328,34.65454058446964,34.574582044876614,,0.2505546918425565
2017-07-30 20:21:40.000,,,,,,,,,,,,,,,,,,,,,,,,,45.15311950547228,47.245082671612,44.34162964061318,41.42989400870847,43.25261472505291,40.6175623763835,43.18685685028034,45.28571153422518,45.88933038672663,42.90247998082611,41.75616057885763,39.73949753810861,36.83472143507159,33.79732644062052,31.992139215780348,40.892117702969486,44.44703503325943,44.42861132677544,46.80611943462896,49.055894294710285,44.23328087053751,33.971951723322746,18.510973874393542
2017-08-05 20:22:18.000,48.316534379441954,38.6699747558707,29.54316019861392,27.83590182594177,28.64489141732165,35.926500753648206,40.57324795595719,40.28413097127459,37.78175016621068,36.78077494399823,34.50562447198588,37.3337648508147,37.87348404457634,40.57330382180936,70.46401604869995,,,,40.69317072871745,37.79431101257618,40.921613786124674,42.13137850904389,41.68204850635931,44.43864414331006,47.97618740111805,47.780568524845215,46.127303479913145,47.38169537915388,42.85718264784592,41.10224931998392,43.53515952234195,43.88493281119592,43.690429407445286,44.38612378413227,44.89467684719811,40.61796840522642,38.04145244970766,33.19620959018658,30.02691167585044,35.77382183114378,39.92738553378255,41.10609276073729,47.91812588419547,48.29798562567869,43.80015496912154,36.66072220810717,21.98730306039818
2017-08-06 20:22:02.000,55.50305648552764,49.99398628683333,41.09636872964317,36.82132035321459,37.195950461629145,42.287713340107885,52.12402829231049,56.40474710227072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.26892885572334,46.58337995100653,49.97102789857104,42.81698503207038,27.00735579722513
2017-08-12 20:22:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,48.39534108052521,47.45223973381484,48.34242591652501,49.317796387174575,50.82691433388912,51.457834001305166,51.89059138395988,51.753245175416765,48.58300257928598,46.53708265743522,45.128120747211625,41.338267150910816,35.79976959200854,42.20460728454055,46.45548042298616,48.905672236571,52.11073999509571,53.39340205814466,48.54011762027406,42.89037885165354,25.664510631301663
2017-08-16 20:24:36.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.53444859892177,48.42176112766489,49.20804807512376,47.64300037714805,47.63018827714072,44.53353635314573,44.04968473914449,37.62203074102048,32.04858387142955,30.345447180397667,38.82135167131027,40.34312564930025,43.51577257207463,47.16244733639921,43.53724779722194,41.32151461570333,28.330689166461152,20.063055979587947
2017-08-18 20:22:32.000,,,,,,,,,,,,,,,,,,12.536519480287328,36.875852400705845,35.497967605281936,37.9550160594791,43.18837050646862,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-18 20:22:33.000,81.42292257423922,55.168009029024105,39.60364279643567,38.11976932469313,35.703523880041736,40.79536205571273,44.63137765329266,45.38521453637214,43.51964479300141,43.83874187920364,47.56412466939071,47.82784327994408,48.707936458457446,48.33575175011352,45.15428325447892,44.645335903495024,43.82430760594397,43.41658564676569,41.7511102500024,41.51702871925706,41.978906343004255,46.31176242158114,47.29666338311418,53.97252499388846,50.38498098668361,71.37058324595384,,,,,,,,,,,,,,,,,,,,,
2017-08-20 20:24:05.000,55.30981117342052,42.92965473755071,35.38161083199932,32.809403094396124,31.48456507322353,36.576478546086754,40.41257514114504,40.12345815646244,39.30102224761158,39.62011583614701,40.34523199523592,40.60919761955864,43.38251961409195,43.81173832250121,43.87026011206195,41.81756187319406,42.6146715735916,40.30016254835439,38.94080044347364,38.70050090112156,39.97097701079153,40.82765311501858,41.69614929515013,43.53460746062345,49.324813577955126,49.71659190098143,47.06051038650756,44.80472112753406,44.37875043833873,42.32887445808432,43.81330323667134,43.89757171142762,43.48778693748132,44.27046846788627,42.36195382952507,41.09132135518565,38.74638016542447,34.6466433655496,32.076170416507466,38.93090999764559,43.223880522036296,45.0578454900629,48.45819563807476,48.7075090428438,45.93550837128305,37.94781264545036,24.254047126175177
2017-08-22 17:21:40.000,47.8208088127378,31.591399963285088,22.04665280929466,20.58835790306881,,17.708297542427683,26.479221599146943,24.78422797930108,24.65153531419289,23.285807176282425,25.022615278575824,26.8513791861695,28.941824975971706,30.02285996593845,27.587027100499032,26.621996689893173,,,,,,25.246083177621923,27.29083349253024,29.485371591824663,31.767221178024183,33.57509769630603,30.23319147409176,29.31910514437581,28.48678642645265,27.51761388006104,28.43632382939021,30.320591083990816,28.466306186314945,,26.81965820860354,27.570246667141223,,,,,30.46011720229701,,,,,,
2017-08-22 20:22:37.000,,,,,,,,,,,,,,,,36.512588358181446,35.689819321630004,31.90331309232737,31.0363522611058,33.3685121856103,33.782706699974895,34.42466018773324,34.68946898921811,35.91665730926252,39.34714656003664,41.33796759031717,39.26913918724031,38.68044410783674,38.60728479444115,36.92469587782146,38.90771673824093,39.87870406260745,40.60154200560799,38.73369683859832,37.40800032338119,34.61832244401104,35.229166163178306,31.33849259157033,31.185593899925152,39.713456037929134,42.874952087515474,46.433537949563,50.11530993820456,50.31858389046596,46.32170126243803,38.858303412055584,24.74169925354363
2017-08-22 20:22:38.000,61.82266964099055,54.13348768404544,,,,,,37.5425330926633,36.27410079388381,37.0439936652748,33.51798954014352,35.95725884928675,36.62749425002173,37.03980433398175,38.852465460001895,36.51276811205013,35.68999907549869,31.857094174380165,31.239783886050454,33.20609376131893,34.54164374649653,36.695507822997605,36.85716549775221,37.28626786685994,40.401483639918034,41.35057671538336,39.63528096195355,38.01109156601317,38.0940653378506,37.30766306819224,38.856212840870256,40.856966123626414,40.92141464164962,41.21635079847043,40.434959188027285,36.03562811716191,36.534434435083234,31.77744503038636,31.35547480485551,41.0398708740057,44.64248215468691,46.62417465584686,51.41576596493019,53.19425963741881,47.582532816082015,38.87555089569346,27.323265279125703
2017-08-23 20:23:38.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.056642104031496,40.692789694132166,41.86942374853442,40.54030492568845,42.367433030536525,40.21013964592339,39.10841913364878,36.13110460451082,32.794598765966995,30.26399794718975,39.88151448701393,41.700073329378455,43.772276207443866,47.51426768887618,47.29888713505609,44.278921987398505,32.122474217655395,12.085636617713403
2017-08-23 20:23:39.000,,44.02759680394034,34.794203812534406,32.70029686104145,30.51162940613172,34.45581448985593,36.1275571365174,33.667379024156766,32.32806616193432,32.64715275513475,33.42869281687437,35.891700863153424,37.78209188542549,45.85595085245841,,,,,,,,,,38.595418569247904,44.54807014394554,45.986327781325706,42.47768594834065,40.02056613309478,40.3292802200259,41.89964164274799,42.709856436491314,41.40937573237661,42.1666065636059,43.18040597768508,42.14286664673039,36.32135555147012,21.856236389864986,5.696243968385678,31.687697776697025,38.2781509781571,43.687192405177015,44.53919698718829,45.54917892359525,48.886708149465385,42.20397064775292,32.12259195132393,11.664295070714422
2017-08-23 20:27:51.000,54.69495479600313,44.10963388183063,34.44151755153035,28.7515161320006,16.241821371663928,,,19.230032609801427,18.88034657124624,14.62360391953711,26.98915779017389,,,,,,,24.68894626050723,24.449505288830693,23.07598327180313,,,,45.12527403463815,51.296913445286,48.78471534351068,44.8198249467026,44.822904577561445,51.62394031815383,51.73334405568266,52.097473923816736,53.92262269470584,55.3737327430965,55.45138055050866,51.50875699543671,46.101553704982486,41.962211278024746,41.776932220489925,39.925287944570336,47.051865052756526,51.56835824696391,55.946497734749656,62.11171402361213,56.271403000655845,53.20776407067313,43.475565787441184,35.60360243318922
2017-08-31 20:24:24.000,78.56855544963179,69.8310993645915,60.69939417754545,59.324554464559576,59.79661785622483,64.88785365437907,66.96301347554801,65.43307045621985,64.61003846848713,64.9291600383628,67.99415053142295,67.49194461008211,69.75197408993753,69.886238659396,67.62330597041236,65.6776324673312,62.66047132868327,63.07462536873081,59.87874231743725,57.121265801133326,59.70505564000823,61.66317179458435,61.19276824235257,66.62373504814042,,,,,,,68.12652073958617,63.00321564097403,67.96764848898061,67.06041218991277,63.49109717260481,58.94386714675846,54.08491170092172,49.52357642037979,45.66587099075503,51.64079183464391,53.025610493540434,57.057500591048544,52.46544066345962,55.322095521518726,,,
2017-09-03 20:55:59.000,,,,,,,,,,,,38.64270510615877,41.362822709248505,42.183854865088776,41.96155746451596,38.45718002441416,37.66083768845605,37.62901817266325,39.987496123869576,40.6512329750403,40.59287760075716,42.23571589251703,43.54463593764797,47.00184977454156,49.47002689808062,52.77260639826648,48.33303018550961,47.03409318178745,45.89940000908756,40.21675487879472,40.92696658109815,42.69723471880064,44.46574702505662,43.90294557741488,43.33315166535702,41.9103461498774,39.47237571658668,37.45815775676439,32.19441229411928,38.85619065530342,44.52518131947398,46.83158325406079,51.00328702159667,55.21963184595423,47.60892807899591,37.94237042377552,24.84351340933026
2017-09-03 20:56:00.100,53.026484921170805,45.545607775476746,36.417815092269706,35.143868561493,33.26219374419725,42.89029993904709,44.46257774045584,41.15719141548601,39.62225406154309,37.65383538820964,38.37882508522614,38.64291421643727,41.3541473839542,41.98117287094277,41.96861916386267,38.45738913469266,38.21311220746132,38.29830858483763,40.26975941007672,41.32852061174275,42.27877193965732,42.08072424157208,45.06897872197596,47.182822317441975,49.27884574869198,52.72545203551061,48.40226334538215,47.56584354161635,46.47464060169444,41.06825691833357,40.23929826201344,42.75011060051493,43.18112770889668,43.47510322323376,42.80811557828903,,,,,,,,,,,,
2017-09-03 21:41:30.100,,,,,,,,,,,,,,,,,69.64885201320038,44.51705087044513,35.05265669388554,30.14079583473213,32.3411056312381,36.32724159721908,39.6428986681437,39.752940269749,43.48126906845563,47.27552490493844,43.51092046067994,46.022705766948846,40.782010122904936,38.48447939840614,38.337016956016285,41.839590055391184,40.28591553918746,44.5609383597756,41.790822584823786,41.66870827696049,37.35709835936871,32.85994532284165,31.993812636078665,39.37845114582844,45.88122022392148,49.83198759228194,49.3593180035446,56.814361262348406,51.81780397055339,52.07300880287488,39.58164448531432
2017-09-03 21:41:49.000,,,,,,,,,,,,,,,,,,,,,,,33.5882628476304,34.481908351912985,41.13872542845098,43.3453576867146,38.9408071383882,36.06512474718957,37.26617331713911,34.55402851306323,35.78642707439117,36.98557704986938,37.69434790821517,36.201142156026165,34.7118469604169,33.96043401339448,33.53749852129361,31.280502880541025,26.96341595381074,30.0824944024694,41.29836775628228,44.33008947071008,44.76599471800625,46.5062850200523,44.44678988071188,45.55372292370012,36.53965399451255
2017-09-05 20:23:32.000,51.66125885975481,44.28737006823911,35.15957738503207,32.46184709337661,31.291257208784724,36.90733477822279,42.6954913551908,39.89895370824838,39.07651779939752,39.39561138793295,40.12072754702186,41.87782823437407,44.9038931166359,42.05776740472042,43.25548186745894,43.20221911918386,39.379609577339885,37.90473781954513,34.47386790871726,37.221721692506,39.696942990115375,41.05754696367946,40.34659855458522,39.79438680964899,43.35831135357268,44.681490744212965,42.58633146815261,44.76866824513313,43.69620263636708,42.119055458739616,40.80329865306252,43.936648954901,44.6269430825464,45.08619192781435,42.39573436004084,41.628301039275925,38.64184467738661,34.54884981222839,31.33007738124057,39.95604007716573,45.292635146875774,50.46191650960697,49.13378618180443,56.45671962162222,52.32685531506353,45.74334198507631,42.33081480748211
2017-09-07 20:23:28.000,70.33573254573652,46.86595730653296,38.90501920381073,36.38955335445189,33.76383699214533,37.05734269097331,40.99907340465153,40.44891016317659,36.01333327367941,38.8990412843477,39.624157443436616,39.88812306775934,41.98620582816856,40.39548171196523,38.97519218713611,39.7041151697342,37.52830087924347,38.139030804609504,36.47224956382816,37.84238348070149,41.96978296435726,46.13701373013559,42.11771744294373,43.84588048312177,52.53933322567133,49.21567478328444,46.99065408097797,42.82019550351253,42.657692631174136,44.21762671987318,44.5902477111798,45.61205031433702,46.58048634685395,44.38651754674428,46.6077090060736,44.81628888277797,43.81980876675251,38.94304134499674,36.51797807254468,43.96313371129845,47.40865521860478,55.77057082317053,66.42026962224983,57.7942642586993,54.27207414465637,55.99725700825811,49.34057086347781
2017-09-07 20:24:55.100,44.24144842345688,30.65437602362511,26.01142116804649,27.46768279923377,27.775048562502825,33.95984049542377,39.702000664401474,39.41428811645577,38.59185220760491,38.91094579614034,39.63606195522925,42.82833753410384,44.83279746143606,43.40767779888381,40.22571586483243,39.658209321045256,40.25053043713852,41.41771367605319,39.79274635170308,42.05152073235596,44.1526417190704,44.25944253057512,46.57542547706447,46.61619336287231,,,16.249078721682373,19.776767829260308,23.314784143457384,25.71697939568544,28.96692948772389,32.71327065809499,36.61672192456732,40.64707317833232,44.66917100356016,47.83697044443499,49.98714891736335,46.630966109949085,40.29703590274128,41.18474295724692,48.2801208942624,48.80345257779784,50.90202035749409,49.69480148915877,52.93759225495203,47.984435255011896,41.14258965926817
2017-09-08 20:25:21.000,64.07704285380575,35.60054455948092,22.85643399720054,23.321584480167456,23.797759902975606,30.766779774560217,34.34913050903381,34.116111181608204,34.53252232372058,32.96621295854898,33.96057577689253,36.500270778136326,36.70693139080512,36.319486053557846,34.27944041406544,31.540467308078025,26.945064996350048,27.4512770438312,26.862903810146207,24.806502637379527,23.73496386902205,26.55384459422681,25.524371724012905,30.83480047563325,37.04967427614299,38.77075019540198,37.53476290402328,35.539265713797285,35.065293354006066,33.14532220530971,34.53076943969719,35.39076052425435,37.78830978418497,40.66730425043187,39.25208659275842,36.815160346803374,33.568461364043785,30.26598831390669,26.150919166987347,29.8090550356878,36.45840271619508,38.355917170843234,38.5170794120839,43.66334563643856,39.21925328073316,36.39181436352286,20.404358819476144
