dates,oahuoahu0031_0001,oahuoahu0031_0002,oahuoahu0031_0003,oahuoahu0031_0004,oahuoahu0031_0005,oahuoahu0031_0006,oahuoahu0031_0007,oahuoahu0031_0008,oahuoahu0031_0009,oahuoahu0031_0010,oahuoahu0031_0011,oahuoahu0031_0012,oahuoahu0031_0013,oahuoahu0031_0014,oahuoahu0031_0015,oahuoahu0031_0016,oahuoahu0031_0017,oahuoahu0031_0018,oahuoahu0031_0019,oahuoahu0031_0020,oahuoahu0031_0021,oahuoahu0031_0022,oahuoahu0031_0023,oahuoahu0031_0024,oahuoahu0031_0025,oahuoahu0031_0026,oahuoahu0031_0027,oahuoahu0031_0028,oahuoahu0031_0029,oahuoahu0031_0030,oahuoahu0031_0031
2017-03-22 20:22:20.000,35.926672621219936,38.0248293096242,32.02133549145627,29.395978058357912,35.304037186158546,35.340331699166114,38.14510061241071,38.506989889343714,45.125128382626585,55.00962478963643,69.46447625001811,70.7129191198976,52.45216898227828,33.563050746174135,25.84994692658214,21.63295352965645,21.78508333730625,21.2987764739294,18.95737568396188,18.15115575826504,15.719880425600737,13.240296057019863,12.274253082933,9.168476445100923,9.141345425502186,7.363067344898928,4.25800166885683,3.02017610767078,10.736010982552076,18.86200187409048,41.23990341594049
2017-03-30 20:22:49.000,52.68174307839536,59.08232160881044,54.60137413382412,52.26614699740751,49.05549170749999,55.02152276643245,57.62368840528256,55.735140821513646,64.83418933320836,76.1388048398003,88.88969649722328,,,,,,,,,,,,,,,,,,,,
2017-06-21 20:19:16.000,37.31199842309724,37.49279946609314,51.182795689624605,47.85394677339604,25.22484090640559,28.68264850480209,35.77943154163616,48.87480122008889,53.16993645511932,64.80473025653579,85.11402472127143,,,,,,,,,,,,21.458081278766443,16.319556494642953,10.88710783211648,8.862059874057685,8.466151347476139,12.845696143312535,11.038303278803252,11.625960689505412,21.926892125046493
2017-07-10 20:21:53.000,,,,,,,,,,,,,,,,,,,32.56298451799237,27.812408269365,25.45028358093468,20.47294043880386,18.06412125909754,17.630222648378343,19.854861484143505,19.67761817220192,26.488348353287392,42.59609003880308,,,
2017-08-06 20:25:57.000,38.87545733300404,43.44450159410776,35.837531221297695,31.0441159336768,17.940803645149565,26.400841077962724,36.07998771890792,28.034385049130275,32.81530244405436,43.07644265685487,65.43570843823242,66.18788792303685,49.36877307850064,31.50200010595811,23.10390583893082,22.64101987759429,20.57808850522084,19.648084393408315,19.2469777427078,20.58843527520377,18.14487330407416,14.927860965327632,13.018259431063932,10.786798375023436,9.404001134273129,7.470657381844158,,,,,
2017-08-06 21:44:35.000,,,53.64020838485408,50.49084387872983,45.759909174076185,51.55887827868674,56.7254307234241,63.03264204379102,67.40784504492848,71.2671413871728,86.971963512922,94.90632651022842,,,38.66111953507831,39.11377434159988,40.98288234299691,28.09603908090576,32.17808637657909,30.29662068113532,28.32702161813118,24.19149210420393,20.431566465247062,13.643324315240395,11.307778517953968,10.368461909102455,11.705144441802757,13.014827461566473,12.299903499716866,16.574217324074375,25.77537301423806
2017-08-08 20:24:49.000,37.730604488948416,41.20020418023117,36.70405211748552,35.603938317720704,39.221264203789495,42.47357401345234,43.58017080091581,43.0328241961537,50.49581665106388,61.94124238429716,76.26426985886157,76.14047822253316,60.1529338968387,39.3835354376213,30.046423736630416,25.05936868073884,25.31426685080792,24.36328357171957,23.940104087102902,23.740350830186287,18.679667448327983,15.747366488071767,14.165223405686872,10.738295382585507,11.27426110555688,8.238717913936286,10.065023289409291,15.403292214621263,26.274743634536804,31.958093526835505,
2017-08-08 21:28:34.000,,,,,,,,,,,,,,44.71010234315205,34.75243946939568,30.9804744742108,27.94163918665124,28.91850832890245,25.20545818934237,23.72366422070941,23.74930852571685,19.918110184616737,16.506501746592306,18.47348092021086,25.255010753774748,18.370986037177424,32.92149685841108,27.62651695397493,34.44192025228998,,
2017-08-08 21:28:35.000,,,,,,,,,,,,,,,,,,,25.379421959860007,23.724031975230613,22.677694195549883,19.000828082770067,18.010734704450815,18.72587286571137,27.851031244717685,18.9053654987824,33.07750846710766,28.07564645421953,32.715675999388424,,
2017-08-18 20:20:58.000,,,,,,,,52.77986697619812,29.952268825446627,,,,,,,,,,,,,,,,,,,,,,
2017-08-26 20:23:53.000,42.32148090115777,37.39090986470212,32.18513920512241,34.5910776581336,32.35156873441587,39.40146163890756,38.86115895351696,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-30 20:22:59.000,32.11723287813825,38.39833123996209,32.32539262982686,32.102691324504626,,,,,,,,,,,,,,,,,,,,,24.25578228644375,2.676135635086444,0.1596045357767448,2.046387259440458,0.4458101789871318,0.8087920548152898,9.942358601287692
2017-08-30 20:27:04.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.177645237983453,3.302530875216762,10.330160154575069
2017-09-04 20:27:40.000,,,,,,,,,,,,,,,,,,,,,,,,,,33.38030216524256,,44.20924679791938,,45.33262584700761,30.713928523578964
2017-09-06 20:24:19.000,29.683598744917283,33.007750069433364,28.26891728796279,26.555935384045306,25.59638125218219,29.605643247565,32.521472763219016,34.26823300260849,40.29523619539339,50.491915374291175,67.14939425485878,69.99680926819565,49.26017055552274,29.503038913066604,20.906861233698702,17.831396798516757,17.33020038802158,17.727757236325004,17.84274997230716,15.148272286988906,11.722375682856716,9.002181546496422,6.801624075639996,5.340916966588875,2.889775367593419,0.7796610188868491,3.508517247570719,2.846240424763608,3.0180128238697286,4.344139386503649,16.085229686461346
