dates,oahuoahu0058_0001,oahuoahu0058_0002,oahuoahu0058_0003,oahuoahu0058_0004,oahuoahu0058_0005,oahuoahu0058_0006,oahuoahu0058_0007,oahuoahu0058_0008,oahuoahu0058_0009,oahuoahu0058_0010,oahuoahu0058_0011,oahuoahu0058_0012,oahuoahu0058_0013,oahuoahu0058_0014,oahuoahu0058_0015,oahuoahu0058_0016,oahuoahu0058_0017,oahuoahu0058_0018,oahuoahu0058_0019,oahuoahu0058_0020,oahuoahu0058_0021,oahuoahu0058_0022,oahuoahu0058_0023
2017-01-01 20:19:50.000,-0.1345486163832606,3.5506206931692668,8.984450672999357,16.28578484665474,9.95553727946363,9.763266513145275,10.782773810830845,5.700369759961511,7.298646487675335,10.106330120953707,9.049871372003016,9.775203008569838,7.19243994658229,9.733370844853331,8.498861279692857,3.724992029087296,0.936881236360292,0.1419915434200098,5.677899545884886,5.789621993764863,7.776221025134604,17.377235198937182,26.11931230611925
2017-01-03 20:19:09.000,2.7026235014350384,6.236137941580398,10.997452418107589,22.34860732989089,20.810454585251023,28.53301462435822,30.740714783063183,23.693674899605583,25.14706519471085,22.42124441114464,29.14618001129663,,,,,,,,,,,,
2017-01-30 02:52:05.000,3.475528124087573,7.258483566996251,11.951088651817466,16.453848320488433,7.794114831789101,17.567643094709474,17.878185520575407,13.67705291390194,13.66886119949305,14.769790966706989,13.235110009492049,14.799041103560809,12.258809181461247,17.273089076642158,13.733778947515091,9.20417831207778,7.665714706687775,8.0393682915448,12.570627824138636,12.408475031191776,15.670327661876929,23.91613514237353,30.620882331881656
2017-03-14 20:21:08.000,6.966071776015194,11.943759657800689,15.55609843265766,20.559798623558457,16.30440898706776,23.525122652186184,20.30169478271223,13.823801322346052,14.801919224357723,16.63403431142144,16.44455941191666,17.7726391529268,14.812977037423009,18.048694883718632,15.05324039251457,11.611116068523431,9.137996418858382,9.957073634537858,12.924204034224744,12.880895279834828,15.665469016132192,25.627489892668937,33.96987202214691
2017-03-20 20:21:10.000,3.5966427405127845,8.50879876145093,15.521989871808747,18.42067624459543,13.208733657292264,15.859265773674542,16.731430596639232,10.038480884471364,12.270927615179264,13.339263951520987,12.65826982513088,14.622080212002068,14.921239091872476,17.151642179422605,13.523673640947468,9.309850784943189,7.161270372025873,7.746218815757441,11.970083425690296,11.414123271868302,13.757139656002808,23.93622557505876,30.34699742113085
2017-04-18 19:19:10.000,5.780525518966697,9.754137228602234,14.187822394495644,18.89854524506637,13.065442842005035,15.45774854506442,16.930571348850485,13.326276697220983,12.059622296899732,14.876747712549363,14.07159364172162,16.270366731726433,14.96215102906038,18.43900114559588,14.746019270089432,11.627012809090596,7.794380829847606,7.941635237608224,12.94526129836017,12.264062313940723,14.340656596205909,24.65869059998328,31.36608271912849
2017-04-26 02:33:11.000,4.222337997437788,7.367308554776838,12.872780632942492,17.50761635505557,10.952909659601474,14.371018255936145,15.320177693992884,11.408341885689818,10.602680848128228,13.630283247362907,12.59320539865138,11.25892203150262,10.29119949645408,13.152582722150504,9.957252284144454,7.519880724848378,4.732096450290821,6.057737119206274,8.349426249955936,7.887814969636083,11.418505871609543,20.330775355867768,27.381470099172688
2017-05-14 18:10:45.000,1.848643507060684,7.072226731378789,14.897241900917582,18.893866261022147,10.987377807470894,14.649122614661684,15.064171110160668,9.43718757722565,9.286576119139037,12.218724149643158,12.12684471277519,11.407577355245412,13.10824285193471,16.5727131092027,14.636646649324437,8.612370036465938,4.981664163281433,5.646454197240539,8.643173621132291,8.756679645810204,13.130892110946911,23.9092001840994,29.81318215932593
2017-05-16 17:28:41.100,,3.959573362339601,10.197171570632136,8.248914615044646,,9.213609564334128,11.747853288983553,6.403225693076154,2.998981475201013,10.85668992282636,8.317618151221248,13.091688920220443,12.548662342928347,11.697507506004268,10.577498374328924,7.503964249375016,0.1253368974866788,0.6042789831778463,5.439272526758368,,11.458993523693934,20.789441597734683,28.73112444000283
2017-06-19 20:17:47.000,12.842415178625556,18.650928935197065,17.29191941353676,24.030771008304576,20.113550353689646,23.056412357121225,22.26136586758,18.03526331127204,14.239441991499756,15.30786679226313,16.06260855192021,16.482702216915058,17.061071540200423,20.3080717411178,17.119097366550996,13.201706605728274,9.761522348802602,11.70178900510257,14.714506846639898,13.900696493646793,15.918656213585908,26.24646705430941,34.78533075391618
2017-06-20 03:31:37.100,6.516166626989099,10.130945481681003,14.889512298750564,21.091398737311383,17.537921989385097,19.269026951676384,20.07209753529286,13.861029701049883,11.625959922566633,14.6729080618436,15.545558462047795,15.492118157501642,15.82933814829674,17.55838662884472,12.888974339302171,9.261188499077122,6.487990612807481,6.895782644178283,9.566870126298989,10.328459799777342,12.354777633622213,23.190712954081896,31.144006193986343
2017-06-25 20:18:41.000,16.0237105765041,,,,,,,,,,,,,,,,,,,,,,
2017-06-26 20:18:37.000,15.925083074477012,14.188404132639295,19.50524426695615,24.476764023444424,19.989148766703075,35.56006818224373,43.21419903446328,,,,,,,,,,,,,,,,
2017-06-30 20:24:05.000,9.836464739248417,10.803867492793623,13.818243467823097,19.42093267341623,10.216448275104158,23.15590543172969,18.33785556147616,10.659490502761528,8.79201410704016,9.773841886622904,11.1136150083076,12.875908126129564,14.223906843256849,16.21020232747266,14.420947119542967,10.94257784599057,6.494256096121973,8.386321186931582,11.233947821141344,11.404263100100792,12.521582377399689,24.657819889314005,29.3893528086269
2017-07-09 20:18:05.000,,1.3942138498162928,6.116468174175795,13.291624978101924,,11.813111909079174,13.324257222707809,8.754254811971396,10.65304600307618,13.68423119168084,14.119727379783996,18.39943100754361,17.970112211098,21.47890246591232,19.78755534226285,16.489596220504293,13.422145652609728,11.866705812385334,16.48958312446294,16.315390164240412,18.974512200600376,28.41163428875548,37.92952149633379
2017-07-09 20:18:06.000,,1.2602686467809754,9.25307341314996,15.355767805617944,,11.81330356289507,14.390026948550004,8.927143126035775,10.888421007869283,13.094299741358835,14.119919033599894,17.98103279048405,18.57752845731434,21.47909411972821,19.375951355711813,15.326054612394785,12.458074284791635,12.027176639235623,17.098237761778126,15.343673345843222,18.757967388810066,28.449281226266525,37.49780238335332
2017-07-10 20:19:14.000,10.226017293045206,14.201067759330591,20.082909625470656,26.549765807307136,26.635861368075908,39.096102240543566,38.50648590854265,22.19554750010936,15.837522776374326,13.695122178168493,16.06375017465385,17.448889576023653,18.52019406539236,21.95210740620178,19.13400549004665,15.6941572629581,13.074045126214452,12.53886859943263,15.161741785084804,15.088101398200576,18.19772775284654,26.598083681969964,36.024766150914424
2017-07-10 20:19:15.000,10.45544189616672,14.419751359493857,21.61688432678056,26.749751021761064,25.493431211950057,39.09566877597304,39.84021568628031,22.84645935866624,18.41412090514023,13.813135554207426,16.063904244850665,17.915544725520345,18.3815547658296,21.22367624228238,19.134159560243468,15.795302964376823,13.06158652980214,,,,,,
2017-07-13 20:18:58.000,5.539509390665281,8.36533414874568,14.274220378527518,18.07691685930533,14.906793288792375,26.63018721450497,20.216201348486376,9.903568501392323,8.2857654142815,10.257812341922262,12.36711746334809,13.020378158728365,12.768937864991114,15.150355947164734,13.406807703407791,9.21884195909148,5.532149851444302,5.065105767205863,8.513255698068482,9.008728632485456,12.891933413492657,20.898668207472287,31.93274191004815
2017-07-15 16:55:53.100,,4.752447673895587,8.879511767753797,14.161672408593088,,10.074882761491432,9.620144890309412,4.85221982922641,4.9728140560690095,5.372340977741731,6.430397983874796,6.372560773301282,6.878207164462249,7.557054351771552,6.966396020599053,6.205780528287863,0.7863549942996676,,,,,,
2017-07-26 20:19:57.000,,,,,16.04429910227841,19.49684824645028,16.94398483736868,6.513743406931441,6.48758114453994,8.255487523024017,7.386837172874937,6.013154436850289,5.44393265906276,19.16825821744471,17.077010619583838,13.671819254798352,10.237110044056053,11.91666674028809,14.729484209811949,14.488677942953728,16.84192661151843,26.208781655230563,36.211334822258
2017-07-27 03:58:27.000,,7.95507561999867,13.914736506491463,19.871251174629258,7.658238683860726,17.828457426463785,19.040592880328244,14.166793669765816,13.227493043681948,4.309176203556648,,,,,,,,,,,,,
2017-08-07 20:21:24.000,,29.32627740912181,23.7291549972608,25.68375464850166,27.21393005899684,,38.27112129098367,28.93689588637028,21.819347279892845,,,,,,,,,,,,,,
2017-08-08 20:19:05.000,0.9872268639160308,4.991896761446337,12.083216754073147,18.64159892453937,15.091242581876465,18.702215504169505,17.082708254506695,6.473691462077128,6.726953267452815,7.384282718668257,9.72496367837779,10.377897230565557,9.95980555153606,12.7790917132903,10.70417777754598,6.02224072842048,3.5052863598723976,2.902589643131547,5.9899882780307845,5.996925632971966,8.87773912336861,17.790008607626834,27.06696125949765
2017-08-12 21:43:29.000,,,3.78262744168047,17.67295890690681,16.0867783031494,25.26329877189821,18.001645107352374,13.680512182973954,10.155623533176604,11.083375786903646,12.771883350919191,14.652961605224876,17.438931128426983,18.011327849954554,15.641125337525263,14.431680265488426,10.701031914786014,7.334902501288008,11.058048763538263,10.24154946823041,14.31214980846829,22.9557136240704,35.333860459844495
2017-08-15 20:24:48.000,,,,,,,,,,,,,,,,7.42613136193798,4.130973115555599,4.321607035323023,7.046165467620502,8.999489220523772,11.338744843453767,24.18052004702067,35.712842766198065
