dates,oahuoahu0042_0001,oahuoahu0042_0002,oahuoahu0042_0003
2017-01-01 20:19:47.000,156.63415553450085,156.9599681546182,159.80108579576307
2017-01-05 20:19:28.000,160.4393117506101,160.34836539704753,163.7563657759704
2017-02-18 19:26:46.000,156.7594581416596,157.08527076177694,158.71829864884978
2017-02-20 18:08:44.000,147.00471081617144,152.2336245994724,
2017-03-14 20:21:06.000,158.03645596690927,159.9118104521933,161.29444104863268
2017-03-22 20:22:21.000,159.43972078082805,161.31507526611202,162.75259792825122
2017-04-07 23:37:33.000,163.274003405708,165.1466171056028,167.6629530377948
2017-06-21 17:04:43.100,,,
2017-06-24 20:19:23.000,161.810856929084,164.09474803188044,167.28974639460358
2017-06-25 20:18:39.000,161.21043646788027,163.49432757067672,165.6206965509062
2017-06-30 20:24:02.000,164.14695694657183,164.46454721052172,166.63228028242574
2017-07-10 19:09:48.000,158.69243098849842,159.36058615060648,162.45089014949787
2017-07-13 18:14:01.000,,,
2017-07-27 03:14:04.000,158.76374109639977,160.2396758424232,163.50495231030703
2017-08-16 18:24:44.000,,,
2017-08-26 20:23:14.000,157.9668829260036,159.4136693931612,162.10928925014326
2017-08-30 20:23:01.000,157.17000309785757,160.60312180447562,168.51648511254152
2017-09-03 20:23:05.000,162.0703023501421,164.43445500706392,171.39232615637547
2017-09-03 21:38:22.000,158.776177440288,159.39895487960422,164.686248764076
2017-09-03 21:38:23.000,159.37620873498912,159.39922630976636,164.36240869673722
2017-09-04 20:20:54.000,157.34133614014803,159.2194314108212,162.89638775864628
2017-09-04 20:20:56.000,157.34206855982,159.22016383049316,162.8686360605497
2017-09-06 21:39:06.000,157.37681706213743,157.66482022823672,159.93684845733222
2017-09-13 20:23:26.000,157.79664357431244,159.661475578501,163.92235183240678
2017-09-16 20:26:06.000,159.32373546877838,159.23552990060494,163.52331413325754
2017-09-18 20:21:57.000,159.97968984229678,162.25305846399786,164.34362707422486
2017-09-19 21:37:23.000,156.49127087146442,158.43696806182794,162.71179363099506
2017-09-19 21:37:24.000,156.49160870701152,158.3564407112001,162.39529043771955
2017-09-21 20:22:56.000,158.66269204526998,160.93606066697106,163.66175573564746
2017-09-23 20:23:44.000,159.18327376477498,161.05862825005897,163.58640686966922
2017-09-27 01:35:05.000,157.7986734022861,158.5849282573621,161.52055542847742
2017-09-28 20:21:29.000,,,161.36392216584542
2017-09-29 01:05:05.100,157.98903793516226,159.86713320583542,162.95959544661423
2017-09-30 20:23:34.000,157.42445483132988,159.28928683551845,162.18880291153624
2017-10-05 20:23:24.000,158.87259061104794,160.23550685584812,163.58368344671985
2017-10-15 21:34:39.000,,167.33996664156928,167.55748025325687
2017-10-18 21:34:28.100,158.5220446139503,160.40013988462346,162.9982361863391
2017-10-24 20:24:45.000,159.85450529940726,160.57559127055256,164.46112475201235
