dates,oahuoahu0048_0001,oahuoahu0048_0002,oahuoahu0048_0003,oahuoahu0048_0004,oahuoahu0048_0005,oahuoahu0048_0006,oahuoahu0048_0007,oahuoahu0048_0008,oahuoahu0048_0009,oahuoahu0048_0010,oahuoahu0048_0011
2017-01-01 20:19:47.000,,-17.51011491695153,-9.6675820557545,-2.194618510670879,0.941258713756542,0.91027412268708,0.7095260499138998,3.137097348180037,3.842943203533252,,-1.2546114832490336
2017-01-05 20:19:28.000,,-3.523280240706317,-2.5039834783144177,0.928322558826274,1.2904083360775864,-2.312350758363827,0.8001993865766757,2.0083376480428936,1.999445958720784,-2.899681086320232,-4.337788753777149
2017-02-18 19:26:46.000,,-4.420079200034043,-4.431343457831743,0.0315235994985478,0.3936093767498605,-1.0858373844422438,0.2451164120203295,3.2642981743858286,-0.3982383557828839,-3.6778218242393694,-2.32937025558536
2017-03-14 20:21:06.000,-9.556639381138334,2.435883019896972,2.6718429603400136,5.818804964235516,5.254663296690508,2.5196765019920004,3.3470526893739017,4.91792490866864,6.009452634888364,0.3601986457539379,4.90288407015766
2017-04-07 23:37:33.000,,1.4782560290519422,15.725564131873645,,,,,,,15.481733564330336,1.498376530858331
2017-04-13 21:49:27.100,-14.989219090273544,-2.9344829814848343,-0.5344150930678144,,1.4189770996183486,0.3275402160202383,2.0081035772281446,2.8178064221857144,3.26020929686641,1.1623837109806303,6.000590264272663
2017-06-04 20:24:29.000,,-5.593694483291005,-6.924656974336417,-5.336769052258084,-0.706287732109024,-2.1872340494683566,-2.66024239198884,-1.618327341225042,-1.5605138801501914,-2.4840975342973115,-2.2685407060108087
2017-06-21 17:04:43.100,,-9.3980703816202,-5.985329208397352,,,-14.67324221733276,-6.464618290318035,-1.782789160149739,-1.395633561578033,-9.549539682439349,0.720244595141105
2017-06-24 20:19:23.000,,,,,,,,,,4.563829374850792,
2017-06-25 20:18:39.000,-16.930273692704223,,,19.09573381836509,12.50016160020882,9.00304727983611,7.933098368174853,7.299126986287978,5.97550443234132,3.9295559167805,6.682858466016865
2017-06-30 20:24:02.000,-13.960801643483125,-1.9402961365819995,0.1566940687150368,2.070630247481588,2.94339581470108,1.3217270609230731,3.0022904221309794,5.500671392626337,2.070204949178741,3.646006430243826,
2017-07-09 20:18:02.000,-19.0639081667876,,,,14.108184638700344,10.274099092947369,7.413829935990602,10.170931373818746,6.634121670747387,1.77589197032643,5.00612025263171
2017-07-09 20:18:04.000,-19.66665225559849,,,,,7.826924614407526,6.7163637838330885,10.10531448929632,5.111645706890794,-0.1063098937524347,2.902273255585826
2017-07-10 19:09:48.000,-10.855089822674964,10.993359973080038,5.438312349909614,5.748966506976986,4.504366998367752,2.41761532936019,2.048602247837271,4.766982294028377,4.711002193351733,3.7970673573868168,4.06200213402594
2017-07-10 19:09:49.000,,10.054941280755076,3.525370109830149,3.618981950599285,4.602703548551336,0.2290838751028272,-0.0847116584951086,2.6143076918241346,3.0966873954519305,0.8823133535041312,2.6981779674609325
2017-07-10 20:19:12.000,,18.506287536840244,13.391758363554803,10.704407292797864,8.832901439955592,4.016030435693017,3.1346400418241087,5.462284199981946,5.227706074238241,1.3087058302862458,1.2127912247573662
2017-07-21 20:20:48.000,,-3.937517876363142,-3.9318620725045226,-0.7694239675411441,2.997983477247082,1.5200362725637713,1.0672008435026574,1.5941000123860682,3.802093416320694,-0.2124832934614676,0.6130317351138782
2017-07-27 03:14:04.000,,,-5.460627969467978,-2.561960068182681,-3.5870340776688154,,-5.30247196367164,-4.414325902839294,-6.068908542240959,-10.366874351939892,-6.586850519423341
2017-08-08 20:19:02.000,,0.467842708050191,2.516072395675102,4.723060972552534,5.060376760841943,1.4621163354995437,1.1984148245498032,3.718386713777384,4.455664276027828,2.722331752892475,7.673287444967555
2017-08-08 20:24:52.000,,0.566231822418098,2.575945538859356,6.786320422104572,5.15876587520985,1.5605054498674509,3.0906322225863416,5.923462526707178,6.835147313168088,2.0847814898252874,5.680741222846111
2017-08-16 18:24:44.000,,-9.875601868425091,-11.509985924204612,-5.227614534087145,-2.738602517422541,-11.216306412701323,-7.491504488881162,-5.898520286699911,-1.4513593619792524,-1.7338659465907171,0.4335115611923663
2017-08-18 20:20:21.000,,-2.6336375037071584,,,,,,,,,
2017-08-18 20:27:01.000,,-2.500940311320799,-2.50453216892727,-2.3018039914642885,0.1986078885722526,-2.436908005595957,-1.9614825140736465,0.885590491585448,1.583416723821249,-1.266014255009074,2.000646734812677
2017-08-26 20:23:14.000,,-4.457322654159964,-5.150868852436447,-2.1357892947398947,-0.0476600454254781,-1.4008403331689232,-1.5860027243613617,1.0742952345892465,4.317701635353173,6.094264945247608,4.192389037396068
2017-08-26 20:23:15.000,,-4.457365956901229,-6.388870866190055,-2.1358325974811594,-0.0477033481667429,-1.400883635910188,-1.5860460271026264,1.0742519318479813,3.421214775388556,4.564629122912236,3.14454823587831
2017-08-27 20:20:59.000,,-1.7762242622169613,-4.270815183001225,0.5798369901473481,-0.9227107840851592,-0.3764190407124427,-0.8393409265056395,1.881787896461772,10.628009549005276,7.345197799506994,
2017-09-03 20:23:05.000,,-3.547346670456749,-3.7047828920572528,-1.004710764854151,1.2663419063271544,-0.21310485486495,-0.6760267406581467,1.984271218292461,2.6127789895818925,0.693006326116487,1.4912871129670735
2017-09-03 21:38:22.000,-5.739537197143726,-0.2659099360078332,-4.179128104592289,0.2141719325865629,0.5845143728683162,1.2268803887582926,0.9881439091927754,3.56650994808793,6.282861802939578,-1.2419985106623628,-0.8172579078421478
2017-09-04 20:20:56.000,,-4.252588376715928,-2.9798192925179383,1.0786547034860337,2.6829129768942965,-0.8147419037293387,0.7521303431498717,3.4317889977039435,1.9534436604666527,-2.3652684415794742,0.7233658491071461
2017-09-06 20:23:03.000,-9.169268607188314,-3.182588158556821,0.3948138731821171,3.3336225694212382,5.8010077975399605,2.202747372197561,1.7599984001561582,4.459017750475401,2.838285876695495,-1.3047629803985916,2.417032362376156
2017-09-06 21:39:06.000,-13.003532514417982,-1.6468833128691995,-1.7017858147967928,2.7392579749963355,3.093087089319184,1.615139884635873,1.1623044555747593,3.841963110128831,4.874336854834976,1.2848345428069623,3.998162640037141
2017-09-13 20:23:26.000,,-2.428347573609919,-6.107604108382548,-1.6555482891172364,0.8448635909193047,-0.6360827264400282,-1.4036891562419085,-1.6009146682885724,-0.8877465872006969,-0.7008302648061195,2.7035374026945025
2017-09-18 20:21:57.000,,-8.32530120068451,-10.44998178012256,-3.7915754809857,-3.41297637777548,-4.895422251557801,-5.3785170511885925,-2.756940483875021,-2.1453897489903264,-2.9537617295058425,0.9562757589804314
2017-09-19 21:37:23.000,-6.884219157060081,-1.3097592645768568,-5.314367720424857,-1.5924843543162048,-4.436273761127535,-1.9402812730600405,-2.4132896155805232,-1.925111838626569,-0.7556806056963652,1.9760380516954723,4.781909938126947
2017-09-21 20:22:56.000,-10.743640523444608,-5.299338521695606,-3.155547192620568,3.412403157704293,3.757975608660409,2.281527960480616,2.6886075957248887,4.537798338758456,7.459267093599408,5.095500119577167,7.322689634969617
2017-09-23 20:23:44.000,-14.637374226464326,-4.45010819654958,-3.4280449300940234,-1.765939330453938,2.157332284512767,-1.4439272535056582,-0.2232029137871784,0.7534488196517531,4.399660831774083,2.9306812337552524,5.238714917744626
2017-09-24 21:37:31.000,,-5.868942739147343,-4.240550665401671,0.2223163919286204,0.584402169179933,-0.8950445920121712,-1.1083791050963736,1.30233148114524,4.1494710416881855,1.837570623837353,1.797159630196079
2017-09-27 01:35:05.000,,-8.627761552782896,-5.959163709605463,-1.538600160956065,-1.1041309448813124,-2.5850772622406453,-3.0580856047611285,-0.4171483418681169,-4.018294179464149,-6.143006996882441,-4.395557691545674
2017-09-28 20:21:29.000,,-2.3022686388943687,-6.562860538494398,-2.110804719229088,-0.6736907649980926,-2.1910051910612087,-1.5643474990723625,1.0728656812264885,0.0429917908256096,2.3251695817163376,-1.0399044193013585
2017-09-29 01:05:05.100,,-3.8918425453966674,-5.485076283565229,0.5187312749872208,-0.9137491567530742,-2.394695474112407,-0.7343050266562945,-0.2267665537398788,-1.2960188059187314,2.807199125833665,-2.2605383457945405
2017-09-30 20:23:34.000,,-0.0212197823449777,-2.2280149915645184,1.8575486049276515,2.596937843017085,1.1174910818249806,0.6545691960317839,3.314867154982392,5.2815777934492125,5.771462943397325,5.637938745115353
