dates,oahuoahu0030_0001,oahuoahu0030_0002,oahuoahu0030_0003,oahuoahu0030_0004,oahuoahu0030_0005,oahuoahu0030_0006,oahuoahu0030_0007,oahuoahu0030_0008,oahuoahu0030_0009,oahuoahu0030_0010,oahuoahu0030_0011,oahuoahu0030_0012,oahuoahu0030_0013,oahuoahu0030_0014,oahuoahu0030_0015,oahuoahu0030_0016,oahuoahu0030_0017,oahuoahu0030_0018,oahuoahu0030_0019,oahuoahu0030_0020,oahuoahu0030_0021,oahuoahu0030_0022,oahuoahu0030_0023,oahuoahu0030_0024,oahuoahu0030_0025,oahuoahu0030_0026,oahuoahu0030_0027
2017-03-22 20:22:20.000,,,,,,,,,,,,,2.3219346240243577,5.830478536722613,6.865926884801848,5.853791214908524,6.242386916184254,7.67649198574632,4.642171113827487,7.727305341063952,10.037978756578225,10.838999034764894,10.04077877338783,11.18377931037629,14.097823754059222,9.969299975388394,2.4575476198691164
2017-03-30 20:22:49.000,,,,,,,-0.4922349921082491,1.853701834631679,1.0424318596254842,0.769219241412467,0.0757943174902231,-0.163268318529258,11.665475360834373,27.66451508436859,,21.922610858360425,12.448203270440986,,,,,,,,,,
2017-05-07 20:17:15.000,1.8268803364361497,0.6243235678004193,0.7180871561693225,0.6897731965889973,,0.0477205228488095,0.3541503901261809,0.6181872041191401,,1.1185069861268946,1.7819113380125469,2.038642394264297,4.405507712180496,7.780090416616431,8.983870684470514,8.188895512644308,8.123293864529721,8.12226533164081,3.954475725055684,,,,,,,,
2017-06-21 20:19:16.000,1.677797743527727,1.5505948968614285,1.3163454963961387,,,,1.0587284530064782,1.0572563297814368,1.5437277809257852,3.805262671887172,1.9664135873900712,3.210702050128403,6.647738847730447,11.124429287638469,12.69449281987653,13.438397249328284,16.5342367530794,18.150259465187137,16.331958301276536,19.637232690267776,23.8811896784884,,,,,,
2017-06-24 17:03:27.000,,,,,-1.427813497000011,-1.2817703563241527,2.6732254279538297,-0.2833179106808505,-2.024574121988772,-3.118342493680496,-2.12771753262906,-1.5163788883127487,2.9887272621432595,8.17030668777833,7.844348348723141,8.822904918099862,9.228573578295034,10.450880809507307,7.315703081617686,9.83462543365094,10.183392773758191,9.04629459398904,8.35548015750213,8.108997868113628,11.123343519028348,6.793585057164073,-0.7035452516066716
2017-06-24 20:19:21.000,-1.3310453508482558,-1.561680758952642,-1.7657458599611495,-1.679781078845088,-2.246082347007503,-1.4528827249484246,-2.047493600482622,-0.0139704878897779,-0.7056894267265426,-1.0244017269235544,-1.2902085556083458,-0.7191248026421904,4.48390575062549,7.846339353230312,8.654654425734197,9.283966385868958,10.072343235718176,11.020257973242456,8.656398683895802,10.651541914894516,11.06698912172681,10.479792026628342,9.9241282007728,12.064444749497362,,,
2017-07-10 19:09:45.000,-1.9024875133358807,-2.072811649528766,-1.6261231758597745,-1.4454144272052567,-2.327290476611517,-3.104838298896849,-2.7984084316194777,-2.5847111531293123,-2.641315899509144,-2.729671676123309,-2.738343406060729,-1.7879878545882306,2.1232325716757914,6.878881906232888,7.586349611403172,7.179959625368117,7.771600605026183,9.010202719877183,6.385926174599623,8.36921223284602,10.512173061032216,10.860113906017736,10.011568162331097,10.166216963645752,11.643263077398602,7.8476594291599024,0.0675149131051093
2017-07-10 20:21:53.000,3.685066476758235,2.3202891906557386,1.8125493007682736,1.420080764279049,0.4835122657304129,-1.237664660088632,-0.980919881568954,0.1961259724891624,-0.799353586677086,-1.5531282631400924,-1.3984111398907797,-0.1563590640727201,3.931215912407095,7.825590301187969,7.724101454635965,6.054752775288408,7.561502481264107,8.623664093763198,5.677856850276106,8.341019500060417,10.801954343297298,8.59151295350877,9.580700692813815,9.467072251322431,12.308431384395115,7.626322276563446,0.5549418168690412
2017-08-06 20:25:57.000,-0.5383497458191847,-0.6927538830214615,,,,,,,,,,2.050728945906123,4.158228516874429,5.119522830983923,5.7188146038808645,5.253169302146038,6.117785213673996,7.852874680246278,5.2659190827791695,8.000607105836117,9.517231785302805,10.249960940853471,9.74707105215334,10.84163530847113,10.986815888297244,6.355309381750049,1.018029553116223
2017-08-06 21:44:35.000,1.9780574440245964,1.294060494745452,1.2945372695405972,1.0978593259640228,,,1.4200104811994845,,,2.1141830220510203,2.455427657037161,2.840044261457192,4.875109076008515,7.049889936428207,7.109531662110956,7.082374720483797,8.732397219994429,9.864465154242868,8.086743066819412,12.010880633106432,16.92980710736141,,,,,8.206009841693865,4.212902983273016
2017-08-08 20:24:49.000,5.039652609384811,5.149787380239816,4.262375724574948,5.0248683798487725,3.815651986583043,5.466214288490681,5.70237625784997,7.013729023424526,6.133842798790367,6.046588274858319,6.24143655539215,7.42957326032203,6.942844702123631,7.7929464627076275,7.8557237925604415,8.410314180121173,8.821613893549598,9.3707047325766,7.17102806851376,9.165587362816488,11.518449194615236,10.738556953586608,9.93099639395208,9.685591675164796,10.36708033045477,5.226443956393675,-0.0563408016378885
2017-08-16 20:21:31.000,2.894104118006366,2.92648437429519,2.569605631799404,2.3905118755756263,,2.475556041127949,3.907031364367226,2.7965405850497023,2.7003068128260006,3.257621606162877,3.771500433114556,6.548150709843564,8.29510223427808,11.051393677417224,12.428574625697994,11.870580963153229,11.18379611603024,,,,,,,,,,
2017-08-26 20:23:53.000,0.5885766531358987,-0.1764479611863186,,,,,,,,,,0.3219560620731207,3.027189197856196,4.345874871971139,4.848733187119625,4.53666276441255,4.2753134048370525,4.76717222260311,2.176132366234776,4.964682894491809,8.649824458232162,7.841356912981165,6.25457194312379,5.409033934548546,8.377333529621488,4.0475639214521655,0.0775171957240499
2017-08-30 20:22:59.000,,,,,,,,,,1.8130005935930351,2.8213617984620303,3.054464711237718,5.0141549677438695,6.597541877964426,6.723243115692346,5.585659217840809,6.942871977853818,9.501494464404466,7.263258860637187,11.659898949375323,15.24544493493672,15.391434782225163,14.220387131324763,15.319793363083711,16.394030752375112,12.240276976341924,7.241387162397706
2017-09-03 20:23:24.000,,,,,,,,,,,,,2.426254687347633,3.3881116898407337,4.348139727539802,3.6458246003511534,4.376077548981257,7.381754998374042,4.668131007649364,8.477521548797327,11.0191197265828,10.253640327838443,11.779501410189312,11.529320493175751,12.325116911605964,8.507762819023863,3.3516128471328748
2017-09-04 20:27:38.000,6.601592042126651,4.828393642465601,2.0503857367910565,1.111112130470103,0.239109898400558,0.0129166398349246,0.319346507112296,0.4721279095601586,,,0.6085538887874122,1.6656768517618423,4.49397514513949,5.713743259751807,6.361556062691734,5.690369098319692,5.576836530343412,6.998630665060944,4.545980670004515,7.690758078344022,8.387024871170539,8.067203529305392,7.71723410136662,8.662925846071175,12.01644121487914,10.72539913633246,5.113224408472075
2017-09-06 20:24:19.000,,,,,,,,,,,,1.4734938159698,3.839830300102369,4.791935351619941,5.195990997597526,4.1716589173537,4.5869673533264725,6.512478091005583,4.03714998529009,7.293457009727318,9.026416324414429,8.408979569003671,9.527193705694255,9.25417972211854,10.511016478807855,8.204280627297827,0.8677188562441189
2017-09-06 20:26:15.000,1.4793480508963783,0.3889787030653828,-0.0016791257851511,-1.0368250924670015,,-1.202782810278421,-0.8963529430010497,-1.171209937465967,,,-0.6908006181634667,0.0857287975398741,5.097938321286122,6.904194142505258,8.084203284599381,6.867353745637708,6.763336820189183,7.75150941090472,5.882846673520875,9.379155473116942,11.308544964670077,8.531664168838136,7.78939921590406,7.896395303036272,10.002167982951605,5.744269373641761,0.7054129222105776
2017-09-06 20:26:16.000,0.5208809832407888,-0.2104090178973803,-0.3794221512669287,0.1220862975302354,-0.3431711393963121,-1.2024843199542454,-1.1484469912594255,,,-1.0847317959136182,-0.2755355433275382,0.54428426770299,3.278574185350319,6.5298855738133765,6.781443536021661,7.447361119337931,6.749298487266874,7.847905161403324,6.083400040922524,9.216226326662415,10.898702141372985,8.902255661177271,7.77553971874709,8.679788491490864,9.870572904814829,6.1209263144629045,1.05663205279172
2017-09-08 20:23:24.000,-0.1268749557151083,-1.1743651614366306,-1.1673809266643034,,,,,,,,,0.6812069597710686,3.061625562990984,6.261470176067528,5.781846083544108,4.861160313207968,4.971792106792712,6.46541032285491,4.185228745508004,6.814452333201366,9.022821573924714,9.08679037146251,8.30047353192638,10.068376048849233,10.313802707548897,5.983757697717856,0.8396834304323846
2017-09-11 20:24:21.000,,,,,,,,,,,,,3.0269756648346364,4.567542594519493,3.8809195042041376,3.393936582499162,3.836474914690331,5.146697701040386,3.947292369687282,7.11809366380273,11.213837503049074,11.180062828771431,9.97073642717086,10.37602582899874,10.665304767261905,6.217121725263967,1.4461719265518165
2017-09-11 20:24:22.000,,,,,,,,,,,,2.442212523966277,3.568253862598444,4.609190106835118,4.587576187087549,3.564441766255063,3.935642161857481,5.745148958640409,3.6799762868971113,7.247426815712062,11.21374528146854,10.903057189441755,10.626898366366843,12.25158851955663,12.504726415092724,8.15994632867694,2.756178910785809
2017-09-12 20:22:47.000,5.548799311234704,2.3397248847254764,,,,,,,,,,2.765100400254377,5.0224538458797205,6.993626632492861,6.843997835143148,5.816009761043336,6.259332862430012,6.962358881191343,5.266664070541431,8.12727198177071,12.096482770453806,11.388675233332068,13.577113686473314,13.679168275284706,13.417496006875956,9.636760836641413,3.4824580794222
2017-09-12 20:22:48.000,4.061117805611379,2.333927977831737,2.0181360646495223,,,1.6541610250525869,2.0077303828728104,,,,,3.866770849676669,6.700683300452852,7.787004570060535,8.239157409337714,6.177656638188127,7.116852050638612,8.18832253675766,5.949561450970523,8.998409035129967,12.09641554129088,11.554057182841635,13.577046457310392,14.146773321792502,13.417428777713033,10.67182210642963,4.478808461586997
2017-09-25 02:24:35.000,,,,,25.65440951691103,26.70113670139988,13.54850825124038,,,,,,,,,,,,,,,,,,,,
2017-09-26 20:23:18.000,,,,,,,,,,,,,,,,,,,,,,,,,,,13.10384830103586
2017-09-28 20:24:33.000,,,,,,,,,,,,,4.076610921587176,5.434377011461358,4.922549429294884,3.8896871956625176,4.084662154125457,6.489398218691438,4.296224198832296,5.934802073590309,9.463417655923369,8.472627478019707,7.772419449567801,7.571288571919879,10.554604218391804,4.285241419076953,1.896286608271368
2017-09-30 20:23:32.000,,,,,,,,,,,,,4.15566364798979,5.508245762851617,5.009607487359292,3.2995532931904887,4.628044682330495,8.077319234753695,5.440350509632742,8.856247818070768,12.342525486204227,12.383878627070317,10.87829500866727,11.151803709104575,13.648522671227395,9.288726533412628,4.292453475368005
2017-09-30 20:23:33.000,,,,,,,,,,,,,4.155813612988421,5.58044591386623,5.378463298131015,3.683897097375887,3.675603234314849,7.636509641996448,5.535497946491171,8.637076781849217,12.34267545120286,12.670464150472707,11.467366342203963,10.522160327767187,12.540300763728728,7.88918403315412,2.830100628603718
2017-10-05 21:35:57.000,2.748656205424889,1.8106729253120115,1.2584461842048689,1.2903478792531606,,0.7093070710944507,1.2514343910860792,0.9943571904122812,0.7176396083360961,2.1088324979962683,2.9091917275579684,3.714799024549268,5.723401524531314,8.702446191072966,8.616022241026746,7.181249871576143,7.899137115270595,9.647239879652524,7.630273814640328,10.150858206726728,14.061489317240088,14.879807975144846,14.201055383224098,12.251094720112253,12.442542720956926,7.22256563759737,3.330495231316944
2017-10-05 21:35:58.000,2.995833882866036,2.1441853061929663,1.6411349187093562,1.4339332230009425,1.0072646593801309,0.7096042422976833,1.251731562289312,1.273433329104002,,,,,,,,,,,,,,,,,,,
2017-10-08 20:23:55.000,-0.3608830823117852,,,,,,,,,,-0.1420288191393774,2.1837543818829905,4.993884970073218,5.880691713516343,5.285615683785607,3.9769343688439776,4.924903502588966,6.4687430549742375,4.741701780176157,7.36391262476815,9.786916413969212,7.667401463383562,8.446647946375588,5.962666504933381,7.274501869131421,3.926600258946098,0.8411080544856191
2017-10-24 20:25:41.000,,,,,,,,,,,,,,,,,,,,,1.804656618096673,2.139971257294162,0.7267496212409135,2.398064830267149,2.369244160307146,,
2017-10-24 21:33:57.000,0.7313617215953434,,,,,,,,,,,,,0.2690078691689623,,,,0.4366303270990053,,0.8605575556269169,2.440432629660109,4.346564133606894,3.303509541211047,3.0465427558192184,2.939302109153198,1.7113982397015637,
2017-10-27 20:25:44.000,2.397809562156265,1.9717248952048056,,,,,,,,,,,2.844986833776571,3.9150281322221634,3.286020965417721,3.052848736393922,4.586257532251736,5.07705507973637,3.384986961503433,5.332136160176749,6.943523269442576,7.070973611282795,6.63890037050177,4.4325930982630135,7.462693270615762,3.9260047454070977,
2017-10-30 21:11:09.000,,,,,,,,,,,,,,2.88501698924032,2.3325783956278987,2.8123603641020924,4.324717261492719,5.87512822136099,3.7044455474694526,5.205695346705576,8.990619030135477,9.38931748012769,9.197614055791544,7.874135324179256,10.872467022050168,6.850209071912846,3.148384911647568
2017-10-30 21:33:07.100,,,,,,,,,,,,,,3.509675070027452,3.083452490338224,,2.870135578453668,3.876011445246903,2.513544745023739,4.76666013492784,7.339122584235465,7.203803350707743,6.772170743307095,5.445988655787039,7.888324688206621,3.6021927870105155,
2017-11-02 21:32:29.000,,,,,,,,,,,,,1.5826550220306848,2.5835852245175284,1.8830380492894152,2.380192277218762,2.784841596921418,4.111172355637527,2.934791523808214,5.851844182470509,8.8751586717534,8.062971463219997,8.883693166351996,7.146210083447316,10.129932152193112,5.757113484679584,2.10984226360096
2017-11-06 18:36:59.000,,,,,,,,0.6164384578361,,0.7457881515252749,1.282253281337284,2.526512778422372,5.841256638280751,8.149971673146789,7.752611574204339,7.469969842081944,11.217943837125064,12.82851976347276,10.34556029796637,12.94076835150035,16.931938787263235,16.249304182443566,14.16646576168896,15.171982716487468,15.386453745253029,11.041679231989768,4.951740255144193
2017-11-06 21:32:02.000,,,,,,,,,,,,,-0.1422669413832324,0.7645454954813773,0.3986755606815508,0.0519716733228086,0.5347628539507436,1.8607373802089056,0.9885938047569962,1.9703306625120864,4.855615545718768,7.458980651610008,7.304914317950949,7.830991079180888,8.42002624017818,6.249455121269815,0.7358162469034806
2017-11-21 21:29:46.100,,,,,,,,,,,,,1.30986377224979,2.257797052134538,1.4969908618451817,1.7005755267830818,1.7889516848694424,3.0814234542709737,2.272649513840385,3.841748964503501,7.385405592654561,9.301188784092512,9.642011456201056,11.223303934620896,11.491457881555972,9.171330074165748,2.5678536168289217
2017-12-07 20:26:24.000,,,,,,,,,,,,,,0.7214951276180257,1.4229969899246862,2.313996255767217,2.663594664270968,3.7932233240241664,3.533883836752312,5.750525318868261,7.815513566975423,7.484212744504169,9.50854413205723,12.103152689719405,15.263605418252364,12.034927121675205,6.088850815203042
2017-12-07 20:26:25.000,,,,,,,,,,,,,,,,,,,,,,,,,,10.63865484478266,4.196394778651272
2017-12-09 20:28:03.000,,,,,,1.8424152435278391,1.98612026744258,,,,,,,,,,,,,,,,,,,,
2017-12-09 20:28:04.000,,,,,1.6261253880977684,3.668122232054074,,1.9491648009952565,,,,,,,,,,,,,,,,,,,
2017-12-16 20:27:04.000,,,,,,,,,,,,,,,1.7817515834839932,2.017579973261329,3.847959658150109,4.42671783556173,2.145293488931125,3.8053400925055945,5.6474025891835335,6.679529122315173,8.890591259187381,8.795031987181044,11.703155452859953,10.328198511832715,5.58138475495672
2017-12-17 20:28:18.000,,,,,,,,,,,,,,,,,,,,,,0.3276376760695443,4.06404018114278,8.291393865576854,13.802850395672488,11.659986579938195,5.193886015772809
2017-12-18 20:27:30.000,,,,,,,,,,,,,,0.5486815272227308,3.303917234863196,2.2323578619446733,4.844441073832951,6.0437476923912525,3.5414708167160667,4.31365774285316,7.223057141929935,9.227072521027162,11.45193319021278,11.107222904914831,13.700324067843129,12.335425803070605,7.34272241129079
2017-12-21 20:27:19.000,,,,,,,,,,,,,,1.384818789532992,2.892641102375701,3.223467896936473,4.449558070383159,5.767492948118988,3.554579442622034,6.019857834606832,9.141965445240878,9.437524708101414,11.397921872338298,9.814617181895004,11.539561617905598,10.15015057510786,5.140772674046513
2017-12-21 21:24:34.000,,,,,,,,,,,,,,,,,4.264559169863613,6.142529611301462,3.57246151984955,5.828424599347005,6.8551255350598,8.988621010833795,8.548156100141608,11.042518578930236,11.607639725065042,9.973177949658222,5.211629116197484
2017-12-21 21:24:35.000,,,,,,,,,,,,,,1.163609818248384,1.8424610383420983,1.2800293216785674,3.674678434158153,4.30775985363944,3.338509566886354,5.522612326343019,6.855094418979057,6.565955202140008,8.548124984060864,11.073332410195196,13.433239708698895,9.97314683357748,5.211598000116741
2017-12-23 20:27:10.000,,,,,,,,,10.577393068648236,8.082126426763732,7.810128150726073,,,0.8409402563680726,1.7368883030814886,0.7563570959712609,1.9473329298360111,2.69255259656178,1.1740774832776024,3.101697870679716,5.151654274653306,6.021026461538502,6.917342023444286,8.9949135817234,12.057761667432963,10.683085701219968,5.601708422706439
2017-12-24 20:27:02.000,,,,,,,,,,,,,,1.1004013765034255,2.933359866741031,3.503536927777477,4.489647711455859,4.521781017387719,2.435346287272843,4.069859948547227,5.053909456048137,8.272114276655675,10.230063671660188,12.12618120899751,12.3322388389673,10.957281897940062,6.177201607900041
2018-01-02 20:28:09.000,,,,,,,,,,,,,,2.598434905819776,2.647724272490126,2.4823481026453336,5.900317331379602,7.2315630905644674,4.610094326134378,7.605981183837539,9.245137117441663,9.069594626856974,11.230712600284765,10.887126937019517,11.083399349001878,6.723603211187109,1.6991680644546163
2018-01-10 20:28:15.000,0.8544403746386742,0.5550647213617833,,,,,,,,,0.9933808200678108,0.9564039227301028,0.4998805800011547,1.334633753062386,1.9130350580288047,5.328342480732526,6.304698886292879,6.82868926977988,4.424519068636929,5.845313779552709,7.941247832446813,6.808339012187446,8.097537573960652,9.526635719524949,12.225903090718486,9.351299500412232,3.3883036749829256
2018-01-10 20:28:16.000,,,,,,,,,,,,,,,,,,,,,,,5.9916595083331865,9.158215532195175,12.225837679005537,9.351234088699282,2.986201349220236
