dates,oahuoahu0053_0001,oahuoahu0053_0002,oahuoahu0053_0003,oahuoahu0053_0004
2017-01-01 00:15:41.000,17.161110412289318,22.23551646072433,31.17410231167667,25.343956702537973
2017-01-01 20:19:48.000,29.15329948763829,28.195042360447164,32.29983021686459,28.27179639576749
2017-03-14 20:21:07.000,31.06660339051586,27.692957757046017,34.32683011329292,44.34723323962795
2017-04-18 19:19:12.100,35.55895054546195,29.12595035941206,37.1607827126037,40.3993065490102
2017-06-20 03:31:37.100,15.603985167089158,18.407760569875048,17.008863439131133,12.037668698905309
2017-07-02 20:19:11.000,28.22054103797818,27.34112399404147,38.019664853208376,47.008674880475176
2017-07-09 20:18:05.000,23.74638372276845,24.645556986994745,38.1814748382411,38.06569376170001
2017-07-10 19:09:50.000,37.17835178155414,34.135628304653544,37.35175462812618,36.91566906268422
2017-07-10 19:09:51.000,41.16357077701399,35.817386348628204,40.42817141179003,50.68884053329395
2017-07-10 20:19:14.000,29.762220344831505,30.081868735352536,41.37405827744198,51.52946209872096
2017-07-13 20:17:46.000,28.02286482376805,26.464991903024416,37.557987117801765,45.31889424108493
2017-07-13 20:18:58.000,34.344328580374096,34.08865878856371,40.83049350774797,49.28355535162265
2017-07-16 20:19:01.000,25.84840947117484,28.31798648646322,30.92789791557152,24.12493262543701
2017-07-17 17:21:15.000,26.629645976040788,27.45122892666816,29.0544978762115,23.563455869317703
2017-08-08 20:19:05.000,24.745366170565024,27.40201284987744,33.90398857416012,44.39739228163508
2017-08-13 20:21:44.000,25.866000191699083,25.5697078861567,28.08346674727209,43.44887419363754
2017-08-16 18:23:25.000,22.69057857625651,21.779841069495376,22.73629553382923,27.46310503271708
2017-08-18 20:20:22.000,21.880413565674623,22.74241135278645,24.44873826521202,30.31487086411268
2017-08-18 20:27:02.000,21.678397011777808,21.74554839100175,26.896348595402618,30.429592326550765
2017-08-19 21:39:48.000,35.01715850509999,29.26650265529892,34.589429986380004,35.48580159418025
