dates,oahuoahu0101_0001,oahuoahu0101_0002,oahuoahu0101_0003,oahuoahu0101_0004,oahuoahu0101_0005,oahuoahu0101_0006,oahuoahu0101_0007,oahuoahu0101_0008,oahuoahu0101_0009,oahuoahu0101_0010,oahuoahu0101_0011,oahuoahu0101_0012,oahuoahu0101_0013,oahuoahu0101_0014,oahuoahu0101_0015,oahuoahu0101_0016,oahuoahu0101_0017,oahuoahu0101_0018,oahuoahu0101_0019,oahuoahu0101_0020,oahuoahu0101_0021,oahuoahu0101_0022
2017-01-02 20:21:47.000,29.888381770107497,25.72641315820671,19.703963087187784,27.76914320159685,26.6645497164382,28.210750633809617,44.71881513441963,40.28581635561907,31.605707412282133,33.52396480602088,41.5385797191996,37.791304744060426,35.36341295701891,42.00514232356336,46.4712006521511,50.938207296872456,49.124474228875776,38.2617478904838,46.2351301109548,43.63235899562086,37.97677480943008,30.706425398151566
2017-01-29 20:21:31.000,33.44452152064872,30.95473657757107,28.29834278288309,34.73896530316051,31.09797270813521,30.625627076402544,45.51964537079947,47.41412312145417,41.44555988591135,33.25561684340159,42.90954017465186,38.6567258636877,36.955522322640206,42.93471753557094,50.8715348853949,56.30729540378934,54.73025816654949,40.35810336301055,47.50881118226007,45.19766418444334,39.50398769396963,32.713256848302485
2017-02-20 20:21:56.000,36.40436377078549,30.159365181310488,23.32958493598377,31.26784218646297,33.841343503073176,33.64232020680121,46.78898693212519,44.98686035036313,38.248315456058165,35.856409280777726,44.52346016001202,43.852883038767416,40.94590627581918,44.30792651401581,49.2694117046584,55.12986236462319,52.87668739064205,42.5819867147317,48.31100851300131,45.70325396205264,40.82212087527448,35.46464004908331
2017-02-21 03:38:23.000,37.988197547518894,30.101883650885807,24.63229380043973,32.24941550457946,37.15376455097194,33.91265104317415,45.29604068149584,42.84659843625609,38.33689158245168,36.07517918183228,44.64056015422592,42.29655836032959,39.49031354566323,44.96766989795933,49.48046566724482,55.313929735551525,52.33292574336453,40.54422820136243,46.98812657461577,49.06265778030427,38.47460278247847,31.9773891732848
2017-02-22 20:22:37.000,34.76091348559412,30.24683043086856,21.9230473271486,27.326729139208624,25.45312196178053,26.4208505218665,45.8217793929613,39.377206506291046,35.746175892915815,34.88596238381803,41.40332359921424,39.29161084278059,34.74224242662476,42.189300303467725,47.93003774376706,52.445222734236005,51.13714246331564,39.03787316930307,45.62578684962664,43.68822933994672,36.7518756509048,29.36463815694295
2017-04-15 20:24:36.000,35.14234114887691,29.42905495848916,22.032532158117657,29.66981681847392,28.829337735859607,27.95528529802801,47.166810674032575,44.70562633859323,40.51662105742444,34.56313334628947,41.61177964179996,37.62101348418133,40.12217421932997,43.033734296247296,,,,,,,,35.75264396172882
2017-04-19 19:30:07.000,27.225740779859727,17.871615127093307,14.292277295476746,22.600839972263863,21.87467382888992,22.9105544610279,40.97213432309024,36.43400284969251,34.97228237676838,30.050993019328697,33.7164211736393,31.48206630520063,33.559510215862964,37.452501388027606,44.85681588533842,46.17254426051018,43.57151077428118,34.48827631392975,38.89575044271477,37.30629334408356,31.880139378282056,24.633263334578405
2017-04-23 17:50:33.000,30.706060563911628,18.264660503868168,19.44690744353432,27.691905741228684,30.90806271963807,27.341076054716986,40.41653241628112,39.65266917741003,35.72033948013587,26.927302243510848,28.99839580851414,28.29472888221865,24.37268255112865,,29.89228698734029,,,,,,,
2017-04-27 01:38:26.100,29.384816673015614,19.90475843686839,19.55407159893868,31.13909831477539,29.63842497021416,30.842852043410502,45.96443840827483,37.588725567909,34.49736613361819,33.69888844664034,42.25826849641759,37.82894615711202,35.34305354694776,39.35317943767553,44.830283437606255,52.869851599888136,53.68266849495328,42.154965340081056,45.56596819826007,43.875060030278256,39.15961347045517,33.16186545986213
2017-05-02 00:12:31.000,36.06982544472044,31.32725014109924,25.21757876054549,30.59532305515903,27.99748642463576,34.33308148284341,49.06270129450463,57.566719491606754,,,,,,,,,,,,,,
2017-05-18 17:24:52.000,22.901443537149085,14.078087243050868,13.829962181515778,9.305152240295817,19.8891838842784,21.51644338243821,41.14492567807646,35.20951296888983,18.57971234274639,26.528429779475005,36.38059336071685,42.26489168234861,43.08714110061355,43.40588266218378,50.17642051923537,49.268739045574826,46.64234974441222,33.49292323329025,38.74089883727566,43.42162555694479,40.58320107245832,39.73697985365014
2017-05-18 20:25:32.000,34.37831497894403,27.878273744165543,20.438749362795534,29.034662052243952,27.281778071222806,25.44224109000133,45.56715289887478,40.38172742586558,34.44722264813189,33.078235614350895,43.048508405940254,42.101427914466456,38.301082420769525,41.75413151812489,46.32846393069541,54.20579555392466,54.09933138889755,38.65666895759279,47.14122265670755,43.25214858222967,36.38720965122563,32.613982796661325
2017-05-25 20:18:55.000,33.343225201156734,26.805780877634657,16.818208130384008,25.61525897369352,24.18639227079844,25.470976937259785,39.02830904319315,46.33461242430781,34.776192478145,29.77281639389323,39.84571753791776,36.44463740267608,32.972004412418755,41.12968040832784,46.30294609577511,50.8824645346228,47.78345541325042,39.18128432381285,45.35509428048486,40.58185136542968,35.77067349943353,27.56490113143425
2017-06-19 20:20:12.000,33.05712009541233,26.198267040762257,23.455266563690504,32.197631576358695,29.73281815957604,29.27883387142749,49.46176485876265,45.29629519860445,35.871602546009385,30.116709077960515,39.34512934322149,38.388569821965554,46.94988591800822,52.582507562472095,61.21861138771776,66.35127489697695,,,59.739267589936894,53.94716830591936,48.43433386542105,40.338217116433285
2017-06-24 17:03:22.000,12.408374239566989,9.585277827050906,5.891270179864579,5.428790148329972,16.35940631478005,16.572305136234842,34.579748250060696,33.36048229879001,5.858292322175158,18.031367944855667,,24.440472071553263,16.443038127242605,,20.675598712838816,,44.71124275641863,13.746122912899112,25.966708951151546,33.86988710419891,,23.619986360543447
2017-07-23 20:21:48.000,32.623298229439854,26.24494710589831,20.44573638740343,29.10286451876836,32.662258399158375,31.488180912766094,17.332113864504834,29.37872453795453,30.45520051247245,34.395398293649166,42.3530924965184,38.76231573154061,36.113935592836185,43.88725353084725,48.19030827457711,53.254963804609176,52.12416669214143,39.82371960959698,44.48999232454558,44.88194077559585,39.91983345304082,34.40626721214888
2017-07-27 02:54:28.000,29.724408502790435,23.51174055508299,21.71411387824929,30.52800825516657,27.4927601894452,29.39703179876281,45.11653570322435,39.45552638380816,37.59781446711658,33.88425941095575,44.69079850331813,41.11109637348408,36.08933923506269,41.99415053678189,48.73082961018733,45.84208606981285,49.71216012656104,37.89348834430831,46.115080892722354,43.30154915527048,36.50070622393648,30.4468694264016
