dates,oahuoahu0056_0001
2017-01-01 00:13:17.000,15.139401900984671
2017-01-01 00:15:41.000,16.03747038357258
2017-01-01 20:19:50.000,15.116507656404467
2017-01-03 20:19:09.000,17.80963241237863
2017-03-14 20:21:08.000,26.94322140732633
2017-03-20 20:21:10.000,31.31101129408428
2017-03-28 20:13:53.000,32.04296706577279
2017-04-18 19:19:11.000,30.99333787741521
2017-05-14 18:10:45.000,16.289548955723287
2017-05-16 17:28:41.000,9.459326392187425
2017-05-16 17:28:41.100,9.760362444102093
2017-07-09 20:18:05.000,20.221005201373472
2017-07-13 20:17:46.000,24.08337170815821
2017-07-13 20:18:58.000,28.291468780702708
2017-07-17 17:21:15.000,15.254649621204011
2017-07-17 17:21:15.100,15.846234539933931
2017-07-26 20:19:57.000,23.750250537370416
2017-08-07 20:21:24.000,34.46355479510879
2017-08-08 20:19:05.000,18.23638915813201
2017-08-11 20:20:42.000,47.71872923825733
2017-08-12 21:43:29.000,24.995734485773173
2017-08-13 20:21:44.000,11.792365217417515
2017-08-16 18:23:25.000,13.793934469800432
2017-08-18 20:20:23.000,22.22917555761125
2017-08-18 20:27:03.000,26.06538208868554
2017-08-21 20:20:35.000,8.983764038347207
2017-08-23 20:20:47.000,19.018449430420144
2017-08-23 20:20:48.000,20.82706045049608
2017-08-24 20:22:15.000,21.21394761723774
2017-08-25 20:20:51.000,16.62076995534009
2017-08-27 20:21:02.000,12.280102935340594
2017-08-31 20:21:08.000,18.21303258698092
2017-09-03 20:20:51.000,26.638838669559856
2017-09-03 20:20:53.000,27.35947745974104
2017-09-03 20:23:07.000,23.19556661391502
2017-09-03 21:38:20.000,20.401190568813018
2017-09-04 20:20:59.000,
2017-09-04 21:39:12.000,20.132756204646952
2017-09-06 20:23:05.000,21.09559965995467
2017-09-11 20:23:13.000,21.359162768260152
2017-09-11 20:23:14.000,23.49768064125539
2017-09-18 20:22:00.000,17.596282729997863
2017-09-18 20:24:48.000,19.95915697196568
2017-09-18 21:38:19.000,18.30835939626758
2017-09-19 21:37:21.000,21.81020718636229
2017-09-24 20:27:08.000,23.27441579127529
2017-09-24 21:37:28.000,9.488696787501542
2017-10-03 20:22:50.000,20.96326565637728
2017-10-05 20:23:26.000,14.589163908535236
2017-10-05 21:35:52.000,10.308513072727283
2017-10-10 20:22:11.000,18.926094566947548
2017-10-14 20:22:52.000,13.9395537253893
2017-10-15 20:24:26.000,10.952669015666554
2017-10-19 20:23:04.000,25.434575742759
2017-10-22 20:23:13.000,17.31908925411653
2017-10-24 20:24:47.000,13.732219284125632
2017-10-24 20:26:57.000,15.601649950131698
2017-10-24 20:26:58.000,16.235902793508593
2017-10-24 23:42:59.000,15.016296591752637
2017-10-24 23:42:59.100,15.881148244701128
2017-10-27 20:27:22.000,12.246423246016482
2017-10-30 21:11:14.000,16.288822442235123
2017-11-01 21:32:27.000,15.29166804595017
2017-11-02 20:24:24.000,10.958425425980804
2017-11-02 20:27:22.000,13.736384970830208
2017-11-02 21:32:25.000,14.123210123267674
2017-11-05 20:27:20.000,15.140068658388346
2017-11-06 18:37:03.100,11.648803784867736
2017-11-09 20:29:20.000,14.07062497129547
2017-11-09 21:31:25.000,13.164086068158548
2017-11-13 20:25:04.000,33.66828068505804
2017-11-15 21:27:31.000,20.68718948127277
2017-11-24 20:24:44.000,19.76499192599435
2017-12-03 20:25:44.000,7.175089454857938
2017-12-04 20:25:09.000,18.010150732590144
2017-12-05 20:25:59.000,17.768093131412257
2017-12-05 21:26:51.000,13.417455752435831
2017-12-07 20:25:37.000,12.404372971994146
2017-12-07 20:25:39.000,14.051368238581777
2017-12-11 20:26:50.000,13.427138117087289
2017-12-18 20:26:22.000,13.88893836449327
2017-12-21 20:26:22.000,15.176030008400373
2017-12-21 21:24:29.100,7.267895716865397
2017-12-28 20:27:31.000,15.416749445847213
2017-12-30 22:04:20.000,21.56751636995755
2018-01-02 20:27:24.000,13.56109384860174
2018-01-04 21:21:22.000,12.532466692108768
2018-01-08 20:28:13.000,16.306293281084518
2018-01-10 21:20:22.100,12.656978098792855
2018-01-12 20:24:11.000,25.58221117295946
2018-01-14 20:27:47.000,14.502252546531547
2018-01-15 21:19:20.000,5.497914667544265
2018-01-18 20:27:58.000,15.878657279336537
2018-01-20 20:27:43.000,7.777937545857167
2018-01-21 20:27:04.000,28.12127970742846
2018-01-26 21:17:41.000,7.41885959334228
2018-01-29 20:27:47.000,10.751477433919082
2018-01-30 20:28:43.000,16.363452744287226
2018-01-30 21:17:16.000,23.11230408784586
2018-02-03 20:27:36.000,14.551165828241311
2018-02-03 21:16:34.000,14.406633347254216
2018-02-03 21:16:35.000,12.374491792892544
2018-02-07 21:15:35.000,7.493732095036572
2018-02-08 20:28:30.000,18.6753664059646
2018-02-12 20:28:40.000,18.064996192196155
2018-02-12 21:15:24.000,14.917312107294622
2018-02-16 20:28:42.000,21.8076405792314
2018-02-16 21:15:05.000,13.731783959001978
2018-02-20 21:14:32.000,13.94633865292536
2018-02-20 21:14:33.000,12.668811179535428
2018-03-05 20:28:58.000,16.596443374709203
2018-03-07 20:28:49.000,11.388308778863776
2018-03-07 20:30:19.000,23.70920988192409
2018-04-23 23:36:53.100,33.60222124730361
2018-05-06 21:03:15.000,11.99441651445414
2018-05-06 21:03:16.000,19.828812517719754
2018-06-19 20:57:11.000,8.958399804582447
2018-06-27 20:55:50.000,25.7071545320026
2018-06-29 20:33:28.000,38.33952859184875
2018-07-04 20:34:42.000,41.66660948464099
2018-07-04 20:54:59.000,48.22913781308153
2018-07-12 20:33:50.000,32.09128984808129
2018-07-12 20:53:26.100,21.722336706211728
2018-07-14 20:34:32.000,17.301612787697216
2018-07-16 20:34:16.000,39.343234718309546
2018-07-20 20:34:20.000,19.36740879628137
2018-07-28 20:34:33.000,15.931131842540896
2018-07-28 20:51:25.000,
2018-07-29 20:34:03.000,29.01761002210165
2018-08-12 20:35:35.000,23.9076798461822
2018-08-14 20:35:36.000,24.513727476738065
