dates,oahuoahu0040_0001,oahuoahu0040_0002,oahuoahu0040_0003,oahuoahu0040_0004,oahuoahu0040_0005,oahuoahu0040_0006,oahuoahu0040_0007,oahuoahu0040_0008,oahuoahu0040_0009,oahuoahu0040_0010,oahuoahu0040_0011,oahuoahu0040_0012,oahuoahu0040_0013,oahuoahu0040_0014,oahuoahu0040_0015,oahuoahu0040_0016,oahuoahu0040_0017,oahuoahu0040_0018,oahuoahu0040_0019,oahuoahu0040_0020
2017-01-01 00:13:15.000,,135.2071410501556,152.40557812993555,175.48764402233266,,,,,,155.7029355255347,148.42890703091413,157.9352973194057,171.5810560190254,172.15152425020582,163.7834166669535,166.14038051737393,30.43447283791926,42.36153588722189,49.08075334212274,54.80748692554736
2017-01-05 20:19:28.000,155.05707063094505,153.63716167446384,158.2036306147162,164.32461126609925,164.01067031419757,168.1028767411051,164.16796131917982,165.46283859791367,162.48058905159675,162.18142335020923,157.60854690542993,157.17793964288893,155.89076082468472,155.79743756870673,154.0748094476349,159.50605137943873,25.606407908219136,26.02049383535559,22.66483824445788,24.95661374466897
2017-01-15 18:16:30.000,,,,,,,162.58854391584677,156.3827892470159,152.1190851293933,182.4174000730849,183.3980720493051,182.3318148376981,,,,,,,,
2017-02-18 19:26:46.000,154.99675133092114,152.93513394060773,156.97690684857542,164.49139227482175,164.3618106455885,167.88734724265794,164.64335708099276,164.38038085504547,161.5818093915898,161.88754938097642,156.55104710972302,154.50341300067925,154.40909312815805,155.87136637546476,151.322392106015,156.315851510353,21.723222628432847,21.91182648012749,20.06780227384097,20.199966595197523
2017-02-20 18:08:44.100,155.90816380546954,155.15097619131674,161.2687017181458,168.4732918702618,167.63318855774406,170.1374119840426,167.8117491077731,166.23192791280422,162.3154496324846,163.98543455403845,158.19706468799478,156.29796234367984,158.8865546472295,158.83671706800203,147.88019465921525,159.92893766200802,24.83395974532201,,,
2017-05-14 18:10:43.000,191.68294272443592,,,188.3305004386324,182.969616519424,185.4464401250454,182.4603629695177,177.65136265880685,173.78949914864202,170.7902253970735,166.8580797979295,163.11319272109048,157.74971346438377,162.12508247730278,158.97286482787754,160.95882989477522,26.48920559691519,26.44593172659838,24.077463420432696,23.44043085716088
2017-06-24 20:19:24.000,184.01868084676823,186.0960483024202,185.7397259451379,185.1360235683715,188.63836834036755,195.1186196425104,,,190.5210715679244,182.4813003784328,176.08177716297723,,,,,,42.19269354088589,,,
2017-06-25 20:18:39.000,,,,,,,,,,,,,,,,,,,,
2017-07-10 19:09:48.000,182.25153708741763,176.12303489339507,176.0945453866087,180.3834260453844,179.7549465108567,178.51822275981715,179.9057206924629,176.86274778229523,173.02863247159655,167.57063487061538,164.23376673369057,163.48417221855277,164.39778733555795,183.1401056549032,,184.1011557599097,32.46144193349169,32.89581412747231,31.81514100566936,29.20025537094295
2017-07-21 20:20:48.000,187.69628055566744,189.3704137079669,183.8088190452718,181.7195240802405,180.63504671355145,178.12280035259545,175.7619749596675,174.61390645054837,170.58021023273832,168.21137419585227,164.32330188938246,165.8447054243751,167.3080431102808,175.29797694797506,175.76893767114154,175.77935891048978,37.61225596295567,36.98031305219784,34.468664667714776,35.77309772163135
