dates,oahuoahu0006_0001,oahuoahu0006_0002,oahuoahu0006_0003,oahuoahu0006_0004,oahuoahu0006_0005,oahuoahu0006_0006,oahuoahu0006_0007,oahuoahu0006_0008,oahuoahu0006_0009,oahuoahu0006_0010,oahuoahu0006_0011,oahuoahu0006_0012,oahuoahu0006_0013,oahuoahu0006_0014,oahuoahu0006_0015,oahuoahu0006_0016,oahuoahu0006_0017
2017-01-01 00:13:09.000,,,,,,,,,,31.49071507148352,33.3200211765925,33.79646449155449,38.731909494316405,48.78443793246255,44.3116446358256,38.18436352532152,47.80671464838301
2017-01-02 20:21:45.000,6.419772215428524,4.819626306852063,6.971807081628753,8.175378907452808,7.666610130719995,14.930920712060022,17.3633260241522,18.27752817636568,20.161991419319808,18.44966813210953,25.252321462331487,32.01618160543234,38.148601392994095,44.82425109347521,36.74740784232189,35.30212071987465,49.58702391546202
2017-01-15 18:16:26.000,,,,,,,,22.50060618065816,14.430245171079966,13.093663813054752,14.823683330792749,15.102361947546234,21.487922489795192,,16.63946660115506,11.05097705683762,
2017-01-29 20:21:27.000,20.00755246025677,,,26.840349523882143,24.49633992229901,24.38600392360199,27.57526876146856,37.64732063774265,24.92260024971613,22.01405980100764,27.59137328537733,30.03066222039316,37.318677045352445,42.17499643013164,31.075550923556467,35.57274155578904,54.316720831432
2017-02-22 20:22:34.000,2.824866471606455,6.644470202317353,2.937951770241092,6.275973798887735,5.629463015689414,13.049694162591518,11.853347085523303,18.24811112571814,15.873855422727718,13.301482358445275,23.071196136397404,26.483094411387697,31.759792226356176,37.2608834771749,34.60797512181766,29.748863938130874,47.513320848112606
2017-02-22 20:22:35.000,4.519127005771738,9.300958274972375,4.053577172324161,6.21170596055652,5.19401695249735,12.453412515323835,11.853386248332836,18.15199220549139,15.262100422376673,10.738456461616888,21.335413524904897,25.14053842566532,31.72016632414585,38.59752395708923,34.608014284627195,29.783380532094665,47.51040165421596
2017-03-13 19:16:16.100,,,3.154174261526437,3.048668078554932,5.159907011887314,3.0842871284231324,4.899884441754501,11.597920258089664,13.58260932612205,11.840952335618656,17.917548040672724,27.602478324116603,33.448305975354515,44.57863623931407,36.70499708651901,32.60568094424306,44.17959469640687
2017-04-12 20:17:22.000,9.514004060643462,15.096348280148,15.553966118605366,14.535490987726638,14.759629735914626,18.67538496255017,26.818033398963983,36.656863550743566,28.377371608446097,29.196222630402904,37.14545507623747,37.477663230904994,42.48189314555543,43.64327854281696,35.638843186069245,39.961901760074674,56.96160455415799
2017-04-14 20:43:38.000,8.553800387451627,13.99722747072923,10.339701678952888,12.520347487559707,16.80437563527615,15.921534602469992,13.831760109842351,15.320332922452618,17.7779751335673,12.653833941040672,22.20287742195326,29.75188025351173,37.27862765651658,48.24583357503432,39.71675298188727,36.64870109452578,48.30720504036759
2017-04-15 20:24:34.000,,,,,,,,,,,,55.40218475259237,56.43796842604704,63.99840834096643,,,78.12545370990182
2017-04-19 19:30:10.000,2.7294953685085352,6.095005813358396,9.386932227256976,6.651883878819527,10.672446146881496,14.117072697574564,10.399381408367123,12.871554126020504,16.056565114963075,11.99625167620226,20.18135146196724,30.297195397812786,36.13743634377598,46.2308252331008,40.56109305314053,34.357466270822044,47.02541498215714
2017-05-18 20:25:29.000,,,,,,,,,,,,,,,17.341463731167998,22.863806365819503,38.476035891905184
2017-05-19 17:04:23.000,,,-0.1551665940340956,0.7256787093200914,5.80415319692184,0.471447666233437,2.84890321166888,14.501891762324128,3.654350794164288,19.634172074371072,12.845909801357823,11.170528005407734,9.396203428369086,,12.19315664864187,,
2017-05-25 20:18:52.000,3.623615589969244,11.531106303057184,12.407932145356872,9.227079753037447,14.916070642284447,13.016870531861196,8.556372237994875,8.97706182313377,14.078159788733558,10.062706087284464,14.539563841578577,25.387194762773284,29.69091256379265,39.53354490412904,40.00250756564112,29.8730246682128,41.30755504476133
2017-05-31 01:54:04.000,10.45346986912967,17.7095781240744,17.63881732798098,18.44804616936788,19.64189045960018,14.441969201061577,10.636113968378217,10.94495409488213,15.393171590647318,11.948563006487378,15.050349243469883,30.4456632286078,35.68670823251605,48.6885044105586,42.74519751950692,34.63577252327176,46.72034083882285
2017-05-31 02:55:44.000,9.655569551895216,16.699770739408905,18.340084189555395,19.006487679188503,20.20033196942081,17.219843572047555,12.973830539828628,11.442932867101508,15.17828419002016,11.312087285780905,12.964864448014955,29.05139396895453,34.903937902480855,47.82960451455301,41.16960352088207,33.18733449343893,43.78592766914611
2017-06-06 00:34:42.000,13.067539478099262,19.89274406166424,20.615627739023275,20.72159731701616,22.35651386882186,18.56650039054171,16.61847181609483,14.701725715399393,19.156903799868143,14.292640089808591,20.298366604082947,32.28893631942951,38.61317832667504,49.1410691305742,44.53569731345794,36.83478302101063,48.125750506285
2017-07-13 20:20:23.000,8.153888319532498,16.30721325265855,13.689284447916515,13.302177457172204,17.82385790758401,15.161423364801134,17.321646972483503,17.72167121472977,17.52044331243801,14.024572280801625,23.37943605452542,30.221315073951,36.25218152396042,45.69247619236782,43.02378425900098,35.00705595768608,49.53108354987192
2017-07-15 16:55:46.000,,,,2.413952696379032,3.81937053617844,5.294117904991626,5.456042805259277,12.83467190412503,3.089315740031527,19.83938754971325,14.469112563417388,11.992168352785932,11.237479769394552,,15.585850438677165,,
2017-07-23 20:21:45.000,10.294680480586583,18.36176558990564,17.190592652770793,14.811217043673214,17.838917736072833,15.945072939426629,16.53741403342936,18.68031111048208,20.623481586749143,15.910958838908725,24.40550726977313,32.196696425223095,38.58087017952254,48.96610953490637,43.08824660950363,37.17773593679614,48.4913273087902
2017-07-27 02:54:30.100,13.518857500140632,20.9066725915776,20.57527340961021,20.475441705876268,20.91767430486829,18.08620622576514,16.079640219275227,13.605418256569036,15.570137373837705,11.95951119467858,13.562933898557898,31.879237380369528,36.10122052738009,50.215143082544245,44.02098136477503,33.8805912246868,45.83053892840954
2017-07-29 20:21:41.000,11.463093657685372,19.59865291760792,20.01505806217732,17.53128896819833,19.765179957623342,15.656728178265883,15.19525676172906,18.54027979853437,21.305679869695084,20.017827916267898,27.401614083789863,33.63819083747536,39.20410866261549,49.98765795948475,43.40967959534831,40.68066179994412,51.99386870963254
2017-07-30 20:19:52.000,11.733396777105268,19.50194656877124,19.756753192873514,17.544809251517503,16.932756256225854,17.16591291497023,19.650937206231493,20.44770975315844,22.07863461505944,18.799318873082505,26.16469512170996,35.30572541427868,40.59115256730925,51.425659891931325,40.62007409555185,38.95191306757206,50.26550443956612
2017-08-05 20:22:17.000,16.889139344972325,20.93851276634168,20.057370620007774,20.133749746043048,25.1886557977092,22.851668314957468,26.01847734463471,27.398385886240888,26.51901232468161,25.07517337146259,31.38899503710961,40.43554985316016,46.17078956486723,55.58434769292232,43.24660332158671,46.84379282476691,56.27750984109103
2017-08-09 20:23:12.000,6.634314862680526,11.120576625856216,10.636731209844076,8.012088205684861,15.153680534824542,12.929501330147268,10.81571996819859,11.464024400328334,14.972484449389924,11.693707920214266,18.88904881642095,27.410853490680186,34.24517139367915,43.27561889868779,39.709615895579525,31.98963763281016,44.2181386207952
2017-08-09 21:45:25.000,,,,,,,,,,,,61.04949602132292,65.728051218465,75.06878286174039,,,79.96260009608409
2017-08-12 20:21:58.000,,,,,,,13.696703981886744,15.157390028186528,15.763397839652589,10.884629297986429,16.785987452727824,26.241917613633387,30.640453608250866,42.59087429449303,40.36091108388608,31.92350218094164,41.33256975341581
2017-08-20 20:23:16.000,10.244855568982674,15.125366493607192,13.69810785545814,12.464262881090333,15.188434952616085,14.455244175858189,16.992491647764147,16.485337188471853,17.64476358653876,14.190236115807924,22.31191054554964,31.370695776515984,37.95271789670698,47.68294782289312,41.9231067935762,35.94701075904253,48.41739323681629
2017-08-24 20:24:13.000,,,33.88267325536756,39.363435250762045,,,,47.18051072718843,22.74662856507389,18.098264108091307,25.46834687920842,30.331332395956768,36.12334758089749,45.05719144467619,41.11107498829718,28.673183291129668,38.89042693290779
2017-08-26 20:23:53.000,9.75714841867534,12.83747050867468,13.27441762832247,12.50260664629481,16.316362815254987,13.95571896590122,13.876068025860723,14.327260447257498,17.560377239910512,13.91236087188563,22.55619985328392,29.762607240275653,35.636041837015874,45.65300653038352,39.81978150283238,33.74966174469712,45.26797643305436
2017-08-27 20:24:14.000,12.017264354747391,17.008694758997688,,,,,,,,,,,,,,,
2017-08-29 20:25:04.000,13.37380975246655,12.631210816420818,11.298215904874278,11.543638898595594,19.93121285515975,21.92652079637641,26.72564891614456,26.591365648797048,27.29684667545592,26.313497224408348,31.394351514657245,41.80079115072191,47.65047496023216,54.37876602209063,42.11423986949098,45.748207828693374,58.16907019885457
