dates,oahuoahu0109_0001,oahuoahu0109_0002,oahuoahu0109_0003,oahuoahu0109_0004,oahuoahu0109_0005,oahuoahu0109_0006,oahuoahu0109_0007,oahuoahu0109_0008,oahuoahu0109_0009,oahuoahu0109_0010,oahuoahu0109_0011,oahuoahu0109_0012,oahuoahu0109_0013,oahuoahu0109_0014,oahuoahu0109_0015,oahuoahu0109_0016,oahuoahu0109_0017,oahuoahu0109_0018,oahuoahu0109_0019,oahuoahu0109_0020,oahuoahu0109_0021,oahuoahu0109_0022,oahuoahu0109_0023,oahuoahu0109_0024,oahuoahu0109_0025,oahuoahu0109_0026,oahuoahu0109_0027,oahuoahu0109_0028,oahuoahu0109_0029,oahuoahu0109_0030,oahuoahu0109_0031,oahuoahu0109_0032,oahuoahu0109_0033,oahuoahu0109_0034,oahuoahu0109_0035,oahuoahu0109_0036,oahuoahu0109_0037,oahuoahu0109_0038,oahuoahu0109_0039,oahuoahu0109_0040,oahuoahu0109_0041,oahuoahu0109_0042,oahuoahu0109_0043,oahuoahu0109_0044,oahuoahu0109_0045,oahuoahu0109_0046,oahuoahu0109_0047,oahuoahu0109_0048,oahuoahu0109_0049,oahuoahu0109_0050,oahuoahu0109_0051,oahuoahu0109_0052,oahuoahu0109_0053
2017-01-01 00:13:50.000,,,,,,,,,,46.32350874113005,48.195065751948086,48.30437081230237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.635372290742511,,,,,,25.982252757256425,34.28875453670041
2017-01-01 00:17:42.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-02 20:21:46.000,,,,,,,,,,,,,,,,,,,,,,41.10074070438973,41.301697102390015,36.67602646703207,24.942596777692323,25.458712953501163,30.475322626392067,33.07885139766281,40.8300212173055,37.98180988637991,33.7091923851666,62.156466022836575,75.3213665539801,76.04131878621521,,,,,59.51385136611041,51.65970280045148,49.97660843831837,41.02610456717241,39.16089596287925,30.696939202004504,30.87018113924667,33.085187282923535,37.75054786547904,40.433825723432015,39.153421816123696,50.44533961548149,48.61107113285183,34.07874666050844,29.080443428625923
2017-01-02 20:21:47.000,,48.69352347664131,,,49.84790711184254,44.75568502304999,45.42695441545683,44.25618732347855,42.90609744137055,47.211976430426425,55.26846828087122,63.92470155916778,70.13646445709003,64.86370752954454,69.14410060733789,62.54997835594831,52.33553944318586,45.84306119974362,40.92111156429655,43.20865646524548,37.20859898019248,38.68245879962111,41.30158443542907,34.350886123443104,16.72493013710421,17.324269583966924,31.27345617409981,34.594246259419634,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-29 20:21:30.000,43.25416442418529,47.3428488222668,47.39550533192829,48.20537271569937,,44.69463048452509,,,,,,,,,,,,,,,,,46.0404775995468,26.550079364918595,28.163416270473704,27.643095120144885,27.64645160967433,27.44478241892645,24.35569228185661,21.34131943858409,19.33973363302527,60.70904551012373,69.62530147524855,62.90899468987308,69.40463599499702,70.53202377065668,66.89778822073474,60.39300995363487,54.52875886901124,50.60726474656781,47.44359333088784,32.5114951157593,,,,,,,30.48331985967159,,,,
2017-02-20 20:21:55.000,40.88866133921327,42.62788628205047,43.240260924759525,47.62847187475755,47.98755487360859,53.37811311332686,,,,,,,,67.28614802285657,60.5534749922429,50.36518297515158,44.6775559130011,45.61921124281838,40.94902366787738,27.52762498401613,25.152534173055383,26.21327201401453,34.56695782615388,30.215210228401013,24.88991456388561,27.21205407317129,28.26115410425079,28.539645195032524,30.87526221295476,29.568516298326,28.11866837649499,55.314043693566376,,,74.42193972587548,,,,,,,,,,,,36.226457625487896,33.275966794607584,24.35909910431869,23.06911515352336,27.463726892089195,19.592539407083432,24.51857373482605
2017-02-22 20:22:36.000,,,,,,51.51319274341529,50.31171407605132,47.11799369434228,45.9639871137704,46.25317510778753,60.026042676126295,70.25997290483542,74.07809774623477,76.59670183577701,69.06710376797297,63.30737842627512,51.33565095026981,42.95740513115968,42.69471603021838,40.2828760127058,37.26555493943973,40.8383831421077,43.90662779520092,33.90280905321023,27.999466787398188,33.16874675915371,32.27356440124272,34.64170983525538,40.22178149110515,38.67809236487616,37.10810777323975,66.65453421747911,65.62244126239435,59.91820355078308,80.55044209585498,81.116889016525,69.70548253334337,65.07873215277787,62.19541230189249,54.22930647829019,47.14303329333652,43.50838071744284,45.36666953362118,34.959559313410416,29.717585690544016,35.81026449862883,41.52719749252208,42.41009705950597,42.04603609410263,49.8865011041032,45.30898091609703,32.94035474742017,28.363196413755634
2017-04-12 20:17:24.000,30.8931633338709,26.93175105368713,28.531721815519195,34.51020027638104,40.894702814562855,45.34662355483661,48.903973685025605,48.88126284032587,46.31576338467915,39.08413666558518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-15 20:24:35.000,30.69818711868233,38.258933279326335,41.985964439468056,40.34469972535228,43.71649249382119,49.0605186574751,58.65956067312135,,,,,,,,53.9020010400187,50.765752432154216,,,,,,,,,,,,,,,,,,,,,,,,,42.41302777817346,34.42252776169096,32.36928626864574,33.5359485275097,28.408904472830823,30.42701887485408,34.420997947716046,35.93149663479043,38.10591423999029,40.17098283514367,50.67357253133676,31.0029728586729,33.65217663005069
2017-04-15 20:24:36.000,27.69192989514288,35.863357142369765,41.98598725140082,37.353196663548026,43.71651530575396,48.89569766667504,55.806772198980994,,,,,,,,,50.71707357903068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-02 00:12:30.000,40.55652804644812,,,47.21367621078512,50.5895251041321,55.76657420549569,,,,,,,,,,60.33424737443185,56.37597814634832,48.37947667583602,45.106311828291545,42.12159135296911,39.74210758444992,39.67419732179939,40.83421922461087,37.41505506871982,,,,,,33.183773658568306,33.576103107845626,72.63887887377797,81.84800818190382,74.94696401845057,80.02612092578953,78.46797514822512,71.07754612739485,65.25460757422454,62.83485404661111,53.82546768347209,51.17516341823592,44.49401484120641,43.79029759939653,37.50241833672165,32.25439354216883,33.8789548824871,39.07379966300768,40.578579758286445,44.94585970969114,49.87224490178637,51.34031784343397,37.57263747138128,40.861588654892735
2017-05-18 17:24:51.000,,,,,11.424899580528912,19.979900155396457,35.60334659367882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-18 20:25:31.000,,,21.98043883773893,18.6931653065806,17.42958835350837,25.634069647009767,41.60611233008522,52.34524060858351,,66.82041880398623,76.33200288002075,75.02696468188014,,,,,,,,,,,,42.25405352056075,36.65462350848011,38.82377293025472,36.87410037427681,37.15238489611166,34.980684619688795,35.114762765520915,29.072785470374576,58.262455491296805,65.83867767006879,65.92777376937713,77.02664033867175,,,,,,40.118465798570966,38.56117706155682,41.83842592097423,29.142548296140788,28.06722147849397,30.437559251734854,29.84980834311812,38.88761339949133,38.92545201497532,43.87038152035728,38.67276820397763,29.229369604805065,26.50362805760064
2017-06-05 00:02:22.000,,46.80362273638854,44.34865168813981,43.27497477073391,49.08686190477757,50.38115352927746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-28 20:20:53.000,17.810084504571424,17.6486641270683,15.302440646794327,13.539404157937986,19.81100485699032,25.097425658124106,26.038694980243942,34.884824760182696,50.92937746985802,57.2945884417701,66.12184637219686,73.73265262357388,77.00753051772541,71.22496469571307,,58.49894936232212,54.95896840485408,47.21455561742212,41.658238960000766,38.60768304622231,40.56327298531576,47.130685018762975,54.682967341770336,47.289218845496165,41.96312330427445,41.53247274497375,47.00632117781883,48.00620717249596,48.95444469916342,42.31152683112013,36.19187734407458,72.09960475985804,77.73486638722913,79.46127904289112,80.70205051871334,86.16437229493167,83.02872631010997,76.04229165667414,72.32908778176039,68.7346260362427,66.5860723787776,54.70238356649856,47.72260660167328,37.04891292105238,35.72329788824486,41.02251769996847,40.20521179168581,39.60273218476065,41.43348148534523,48.60427729266756,48.31265113680975,36.67934309631377,34.189956257664385
2017-07-23 20:21:47.000,,,,,,,,,,,,,,,,,,44.78087188321656,41.56546914527987,38.51491323150141,42.13805568465251,41.95347419287656,43.36355642767133,41.07891116673127,29.870246619877268,31.141029685268155,33.24360195558611,34.46117862906262,36.228297894138805,34.79461546303425,30.09900050821756,68.99204803419265,80.24123918503865,80.93442750921261,79.42119521091647,87.47473047638496,90.46267550742644,,78.01836704163044,74.1678141592934,69.52313720705419,57.82661600012992,51.89566387219138,44.13307719878605,40.39641880978453,44.82307230511236,48.24903292592181,47.84936374567597,49.44143779939384,52.13903677966182,50.73477189611083,34.00174347761672,33.42425341555678
2017-07-27 02:54:28.000,21.115909271564373,23.57872806460492,21.150945709465528,20.269612113113727,22.93816825246439,26.223964568045243,25.95048426500388,33.69190361972653,42.85473290101713,52.23973175146244,64.25623585488188,74.71034183911709,82.5653043844712,80.90554712836921,71.05536973232114,67.37951047338568,55.26926952852536,47.88301071623164,45.43478579911793,44.53296556649636,46.49777857492743,46.34112077605083,46.24559712198624,43.51737244027202,43.12331297261737,46.068441549871984,45.26315572926388,40.927151342589205,41.850862347169546,40.56514540833796,39.11540745775399,70.28783935255363,81.67790087088707,86.45991119474623,88.45647200320325,90.13849970982362,90.29818045754008,82.56027965017837,79.25671508501468,74.17443486399841,69.51519195191267,58.06437641430289,57.38673367935551,50.554835950387535,45.14285808621207,49.34371677385564,53.35533594098194,50.31355327548177,50.35745624740647,51.73520056405609,49.70969603068843,41.140165750239504,39.10447675026997
2017-07-29 20:21:43.000,16.937700973318215,18.897171210845126,16.323794315023918,12.484932860100749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-05 20:22:18.000,,,,,,,,,,,,,,,,,,,,,,,,,,,37.3779531482016,34.65522191125972,35.132743973670266,35.682095203984325,31.53607017145911,66.82265238289321,78.36811069885471,76.34918265439036,71.52599649261809,83.24137011669481,83.61481028426657,80.08279756301278,72.17285610674683,66.27204306570152,64.59673449865575,51.26300305117656,46.95076700775506,42.34479781013261,38.40938724547248,41.39828539432951,40.62350761834033,42.666083348748096,39.4737559239676,42.24261977870312,43.97661526817484,31.55682934350316,30.844111701721587
2017-08-05 20:22:19.000,13.498841868418111,12.903411296536802,13.56747932254436,10.829128541076743,15.5779523606299,21.5343301381024,,,30.74398758277998,41.114811047269214,56.61776702228899,66.74028363357522,73.02761451718659,63.43747070167944,62.54619866984856,55.511320245102695,47.61956615176305,39.60095523708885,33.70831320516842,31.677453330644703,31.489883070168126,32.71509725574586,35.36278703332332,34.73438767574317,31.003747511159027,31.67619555242078,34.45441501170393,34.655456225010134,35.13297828742068,32.6823126642485,30.940258802657578,66.92822333552012,78.36834501260512,76.54129842072763,71.5986397171029,82.24358854828436,80.61281377446811,80.05962754549739,71.3720236536876,66.27227737945194,64.59696881240616,51.062028936938034,46.3013350256123,41.593285667614246,37.22155196702538,42.148144295638495,40.62374193209074,41.18252483048665,39.47399023771801,41.424741679347015,41.82125089813249,31.50337201975689,30.401696970916355
2017-08-06 20:22:02.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.02786227073664,,52.229877662244014,,
2017-08-12 20:22:00.000,17.64894411295953,18.3137819940708,18.852555674771768,16.80389267947938,17.102154157632388,16.23721877556007,20.71104216677657,31.774194600335075,45.59262791055528,52.361745920291,64.68059828783564,72.86504395095804,79.69996653646507,75.2896581682523,63.89460688090263,59.031860634999006,54.1241303036969,46.68932318216783,42.3701563507042,41.97862861675454,39.89506955130025,40.95280679664788,43.90731169418629,35.953696591685485,30.628134301600657,33.42821924298332,37.08897091966216,37.2808587742285,39.59920114316412,43.66827890758286,35.53045531262196,72.87779348953158,79.33450450503932,78.30896881828134,82.06216841462228,87.8800874631467,86.24166221200748,82.707427810733,75.79388190995238,71.84239035078626,64.76013121620679,51.99852728599403,51.87745775915454,48.93208503459941,44.414370565082606,46.17288299199269,46.29338264538363,48.8225336074708,51.09926632492329,49.8939025533642,48.57449536530969,38.8966021289604,35.92302553981858
2017-08-13 20:44:35.000,13.962136775385767,,,,,,,,,38.62328722784009,58.83949154622991,71.88567237871196,81.69621198128061,76.8644042442566,62.4014505495776,54.92106193192865,45.17991118112571,43.07947659419312,42.34905802501053,38.54759173940382,37.44879506157593,41.5074061219992,41.54178051681252,36.5082959170368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-18 20:22:33.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.77211768354064,90.05845039720782,83.77859522691394,78.22606707026615,73.34173642808122,68.73019871854855,59.811940247435935,53.92048823448321,51.79849998805813,49.88129410827387,47.253670170036905,50.74172341756897,52.89581124125531,49.72025786913141,51.31961636412392,49.49140550752822,40.413122647184686,38.33545990496717
2017-08-20 20:24:05.000,21.114970194298408,21.535833321604336,20.425288934705296,18.377562147121274,22.599382242499345,25.571905293932808,28.04616919457296,31.887054762986835,40.26692227180929,48.1674032658804,60.66482901751017,69.73566309435829,82.27195812264017,76.83388182558842,73.78794667661631,66.82385962277108,55.74135502541821,48.74795614636269,45.27492599597342,42.49007082349578,40.420099248348606,42.100829998661226,44.07429228754052,36.16921409536182,33.71113200205003,40.38262684645248,42.86482375166118,40.49739203668157,40.497381110658665,41.9144568643424,37.148130455819874,72.70927044943835,78.70974051576519,83.86785048123822,81.21000980778379,89.5178108834673,89.45941053923269,83.66769526745722,76.03949513566157,72.89348194955647,70.49654239245392,56.37048118074745,55.19855269849901,50.00013506538511,47.62485686664337,52.33872371114607,55.13442048079232,52.06954910823015,51.31478382859963,53.11244196506155,50.553883852041935,38.88013307523822,37.88953636209134
2017-08-20 20:24:06.000,16.956047477220213,18.73283328757744,18.60877924855449,17.435044061145316,21.897621543628265,25.24334337255908,26.53242336141417,31.649275577174546,39.80654468838664,47.25229834854871,59.58546107535152,70.05763712805714,81.62835842524217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-22 20:22:38.000,32.679322742936016,29.650624126004026,31.77298446126345,28.332908508299003,31.665788564598312,43.1414429220235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-23 20:23:39.000,26.97072419984317,26.601935703988865,28.9706598129681,34.04019869610044,,,,30.68258257657498,38.92193810627454,51.06825559094197,63.50278939862064,75.19873052061813,83.97771630986045,81.49725459716717,72.13546380678112,64.42186199017752,56.64516316238736,47.78152984621172,39.96253774198174,36.02444047849882,41.235484834047625,43.202171696123074,43.23627607883469,38.53260372189566,32.87725222254559,35.25976033559039,42.05010692966157,42.531981495295206,43.284924416938594,40.52290175882956,33.15665589359631,66.93811503402496,82.02027358711432,83.74933914693392,85.5209006788603,87.12917866667206,88.48807044675378,82.00774914384,78.0253459268792,71.18852747266241,69.53011609230295,55.11486352850964,56.92941655677851,49.177369826364455,47.11118402847657,49.78209803186657,54.60702316769513,53.23242640118608,52.02900790410163,52.14601566491058,47.0496324410461,35.57852454213065,36.99897339456616
2017-08-23 20:27:53.000,20.531338351003782,17.934815438416397,21.844207491767968,23.790798641621667,25.887865051449307,37.37437915634237,55.63661578577507,,,,,,,79.2958827494332,,53.21432798657944,49.01394871071579,42.96648353877936,44.56219355317891,49.06657179309863,57.07260216322525,55.23368041278237,57.02357957655955,,,,,,50.43344754475376,39.96107152066013,46.79636033702072,,,,,,,,,,,,,,,,,53.04414712298395,30.63883920602031,25.770383761031585,27.832727112811515,37.09198167857728,44.66109850707404
2017-08-24 20:24:15.000,15.614009009295165,14.730245434673217,12.738007345889056,14.74460577437664,13.964293601588896,19.15414226015184,24.958116811107697,27.850742478408048,35.63016301223257,45.25972629790128,56.07090614065788,67.98753275253088,72.32430240652018,75.67877950700142,65.85419248672832,58.53699591169666,54.3878344167555,50.495882112437776,48.29186439328361,39.31537834220556,39.31806681575987,40.375804061107495,43.15990110585222,35.3766938561451,30.05113156606028,33.94768864359259,41.664164396195055,36.83931348475471,47.06237901320542,45.34534217347554,36.27999247553669,72.34405532994641,77.41572906750638,77.71099529960277,81.71769943023794,81.36879563550237,87.25893064089392,80.21101588960842,75.26990401337315,71.33901988178111,66.67418751023972,54.151504425985344,54.096071458804,48.34903368369657,40.95355369843823,43.68586573498522,48.73900687126886,50.88078583531404,50.52226358938291,49.35728081734185,48.40076626827186,36.81749823620993,30.31504059436429
2017-08-29 20:25:06.000,17.246275506221455,16.675719931004714,13.502822193795456,12.041715055390483,13.373611481500747,18.124091094039432,,29.68850541056249,37.958298531900205,47.054642400389845,56.87836301890579,62.31224423108819,71.2313130612093,67.99771031467567,57.15508808844411,54.47537082855644,51.79296427269372,46.05758611828961,40.68903362076578,37.94224613497845,35.27133793189059,38.4786716965212,38.861970201363,34.36750241152809,31.996291551143376,32.130134064711754,34.41154912760061,35.2080277291477,36.10699273880921,36.35387876122939,32.78028834548692,58.96642439716676,73.66324213531482,73.48289366423619,76.48525111326906,82.6294063835385,81.60567232570087,78.07588128446775,74.1431033467623,67.57238724937469,65.58982736363892,52.17033997863086,49.73253336354367,46.02525879719692,39.98967964856973,42.88745403176317,46.55014114152407,46.1468560095112,43.46707111313884,45.25633049811331,43.99288117581728,37.71944009236061,32.87375137719863
2017-08-31 20:24:24.000,,,,,,,,,,,,,,,,,,,,,,,,,,,33.52565582921852,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01 20:23:27.000,,,,,,,,,,,,,,59.65000149269612,48.18408519531354,47.29206776718338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01 21:42:03.000,,,,,,,,,26.919471071116543,46.23761210508928,63.57922366548581,74.81780986292142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-02 20:23:41.000,14.938976479576606,16.477998944839463,11.656904776046098,12.360534967486442,16.190959572643212,20.542463208697843,,23.58700367037193,30.06868120994676,40.81574225137896,59.61416337403174,62.114523244922935,82.36704031844401,77.42043216242408,63.06892046072012,44.97204030565913,,,,,22.120901989126,32.43456577572824,30.157917230695308,35.960334119560194,31.980130727931897,34.121984366840515,30.955625272428986,,,,,,,,,62.794404585234936,80.5431857757055,,,,,,,,,,,,,,,,
2017-09-03 20:56:00.100,15.20625000004659,16.550103659494965,11.1353730704124,,14.971041080553334,19.588733284584087,,24.010107287388955,35.42888683606959,45.08981053906236,,,,,,,,,36.93764794215316,37.51390399592746,32.13530359536594,33.42081052705989,39.41716751016453,37.19655208096685,28.87096307346443,30.191605125683388,26.241091281313395,,,,,,,73.33272000376243,75.10454703380344,77.09871870358666,75.47559440707542,74.95025586942981,71.0166755065612,73.13170908051842,70.74543670703726,59.98288895776925,55.51347877778623,53.680614270825686,46.128112919365776,48.984560018906535,51.57554541699877,46.28979493182922,40.33421966264819,35.33533601759843,36.15330464363503,33.025677327189015,30.50974529300307
2017-09-03 21:41:29.000,,,,,,,,,,,,62.70502992578796,62.29389376501372,64.03465748998313,,,,,,,,,,41.42307347940878,35.46329550474603,35.74169534653151,32.16618566734893,,,,,,,,,,,,,,,55.37100487249519,48.68456330473464,43.26495093610885,22.238459145517968,30.25471523920235,40.7224711566514,46.80819689803874,40.71025736392528,40.00002824113325,40.28344214037448,,
2017-09-03 21:41:48.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-05 20:23:33.000,13.64375089376816,12.687688052378707,10.994092501047058,13.815541728708618,20.55395289010297,22.73977159731584,20.88842636744872,28.42067255085485,37.55757656149767,44.310833282126666,55.17210091999569,65.65133070802894,77.83235688496633,73.24254780273318,67.78383269001323,60.39702049754192,52.38990729916245,45.09208430454242,40.7311346984743,36.26397584355252,33.8862492580554,37.94546043760447,37.98010484451951,32.94646389838622,34.216456501942865,41.73905490143824,42.997670819493386,40.274801869911656,40.751005260901046,37.93668428069731,30.31812942909856,61.50297677092751,71.97286901252261,74.73952279016953,74.1530333656598,81.86090267563242,80.23012790181616,76.53710861077383,69.76674735418625,70.28593751979179,70.27086767791968,60.41116640214047,51.89623487186525,43.78266802732872,37.79462157178963,40.72457536450641,43.800173620648856,45.03986677945428,39.09130436506607,38.26948052006952,40.90589739340633,32.89376376994267,33.1505485965084
2017-09-07 20:23:28.000,,,,,14.0402195134902,22.245767436770336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.53901925354687,31.653976422370768
2017-09-07 20:23:29.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
