dates,oahuoahu0044_0001,oahuoahu0044_0002,oahuoahu0044_0003,oahuoahu0044_0004,oahuoahu0044_0005,oahuoahu0044_0006,oahuoahu0044_0007
2017-01-01 20:19:46.000,155.20460363296277,158.91718608657348,153.7985802982925,149.0339700280607,149.27881367011096,151.39094945438288,150.84222800344642
2017-01-01 20:19:47.000,155.20447250645014,157.77347848177968,152.68740918538205,149.03383890154808,147.49060555487537,147.73521144233916,
2017-02-18 19:26:46.000,143.6038875972272,147.01482421539328,141.1988039135526,142.3285055296787,142.3729366272202,143.4165159062395,140.04749663509313
2017-02-20 18:08:44.000,,,,,,,
2017-03-14 20:21:05.000,163.8098228614499,166.77597071436332,163.40640246270303,159.69521406648312,159.79897746090987,168.67373210401223,166.8008836705588
2017-03-14 20:21:06.000,163.8454281288222,166.04121898387478,163.89580354243563,160.62620905346276,162.28351044648974,169.33279923478236,166.0908867777427
2017-03-22 20:22:21.000,152.39968807408326,155.5688219513344,155.92148399033326,151.50937040171797,150.6718998455726,157.12787338764645,155.10963633980512
2017-06-04 20:24:29.000,150.69543262075322,152.77065455653366,151.94167093367773,147.69221829604356,146.96467884492657,154.13072225355677,152.4448187603727
2017-06-24 20:19:23.000,153.28000662315435,154.6458381290152,152.75677547854593,151.86211521993351,,,
2017-06-25 20:18:38.000,,,,,,,
2017-06-25 20:18:39.000,,,,,,,
2017-06-30 20:24:02.000,158.94418063578652,159.69927380732398,154.45811726430924,153.6685141386262,155.65802604186572,161.50098896195553,160.37615782451448
2017-07-10 19:09:48.000,155.8567104383659,156.67352137665736,155.78101813400437,152.08632667462123,,,
2017-07-21 20:20:48.000,152.48548627386774,153.60689655114996,153.58851776634148,150.26126105198074,151.15067680777474,157.8137706829529,155.67501937471357
2017-07-27 03:14:04.000,149.49755473553037,151.39862632487092,151.87371134039785,146.2082948916987,146.05860737661897,150.61879433534298,150.4823625605262
2017-08-08 20:19:02.000,153.63322561804375,156.63445096939512,156.46290059463016,152.1826933294333,153.05341232005648,158.96300608229197,158.8513812892228
2017-08-08 20:24:50.000,157.0591180106198,158.0882823803442,157.889940443035,153.004137063361,153.1138995505255,160.11949513215865,158.94833688627816
2017-08-08 21:28:34.000,,,,,,,
2017-08-16 18:24:44.000,144.02345831505215,148.85137326010164,149.86936440454875,,,,
2017-08-26 20:23:14.000,152.464583039979,154.03940930442369,152.92683092871292,150.0341401452333,149.68609957075023,155.744285679691,153.2892721272581
2017-09-03 21:38:23.000,149.15590621538283,148.87884665509134,149.98749440586045,144.26531825452284,143.52601710983956,147.7066538112719,146.07042532920687
2017-09-04 20:20:54.000,149.83907938478828,151.96666431676576,151.6214935866449,145.66014607972812,145.07596487124118,151.14254549751334,148.08841601942618
2017-09-06 20:23:02.000,154.872105122522,158.55978771692122,157.8853155158443,153.01438045214036,152.3134107833206,157.55679875934493,155.902943062511
2017-09-06 21:39:07.000,150.2511376940886,150.5874306060869,151.58396228742504,146.5252968533109,146.63245030699753,150.6739994498036,146.88894669331506
2017-09-13 20:23:26.000,149.4181527329226,148.7893337607913,147.3240304262195,143.6470104149292,145.19857433609624,149.2108587091119,145.6350989928425
2017-09-16 20:26:06.000,151.32268452754204,152.15777570085476,150.25099086951826,147.0667080919442,146.77015971576537,152.0223584619767,149.62061134684336
2017-09-19 21:37:24.000,148.1131178651941,148.5892982328053,149.80416133098868,144.34706429562783,143.5490246985937,150.0269824353895,146.6333047961079
2017-09-21 20:22:56.000,154.45193507235513,156.26304566919725,153.9287039277467,151.53383729970096,150.3990897647487,157.442588323662,155.56707921868465
2017-09-23 20:23:44.000,148.31636880157146,152.06294869682932,151.07803033685104,148.19207243607158,147.49872216796751,153.08806561007663,150.31922559719243
2017-09-24 21:37:31.000,156.54303533397973,156.3852771816847,156.75269062510029,153.38109980264852,153.13216675206485,156.63301591788186,154.23631451734406
2017-09-24 21:37:32.000,156.51898751220114,154.9169419338745,155.40780799217424,150.92990454596475,150.28610191247915,155.31657082754282,152.82819751344886
2017-09-27 01:35:05.000,146.46954846590543,152.26569104123288,155.25625671934367,150.42366348802753,150.54006136680735,152.75297895224313,148.9310070591962
2017-09-28 20:21:29.000,148.46209886613892,150.80804995888246,150.28533353291564,145.56278325211508,145.71915168379033,149.5903434515052,146.38700298170158
2017-09-29 01:05:05.000,150.4867852552403,152.5349059993172,152.26919945709696,147.60165900314306,147.82411319034347,152.86701980384723,150.94976610254412
2017-09-29 01:05:05.100,149.48918873261152,152.38500232374932,152.26919945709696,148.77726572193004,145.2544632345727,,
2017-09-30 20:23:34.000,,,,,,,
2017-10-05 20:23:24.000,148.9185020974496,152.74885820037673,151.26174489497862,148.1126845468467,147.60205720253126,150.4113246969438,149.74663926075306
2017-10-08 20:23:57.000,149.49790064761453,152.51298532595231,149.46450340301337,146.7143923665922,145.4046773976567,147.78792406683806,146.70681330233245
2017-10-15 21:34:39.000,149.66029530217477,148.40388207989716,147.56617299547165,143.96550697787643,143.31542218567307,150.68078763032398,147.85242578878177
2017-10-18 20:23:29.000,148.9731418853415,150.1628217473466,149.03500472035665,146.74498367759188,145.94748515391137,150.64716446953767,147.98050263750295
2017-10-18 21:34:28.100,164.45471947125122,169.49525713499966,159.59450603581735,148.53381453225813,148.22509293116718,166.63367685566837,168.16694246975126
2017-10-24 20:24:45.000,139.9161948003759,145.44244865515705,142.7244385807093,141.25449885862653,140.11604798157254,144.8760349092107,141.7180688247107
2017-10-24 20:25:42.000,147.06588988172433,151.17821420445236,149.9719192912012,147.3800311803146,146.27208097121016,150.61973409239846,147.97183712116296
2017-10-24 21:33:55.000,149.63650869131953,151.50132140976933,150.1019097080328,146.26937893277915,145.89509753568518,149.74381473729417,146.86271052142604
2017-10-27 20:27:20.000,148.3858405531852,149.02662944187918,146.0672120882587,143.63844321661156,142.47889318485878,146.88083170446936,143.5016976988465
2017-10-30 21:11:11.100,145.94144471315784,147.85809582093302,144.2037808955736,141.75833485938267,142.3096844327089,146.5636493902317,143.50313180885152
2017-10-30 21:33:05.000,139.14965405934947,144.61812439215495,141.52857299625003,138.81475473564134,138.9830339790337,139.4302172131725,137.49985745430666
