dates,oahuoahu0079_0001,oahuoahu0079_0002,oahuoahu0079_0003,oahuoahu0079_0004,oahuoahu0079_0005,oahuoahu0079_0006,oahuoahu0079_0007,oahuoahu0079_0008,oahuoahu0079_0009,oahuoahu0079_0010
2017-01-01 00:13:54.100,6.990185911620809,4.25410268568592,5.220952879788291,7.626109570473848,5.957622002215675,4.991809374337852,11.966118534606508,12.731445920875908,13.669044208881251,17.915769260181406
2017-01-15 18:16:30.000,,,,,,,,,,2.0123922845686204
2017-01-30 02:52:03.100,,,,2.411518063631882,2.6127148489172627,2.04277384789258,6.024355602670505,7.000870260933402,10.376795332906886,12.71529249632342
2017-02-16 20:21:21.000,2.3520910830088715,0.5358970013165458,,0.8895453639490802,2.404444933182746,4.364763184135566,8.338641270007745,9.316955095542236,12.703652303012587,14.735119694075896
2017-02-18 19:26:43.200,,,,1.28973494591462,2.753797172717185,1.8058357767231024,8.78784860588961,9.766162431424103,8.948530136675908,13.220845098292404
2017-02-20 18:08:42.000,6.690930465112252,0.909126958358282,,1.701995705003587,4.212007273895501,1.9207379815195889,8.902750810686099,9.881064636220591,9.528171795444123,15.070119931720352
2017-03-07 20:22:41.000,9.870515927107403,3.1443228822239,4.66710788375031,4.4701930892703,5.856464529129481,7.767447055663024,11.864961061520312,12.845074054318506,12.863461273510527,18.804446766443
2017-03-07 20:22:42.000,9.87053147177726,4.15475364942172,2.9101897759475346,4.470208633940156,5.856480073799337,5.7688342366250245,11.864976606190169,12.474555128383631,12.772037892066816,18.054116552638693
2017-03-13 19:16:22.000,5.606681214279442,1.845718703448056,0.547663363718047,3.424164661999752,4.184621111393511,3.84462347398111,7.818501559853288,8.79681538538778,9.537437908365671,15.250822497058016
2017-03-26 20:23:10.000,16.12853080235784,11.553159503899636,22.11370207037508,25.47923346523857,15.475372349890876,13.591709117157118,23.048469470979704,21.528417765287287,24.9582035147451,29.693012258501525
2017-05-02 00:12:36.000,9.377869236510389,4.6434793784061,5.422237003664568,7.032305406790639,5.363817838532467,4.45678399046083,11.3723143709233,11.086981914619097,12.279375656799946,19.0368827002806
2017-05-07 20:17:19.000,10.016755925563336,6.479373291848766,5.175524434425696,10.725951104048711,9.028690502763483,8.04502664300192,12.011201059976246,12.991314052774438,14.65166655893672,19.72358919228943
2017-05-13 20:17:12.000,12.493008617361715,7.441259585008662,13.804739264228758,18.247900337667577,10.375790203883453,9.350272416844154,15.854103293060552,11.404484375115034,6.509882568226874,12.13998997468971
2017-05-19 17:04:28.000,-0.3122612317820837,,,0.8860757786795148,1.087135093608473,2.5908372192461844,5.334740610349596,6.198157941536239,7.336486741309725,11.095207256043508
2017-06-06 20:18:49.000,12.826342829085016,6.351934627795208,14.473127461388538,16.879023705647764,9.179876562878931,8.08858122827849,12.054755645252817,13.034868638051009,16.12422211465525,19.59007143642608
2017-06-20 03:42:17.000,,,,,0.4311745881860916,2.0819635178136484,6.063545272591574,4.320112096187253,6.170114712636804,9.321177577299444
2017-06-21 17:26:44.000,10.2286064023442,3.973263767680053,8.681069069157125,14.225852853990688,5.737499650666314,3.2071015735707755,10.181410733839432,11.161523726637624,11.35283273694079,19.628545569322338
2017-06-22 02:53:59.000,,,,,,2.5208670084975973,5.269034475099759,4.486783892188323,3.4021932807844832,7.563071797408104
2017-06-27 00:39:41.000,20.913012538230387,12.99471489649775,16.521034218602082,18.07830687636601,13.297514233875477,9.287864398996737,16.254469890359644,17.23638205042943,16.52607873140421,19.69113334427032
2017-06-28 20:19:14.000,9.984395048614118,4.568777948391299,11.497388424343,15.102469886083355,4.853497458428361,3.887684830550538,9.379552905363989,11.771258075428806,14.37017299077326,17.311371401035018
2017-06-28 20:24:50.000,12.07650558749048,7.047260217660816,12.191945937027633,21.31127189162805,9.666286479996716,7.209418738804893,16.2327756064413,12.092378078483252,8.8879327208044,14.357926334293182
2017-07-03 20:19:37.000,10.626318874524138,5.958454805794457,8.187239511129732,11.48534231921268,7.405096815685342,5.646454848668392,11.834675051899238,7.896528876459128,9.991349572561075,16.088724037329307
2017-07-03 20:19:38.000,10.626433004350847,5.8957793970633645,6.184328814125058,11.335628182836226,7.528894177372716,8.654703721789433,12.545949277485851,7.653274573388705,9.779709856456662,17.860664541611232
2017-07-03 20:20:15.000,,,,8.285086174228686,3.590612630792441,5.6507859780926895,11.556190523503076,7.600747647839181,13.104253697051323,15.256990795814689
