dates,oahuoahu0076_0001,oahuoahu0076_0002,oahuoahu0076_0003,oahuoahu0076_0004,oahuoahu0076_0005,oahuoahu0076_0006,oahuoahu0076_0007,oahuoahu0076_0008,oahuoahu0076_0009,oahuoahu0076_0010,oahuoahu0076_0011,oahuoahu0076_0012,oahuoahu0076_0013,oahuoahu0076_0014,oahuoahu0076_0015,oahuoahu0076_0016,oahuoahu0076_0017,oahuoahu0076_0018,oahuoahu0076_0019,oahuoahu0076_0020,oahuoahu0076_0021,oahuoahu0076_0022,oahuoahu0076_0023,oahuoahu0076_0024,oahuoahu0076_0025,oahuoahu0076_0026,oahuoahu0076_0027,oahuoahu0076_0028,oahuoahu0076_0029,oahuoahu0076_0030,oahuoahu0076_0031,oahuoahu0076_0032,oahuoahu0076_0033,oahuoahu0076_0034,oahuoahu0076_0035,oahuoahu0076_0036,oahuoahu0076_0037,oahuoahu0076_0038,oahuoahu0076_0039,oahuoahu0076_0040,oahuoahu0076_0041,oahuoahu0076_0042,oahuoahu0076_0043,oahuoahu0076_0044,oahuoahu0076_0045,oahuoahu0076_0046,oahuoahu0076_0047,oahuoahu0076_0048,oahuoahu0076_0049,oahuoahu0076_0050,oahuoahu0076_0051,oahuoahu0076_0052
2017-01-01 00:13:55.000,,,,,,,,,,,,,,,,,0.7944171500208389,,,,2.901937090447524,4.450674055814148,6.139521435237928,10.04155579856579,10.414032234723866,9.552859865602173,14.897869248783334,14.021239230041887,16.254588942025357,9.94983513125404,11.75221477380746,9.674989102100971,8.289227115957202,14.250922353612417,18.046780167677024,24.106487911821365,20.460441214444693,22.4074600988975,18.712480116342395,23.55223146313781,32.0650194809418,34.54908143230099,35.32955681637779,36.07049683838399,31.1574643291087,25.339104208354065,23.719949360488386,24.68248016094582,25.19024209474632,18.68731506208327,29.219005358614865,26.306962787853
2017-01-01 20:19:50.000,25.34617924508679,27.54687481495407,28.476932832646764,26.620328668823312,19.565103619698327,18.550309970389385,17.38975543314208,23.906586395566706,28.804754142568747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-05 20:19:30.000,22.977977194051824,25.187209530306653,26.121274763621724,22.49377800194971,17.21279042187909,16.196266142590638,15.038502734555058,21.55521131400814,26.451259504264456,25.986607386920564,24.498102900048742,23.490170235026177,19.894142643219222,16.46796305651974,15.222190356752025,15.6042795547217,19.944366816479604,13.825010046193308,15.129805901809307,14.753185458881571,15.983309481919353,18.97462953141692,19.633428420867453,24.393623302653044,25.78621206380939,24.9537968340206,25.88911610620976,51.22505689055409,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-30 02:52:03.100,25.663100318496845,30.743897282877985,29.71985645655624,28.1665347987012,22.88312648560341,21.86763493740789,23.70675909308469,30.223834821453,35.126241681945274,34.67683300241173,33.196633175236734,31.992763251933688,30.429058719596423,26.91274574793916,24.80933917816424,27.29390265398857,30.410711590305286,22.4938189308138,21.93618287331279,23.43663902171261,26.765258692776744,26.48225458318724,24.763448429635982,28.163498004679536,26.874121809310225,25.153455475824146,29.725873891576544,26.792427651330083,26.28315653727093,17.534581389869935,18.28710182820091,14.558827162329486,14.581145326949189,22.503558176023823,26.39462845984968,31.27437690049016,28.774743165649923,30.51692977643733,25.220013743998063,24.92092961360805,27.05945424315372,30.64925902248848,32.94836394340241,34.75797054710709,28.23356233783944,28.08964031747393,30.51804304582236,30.06457482648377,33.2625140872806,25.850805232202195,30.56051757442234,28.82222472152976
2017-02-16 20:21:21.000,27.196302826325848,30.18610436063913,31.112155162709453,30.4827015506646,24.1396103502768,21.431407431531195,20.451731160962648,26.537525738162923,31.43781304191069,30.98332321644037,29.50035516936325,28.36743066200321,25.365396649972794,24.48981663818885,23.333486889864865,25.065627414626263,24.92765152397181,18.80744805513266,18.248002880514527,17.66569392525593,17.21180730754036,15.801588099702958,13.897157486139214,18.054930570474856,21.75414982580521,20.93378311838538,27.67258082105493,24.307657851087697,22.27443722597333,14.616289568345804,16.343100705641675,12.90455683581223,13.214609988041236,20.82578107152549,25.93421049236785,31.45422387163776,25.39644299469469,28.201704446294155,23.38506406002353,24.06550909762481,27.37393423677512,32.09926118210982,33.900234726487305,33.98233511773205,24.56057330984457,23.6811225750916,24.46434351933769,27.458106376747946,30.7396776234261,24.41398658389412,32.24294695773573,28.878219071212136
2017-02-18 19:26:43.200,28.99112533231292,32.57573139636323,31.70483983370704,33.137849391448725,28.648391999430284,24.25499303639909,23.59770199098405,29.98689675028352,33.38823968096565,31.43253055232224,29.949562505245115,31.37398807083267,28.36160947291257,24.939023974070714,23.988379658876102,27.0569645828191,28.37750767775749,22.256880859644323,21.487196485923324,18.75494031083292,17.639934852907018,16.796638031613288,16.862794367269053,19.98017895295345,22.20335716168708,24.388707852631462,29.316065947739148,26.133683658878628,24.25698010676438,15.481141281551947,16.487708479336007,13.769325379332193,14.477865685117532,21.61781443129875,26.1576903886802,29.98293218342913,26.701823418363247,29.072004660567963,23.650569740655783,24.700038352538623,26.809078622315955,30.412320951319,33.032185077397614,33.82077641256224,25.758708820522784,24.7542327021958,23.014714088781115,26.87209302721789,31.188884959307966,23.928904282521707,30.44403659698258,28.797593793126943
2017-02-20 18:08:42.000,32.8065200260686,36.62036447134248,35.841782759658834,34.04912325035314,28.61729078575697,25.21412828020412,25.3346659059578,30.10179895508,33.41458745293166,31.61113379295616,32.172802705782935,31.77745510101544,29.39463559841502,25.92528492694176,26.49197848742052,27.47862492268592,26.475442375120057,24.80379311715453,21.852317894054355,23.11714563963469,22.599066127050577,22.13903201473417,18.617998654596857,21.90670290555837,25.332308676167507,24.49989344637872,28.65741544798946,25.01067963656062,24.491168679573025,15.858765608670808,15.330447026102572,13.060327443219425,14.174710028727542,21.17272371443845,23.71926911418827,31.322475683589225,26.545009927789263,29.53371282037147,23.33129963109127,23.353093768749847,30.07157319242621,34.36269527254324,33.36815028773879,34.54334901555239,28.89543446629383,26.48548879428247,23.79674130656012,28.697639482624293,31.72241033990193,24.06628819653667,30.853494325204387,29.18972298996912
2017-03-13 19:16:22.000,15.40584326416164,17.632149133170522,19.43485846772428,20.95562536347502,13.631364950082013,11.660138139378658,12.888420616701362,17.016894999294724,21.910823632811063,21.44109036951771,19.949817662751908,20.77899264906306,15.343899197374238,11.916521581378287,10.974054081244654,14.06612691624701,15.405565360098684,10.022377648958534,10.443678156947604,8.411571943941121,10.681160956809965,10.116001414359726,10.5297040118136,12.067800685133337,13.347778660003666,11.407641046298718,16.01156641542552,15.363285738356613,15.303601617948416,7.690918310182726,8.169041698722998,3.253369671096386,3.2285184309918096,10.799078280875298,15.48780611212828,19.502614650829404,16.863391052504163,18.47263862288646,15.637575631833382,19.87022703697286,24.75671715399516,27.306826338537924,27.73625382155235,27.365761207421816,18.786251036642163,19.759264252768745,18.62475759101173,20.12731143638464,23.939759851423887,17.26966590164354,27.454716890913435,22.49904665213001
2017-03-26 20:23:10.000,31.213477905952995,34.12513544847519,35.441331554364275,35.558031591924355,28.98673376052908,30.29470590201797,29.223237975670227,35.74055846998222,40.647204443960206,40.179444114023546,35.8312203642938,37.14939111858447,34.13912545488605,30.71893601461577,27.128254007484497,29.815671605173776,31.131490862886185,25.010440695495163,24.4546137551127,24.80589591912076,26.910437811753383,28.54447031174232,27.593885317461663,28.36759069817277,28.34402980448581,27.19956111144501,33.778705263704225,29.94807012581932,31.805830878211687,23.734779638774747,25.898070510651323,24.0609038640949,24.56826917913725,30.83167920748177,34.04623144151383,38.910162359996576,33.99980762544667,46.84146111569699,49.82847995346138,,58.20885897206072,51.31907322685797,50.26508256981419,49.80089218829288,,48.48437221039688,37.34846638300926,38.62609855760854,41.30666807517767,34.67992847791019,38.25686994344217,35.457909914665805
2017-05-02 00:12:36.000,25.010196937964576,27.21089250783185,28.14095052552455,27.513631418168924,19.29699994621974,17.116830212666205,17.053773126019866,20.585970704846392,22.4642053694846,23.21832618526544,23.51313552958668,24.93595408094056,21.92146254879877,18.49648099137441,17.54992508371575,21.40153499608672,24.96089355049089,18.840690081651736,18.134296721175403,16.631374963836265,17.438345509272246,16.31973164754051,18.45929320742616,19.82141830040805,21.787391852324287,21.06067224717141,26.21812022802492,23.22000058320634,24.14479885131093,15.731728135681486,17.10554904422008,18.48352809228468,17.206913906024,24.044607105913137,25.74172507931741,29.83784325018896,25.00738259202325,27.32843033083249,23.24475312983241,23.652688438010124,32.06024905844753,39.77522129061183,43.32549458819187,45.24510909890913,44.47268835587301,29.52653580299158,28.17865301705525,32.21794923073725,30.772919649945177,22.183697068917365,34.857469493133564,30.8687737300362
