dates,oahuoahu0034_0001,oahuoahu0034_0002,oahuoahu0034_0003,oahuoahu0034_0004,oahuoahu0034_0005,oahuoahu0034_0006,oahuoahu0034_0007,oahuoahu0034_0008,oahuoahu0034_0009,oahuoahu0034_0010,oahuoahu0034_0011,oahuoahu0034_0012,oahuoahu0034_0013,oahuoahu0034_0014,oahuoahu0034_0015,oahuoahu0034_0016,oahuoahu0034_0017,oahuoahu0034_0018,oahuoahu0034_0019,oahuoahu0034_0020,oahuoahu0034_0021,oahuoahu0034_0022,oahuoahu0034_0023,oahuoahu0034_0024,oahuoahu0034_0025,oahuoahu0034_0026,oahuoahu0034_0027,oahuoahu0034_0028,oahuoahu0034_0029,oahuoahu0034_0030,oahuoahu0034_0031,oahuoahu0034_0032,oahuoahu0034_0033,oahuoahu0034_0034,oahuoahu0034_0035,oahuoahu0034_0036,oahuoahu0034_0037,oahuoahu0034_0038,oahuoahu0034_0039,oahuoahu0034_0040,oahuoahu0034_0041,oahuoahu0034_0042,oahuoahu0034_0043,oahuoahu0034_0044,oahuoahu0034_0045,oahuoahu0034_0046,oahuoahu0034_0047,oahuoahu0034_0048,oahuoahu0034_0049,oahuoahu0034_0050,oahuoahu0034_0051,oahuoahu0034_0052,oahuoahu0034_0053,oahuoahu0034_0054,oahuoahu0034_0055,oahuoahu0034_0056,oahuoahu0034_0057,oahuoahu0034_0058,oahuoahu0034_0059,oahuoahu0034_0060,oahuoahu0034_0061,oahuoahu0034_0062,oahuoahu0034_0063,oahuoahu0034_0064,oahuoahu0034_0065,oahuoahu0034_0066,oahuoahu0034_0067,oahuoahu0034_0068,oahuoahu0034_0069,oahuoahu0034_0070,oahuoahu0034_0071,oahuoahu0034_0072,oahuoahu0034_0073,oahuoahu0034_0074,oahuoahu0034_0075,oahuoahu0034_0076,oahuoahu0034_0077,oahuoahu0034_0078
2017-02-20 18:08:44.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.52563972246828,15.355863891009992,14.18431840468402,15.079951677501768,9.441702069082003,10.430904461354546,12.474444150760794,10.227180192618825,11.96917202471535,15.38886744595206,22.65438906416396,,,,,
2017-03-22 20:22:20.000,14.466968952991694,10.069756250910144,4.398455181403396,10.299139745527755,10.613512373026731,12.801873833668193,11.720725899494782,8.491650696276489,6.656998832404507,5.317399071919018,5.126600695677335,4.652207042944673,2.442653682223894,1.562898302610619,2.58288411188296,6.913070336198946,6.458146158719464,7.352651213068453,7.874346652660561,7.218650486423936,5.537438869612732,6.148355191130877,16.176206617631664,8.82697172905343,3.2733090417221145,,,,,,-0.2451004571671857,0.0426716156398043,-0.0852797472870889,0.7483350136070643,1.8137321474539696,3.161493789638941,5.59678599087821,5.806145057939169,4.134687938528393,4.925626752323625,7.481800638087886,1.1729747057552662,0.0947881163464847,0.1225300281579291,6.092174676014275,6.156940105218731,4.06516744603308,3.806172138249586,1.943138557862789,7.697909755799785,10.02835233602193,12.39214613105407,10.728874058961477,11.6842053045552,11.251918119359756,12.69303104603825,16.214977168171867,14.936863304662396,11.707238372871004,12.631835549892578,13.700700901691327,14.294092749872732,16.880075524128856,18.05300255328371,16.82065759309905,17.81682395478516,11.34000719575495,10.508034376373734,10.142002315069098,12.251271504784649,16.28984271187786,18.816739052561555,22.095241392077995,29.26008606803196,24.640890254171925,14.778103585852111,9.625326594929962,6.582859845296331
2017-03-30 20:22:49.000,16.842425005255386,16.195708386451326,9.717763076172297,13.21985999451182,14.396469081948668,15.349008735225713,13.35926158863746,11.18618413139779,11.93256997015791,10.810612442935318,10.245677475332691,9.153769949712297,8.099748440145875,7.222064313797052,9.10262619570459,11.411676393333495,10.397141031361622,12.878054526394918,11.800389959032996,11.667481044855734,10.052246461517178,13.057683140744382,22.887440969776627,15.351630616716411,9.234949165209086,9.29471307570154,,,9.283165416743351,13.741346602087662,14.997094229808512,9.399059007776277,8.424277397461777,13.294234225230296,24.116423045752978,25.179097918463068,16.320063239961158,14.534634830236929,15.323018226698716,20.983429725311467,30.887153705677445,30.124901417706266,27.909074217793947,22.365610564469915,14.363352664594013,15.524163087332733,12.61693328137453,8.154157991762421,6.029619986630671,10.83452355018458,9.319418507869498,8.942284372934514,9.753451053895542,9.565492152165904,7.14108077906401,7.396347692201113,10.926309490410132,8.014365772328354,7.165290749634703,10.348623329882782,14.230145048593124,15.895446492271825,20.57714182319537,21.71613888972841,20.584434551419395,21.17651117727142,15.686311749953507,15.77736826571743,,,,,,,,,,
2017-05-07 20:17:15.000,16.984668126021575,17.03225945790625,16.554312995241762,19.52593915327233,19.678435308837287,21.171249970289267,16.429452672423754,14.05823963831334,11.343277388127516,7.563873365830261,6.299333926617025,5.440890118931268,5.959662180645768,6.116327643163322,7.814618490877205,9.953986480188668,9.338312873935571,12.293824544740795,10.853510815567324,6.30092633410197,3.495759356458504,2.864341340430765,11.869199426329589,2.753804941108193,,,,,,,0.7708526049172977,1.5324863131988522,2.2643395306634653,3.6402368741882,4.134685623008133,4.759237371336911,7.071105186604831,5.824980239109729,4.712214991844716,9.166843096448083,15.30953403098676,29.325473653995537,28.644132095463583,,,,,,,,,,,,,18.04985967719892,11.39609784464832,6.979305391002301,4.275729764446587,6.284966598949881,8.260386505353019,9.90183725973378,14.33544840047091,15.815387621239788,16.03005131217309,17.819579781634907,12.771669342745216,13.084580441411193,21.66220157358657,30.61727160174709,23.429513881491594,22.844936687173675,23.007111075093896,31.79158718456473,30.000251526224567,17.469311395999114,11.943650164579427,9.341226370613615
2017-05-07 20:17:16.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.942403652965307,14.651143801216046,13.330653487912182,15.02721452030096,20.368088107728152,,,,,,,,,,,,,,,25.30161742024563,8.32516316913937,7.234801891565274,3.6232762331412,5.43501338662486,6.937036206877592,9.698071993886543,13.370923214883812,14.38272380978195,14.956954652195508,18.41925864177401,13.430960130328684,13.141462064417944,21.662480145736573,27.746599429695618,22.77722008357448,23.465588835095296,22.473772345033524,31.33364208915996,29.48566907024196,15.67864337959366,10.086589952370774,7.938396415083858
2017-06-21 20:19:16.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0204169964348018,4.342597273036287,4.734173188560157,4.0760561970295655,4.974286332045444,3.827035545434848,2.510363266419706,4.262676272328717,5.539502843366544,1.084633356287106,,3.530309229878492,1.5901714012400938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-10 19:09:46.100,23.994946815430872,21.68255570321448,15.853155066641673,18.673035129475,17.8418862750478,14.256632174636534,10.494365707438437,10.569626972201856,10.292248216330458,8.562202274096446,7.528482177620591,7.853787469171864,8.112665553441895,8.322042883193411,10.834917000724326,13.856975604232384,12.741800084520836,15.669709587480964,13.987634099033228,14.05074993882459,11.101499895861895,12.521843749117988,26.093088459303424,18.449489269087145,8.807890512338199,5.62615204429377,3.2564910458208494,3.536669569362751,4.723880577376221,8.054135598974627,11.217057297248084,10.37091859946831,11.18110076167651,12.80957819744598,13.775401002361162,15.35034633628411,16.07781884897292,14.508159398439313,12.177651646083843,12.826994742474277,16.22720816979109,10.261395617292392,10.465583895493562,11.044698312400127,15.60006736000181,15.256836375064852,15.11297400477932,13.463083983769897,10.089782965439198,14.708031614035198,15.484143700654306,16.951097561201024,13.773757839728352,12.491701591047622,11.620997633309145,13.221798036790668,15.069676453286757,10.541389719271155,9.111053498523678,12.030038134198533,13.66997503748526,12.973007698974396,17.176221161029748,19.124486303696955,19.35475960477797,20.337190265006576,14.706205875928054,16.309137279065986,23.628179103491004,26.75160609894357,27.81249505271153,29.871353069114026,,,,42.86235134563353,,
2017-07-10 20:21:53.000,30.2305675788558,31.303320095437268,28.87131854780184,23.35398500124594,21.156778192897363,19.584524102606547,17.113249339617592,17.934644037582363,19.297734696625007,19.910049986498866,18.874281282405967,18.042093499996884,17.99961405340797,13.208858935904418,16.61365353817423,19.219658356338588,17.7738773961655,18.501822380124977,16.9421174037216,17.01257985853637,13.979710482300131,17.813382458893866,31.180480775083183,21.69861582231998,13.12439567685981,11.335341198975463,10.117103566842012,8.708356584662763,10.18261124006201,15.239926319481842,19.67339511770191,11.358275533387722,12.077491609146607,14.359992266342283,23.26786338218838,22.17582831632246,16.810721313631536,14.297888265000264,11.325240887678614,11.606749343819468,16.222774369953388,10.123952969195283,9.082923372663789,9.290939309600542,15.368238507145396,14.436408852927457,15.848222312765952,18.88624670020978,28.33809851886514,20.811753557279857,14.0152068430689,36.28690017435741,41.55637051997415,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-06 20:25:57.000,18.14768030693948,18.248872078215854,17.817456690729514,18.290155852811445,17.1771224586717,15.01036699085608,10.036373902953745,7.27883346624037,5.071030963816662,3.232493090334786,2.544318002117409,1.7060229890036651,2.3695020938491784,5.037161214739284,7.262609057595463,9.079422405420544,8.053604182311847,9.166828498823048,7.35096534121486,5.015209564547895,2.701619072044464,2.450900671538003,11.957682909381267,3.7915063910926574,1.2437763471433685,-0.3924984759250195,,0.7441616461152752,2.607838038219854,4.404093587622529,6.001646122100516,6.901667050233895,7.260820570255936,7.784144625726715,7.313866335792629,7.323153260742615,10.658646332945295,9.378883764059903,8.015094469148035,8.668849834767325,11.72523632989828,6.830469249269449,6.518802877279032,7.714449322082083,,12.811172108322618,11.197652587528854,8.655202729764024,5.114079221017318,10.726890934731223,12.096755447021252,13.332381199705631,11.572393440890728,8.270416042794366,6.5271094759711215,6.613798332471618,9.34362819281097,4.91580095470106,3.71318026635384,6.2240365234779365,9.687917147919418,11.777644784629796,13.541308116056868,14.556818597121458,14.794608819391684,13.977151425370764,9.162821783140704,8.456741258520594,7.749936240054439,9.602516428131462,13.414750610848024,17.604739753846683,21.8405952224499,29.364591211959205,25.110199160449845,15.54947252000419,7.788334384423574,2.9119348677053623
2017-08-06 21:44:35.000,20.70195949876434,21.424260261826813,19.963367475783382,19.80463794743163,18.10215743948888,16.17476970548729,12.73656344500434,9.316134952597562,8.966221551735886,7.155176285505612,6.591818057684631,6.877438347671444,7.39266131268251,8.727997939905688,13.932879106549327,16.935422321613494,16.500964334426524,18.097568806806823,16.45451243655983,15.66079605481209,8.85311659504618,9.080912560784355,18.566319428165937,7.335074860465445,4.71918365606066,4.678473303059611,,1.3918081878654214,2.4589819340413674,6.45054510135489,7.286438080686349,6.690044483345218,7.1992541505888505,8.213455944675975,8.463389392029558,8.576525520098512,11.22707035378122,10.484638296400052,7.778251278624342,8.258532746113943,9.339455663621722,,,,,,16.58783575018944,11.401838850507383,8.09001141293718,14.303109847953497,,,,,,,,,,,,,,,,,18.81500389067427,16.93141739455726,16.00177208120773,19.87675472469587,21.11362052849283,26.816156333802816,32.367294853166015,,,17.92524713877314,14.131171531824684,10.658418027334267
