dates,oahuoahu0035_0001,oahuoahu0035_0002,oahuoahu0035_0003,oahuoahu0035_0004,oahuoahu0035_0005,oahuoahu0035_0006,oahuoahu0035_0007,oahuoahu0035_0008,oahuoahu0035_0009,oahuoahu0035_0010,oahuoahu0035_0011,oahuoahu0035_0012,oahuoahu0035_0013,oahuoahu0035_0014,oahuoahu0035_0015,oahuoahu0035_0016,oahuoahu0035_0017,oahuoahu0035_0018,oahuoahu0035_0019,oahuoahu0035_0020,oahuoahu0035_0021,oahuoahu0035_0022,oahuoahu0035_0023,oahuoahu0035_0024,oahuoahu0035_0025,oahuoahu0035_0026,oahuoahu0035_0027,oahuoahu0035_0028,oahuoahu0035_0029,oahuoahu0035_0030,oahuoahu0035_0031,oahuoahu0035_0032,oahuoahu0035_0033,oahuoahu0035_0034,oahuoahu0035_0035,oahuoahu0035_0036,oahuoahu0035_0037,oahuoahu0035_0038,oahuoahu0035_0039,oahuoahu0035_0040,oahuoahu0035_0041,oahuoahu0035_0042,oahuoahu0035_0043,oahuoahu0035_0044,oahuoahu0035_0045,oahuoahu0035_0046,oahuoahu0035_0047,oahuoahu0035_0048,oahuoahu0035_0049,oahuoahu0035_0050,oahuoahu0035_0051,oahuoahu0035_0052,oahuoahu0035_0053,oahuoahu0035_0054,oahuoahu0035_0055,oahuoahu0035_0056,oahuoahu0035_0057,oahuoahu0035_0058,oahuoahu0035_0059,oahuoahu0035_0060,oahuoahu0035_0061,oahuoahu0035_0062,oahuoahu0035_0063,oahuoahu0035_0064,oahuoahu0035_0065,oahuoahu0035_0066,oahuoahu0035_0067
2017-02-20 18:08:44.000,6.577803827175673,5.41946736578145,3.2534973494700097,1.2910336074855893,1.9918807864309664,2.097768855005207,1.8510352979214664,0.3955280765303849,2.0009372245069383,11.562816168919204,9.92523600186894,5.48544767119984,9.20404569551968,8.633988371104858,3.183477642284752,5.065414347441602,6.942741755265351,8.36460612965353,8.614866494313329,7.105966943992501,7.337847582091017,7.695013031708656,4.849236558268303,6.295577781090932,9.1790555208434,7.016528673274056,3.667634405692973,3.10070203131967,4.3484120748862685,10.526460785397294,8.955916169304972,10.855354310675205,11.66792909499197,15.576735033272248,11.50741239324944,11.113506353382672,11.78869957868442,11.04378058392986,15.251308754002952,16.975630803484318,17.778782182490595,22.09148193491982,21.1959092855106,17.942606112833424,15.898498496597416,13.378447004133136,13.140990167834005,10.22629867964677,6.8922010630254285,7.267096455655182,,4.0301995284501695,7.568513542111759,12.055004347156888,3.832414861067295,5.3822348834939255,0.504393824318585,5.336679022086227,10.877521005208544,5.637276417022946,7.974817216314268,5.7291446945451785,7.466273087755409,3.444190988718154,3.665899757502716,4.553555446787037,1.173820947843519
2017-03-22 20:22:20.000,4.652978212882839,2.502838214637179,0.6747904537544525,,,,,,,0.7832651037502971,,,1.5883731790313833,1.696119321478995,1.0500653975758691,,1.1095465740205324,2.12901828056314,0.2411932456388844,,,,,-0.0798686906233001,0.7273673231078899,1.8693044744952223,1.913724759204105,,2.7514930607491035,5.080033014470009,3.530275094284029,2.6200657023612672,3.156907219405797,7.549160107291871,0.4280395910176386,1.5446719859807312,1.835156246300777,1.3841743882532336,4.606600883332526,9.627506516257071,9.799323373590395,13.26651700761064,8.550245498376748,5.755226766719822,4.306268089001549,2.756455506966625,1.5999052206595494,3.314867105613117,3.115638287565205,,,,0.1619796928326363,8.309628907762239,7.331248422682353,,,,3.4522553104620872,1.3012475129579766,1.706195904761425,1.870301106026756,,,,,
2017-04-11 21:52:26.000,,,,,,,,,,,,,,,,34.44776685706009,25.44374875278714,24.09599617331558,23.882325128102867,26.502025272446385,28.475291009683176,30.35764397945636,31.445581389330496,28.05105350141272,20.28578547934788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.69536794033996,32.20721703110678,,,,,,,,,
2017-05-07 20:17:15.000,8.088583472339735,7.417259665747326,4.6247427021844905,3.144254918817177,2.2677074418799736,0.6749937168226141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-07 20:17:16.000,7.903710412781013,6.428210884294328,2.5168196064793684,1.6499048186759449,0.6038695194459006,0.2612853489683889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-10 19:09:46.100,1.7442296559827013,-1.0740682508955983,0.2188282086408093,-0.1589903681891642,-0.6561909296405068,-2.4234717666546133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-06 20:25:57.000,1.6464174708683357,0.1471251476321869,0.0453344147676585,1.095627022786163,-0.3211423515390356,-0.5597607256477768,,1.3440402656040993,4.154818538406734,5.283153900867683,1.7122679526229163,,1.0507409765546836,-0.0451762440738594,1.308568137472979,4.200112433959879,5.036912265414295,0.8675578793071305,1.3332851293866814,2.656190061195379,3.330896936541853,3.495515638567412,4.626172010716346,4.654366540053165,2.208393542064178,4.327350488806569,4.280332975108303,4.514115928836745,5.304224429778135,8.785025210968703,3.2389360611925864,1.7836937651791174,0.5891453744807883,2.237428106048624,0.6258127649921191,1.5117439668633708,1.7798681976152415,5.337742479555464,9.620833648379604,10.814622960609292,10.004656262269735,12.260410908660756,6.318185377661314,5.372844869313342,3.609087486185704,3.6311933329011503,4.138411740001284,4.427773866424217,7.447482336717946,2.1393940730219807,,-0.4269384282619478,3.478663000261671,11.095204526011116,3.87867470794758,1.8136638757788863,,2.0638584271289813,2.5966993401915626,5.690775493112152,7.696878270634145,7.495949712492256,4.397472866906003,4.887942663432107,1.42828356303044,1.8625198963275984,
2017-08-06 21:44:35.000,7.002552722886212,4.277706627102982,3.363481777624502,3.6199332941052527,4.853241795989026,2.059571913914575,2.1741141939100705,1.574643516616413,6.7099350110044815,7.402330381574456,6.693975634910999,5.615852108283156,8.73841297710766,5.541947123246686,5.978563075985357,8.552614822303562,11.943336653675834,11.787279778008214,13.262677727161648,13.819618760769847,15.647019390529003,16.807106431307584,19.26348815316907,20.82976455783585,23.308049605364825,21.185450945201367,18.132560254863662,12.287526606780162,13.062399037647976,14.1435242201819,13.110001451538231,12.006162685909375,14.492814523839543,7.748784930882194,6.134137215462662,9.233278588326028,11.117496553797077,13.965784039177455,17.104054352219407,,,,13.757512182847703,10.957348157158764,10.41918690260035,6.947732447396539,5.581945832559016,5.277084324806493,7.564835669646959,10.9745268295603,4.341763770948435,6.997357412144697,15.998550092136709,25.04947741785024,24.79241066366247,,,,,,,,,,,,
2017-08-08 20:24:49.000,3.3412745464035747,-0.1631861303521051,-0.6700960911648628,1.361943936693106,0.4710505777226319,0.0976163058764405,-0.150504208146224,1.3268772603342778,4.3688515711210165,5.806495525374903,2.1364106534197425,-1.3413269331678603,1.482849868095609,2.608165215259079,4.132205380075002,8.247895058886616,6.820228340616858,5.907276901229075,6.596393145106662,8.272946924895853,8.336066144120164,8.032057650657825,8.66800260067272,7.60929902238278,7.36072666044722,6.795836045247755,5.752951373836776,4.622803690648295,5.427206407937623,8.281045295076463,5.213997224006704,4.156373703474934,5.44034021732543,2.3416873079890643,1.4311230912241024,2.436627276147943,2.536798836631314,5.831216041291119,9.627482108249977,12.31281084874008,11.66018995944886,12.481975754652764,7.68819968033497,4.967887072232969,3.689478778566318,3.6793179218324608,1.6555423401986933,3.532758820556628,5.413028955985165,1.4533203881742205,,-0.952467140596188,2.635824731720023,12.320435580571036,5.173356724540767,2.297451067654554,,2.2208167643384287,3.943628481860319,8.235865600081196,8.31555684164852,5.419628354256785,1.1695033822552232,2.671284877422905,-1.3269781290265452,-1.003356850003653,
2017-08-08 21:28:34.000,,0.533395009820524,,,,,,,,,,,,,8.340391772727504,10.728535182492545,9.054089606312717,9.186381801956689,10.324871888536874,11.813930632397373,12.701558587371418,13.102380880986106,13.898959203951572,13.612582516315236,12.528715159311572,11.502783060268689,13.826270478260431,9.2923712582966,10.25319886143408,11.411636628269058,11.130765841385124,9.530010930486736,7.71310585887584,8.36962412077626,5.6040764132799215,7.376240733848961,9.005689071128728,11.959555348831124,15.931038510800231,17.416830492433647,16.661491394765577,17.861493776563947,11.378712161789156,8.903991200818236,10.108574754092563,5.941919905226497,3.61103005904796,7.159068119758276,8.774314238877896,7.983434688864774,0.0310797858740872,6.340194417073633,10.609137503818395,18.49562331767332,12.879732259924468,5.930293463638957,1.77384857799088,6.466505916659939,9.06569014180126,11.551355778015886,11.072006875764684,11.682426846517757,9.127240128793416,7.673037905714267,5.521336929299896,6.073920753187721,2.538795753028308
