dates,oahuoahu0026_0001,oahuoahu0026_0002,oahuoahu0026_0003,oahuoahu0026_0004,oahuoahu0026_0005,oahuoahu0026_0006,oahuoahu0026_0007,oahuoahu0026_0008,oahuoahu0026_0009,oahuoahu0026_0010,oahuoahu0026_0011,oahuoahu0026_0012,oahuoahu0026_0013,oahuoahu0026_0014,oahuoahu0026_0015,oahuoahu0026_0016,oahuoahu0026_0017,oahuoahu0026_0018,oahuoahu0026_0019,oahuoahu0026_0020,oahuoahu0026_0021,oahuoahu0026_0022,oahuoahu0026_0023,oahuoahu0026_0024,oahuoahu0026_0025,oahuoahu0026_0026,oahuoahu0026_0027,oahuoahu0026_0028,oahuoahu0026_0029,oahuoahu0026_0030,oahuoahu0026_0031,oahuoahu0026_0032,oahuoahu0026_0033,oahuoahu0026_0034,oahuoahu0026_0035,oahuoahu0026_0036,oahuoahu0026_0037,oahuoahu0026_0038,oahuoahu0026_0039,oahuoahu0026_0040,oahuoahu0026_0041,oahuoahu0026_0042,oahuoahu0026_0043,oahuoahu0026_0044,oahuoahu0026_0045,oahuoahu0026_0046,oahuoahu0026_0047,oahuoahu0026_0048,oahuoahu0026_0049,oahuoahu0026_0050,oahuoahu0026_0051,oahuoahu0026_0052,oahuoahu0026_0053,oahuoahu0026_0054,oahuoahu0026_0055,oahuoahu0026_0056,oahuoahu0026_0057
2017-03-07 20:22:36.000,15.293339461806324,17.79502326365432,21.55163674106546,39.59107239439491,33.85125131727447,35.06800459935111,30.66374933587291,29.526387154996232,30.01853638453184,30.589491738694644,31.1568480528589,26.319183558646618,24.1312838096751,21.185358005938586,17.951439458437985,17.23472480658454,16.24621591811464,12.64523327288026,11.228689733842732,13.44127471584398,13.2973393880659,13.875690334308324,15.516921090631428,18.94225123451185,19.22673786127815,22.285400508142704,21.82582948055041,17.447008538902654,15.118788851889487,19.73533564806656,20.37355817368206,20.020327454860908,16.216399584504384,11.463556558268872,6.06185343044257,10.518860283382446,22.90373973073228,12.800110472104585,12.712914711947702,18.865438980306536,17.290386512462906,19.59131030359761,-2.4696657492978336,-15.562915016811331,,,-13.273115356139629,1.3147530227886663,4.172118652614325,5.573033836156908,,,,-10.900935145533213,,-12.997838708973005,-8.817257416694536
2017-03-22 20:22:19.000,30.06051002795898,25.948558461681603,34.90482360322045,39.22165782062731,33.63146316880635,35.44151399634386,30.517989070415865,28.5174838026737,25.48040374947181,25.28086436877285,26.009944092607924,23.3695021126769,23.15532817746349,21.52732337629089,17.94309946179041,17.014936658116422,15.024004267891128,10.00796406633884,8.161814734546569,10.927391246824955,11.63660641730574,12.80743870407751,13.801517560174686,14.706850235997598,14.73962156332149,17.828663109646893,17.008894361688302,14.175674313114548,10.981714933640973,14.981649434566275,15.38093543802403,17.922678578316294,15.121587040772855,11.053815181008938,10.130980663924593,15.742075792003332,21.6698539127491,20.49841603584186,14.562653933270218,15.810731338722176,21.104207535732524,21.31623928072332,19.797783217659013,8.63007935880134,3.917080114096207,8.752499695116233,8.89184006536445,9.856381155625074,13.657657012120096,16.18451290286561,10.978623744267017,2.6860136509098584,0.1393795710288276,-8.937252490332526,-8.94299034242929,-3.5229805982554527,-7.564428248550739
2017-06-21 20:19:16.000,,,,37.778535185359566,34.06799024645376,46.48528233654275,43.84801131436562,34.416966559170085,30.15030764164688,52.1947787622864,46.4837771491065,34.20781729740968,31.18721210508836,27.89290129220835,25.25020559908466,24.76425439497811,24.1645522524312,22.99157649032648,22.34073578016664,21.26923558669727,22.207478433160382,20.845170459037377,17.553412641354278,20.36686425724846,22.28515954768816,28.63121154683715,23.66339507940149,19.429324829832865,15.57793454858522,17.320247273449837,17.760326981328213,18.315841555494707,15.307898419253506,14.322582875161691,20.83907955313505,28.1514725602813,30.11047664415669,25.64043645818761,17.675561955438233,24.634747575847733,27.47660732986592,31.159473254758574,28.22907433215326,13.287306518692125,19.18026255230924,25.25496834010044,19.52923530812136,21.33282632462734,19.818526528925627,22.6038259899242,14.99588904254722,0.5469306731739044,5.543326337471574,0.864544158844979,-0.8530710920890948,2.6126308300258505,1.8140758505007608
2017-06-24 17:03:27.000,11.91635423718028,8.893625541356325,26.11291129417313,37.2509118508268,38.97001044543786,42.73196738659064,36.49989935680736,34.44480566038511,,,,,32.605587813341494,26.69540811500058,26.489290753370373,22.345243999454485,23.22373066924449,20.87384058173451,19.63338746153373,19.106241798362973,18.54181837833634,16.55250398966444,15.3597696905998,18.000216969239805,19.43328404109488,23.167174291499443,19.477803940854,14.21373330095432,13.792483326963517,14.280040901937928,15.899403162337048,19.36811952899764,17.37409190091297,13.489171161000922,14.543537505130178,24.27903423029768,27.70332710041635,29.238737062792016,19.32644711987673,19.50827411781688,21.880158142032336,24.60592301332213,23.927331495498752,12.471241406457969,14.112514967404056,16.90652200421346,14.65946138543325,14.909603966965909,15.979507125698756,21.38726814107046,16.880517224104725,4.331563285893026,3.3899310777047087,-3.360566352100055,-0.6708515129634631,1.582396078261858,1.081605136888729
2017-06-24 20:19:21.000,,,41.76552725344412,46.24370533444751,43.42467496762217,40.29242494634346,37.03938187016381,34.89065078133777,33.23824091441552,34.145317141608906,36.70600836562638,32.30926892024003,29.412754744466536,27.009552818506208,24.4223679365153,24.80493101180869,24.40772041151145,23.004965990310467,20.716267434809403,19.488149548104094,20.253681665849896,18.007843632926104,16.58670990725323,17.07207406734559,20.968661182189862,25.678843737581595,19.299473050803137,15.344057671413458,12.897829165280106,13.378833886208753,16.94413808498988,20.129411801391065,28.813275060595096,23.305145106575488,20.463216145729284,27.16856861019472,30.247397156811168,36.13002964034369,26.00294351797216,22.01037255832854,27.45570073704072,27.24755426398321,27.354127564393988,16.830386398006816,24.50722212129256,20.256625574478857,18.24063702577005,18.258960750862087,22.49562156076625,25.867376387850243,22.23799687617899,9.69910904292097,7.198559271895368,0.0507817144580067,13.708933059582057,16.829655347866826,14.211253714063051
2017-06-25 20:19:25.000,,,,,,,,,,,,,,22.71648222176585,21.07643039963419,18.08220216305321,17.741903590775628,16.897890859461064,14.859054148710342,15.135729418513556,15.528615976863332,14.835179982150358,14.738570197737076,16.949958581656823,18.629084253262214,25.319232087209848,21.485466352023515,16.019205564375426,12.556054300137111,16.565087469815055,16.98154877944493,22.094941019486548,22.21990159798432,19.142757471973333,18.113262232805614,24.751733170315653,24.51092034741813,18.59727902987629,12.960538535379188,15.116442491111272,17.289894190663546,13.882041323463724,12.173962408067048,0.3367738622687564,-12.2360996987807,1.5911289395170165,-0.0434818576050801,0.704914861398116,-2.716993158768762,,,,,,,,
2017-06-28 20:19:09.000,,,,,,,,,,,,,,,,,,,,,,18.01489034825571,17.409041827490192,21.05701379200652,26.66351545094893,31.349151100635098,35.73106412101978,23.54823261203509,21.970273216662235,26.612691441989647,21.41755196955066,24.54769076443672,26.63929555128737,24.623697105430367,27.116892872742245,33.943368102961166,49.2492865140892,,,,,,,,,,,,,,,,,12.154652732300477,7.865287726318023,0.1218059272658067,5.446905252261423
2017-07-08 20:20:07.000,11.700729787577234,14.14234161273126,19.63878291791591,33.46042995744807,32.618936796259526,33.02322563035902,31.38941018899648,30.68112261704203,29.53322173096995,30.52148453171003,31.722785429618988,29.88188289700016,27.316330870437497,27.460468725841658,25.282662896494383,25.423968486364828,25.436071506376248,21.70351971102401,19.94162515651368,18.80876008320051,21.73933451783286,19.012152405669767,18.206478333062883,19.58656077786357,21.292862574997287,22.75105655290136,18.923998390538262,17.26501803845691,15.977675383628377,18.567881048246687,20.798584704492,21.312037806042245,17.451065353813647,14.351029552487114,13.67944502766868,24.028656657509188,30.143481885483908,27.29450083175375,22.63763403264262,22.455035398430432,25.429128340600933,24.80989890713008,26.092183580113385,14.056898021993645,8.417067228044003,14.87160001400848,14.252708046150994,13.096288274931084,16.85797453960268,19.29759655394131,16.233448398978602,0.5316036876560137,1.3027665484625264,-4.686785839197717,-6.532070456499805,-9.453472357935558,
2017-07-10 19:09:44.100,22.23513390919618,20.47515186443885,35.23841554167821,40.78480584588225,40.04495551405512,43.8971654495783,39.3889547580167,35.32397563082029,33.82478855835076,34.89461113436102,35.97111652601793,32.25405888167648,28.658844379774145,25.18604150815842,21.629985059666147,20.70806851033971,19.19130335362509,16.91754915427106,14.108439955854925,14.57813984695641,14.77251610484702,15.18305853981144,14.065813075481747,14.965778289233157,16.334453251807048,20.36214673248072,19.46631224632537,14.084196841854704,12.15465251754579,13.67932301051676,14.947474841628283,17.270457829476612,15.213320004077437,14.65056934084306,19.408345107016423,27.201093388280217,30.46358972179781,33.52592257549426,24.72050493605719,21.19646600565711,25.54955921556095,27.342431033259004,26.08860026117258,16.462133258454365,17.606896513986108,17.3912226193684,15.21510176574226,17.35312393952954,19.57565830854067,24.79992071359894,19.37090220292555,8.173034231178908,4.670519765697117,-0.8307421894775593,-0.1478018349162915,0.7909849416955996,-0.2268090821217803
2017-07-10 20:21:52.000,,,,,,,,,,,,,,,,,,,13.667776270468211,14.536599745185784,14.728197794329,12.90558652691337,13.325121949933248,15.066492878170282,17.06196462628028,23.30213394460017,19.282315254937664,13.07875589681976,12.104261898255524,13.37602385794125,14.945698623922173,25.68441274272633,40.34261452880433,38.55972720798273,,,31.271380703481466,36.6076458337524,30.54056134046411,21.99047237207021,49.98151702843354,51.86633810480104,,,,,,,,26.140289260073647,19.59973167265636,-0.0064549528131068,0.3054479132845293,,,,
