dates,oahuoahu0013_0001,oahuoahu0013_0002,oahuoahu0013_0003,oahuoahu0013_0004,oahuoahu0013_0005,oahuoahu0013_0006,oahuoahu0013_0007,oahuoahu0013_0008,oahuoahu0013_0009,oahuoahu0013_0010,oahuoahu0013_0011,oahuoahu0013_0012,oahuoahu0013_0013,oahuoahu0013_0014,oahuoahu0013_0015,oahuoahu0013_0016,oahuoahu0013_0017,oahuoahu0013_0018,oahuoahu0013_0019,oahuoahu0013_0020,oahuoahu0013_0021,oahuoahu0013_0022,oahuoahu0013_0023,oahuoahu0013_0024,oahuoahu0013_0025,oahuoahu0013_0026,oahuoahu0013_0027,oahuoahu0013_0028,oahuoahu0013_0029,oahuoahu0013_0030,oahuoahu0013_0031,oahuoahu0013_0032,oahuoahu0013_0033,oahuoahu0013_0034,oahuoahu0013_0035
2017-01-01 00:13:09.000,24.753590911153115,34.42910076393873,31.606760734151308,30.49065819871412,28.90421361805968,27.330332941225667,24.219860124585672,21.03893386731628,20.840630305198783,20.30968215865132,17.325579440221922,18.64623442447331,20.80426797697329,25.77438744265236,30.707946591399164,33.664597678971255,35.26697457461817,34.76546576359693,33.907752473683644,33.60170858389907,31.98435113686524,25.23398999507108,,,,,,,,,,,,,
2017-03-07 20:22:35.000,54.82879068552074,48.73988355273757,45.6931992094616,42.64364074284587,33.16648323781489,10.585149630818922,1.8807237736435256,1.7500868678797148,4.277661133483768,12.268899414011054,20.48825753148277,28.400114077185467,32.85339693310977,35.29304321854143,39.32461039567399,42.65664670248125,43.06621022807276,46.68086825138055,44.79163533665308,48.00080789544112,48.30690418563255,46.54497938733534,45.00606474414934,40.2937556221359,27.07913124305207,20.74210365407053,21.97474683707316,21.358970890803626,20.541746360210425,19.673354714201697,19.457716696540725,16.896002539699925,23.998683221562207,24.348120125659342,24.965007519088527
2017-03-07 20:22:36.000,30.47985771069054,45.687281617859625,43.443225171400336,41.37758923800734,33.438896138297736,10.564282839704632,1.1611251785992651,1.1033631892337132,6.861142607780522,8.650816210666816,20.21801239657201,25.599478227809204,30.820487660941296,33.85412583546061,37.34942382462452,39.72909547954638,41.3553666505787,46.78499140575296,43.75273890373468,46.24570007332309,47.06118613208572,46.53884146868813,43.70963538061579,42.89387144694574,30.435674353857383,21.202806889626167,20.583391014260847,21.127415301264104,20.15810474429016,18.222186471741097,18.777999140999896,17.863363999664518,24.848060868270675,24.70139183780517,25.65471661607745
2017-05-18 20:25:27.000,,62.08107755047362,56.87916802267367,56.45123123013349,,,,,,,,,,40.696043403109705,38.28338262649868,39.22569173399416,52.12757166639884,59.17207207131958,,,48.30142039234664,41.80316071554804,35.97894378019875,23.82624501869901,19.557855962903595,19.385119644576648,21.44058365127044,22.315892847514256,22.573018469267737,20.83106954707652,18.2331167897624,23.24370787956964,21.421943040691907,19.97197634639712,18.37896389865165
2017-06-06 00:34:44.000,7.553849315808829,,,52.28703806574869,39.10260072853131,32.073658894958854,10.58983873491105,12.794500850059562,13.60401841194324,,,,2.8257670702044315,14.718780067372055,22.16371719015048,29.552133123192554,38.93119992337293,35.16370860169794,30.49065985963083,30.330845335478703,29.119413404867327,26.46504824276344,23.049675832021894,19.50492572466129,19.10525164836612,16.52434438692322,16.248753068612203,14.486123495390183,12.478495125170747,10.65398106580906,12.444989185123545,17.225075827101453,16.93510103513415,14.60741328653434,14.45624395473116
2017-06-11 20:19:48.000,,58.127253359778805,52.50370171696808,47.691452113949374,46.25112990882646,40.46113090969665,32.95737246696147,29.09747585958907,26.97225954267587,25.948704026156097,24.68749684339168,25.71577931494715,26.58164161948695,29.50203934155052,33.47434399173211,39.534915609684326,42.69585354770468,44.8391571006992,41.82305990267995,43.1438253763186,41.90016373753589,43.9148827101514,40.40088988344307,41.45309010233446,40.02445186822905,23.12525734820429,22.505958594695205,25.20337794204832,25.62552148504386,23.28011835673295,19.53627334099152,25.572090740728108,27.519442051901667,27.074587600834658,24.327037324152496
2017-06-16 20:19:32.000,40.12407580899333,56.13129131612479,52.40915417778692,44.599740310719866,40.19030889839316,37.50957368380416,32.80077892364476,30.244355449709253,29.6987781502548,29.097610247740903,27.781684833817945,29.1627523305707,29.756124862939245,32.39178524379786,36.45467454700149,40.31050065453762,42.94610098147422,46.058027918840686,44.05111760461473,45.47708745754389,43.31819643961208,43.72424159867009,39.545139764562215,27.218824211868387,23.70041067405509,23.39368502457125,23.47682949825859,26.62544684878296,25.488643186489373,23.946375281648027,21.97365362869666,24.39578118056449,28.593193195086364,28.090881021817736,27.53838191438728
2017-06-27 01:00:11.000,32.821604710813205,43.305090366302345,40.13469950495454,36.061140138117,34.956608173893414,31.27241239748552,25.872078521206923,24.16807411466079,23.369776753805148,22.51695037078148,21.51666658743432,24.062119707951656,25.67119882278306,29.43009226010724,32.739764379565706,35.82817262283193,36.90598464908015,32.78096622285812,28.882466166375185,31.352455015123184,33.11679730025833,30.37450907992828,23.739604561833044,21.5486732407864,25.227143004355334,30.84578665912263,37.11279929377451,41.50146494743926,37.77852620393986,14.17622560432302,13.021316232127536,12.306730821340237,8.166372301832876,,
2017-07-10 19:09:42.000,57.07734466104478,59.05425410232986,54.59145613878014,47.51661360994589,41.1501214794343,37.43890191783917,31.154089979221247,26.482524259148995,24.888181635107607,26.138237464658275,26.17123884464997,25.507258250062016,25.845556423995973,28.30635787467493,31.15716345025076,36.35975484527543,40.21235959839368,43.492791950667545,40.82573934574903,41.66374259958871,40.59617306480177,42.62538406349893,38.74295859153848,38.70984005846464,37.18920357496585,21.580339505656227,21.142102320480667,22.323050821423067,23.1602788302325,21.650347116016256,19.105077602041376,21.3817686344847,25.16421239795143,28.36548271675945,28.37814049701237
2017-07-14 20:25:46.000,,,,,,,47.45705789188404,29.32369685636719,26.59142856719395,26.49100916515474,23.9898012652668,25.6577947363086,26.279634812967235,29.96166531834942,33.655150259377685,38.51244671671082,42.26151968945971,42.61490084772388,41.35328382285447,42.89849491183326,40.88921853198774,40.54634875531197,36.37213082213433,24.49654751271312,21.26309137585744,20.71128420810228,21.145338160304423,24.538994358457792,24.13979135435257,22.271468802575164,18.47249691310427,23.052612235042183,27.15221922051381,28.360983115486164,27.03887214223629
2017-07-14 20:25:47.000,,,,,,,45.213921487569145,30.691019203343306,27.78819076479224,27.64120774370195,25.9496722904206,26.93754262927865,27.251782076716754,29.961646268322223,34.042525802581586,38.9353706050516,42.203019222309656,43.8415156785922,41.7092737371604,43.19810811226981,41.74123216169723,42.021577443699606,37.934539794596176,26.367526945159064,23.27244257688617,21.86489478485517,21.53381270319156,24.91656896566884,25.43622485907937,23.16700926910051,19.044179383265288,11.90045293178699,,,
2017-07-15 16:55:45.000,6.208953078365674,,,,1.5153562891893413,3.839132894641503,2.702603775810215,,,,,,,,,,,,,2.605337203110715,7.248542601092196,11.368150364210504,8.239182062094287,4.501265497424145,5.424320785130964,1.7502567829308917,0.1867672816326481,,,,,,,,
2017-07-27 02:54:33.100,27.590193572962324,34.36967606136955,30.10196417378434,27.14684822660769,25.922310401817377,24.503823860543093,22.902643843314337,20.35767720759273,18.52663864817593,19.76968696295402,20.174003854254213,20.79072814228353,21.59368126958111,26.28699165440701,30.49120949411435,34.08765735162813,38.40189714558264,36.23408528505083,31.04921528322665,46.90686233189894,,,33.169104245072994,21.781547507180573,21.30683809897413,18.663142417526373,17.646855392778583,18.706251229341422,19.141921199091115,18.254920074294823,18.625594969992854,23.095622023978187,25.74637234011869,25.1670512304104,24.446726910135503
2017-07-30 20:19:50.000,34.55758651273488,53.9442127286043,53.16575673372864,44.34868184280976,39.51824543169325,33.210818847373936,28.743515185442387,26.15928894525561,24.31903321632466,24.38347722748924,24.91174077522524,25.324857101091304,26.517685222097235,29.44892388154278,36.36502939404033,39.4703263801172,41.14213322253153,43.79853281373232,41.15802568005332,41.09773307202843,37.97662679544036,34.631233819560926,28.79700491060994,20.57306472221664,18.359101179905068,17.99911008053248,20.564072627904327,21.65111011265906,23.125299395704108,21.153021661645827,19.018704984532555,21.627797615621464,25.327138162162274,25.29394368404252,25.57002765092728
2017-07-30 20:19:51.000,38.74652045511092,57.80428695209503,55.44492464172916,47.07729610072256,40.88931242427666,34.37319709388221,28.881645151970144,27.165724893003745,25.41559674688919,25.5581271020664,26.49162974665654,26.1482003247453,27.44961146696725,31.298723728499454,37.620122782216136,40.15693409200601,40.902539230103656,,,,,,,,,,,,,,,,,,
2017-08-06 21:44:38.000,,,,,,,,,,,,,,27.579697081222783,31.28506988211864,36.250889255705,36.81598096210345,32.09459533950559,28.97534792977359,30.809447968763987,28.09026085497873,25.76046481269003,22.46754396062896,18.81913998901892,18.48853840707168,17.626612500747214,16.287014421799366,16.201779835936716,19.10199956954029,17.59890036685205,15.389824987870677,19.66179798735449,23.966842596806327,25.22597873531109,24.944879935385632
2017-08-09 20:23:10.000,37.84538487662649,49.98239464210237,45.93941429498072,40.39436121184099,37.02602738804322,32.72651131099275,27.3101078704158,23.660861465397108,22.9753575870118,22.57312467286205,21.31877927274056,23.50824956252815,24.537072771371065,28.6670414132938,32.319980378543534,37.350563644613096,40.64064988609513,41.78616164475552,39.83229429123428,40.55288204471418,36.1194109165961,32.943964898512505,28.4057995308189,21.69059182325224,18.58130336485201,18.42810761281107,21.25631655501284,23.57265277651368,23.40942989010471,21.33061222760409,18.59712572598325,21.55397582540248,24.60117756026836,25.246421460721606,23.800039847587573
2017-08-12 20:21:56.000,30.621855141108703,40.91420957694349,39.05591745971286,37.40700485013037,34.146418113534104,30.069752559847007,25.660638391700434,23.598448259495434,21.793576736490312,21.73068630392753,19.46479817553721,22.241947047890424,23.52515292830536,26.073095060321883,30.50092386481406,34.97371592757523,41.42018564015829,38.50912681946986,37.15486521849927,38.20297533230901,33.121989994295106,26.720346650630884,22.526124570430607,20.320822062488272,19.45953402496716,19.34767531974712,23.68308146002278,24.187137088794795,23.26948581960416,20.75431294567632,17.810830313937043,23.971200099664703,22.605391802117342,22.10283984044694,19.48860939073163
2017-08-12 21:44:31.000,,,60.925677863930446,51.23871977191287,45.239644934952665,40.599596631284015,35.24222243163598,28.812111281500773,25.84831177009818,25.49457850772018,27.144066371238427,26.26457203635776,26.213248005250787,28.2651514106411,31.58393820860925,37.27665144666037,42.54001383196627,43.08156710031154,43.372759438637445,45.42427707287333,44.61684684076591,42.04273572813673,37.61048920965673,30.61263071525767,23.72490154602267,24.35480376759425,29.082437357648857,35.15521706494583,33.796089786933486,25.81184765513592,22.28616908520069,22.56601073949016,25.40829953171436,30.34267110217316,32.11004663109271
