dates,oahuoahu0016_0001,oahuoahu0016_0002,oahuoahu0016_0003,oahuoahu0016_0004,oahuoahu0016_0005,oahuoahu0016_0006,oahuoahu0016_0007,oahuoahu0016_0008,oahuoahu0016_0009,oahuoahu0016_0010,oahuoahu0016_0011,oahuoahu0016_0012,oahuoahu0016_0013,oahuoahu0016_0014,oahuoahu0016_0015,oahuoahu0016_0016,oahuoahu0016_0017,oahuoahu0016_0018,oahuoahu0016_0019,oahuoahu0016_0020,oahuoahu0016_0021,oahuoahu0016_0022,oahuoahu0016_0023,oahuoahu0016_0024,oahuoahu0016_0025,oahuoahu0016_0026,oahuoahu0016_0027,oahuoahu0016_0028,oahuoahu0016_0029
2017-03-02 23:39:25.000,21.571924595301688,14.79856863394841,16.830439749327194,18.35002328349709,24.525849143772994,21.34609520352478,21.33443737643372,19.832714123127488,25.28283049975209,26.57273917900899,31.89633540209841,36.00701762626777,33.66754813259386,26.8909144034533,43.39794661488941,43.10380945781554,40.25285263772056,41.61519283419332,54.12663080524736,37.90454647072987,31.989535144529384,31.0369253844354,34.29601673681531,27.16722395620304,27.264049657830828,28.617759999060507,24.60453725411734,19.309312121238364,
2017-03-07 20:22:35.000,30.5719400667124,21.308421991671924,14.996996518946016,31.411052173944,41.83558273956943,26.817844833154183,26.10978687084748,47.08383009483309,55.70287944683731,46.19571556799645,38.3849813432644,41.74465351460331,40.96157965710415,42.58862119891503,45.5766619358505,52.94802252319904,49.40166530411112,41.69245412647131,56.18340181818125,43.494965415302445,34.10094945120431,31.954022763920893,25.46372735647329,22.524109802806056,26.860608315628543,43.24511323902712,30.97910726067842,12.666294148715036,7.098351983459328
2017-03-07 20:22:36.000,31.460576818354056,20.90085451602479,15.681654760398375,34.289625651054344,44.340626284660935,27.65129597302345,19.178456862373093,31.206655560601256,42.32427032222573,44.54262993566832,35.22083968759826,42.48244316965831,43.01795765657116,44.69010676648765,47.19209829883304,54.33894607793433,48.9686481009405,42.426847276900666,58.54052000405094,46.32978387950013,35.560954904719104,31.42363343959197,24.379871581432827,23.67830799083437,30.81756551679545,44.12064156070444,32.70540556501735,15.289978732387118,10.648925136381594
2017-06-06 00:34:44.000,20.61102164501044,14.765124849292084,15.741423951460977,17.26257749165559,22.47678023516169,18.71616464342188,21.66525972590784,40.448438977518286,,,,,,,,,,,,,,,,,,,,,25.160598884986204
2017-06-11 20:19:48.000,10.430783976484973,5.668986166770186,7.217590881818153,10.669693463994165,13.778947112947035,12.48609358377294,13.64441468390728,16.826883386620224,25.11778343903096,24.214604915104463,25.81898009022035,31.08520944142575,23.388228960022587,,,,,,,,,,,,,,42.02847138394598,24.03097465431092,21.169640589641105
2017-06-16 20:19:32.000,28.332857523175274,23.04931281896195,23.65190510556245,26.632561458572965,29.759371602160087,25.484917536164943,25.99834069958759,27.66809210980504,38.19126606244328,39.30151572885183,36.19511458311294,43.732840451043245,41.999305670107454,37.484743206017576,47.81945699269819,50.407337965181725,48.12424314382507,44.1076128888107,58.03704764356533,44.34780049450072,37.92385441594471,37.14006622466104,38.95870193675789,33.9318515855236,33.718318488664295,34.686480232049455,31.133602378444586,26.99451668841558,23.607220526403545
2017-07-05 20:19:50.000,26.702097025914245,20.95099478541433,23.56968739598333,23.779591422573333,27.235227931607948,22.642917121814992,21.31001788491656,22.858016398984905,31.22273990297712,33.48981447063893,34.71520621157938,41.23174827205921,36.56704691891493,34.179735193107234,45.74969049963072,47.51097753431068,44.36862159446756,42.5911016571924,52.83007622393425,37.384941801141,34.299958021442535,32.37338499991558,35.49534934251177,29.72996858611636,28.52876593385009,29.84926535758844,27.60771190762044,20.83447059124452,17.8709190997955
2017-07-10 19:09:42.000,26.109898939299505,19.4512169407072,19.225902471566165,20.004270534422112,20.37178117578599,,,,,,,,,,,,,,,,,,,,,,,,9.266416806654252
2017-07-13 18:13:55.000,,,,,,,,,,,,,,28.26131280925351,35.290881683688006,40.6299715913217,38.210416583173085,35.133712229310106,47.7611639555015,31.91074489418248,25.990243931376074,18.72175560536194,24.7882437991006,19.52241257633028,22.18649123775804,31.150655371084063,40.89212536563449,,
2017-07-13 18:13:56.000,,,,46.5010336102839,41.71935242665178,33.023899815771124,24.1830382379484,22.35169627859919,26.1548026661846,30.385086322075665,28.14503190777309,28.91793901622519,22.87587338870202,21.927790667273943,32.529441746047105,39.70321583145514,37.516005964472825,,,,,,,,,,,,
