dates,oahuoahu0063_0001,oahuoahu0063_0002,oahuoahu0063_0003,oahuoahu0063_0004,oahuoahu0063_0005,oahuoahu0063_0006,oahuoahu0063_0007,oahuoahu0063_0008,oahuoahu0063_0009,oahuoahu0063_0010,oahuoahu0063_0011,oahuoahu0063_0012,oahuoahu0063_0013,oahuoahu0063_0014,oahuoahu0063_0015,oahuoahu0063_0016,oahuoahu0063_0017,oahuoahu0063_0018,oahuoahu0063_0019,oahuoahu0063_0020,oahuoahu0063_0021,oahuoahu0063_0022,oahuoahu0063_0023,oahuoahu0063_0024,oahuoahu0063_0025,oahuoahu0063_0026,oahuoahu0063_0027,oahuoahu0063_0028,oahuoahu0063_0029,oahuoahu0063_0030,oahuoahu0063_0031,oahuoahu0063_0032,oahuoahu0063_0033,oahuoahu0063_0034,oahuoahu0063_0035,oahuoahu0063_0036,oahuoahu0063_0037,oahuoahu0063_0038,oahuoahu0063_0039,oahuoahu0063_0040,oahuoahu0063_0041,oahuoahu0063_0042,oahuoahu0063_0043,oahuoahu0063_0044,oahuoahu0063_0045,oahuoahu0063_0046,oahuoahu0063_0047,oahuoahu0063_0048,oahuoahu0063_0049,oahuoahu0063_0050,oahuoahu0063_0051,oahuoahu0063_0052,oahuoahu0063_0053,oahuoahu0063_0054,oahuoahu0063_0055,oahuoahu0063_0056,oahuoahu0063_0057,oahuoahu0063_0058,oahuoahu0063_0059,oahuoahu0063_0060,oahuoahu0063_0061,oahuoahu0063_0062,oahuoahu0063_0063,oahuoahu0063_0064,oahuoahu0063_0065,oahuoahu0063_0066,oahuoahu0063_0067,oahuoahu0063_0068,oahuoahu0063_0069
2017-01-01 00:13:17.100,1.941360728661201,3.517895828584262,10.245397983502071,14.80037904002023,12.193761571285084,10.369223768698417,7.65653783876131,4.804871267312361,6.421780750307264,7.648271681665471,8.868232764316666,5.240837915502357,5.276782914654304,6.774823171407746,4.33682408816636,4.165943575617477,4.136747299624082,3.403472317606755,4.425094101071477,7.118646708495531,4.324637813353191,2.3176423758635734,2.084859853609844,1.7656234872407346,,,,8.379022793273515,2.982476028306702,8.247399773013314,7.075735899455107,6.353357221201585,5.663312086557508,5.899749190474195,3.6634285199687104,2.1685607412217567,5.911456591745909,4.517074533808097,1.410245298517203,2.819936297389242,4.05722731943831,5.2401271004237095,4.456495264185216,5.170234791695393,8.1395366498471,7.683120300076117,8.987094117121238,8.705939345827987,9.624898366401831,6.571450160737209,2.498226352059103,,3.269409575652341,2.1675880054937178,4.236751892351602,4.689719962574937,3.2984650310631105,3.417839159488952,0.376726441884546,0.6313410009408637,3.129947118767162,5.35126779292144,6.271975202299239,5.445870212836425,5.3404813662916775,0.1728619282421655,,1.2464443510821548,1.968140286592834
2017-01-01 20:19:50.000,3.4550310369936645,4.024088082799931,8.993200849737017,17.3689740697732,14.995190346880976,12.279565230507236,10.12443275655004,6.614097344412279,7.337950577994838,8.585814543636538,8.811876093313591,6.744358281927555,6.07358390036855,7.932704147790323,6.311269367437792,6.200943285994095,6.880279967581833,5.973626781954057,5.711186286483742,7.425056650653011,7.181011350605029,5.083974979268455,4.595093475584107,4.714341404218734,3.853691690225432,,,10.460593858916514,3.7554714308205095,8.529905264044723,6.460206233918448,5.857996338314925,6.199996959147619,7.9531594576562,6.168070105531393,6.276674164747698,8.17604367796709,6.014930130164918,3.665482866860704,5.895706675484408,6.206619419829298,7.227945570100414,7.244457216044321,7.028990767358308,9.349077280373086,9.034655302286708,9.677840559148624,8.830228850619404,10.146316037219592,8.31440405095814,2.320282857913216,0.8065079771646035,3.828347569651352,3.8815754262381,5.062723780148823,4.824699653115223,5.023853171206235,4.396199938159515,4.387945294711632,2.816589221096065,6.515377778235734,7.367129919875737,6.90347145511735,7.035133511264716,5.168076021646561,3.2622509495039886,1.4244935131124166,1.2936548860141377,4.569780224427679
2017-01-03 20:19:09.000,1.185042952590789,3.518693606963466,8.933973831391029,15.25588242611638,12.720258027339591,10.487930088918318,10.27121814513395,5.075459068710795,5.811913960907611,6.4429894894219,10.651927314197504,6.605140197929074,5.347887650417787,7.56486988747277,6.115715978404892,9.625506086714532,10.20805442711874,9.476830987819536,10.007906688879416,10.763240505304958,10.13342551342745,10.861067087451806,8.07882317753387,7.700603770627322,6.490013279350589,1.5920726877817095,,6.845415390627014,4.047371089007177,10.152323105371645,8.431875282973916,6.894707891007961,7.491345761527624,7.787765042534861,7.925907067061612,5.678497623393035,6.839718265131644,5.849405124670578,3.0914813047332266,3.86413783090786,4.244439192328216,5.123957118077778,3.177749998961948,4.430064534709685,7.157244714465841,6.85456700554116,5.692731227896815,1.5552932380152196,2.549686869869405,5.3745758999911954,,,1.537205936844685,4.748345681602909,7.64445589802624,7.366551295187677,5.693794099911136,4.704524718525463,3.3203636052371825,3.265371975779529,4.687879903703991,7.360428465295837,4.603108225337996,4.550417174679729,2.6890230690346155,0.9059733206505656,0.5164791432582743,2.143834553906668,3.073951897981566
2017-01-15 18:16:33.000,,,,,,,,,,,6.427781896911529,7.654439627692874,5.909378504805125,10.396441665160207,7.723930135834633,8.951012162371082,7.765721612657977,7.03347240200019,8.05801020800283,11.321008886710262,10.339039440135611,8.447712809470655,7.622546948744728,7.808271318076459,7.874482005555557,5.483946651807575,5.039950808362611,10.943860406756365,6.975030179908806,6.934996231183915,8.742258195255847,5.837586725029583,4.797622060137013,6.390667942130841,5.28712504335621,7.296574285719605,10.14292749942628,7.841413294971513,4.7120645518996165,3.15287738532618,5.78287036160656,5.5767119307867645,6.371617831847428,5.48043269736903,7.267586306200165,8.474612620754561,6.551299323077656,7.667129996194591,7.550879705620311,4.165729406424606,,4.671995267074192,,,1.9915881977979133,,,3.42642186908624,,,3.454130797693245,3.5390295922775223,5.124194609298095,0.9098504060806976,,,,,2.08843790524502
2017-01-30 02:52:04.000,,,,,,,,,,,,,,,,9.66462348609504,12.323467914668326,9.465965022561145,10.49341885110774,13.762885131037397,10.175460576199342,10.368822083151384,9.27682231806749,6.504681124330032,1.6054079404591777,,,10.442568227764603,8.367101713538363,12.195733992659164,10.295286061006063,10.7960367927777,9.584663044245245,8.699161366012616,5.876492976196944,6.926797366648721,10.6124884388585,9.0411999227267,2.36068694857058,5.633073078794324,6.345016439828015,3.006268948115278,7.579687468154496,7.672069317195956,9.193946543212832,12.183203512752868,10.79310572298708,8.602371286971856,11.007930601861412,9.06354322135811,3.5855038496724045,4.446841003000595,4.238601324516189,3.9950275883616175,3.8494933373154128,2.8542043193126703,1.084417095172843,2.822758746962743,3.8208478807149846,0.1703878685955221,7.181529238185986,5.801304440296113,7.459177940600615,5.556669145481757,5.107456059725996,2.4667243179761025,1.551311859276996,1.7682997564357563,
2017-01-30 02:52:05.000,2.642587675923957,5.30151816551329,11.572966650101138,16.525933746635303,14.671300884089469,9.861488854190991,10.26023829503722,7.184443810474962,8.69619258208881,11.093971177598494,14.38261188937602,10.061228277010546,8.336928388208282,11.616059941208649,9.502120323808525,9.466281625777317,10.197074577022011,9.465851137722806,10.289801080561167,10.752260655208229,9.770291208633578,7.749982741548732,9.2787875177631,7.0828065469572445,0.3316191314636137,,,11.158166104165044,5.973747419929429,12.101957466613127,8.967756568563017,9.558953417274294,7.889780887006804,3.4435356809891746,4.192031084388658,5.7200314425597485,9.5951775907484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-16 20:21:21.000,8.988429174105008,11.021517649128986,17.511950950537166,47.61347928657737,18.1105778615284,14.507462281647427,12.587257042417797,8.881662127607878,8.900451692425943,10.131167612572558,9.727570685113172,6.375134046162193,7.651010738868809,9.684779318058554,7.087994746593707,7.410914836284208,6.992669388485022,8.373066598382156,6.427391037314291,7.055832414887649,6.086906820356313,3.895223807981595,2.612022400156547,-0.4180762634292669,1.7807350106579172,,,5.006403938299286,,4.875650462029051,4.856693909562562,6.871634796579274,5.319805619725127,6.455190365649855,5.5152732872042245,5.48590142284861,8.039593768594115,6.223828258781326,8.845291163251824,8.660991755495115,7.845359443126375,8.920559630551013,8.621589183428252,8.487657364165221,10.231415491714792,10.71496755426977,11.268275326481088,8.687547700687734,9.664997349982054,5.9456573970644895,3.647741675125361,3.9127699273345176,4.41886357886369,4.602255471416797,5.182326235467334,5.587656089774155,5.908139160922681,6.17330533947585,4.82943646640602,5.452864948576484,11.156100349728003,9.245695119708566,7.137794700277642,5.869651206246702,4.830998372459991,4.702098754653697,4.744708342653958,4.665987392278491,6.16609334893943
2017-02-17 19:21:43.000,2.577827826948341,6.44848299797457,8.048594470343138,15.425926981337929,13.959524988609568,9.31556754486328,9.349881591374151,6.52443240536176,6.574509573383374,7.83510030178758,8.86013842651512,6.792620615129083,8.068497307835699,9.156368717641694,5.099001305453952,6.624878155951192,6.928542300783361,5.931556093631641,4.216787906365648,7.473318983854539,7.87668748295518,4.211412476630041,3.684071911302728,2.585446209041153,1.7141430964083086,0.7184117706429531,0.2853533856850656,10.012612908890604,4.102435915795664,6.754605639631431,5.192556550193386,5.548761265524559,5.800072202818164,5.910153896923039,3.628026162129231,4.903625523898069,6.267545500640625,5.903878261911646,5.646183202548284,9.050026817496317,6.162209224079099,8.14838388625225,6.477021280756463,7.156852963872978,9.922917519219489,12.03188180569896,11.100541050747117,9.782406405839083,10.236385079441307,9.428896303967989,3.7813170857044223,3.655794462287284,3.879277185738645,6.278009683134106,5.916607125213088,4.969383310655898,5.057392267264572,5.837383319577905,4.599838286488711,5.939794694722933,8.260264462122903,8.123459300541157,7.400739556939591,8.508220843916023,5.994223087661651,4.751495621489826,4.594292227022219,4.478345467283993,7.666576038769396
2017-03-14 20:21:08.000,8.547086446618552,11.02901630551527,17.491986926667792,47.01384666375222,19.50666635882156,14.41916188560081,12.296447749912897,9.505176005944053,9.591120062622672,10.889636840485943,13.695211838414153,6.233693217127866,9.814688693888533,9.757057896294285,7.353388939530768,7.474304819334059,9.00466754552656,7.595114723899628,6.299905199174778,9.56290387788221,8.58093443130756,6.123323276494497,5.3166155470966645,5.8269788346268845,4.234524887157063,3.559287038070733,4.296026829684605,12.457770981137264,6.466373405697877,9.462965335859776,9.236755994470334,8.256283000880046,9.321411069999003,9.27643252652712,7.069895304648823,6.944389128152177,9.00797858150928,8.641003000712743,5.996434108301856,6.754362355359967,7.144964227236904,8.420211442045382,7.492232129677782,8.381294340197565,11.860339952088085,10.061145270746984,11.113348453289507,10.516613258480968,11.064313086625946,9.497570999692195,6.0015393915522806,2.756904517139634,7.913320349963887,11.042953739563362,7.280780085994768,8.645279478052263,8.045006616661903,5.993425004506683,5.175277084881809,5.299381951271749,10.89468961338514,8.900818933858941,8.953255430465974,8.220921743744643,6.470833608976391,5.511117435081133,3.814016832023799,4.525644223196568,6.087947929806898
2017-03-20 20:21:10.000,4.643792263895206,7.6634272967105215,10.62749240433206,18.623478351136853,10.984768426563257,9.830091326683144,9.586066963540064,6.016528452240272,5.864470009372802,7.739731768211424,8.454398175390544,4.6510118363192285,4.6627364688239,5.444249089015147,2.9188975460157547,3.5716924670414434,3.522700853793677,2.7894258717763503,3.811047655241072,7.067578732729964,6.072596712270115,4.027592929352486,3.621477572022117,2.9275722927862446,1.83929838394452,0.6462925515780695,1.1955821167743028,10.304155551875713,3.163642624890933,7.341450143906792,5.502530451815378,5.295095049802182,5.687514665238647,5.258396043587317,5.162002991303224,5.490206818310801,8.681178562772299,5.433233550950332,3.403222570406093,6.886783946281789,8.493490432254656,8.263561656322514,6.594723304346871,7.01083708880556,9.78971742749882,10.015623159300276,10.690237341892864,9.496733889637248,7.971477507615312,5.957403714906804,2.065394923131783,2.164293829536688,4.324108557613044,1.6627769565939776,3.767240052399889,5.109425890211216,5.496334891486627,2.9482133519776337,3.542582544991828,3.0983236256902345,7.790887167977974,6.892347191732902,6.490394400126698,4.52667227679475,4.391895788803082,2.690890329627808,2.0527992363458134,2.894681283529604,4.859660915178298
