dates,oahuoahu0052_0001,oahuoahu0052_0002,oahuoahu0052_0003,oahuoahu0052_0004,oahuoahu0052_0005,oahuoahu0052_0006,oahuoahu0052_0007,oahuoahu0052_0008,oahuoahu0052_0009,oahuoahu0052_0010,oahuoahu0052_0011,oahuoahu0052_0012,oahuoahu0052_0013,oahuoahu0052_0014,oahuoahu0052_0015,oahuoahu0052_0016
2017-01-01 00:15:41.000,10.462437574019797,8.804513307223115,4.604888171219383,6.581400264945056,5.377031352539489,6.647020457058464,7.188415002733246,9.945893537098565,15.969775055011413,14.094415642158085,12.385497406035787,13.851832275333212,12.3272789335772,22.26637949431105,11.63648907802133,17.846858777394843
2017-01-01 20:19:48.000,21.80948142489256,15.854733899191952,16.639702283039373,20.73638232074373,19.930953246537268,20.36154853524637,23.0837813708788,23.247798050660712,22.552475668907785,13.866810743035938,16.566084094893576,20.24966529426464,16.493287042670946,26.53022836382513,20.11847659421372,25.57048594181018
2017-03-14 20:21:07.000,25.697810200747536,27.33051371914531,27.514501919614705,37.29964389484927,40.81963529751786,29.54153727540595,32.31112937123982,31.49599120995633,28.451599727085043,20.60477805603094,25.533586345099305,24.43441320341173,26.05101986590685,33.84041000458529,15.372263514390124,20.37601600748849
2017-04-18 19:19:12.100,26.55023321642669,29.291223550695936,17.99181928357299,21.46457436898737,21.175911969695065,20.68656731571029,22.21730751480492,28.59223309147843,30.72776107203131,24.20882945059089,35.70322841339111,35.900536975587414,34.32293384630771,47.00232759788948,29.448651408622126,28.81371997868224
2017-06-20 03:31:37.100,15.012083641559707,14.816873640409671,10.436746079339642,14.084731567055645,11.976810015510017,12.874177987251985,13.185848592697194,12.080748957451403,9.01381444604316,6.257348571030908,4.512273870676916,5.334327176869274,1.58972866945861,14.805980057995605,,3.8048095696598137
2017-07-02 20:19:11.000,37.43618092812921,31.591243154479923,34.63141046354497,45.21301246968013,42.93691262291683,29.65229497647594,35.67292421925479,35.36423919225088,37.32765950368062,32.91675324551203,38.48271995852386,30.074465947628976,32.936210338481466,39.05702051006228,18.488140005220707,25.037992341754386
2017-07-09 20:18:05.000,37.62130093116481,42.26067681834019,45.57961449130719,51.42235146866388,45.25264348493366,45.11184823478114,44.71873686193419,39.03730285376408,32.59817332313588,28.52123634195217,31.28492765333533,24.871206353861123,22.582460884236227,32.07257295052418,17.284684734500566,19.78096740624917
2017-07-10 19:09:50.000,31.826477024110424,35.40685480916066,40.649408689864245,49.88519963399549,,,,41.28782490433091,34.982732632563206,28.89505524518188,37.37506596858371,33.030345667056245,30.24833677029205,38.22525428891851,20.29464994329658,28.14597211576652
2017-07-10 19:09:51.000,31.83280354947646,35.11841109839678,40.64949366076208,49.553948264571154,50.04016911062414,48.33794651857076,51.959544437755206,40.36176643829824,35.04193975978993,29.404178107766285,35.9091323765533,29.625807153133685,29.08392700267425,35.32402985996194,17.17832412857433,25.61562014292961
2017-07-10 20:19:14.000,33.211554519872124,36.73857407109741,43.71384769058292,50.3587051573422,48.08291104959572,50.16662140433996,51.27303912234061,40.9602758152416,35.45088291655166,33.22583750104283,31.83864471681348,29.08547463025869,28.71710069179601,36.40002437957259,15.446110966246524,18.849406750853444
