dates,oahuoahu0068_0001,oahuoahu0068_0002,oahuoahu0068_0003,oahuoahu0068_0004,oahuoahu0068_0005,oahuoahu0068_0006,oahuoahu0068_0007,oahuoahu0068_0008,oahuoahu0068_0009
2017-01-01 00:13:56.000,23.23080014300745,18.104573958963304,18.296822684655904,26.453156489149983,31.822405196956435,31.662851147408304,31.65933654925645,30.845732534276543,30.861501002917205
2017-01-01 20:19:50.000,17.86008318202315,14.365835191315712,13.476878553467454,21.717766178704466,26.46534123110501,25.57020057746259,24.936616045532475,27.814343781355586,23.95298557490177
2017-01-05 20:19:30.000,4.94737100924201,4.397194854350333,0.4395025243353488,8.934051612425746,,,,,
2017-01-30 02:52:03.100,23.28983195632661,18.44387711877118,17.774407357652905,24.871428690431188,29.661289594351604,28.68512132754609,30.191169376086872,31.05748786613048,26.406458668824392
2017-01-30 02:52:04.000,23.28971808591477,18.52504416267021,18.805736072197902,26.512074432057315,29.66117572393977,29.592214386240705,29.79184264723457,30.36699834066321,27.39647366583344
2017-02-16 20:21:21.000,19.482366660983374,16.110198816376734,15.635898626758582,23.58729236899119,26.7549967714908,27.239292300577446,26.78710660254412,27.21779675142106,23.666744448845865
2017-02-18 19:26:43.200,16.82811772895663,13.37665192959418,11.452356460401525,22.0889467395064,26.723324174366347,26.524462603697632,27.236313938425983,27.894326780993264,24.15703698492275
2017-03-13 19:16:23.000,,,,,,26.170461868233104,26.26696745889589,26.056766593495503,20.0934164027542
2017-03-13 19:16:23.100,15.51455835818495,12.40730545006409,12.587515073575045,21.693170269742048,2.77440907381618,26.170461868233104,26.26696745889589,26.056766593495503,20.0934164027542
2017-03-14 20:21:08.000,22.10024742128872,19.118087588637984,17.79471079748984,27.561354293651103,32.46346164246215,30.471537168209363,30.72309726150469,32.75274301915728,35.52319009345203
2017-03-20 20:21:10.000,21.43391010420556,16.121945134219047,16.21679706164857,25.83778921326012,29.020031729525297,27.89246941590642,28.284592276123607,29.629049505855992,26.750592709923936
2017-05-13 20:17:12.000,26.33382848422809,24.688262408877748,21.714401226093177,28.70049697462461,29.418216189004003,27.09185705621992,30.227485307772007,31.5324598811656,33.072726369821744
2017-06-04 20:24:32.000,19.092376844728257,16.357996714235263,16.310633102735505,22.446615144339862,25.07602545652971,25.549245206818583,25.665465011167875,28.38430875225384,26.97993237561356
2017-06-12 20:18:07.000,23.95698661930657,19.37151960673925,17.778511323360675,27.013775641282315,27.561022049032985,29.030632447260928,28.516782650674912,33.10164374118049,48.43858080705579
2017-06-25 20:18:41.000,30.711635759290782,23.35955783636224,21.002548940462937,29.07432892390304,30.09921182857979,30.763737487422723,33.78318848866634,43.66696876023693,51.100371017576
2017-06-26 20:18:37.000,27.561557442795667,21.236321233047548,19.490403577731684,29.03663868550817,31.853770171889693,29.757049614444504,32.179346020190984,35.2506629815122,49.85401542213036
2017-06-28 20:19:14.000,19.070449965894653,16.424167616034254,14.911603300488457,23.11021401540616,24.75507402552375,25.093532417817684,26.310028248959085,28.163040006279427,29.911082847888704
2017-06-30 20:19:36.000,18.31891033876957,15.81461318401422,13.741405875542023,,,,,,
2017-06-30 20:24:05.000,20.12162063911343,16.27829135224845,15.015915636860406,21.97886401039869,23.259582467410752,23.18336465402017,25.197713877226704,28.07544161304981,27.105529413085865
2017-07-03 20:19:38.000,20.834451458032547,17.392004610392135,16.25023060116753,22.885626022714234,24.94269455680395,25.31645284286942,25.84919750330369,28.862545351198136,27.75677222838246
2017-07-03 20:20:15.000,20.81627076244262,17.350659687359855,15.457025754952191,22.634564636073243,24.825350863437205,24.378257275603808,25.853414502901256,29.019803909458567,24.877287792090765
2017-07-04 20:18:45.000,21.93002970126594,17.300063380186174,16.012598473532794,24.77715693280063,25.50618726553356,25.975750206420663,27.97697116635356,29.51332060857092,32.022139367691054
2017-07-10 20:21:57.000,21.744824816156296,18.61911297393955,16.989853496947653,24.967181162298832,28.11016563394402,28.04732111648222,28.14795976289871,31.05795242950455,42.329953401051206
