dates,oahuoahu0002_0001,oahuoahu0002_0002,oahuoahu0002_0003,oahuoahu0002_0004,oahuoahu0002_0005,oahuoahu0002_0006,oahuoahu0002_0007,oahuoahu0002_0008,oahuoahu0002_0009,oahuoahu0002_0010,oahuoahu0002_0011,oahuoahu0002_0012,oahuoahu0002_0013,oahuoahu0002_0014
2017-01-01 00:13:50.000,39.46855264501869,12.53181951048964,9.812591723703438,14.486183074679644,7.962237462650375,11.510108085612844,9.295041643837587,10.133993656110896,12.978251741927371,16.63479510860156,18.178703959181505,22.62072450848926,24.820053878113804,22.4716609627254
2017-01-02 20:21:45.000,42.45152911019646,14.348411137695946,11.926875198978117,12.575956791083662,10.185247910568709,15.310817728318597,14.56454068914232,14.548966083438785,16.491768207572726,16.50567705025142,18.946107874009343,16.361721167569968,15.697484686820305,15.628964200207582
2017-01-15 18:16:26.000,16.631563728207006,0.2052992965514509,-4.6674946117799445,-4.52815435783639,-6.776100142676095,-3.085962054283564,-0.9840563452849668,-2.325682810027545,-0.371453013054713,-1.8217533736482256,-2.5095269629753725,-1.099427533895836,-1.2187551353015893,5.32231667384769
2017-02-20 18:16:06.000,18.59991722057472,1.493601554725675,-7.457989128409337,-7.368558049463314,,,,,,,,,,
2017-02-22 20:22:35.000,39.02805552753185,13.550667914902023,15.704216198246252,15.764551104672158,13.831411750040036,17.238595498485612,19.60847091733415,21.64980728433881,22.64379713789404,15.495482379659322,15.334169570960904,17.34582222141564,15.753806924279925,16.956730365049975
2017-03-13 19:16:16.100,37.00638947519964,18.84679735269768,12.343053619956752,11.55550000618899,12.809288207451804,11.85036928306236,14.977809740277769,17.04833950119505,18.16451518351637,19.708848398094403,18.86555900344921,16.24861929487174,14.656603997736024,7.277310827443139
2017-04-19 19:30:10.000,,,,,,,,,,26.68714270878714,26.15288810970685,25.4919607980621,24.27149578050226,24.65864602795768
2017-05-18 20:25:29.000,39.07000589781988,20.51220785577232,15.487680459501592,15.546589590105588,17.587459030740632,14.637358346401404,21.334711639081792,26.25958467502049,30.928664023334488,33.72494272649137,26.776870002186232,29.94332577248969,25.394040534117263,27.556270534089705
2017-05-19 17:04:23.000,20.56942889511283,3.221269056114461,0.9918583385630336,-0.1457350310306471,-1.66461522104434,1.7922423107644927,4.4748570646184405,-1.007913937016625,7.488924291603823,5.381237602574252,4.737326581799639,7.165410536446842,3.929830921828045,5.1420340594301805
2017-05-25 20:18:52.000,28.49321424972263,9.278085865235642,6.449566055310759,10.861575323278496,5.837797050103992,5.486272319597285,6.190708042931552,6.984407956056122,10.691667281520589,11.322684637612117,14.9776538648459,14.19277829603103,12.819780338616637,14.277998197510971
