dates,oahu0043_0001,oahu0043_0002,oahu0043_0003,oahu0043_0004,oahu0043_0005,oahu0043_0006,oahu0043_0007,oahu0043_0008,oahu0043_0009,oahu0043_0010,oahu0043_0011,oahu0043_0012,oahu0043_0013,oahu0043_0014,oahu0043_0015,oahu0043_0016,oahu0043_0017,oahu0043_0018,oahu0043_0019,oahu0043_0020,oahu0043_0021,oahu0043_0022,satname
1991-12-12 20:18:31+00:00,188.3940601512652,180.1365888776272,172.28475004850517,172.02456160227243,175.35684398261384,184.1099510129732,191.05191910820287,187.1122154243737,182.8644826690733,175.15553689369776,173.79619374556296,183.788633400004,188.70880697523293,,,,196.9939081811681,191.25086068620763,188.3488813951432,184.7909967520172,184.4208964382439,183.2890182402928,L5
1991-12-28 20:18:23+00:00,160.195576584955,156.45996608219116,153.59636976015926,152.0545591617303,151.96592704698966,159.65410924918257,156.19328284860984,149.3288684460618,148.75533242440173,150.82378705154343,153.10848886196737,157.58005157499002,162.95906482255288,168.12905468734854,178.09563383439294,180.33038249244936,175.93616692280798,169.43254096730772,161.7635328617108,162.17590317575244,,,L5
1999-09-05 20:46:59+00:00,,,,,176.07736299638344,180.13591764685958,184.57540339090383,181.53703191935327,182.92636625421468,178.39360067129104,181.0155669725265,188.57466414620825,,,192.529934142891,194.0752095165232,192.60869680571489,188.5410141380951,185.00690468111887,180.9334737556712,177.2163146320513,177.3877110467228,L7
1999-11-24 20:46:49+00:00,188.52522457542324,174.33477138714588,171.1402667998049,174.24039172858133,178.33815033322307,182.27070821421927,185.8905102137367,185.20869347761885,181.11796468440667,179.8294129668533,180.803210931344,188.59921019894844,,,,194.80268704581096,195.23706971227443,189.44740521305465,186.475832745982,182.27801132433768,182.2741991034543,,L7
2000-02-12 20:46:47+00:00,193.01329497293355,168.39608865556602,168.41979442986403,173.1490729708691,175.81953419330765,182.4738245093932,185.27334657479463,186.8929846640613,184.4907287086737,182.2592328328969,183.306450859426,,,,,197.59045928910203,196.32967559485763,192.0137758260888,189.4734577328908,184.1539433312174,183.97072535212365,181.83816737359203,L7
2000-02-28 20:46:42+00:00,187.8122045172845,170.31861039527354,167.83407368735527,170.08419350730247,172.41725226407794,179.52695277252252,185.3665024419253,190.7918303782897,186.4221508921541,182.27213604670763,184.2151254076609,,,,,195.5150456172196,193.3456313822792,190.0575354398593,190.0644386686213,180.5564389082531,180.3624177871989,181.49135384508384,L7
2000-03-15 20:46:37+00:00,181.1186996297249,169.15704407817435,169.3628729068462,174.78693290855296,180.01753076014109,186.3636468083104,187.1283912469253,186.48059532255795,187.8892199139228,183.73476949088703,186.4890950724485,,,,,197.1449546410544,195.4596366005844,189.65988924416743,187.89649186343192,182.0400571805405,180.08123977776208,179.40496138652392,L7
2000-06-03 20:45:56+00:00,188.59871351773856,169.29608620725452,166.9516029715092,170.3556136110549,170.1534248410847,176.78927697196514,186.5191013366415,195.2463035509491,196.96807147009832,193.3424592716949,,,,,,,,196.61822606301007,,187.64466768532472,185.6846696308233,183.41689803695024,L7
2000-09-23 20:44:31+00:00,182.26643837652355,177.0930494553521,173.90641372423798,174.07399748701872,171.72161609176695,177.44105544124164,185.65338244004985,186.6915699656224,183.74909724340384,183.4958806835081,183.277509645968,189.65231311643643,189.34358162587768,,,191.64623726434755,192.0261740445792,189.57558897532863,186.8299949656708,181.9484273288537,178.37558621097327,179.32404995037217,L7
2000-10-09 20:44:25+00:00,168.9271512119526,165.97516743583532,162.87645911038476,161.142098447734,163.73643811446266,172.2187516623013,174.71459012000696,174.2363756886002,173.74162858975131,173.90095708777375,172.85348631336518,178.88746593462793,178.65094962298917,185.90162518286724,186.13539618056703,185.03740532262503,184.89439786937632,180.8811050233019,178.19555142439393,175.54286052093906,173.37623857034592,173.0638752436897,L7
2000-11-10 20:44:23+00:00,174.24604742263227,172.39118049232357,170.2098382546896,172.04952747955073,173.51972184420893,176.7970180806434,185.24746532418777,189.4109982697068,,,,,,,,,,,,,,,L7
2000-12-28 20:44:30+00:00,179.52257283098106,171.00275295088187,169.11515376631672,172.40486576255805,176.15236143464836,180.8361954638098,176.68408709480426,167.52496955912468,156.62543456981268,151.87950312520027,162.08072641248734,174.7285014855056,182.53245643858105,186.7765392738625,188.4266553050246,182.4784033025748,175.25222095641175,177.85249206446088,173.60437796568655,172.98526000491782,172.71472722146575,173.0233664061451,L7
2001-02-14 20:44:29+00:00,,,,,,,,,,,,,,,,,,,,,,,L7
2001-03-02 20:44:23+00:00,173.55817120133682,168.60983282947348,166.23071448681347,166.9170925556914,170.52561364429147,176.52611028417402,183.07006746487943,186.83318026178665,185.99190822632443,182.83958993635312,183.7197650159381,189.92828103832213,,,193.3492041544993,196.21061797439785,194.41583779322667,191.62438262551743,191.51160133551963,182.4695389560069,183.6687231881225,179.7791131978364,L7
2001-03-18 20:44:17+00:00,183.24427419303385,170.0352233947027,169.878838369905,175.4216038543833,179.38605739382518,177.5109270778038,178.72391806011146,181.2735306055008,190.6134617222388,190.9869782914587,190.8846192473431,,,,190.4615343942776,193.38674662974893,193.9037901817677,190.3326744198792,189.3686698610213,181.8221326442644,178.74371577255548,176.85569038027975,L7
