dates,oahu0046_0001,oahu0046_0002,oahu0046_0003,oahu0046_0004,oahu0046_0005,oahu0046_0006,oahu0046_0007,oahu0046_0008,oahu0046_0009,oahu0046_0010,oahu0046_0011,oahu0046_0012,oahu0046_0013,oahu0046_0014,oahu0046_0015,oahu0046_0016,oahu0046_0017,oahu0046_0018,oahu0046_0019,oahu0046_0020,oahu0046_0021,oahu0046_0022,oahu0046_0023,oahu0046_0024,oahu0046_0025,oahu0046_0026,oahu0046_0027,oahu0046_0028,oahu0046_0029,oahu0046_0030,oahu0046_0031,oahu0046_0032,oahu0046_0033,oahu0046_0034,oahu0046_0035,oahu0046_0036,oahu0046_0037,oahu0046_0038,oahu0046_0039,oahu0046_0040,oahu0046_0041,oahu0046_0042,oahu0046_0043,oahu0046_0044,oahu0046_0045,oahu0046_0046,oahu0046_0047,oahu0046_0048,oahu0046_0049,oahu0046_0050,oahu0046_0051,oahu0046_0052,oahu0046_0053,oahu0046_0054,oahu0046_0055,oahu0046_0056,oahu0046_0057,oahu0046_0058,oahu0046_0059,oahu0046_0060,oahu0046_0061,oahu0046_0062,oahu0046_0063,oahu0046_0064,oahu0046_0065,oahu0046_0066,oahu0046_0067,oahu0046_0068,oahu0046_0069,oahu0046_0070,oahu0046_0071,satname
1991-11-10 20:18:16+00:00,-2.7603185477592485,6.698003458852014,18.570327314818943,22.9682240198885,23.680694789766505,24.318479703902536,20.29189998737777,21.389527767814545,,,,,,,,,,,,,,,,36.21870517623914,33.22961814546863,31.253651853148853,28.79272513928405,30.28965251419227,28.22026380140588,29.517659159340425,29.473685641860843,22.386037483544406,22.44255642259312,25.29967312396547,27.13072039742008,29.31038276291533,32.26644838868886,35.14225720337595,35.09972739551399,30.69915284395024,33.40321146310996,32.15555198122785,30.15870541855908,29.048314106627224,28.21347833286429,22.313122790157475,10.902099875210286,5.096472829511587,5.697777867240459,6.737241877260661,11.791457172166703,12.11161836622629,15.46080486847016,13.393333408876783,15.542400428690854,16.715339444191176,15.625187923663365,16.51044348812378,11.296049247761289,8.797202334301254,14.257426900323631,12.978950623228146,14.883425605378134,13.762508019141643,11.991378351504537,9.577168490875872,8.903426822801432,14.108074114910735,21.11535168655045,,27.008372353444223,L5
1991-12-12 20:18:31+00:00,-18.64867164106707,-14.18524839522718,-9.402624660723529,-8.003101460613436,-1.293736248733408,1.8330534910580785,1.7221322955946696,4.31933469906631,8.425942702714405,9.804094117846097,6.493176684223132,9.0596893216088,8.869490627602136,8.91602319310203,9.51266555888538,12.490934310248354,18.7400503002202,23.646493238605863,26.299736534789115,22.61684579795713,22.0091924270126,25.457520075087466,24.426857721301367,26.003519469923862,23.33266298269725,19.290890865681764,13.767271654686322,14.579354853418538,15.1503442789508,18.408546510600463,15.828766232049029,13.001027877394227,16.128670178422237,18.650975252428022,18.25341688217964,17.572971312302762,17.639811081284787,18.556825827629435,17.72128111880614,14.055755158367251,13.388554580954462,10.71400998705236,8.25328587683879,9.576044406261902,8.60955855149337,,,,,,1.2032575952573914,5.036466399328033,6.493274981922893,7.671339895675354,14.01676056531008,17.468106346336416,21.56472141967199,22.55374962707292,16.419924806659996,11.840981996940435,12.636395970393943,9.195795597099826,10.86000296132569,9.980095045375302,8.943471329695363,7.093038528286595,6.055283488076645,9.843583568051908,16.9554126138046,19.78253688983748,16.803068661568968,L5
1999-09-05 20:46:59+00:00,10.282892030159866,12.328126743900008,15.9433181040594,16.8512898558219,17.245850671218054,20.597568559772853,21.329303185654943,25.65094561009656,31.683743791326748,37.26010121671262,33.66271700585657,35.358014958757536,39.72723249933052,43.06724028344559,49.93628862438274,56.60573263234945,62.17588676299574,64.62638254907145,62.51457979085797,58.24748925941825,52.89148735947766,53.43256927053788,51.45675177449075,49.81893454420276,47.16669476740093,45.499858252943085,39.85857345375832,33.76799805411047,36.16234286950555,33.17036423806739,27.01805622961936,23.733127575325383,27.636399196121573,29.885519584624763,30.291858726301868,26.430999576103133,24.92421795200132,25.51527854198928,25.219891058000243,25.28156100310292,29.829690830208133,32.07703572537383,27.664433222335425,26.903877940008893,27.169249525643647,23.99536892681906,24.72718125744923,27.272138310649627,29.99186363119494,,,,,,,,,,,,,,,,,,,,,,,L7
2000-02-12 20:46:47+00:00,24.62850953465574,33.118232680639274,34.59798276123561,35.00659914799406,37.52200926816306,39.30659207965284,37.14537226439222,33.15882896241754,32.792285112325445,33.88570536739029,34.85673722208318,33.617444451005454,32.57874724516194,31.74940945124896,34.02367196507245,36.403972091950266,39.66575595431316,42.40301353340978,44.32771849193878,41.70978232243607,40.50292636046906,46.88363174226567,47.02035898839396,44.32930359069003,41.84211876126976,40.45061101974564,39.89284323025764,41.22555119056877,45.05312092448674,44.43573029160159,38.56918833600359,34.193609377567874,36.216687923833305,41.80348207079451,42.17587435180337,42.654845745206586,41.18994066265626,41.76286646334342,41.6798916823007,38.49091355801163,40.424049640568754,42.29066592443664,44.73019442988591,49.19067361371023,49.69238217061832,44.31052430868219,42.1473068573663,43.77023795630548,45.55743899415305,44.17378971676963,40.80145721463259,37.01134244947951,36.58496372642313,41.57084871743987,45.481595306791945,46.59544156484326,45.81454021993681,46.01964302998469,38.88206892213091,39.49130945024511,45.30232661890698,40.47838682293479,39.31253306116425,34.080518317270545,33.97146338245661,32.710680622505755,32.186907668206835,,,,49.7400480647723,L7
2000-02-28 20:46:42+00:00,28.239238467016737,36.12156044269155,38.87632633128715,38.15196607097752,39.60998142353382,39.97309082653371,37.29124060315904,33.5106705654,33.330009985711186,34.33518454192315,37.73078861122238,34.21460469618658,34.564619657096,34.256656885191354,33.14723357018179,36.85311840410134,41.41105370063296,,,,,,,,,,,,,,,,35.44438066221254,37.85354777522085,38.50581872852256,37.51081246373924,37.3294758622904,40.05760273104534,41.00406392705092,39.9887227529755,43.539085116706026,43.58410851716648,41.914460880622826,44.398537297632814,45.77669060193372,44.35099091863911,45.24438087296227,48.7176671435158,51.11852639071928,50.84717891830514,47.53691927987396,43.71522660788007,43.856479152897776,46.90861029205133,,,,55.72398159982811,44.72088314719229,41.74862607567566,44.76336758721802,40.115195293014224,37.27326228444386,27.912457878013576,25.24123397172064,23.26450849636514,22.580939565926,,,,38.17620689166984,L7
2000-06-03 20:45:56+00:00,15.388094152195132,20.4332536773453,25.31169073033829,27.316390229898275,29.452864505003312,31.93958323500268,29.88035643051969,27.18842313659698,30.833933488043108,32.21714974367043,34.748174890254994,,44.95408691715698,46.89170130504978,50.53780702595856,49.698292451737785,54.24039338462484,54.8199717713871,52.552052924783,47.6638183366859,43.0551584308332,43.53231862831594,44.35694112777607,41.82732556199705,39.13114461115448,37.99905494472967,35.76355931816528,35.608287313699684,36.66587171224226,36.75573034993497,36.613857932160826,32.790514293720484,32.93303977436146,35.743652187479576,36.26295148176033,36.03216360085995,35.95836520761215,39.033969657831854,44.082112773367605,43.85155209117327,48.5118651419753,50.03633495774724,50.73938551722158,51.27991383823124,50.37834410301805,45.35159619428936,44.97904690542229,45.129185308524974,47.41252005273624,47.45827820773175,44.1678937043048,38.37582164603631,33.100938088790805,32.99339760942244,36.88848319525301,43.422052373299785,44.56640565738893,47.77338437477877,43.7595899770316,37.93284221314823,42.19306588814692,38.37573080893196,35.94801618703968,33.75957078708579,32.788268900791415,31.96908830463156,32.96241473551906,38.69703437197823,46.22587946729484,48.323576341911455,,L7
2000-09-23 20:44:31+00:00,13.715170526051493,20.363207071880616,21.78777537567795,22.637557692849903,24.893899377577377,26.32810357067024,25.146820567245506,29.78638514849162,39.0909751631648,44.631350228025966,41.20864893298263,47.65495508534303,47.51583759044587,50.61738520277149,50.70943702059618,54.67759196359089,60.71943099473176,62.12764327909935,65.74187447376598,61.76131816735823,52.66648483504258,47.18358743881463,44.21912045369968,40.02930443711492,45.17978000091434,42.74506595540993,39.55292347229204,36.9135398836172,39.54815614458047,33.97970504755322,27.32563317826581,24.178180293980063,27.47233219481013,29.655722866428068,30.98730700210516,29.55579850898558,28.3894038032388,29.25042417858904,28.985914101542114,29.03402748566443,32.79519895758326,33.60032416022345,31.809503412875976,31.26201052549932,31.888103641824227,27.99565109563325,27.789581483178047,29.64126823839904,31.21666092496175,31.428685058033327,32.39337514720118,31.24975897455836,28.95371961992081,29.887550594404782,32.34141620281771,35.39087924503489,38.44194721712447,39.89926322400278,32.39356660536339,27.503006228599684,29.02060547277975,26.710167311433228,24.05569214736568,26.19667673687879,26.35236848983172,24.90624400754921,24.75761818638616,31.340719601289702,,41.31309834140252,41.37997530674853,L7
2000-10-09 20:44:25+00:00,-0.0578679048047288,7.136303634977029,12.76094194808816,16.047529948349613,16.868025852611535,13.997173066710872,11.089094204928406,11.629796458216656,15.035578537387684,15.805330920048668,20.29493469172525,15.707998685715028,15.129856836014469,17.90945518161475,21.648443632790183,27.080009325429884,33.30326217373012,39.30879558050742,42.90627214506647,39.69528273057168,36.63947996431221,39.03433252275702,42.72843474198457,39.32639750864104,36.64214038943548,32.63430545892971,31.783553911547298,32.98467171087604,36.15150792877912,33.1420457206432,29.34539746721292,25.976680250647355,27.146949139360483,29.46637665177132,29.90243971073088,30.01908658764784,29.78171699191109,30.53947780930136,30.82323422134272,28.971284861602285,,,,,,,,,,,,,,,46.37333407129295,46.799626793345446,46.90417848624563,38.796509061487725,31.193561218469195,22.39748363463884,25.19496504908668,20.874813523976027,22.6234323927618,21.862737496746576,21.84237736739305,18.12317666627668,16.807114408591456,21.22689494287763,,,,L7
2000-11-10 20:44:23+00:00,20.757855314918057,29.079126703734616,34.104721998235775,28.656773192762977,26.69266972644881,25.61988533526309,22.820158396509058,24.82014739884096,28.975003846175067,31.375869960682536,40.07826425108872,36.01766311390959,35.267300025426614,37.070425695291554,41.89327073327307,46.65968296719633,50.06342294137732,52.86536055317772,59.09135936716085,59.39002972231144,57.60041350439189,59.79932992032268,57.18106617821877,53.4314088479256,50.07986102137853,48.69725272611612,43.05432182572496,42.31477884762364,43.682197961845326,39.192578673405976,30.17481432164296,27.57584422499092,29.97577715570585,35.67301975367456,36.39812626519898,35.41086044479132,32.188132333788104,32.457272857428705,30.69750492622689,27.89432651642146,30.724070036696546,31.255378895049176,27.074309496959376,26.61336399999024,27.257949760347923,22.55136703098033,22.12447689267785,24.09726244813459,24.254286319360045,21.889406031193893,24.22279857927773,27.96443835022433,25.71498983419468,23.963154788915244,27.23345811686705,33.332375142216186,33.58343520878924,35.16298388065676,28.21572590757017,20.955020292185065,25.30771639692566,19.948173110501312,22.33151236351647,22.96948056696443,24.513353429939777,22.946852917157447,23.27787141466011,,,42.95104004557255,45.9433011265166,L7
2000-12-12 20:44:27+00:00,-8.9963039710567,-0.4356005347777211,9.469840090741297,12.298939241131166,12.978801411322449,14.409322968652445,12.28413411944299,15.740750726153,19.46788705648107,20.958214135178498,12.872756366498184,12.215354301024972,11.270995133137768,14.267553048157737,20.856936995447736,21.48566727382268,24.625381319814,27.657983345240467,30.781443260372164,33.391764827005304,35.06047197737779,39.10342243947216,40.47641005528211,42.30968006716979,39.52603783680635,31.75343502525088,26.30231979500052,26.87940445011708,31.46067354902422,25.81199328978316,24.003801890065773,13.068290433718564,10.84525292646802,13.3101902023343,14.140238419953665,16.14972684832083,15.843388076166788,16.323404574462597,14.91828962026469,12.880633228152346,16.075790792631643,17.560048819556727,14.398361050487903,13.403109950464616,12.89035912952511,6.2464666912163365,3.0992528700628283,1.5749432302524131,-4.115032330648576,-6.924587780865829,-9.536767858483747,,-5.443588361280497,-4.490424080901756,-1.5721916911442508,3.158457814308937,5.23763172896274,9.716202538778314,12.98304835193461,8.339611460585578,6.337268417246381,-0.1157825572791821,-8.502266185156031,,,,,,,,,L7
