dates,oahu0085_0001,oahu0085_0002,oahu0085_0003,oahu0085_0004,oahu0085_0005,oahu0085_0006,oahu0085_0007,oahu0085_0008,oahu0085_0009,oahu0085_0010,oahu0085_0011,oahu0085_0012,oahu0085_0013,oahu0085_0014,oahu0085_0015,oahu0085_0016,oahu0085_0017,oahu0085_0018,oahu0085_0019,oahu0085_0020,oahu0085_0021,oahu0085_0022,oahu0085_0023,oahu0085_0024,oahu0085_0025,oahu0085_0026,satname
1990-08-19 20:14:00+00:00,23.47962143355512,23.74288719391928,16.362916922115506,1.7969612115708988,3.071395707662667,11.327484902484388,22.2920466318376,24.525795069891632,6.335070976827343,-1.465153664915953,6.603431323913835,2.637935188152941,12.331789055712855,12.689263053907611,14.645680939233092,18.55699523149988,18.3454498475979,20.22100048382728,29.320292639087,29.12280212375208,36.996633882480246,37.07630096091011,36.83646149544461,47.16273603448252,,,L5
1990-09-11 20:20:05+00:00,27.199881980522697,24.94248666851679,19.53695871167165,3.398896798940018,2.867346550260488,11.097100781022204,21.10560850758939,24.696398561202823,9.355460047522502,3.245141637857567,8.333532750673342,2.2104848567249027,10.93301883278664,13.189637009033266,15.479224074143476,18.43588621905485,14.67859896774937,9.711514524646637,18.72581963054116,21.844849865095817,31.748998051285145,24.807751522337167,26.81318190547159,42.33948358378542,57.416989056449545,,L5
1991-10-09 20:18:07+00:00,27.8262369781383,22.954837726975097,13.325422841206276,1.892821377214445,6.203837120517419,12.131556780553376,22.49243120118486,22.863619728098403,5.083935998625875,0.0957225085674224,6.349657345048775,3.150349498439464,11.91392265943525,11.589370046121095,11.982459780271132,14.20386877236237,12.85168426211022,15.235792469597412,25.96123535034086,27.01214747020309,35.599029827868414,33.74102379635578,34.16578587585453,45.57632752949735,,,L5
1991-11-10 20:18:16+00:00,20.51837148443217,16.508106457314703,13.093417476369307,6.585102079000899,2.5827549563983845,2.3123794962523,4.699392951451801,-13.465411468538525,,,-7.432167678936401,-12.369741932423498,-4.059304413024955,-3.384754184660737,-6.768615504124299,-10.67597940924878,-14.85726465998947,-13.927566038870689,-0.4914288805220058,6.6564134715839804,21.27756877028257,26.040778739355112,29.930060755233526,41.6117842725167,53.70857252806029,55.2684234694578,L5
1991-12-12 20:18:31+00:00,20.40399384310867,17.267196573971862,14.27211637811921,7.99586719456511,9.228538188199224,13.374403932857051,20.72653157448992,22.2376145747066,7.310273762017732,5.081868909048921,13.567140296855046,8.78140801969918,14.16375899497058,14.102505686971536,14.28139951262832,15.71973286290222,13.023328085548934,10.39433091589498,19.39259715081978,24.29970584410328,30.12883227786713,29.231767110421625,31.75428420744175,42.737262285348656,58.9112107100658,,L5
1991-12-28 20:18:23+00:00,28.372935144908723,24.094112597488,21.58652766325073,12.970035270746834,9.751230359425762,22.048283933376425,29.77621388340571,28.21259268503443,10.188145297875216,4.165577598697028,10.41122070677798,5.64279118462493,17.187939226068913,20.2659607555959,21.80379505845744,23.99776663818124,20.88098281137615,18.866710927589505,27.80409845671436,26.55652722366472,38.38198723422612,34.42236095733947,35.59506079330912,46.41430299973624,61.52373623955952,,L5
1999-07-26 20:53:05+00:00,22.26116900963992,30.92682147070394,30.7989257369208,15.802988732706805,6.584005525618774,7.359145955212862,4.785625749562327,2.90663832447284,-16.084196125912218,-20.152257548071184,-3.165643781271154,-6.758102526648396,0.6780236911049216,2.6226672028937585,4.961439408164398,4.640843035263607,-2.113460170986017,-2.667033609791748,16.791395016654857,24.06336224298129,26.69732848866167,18.24848115028245,20.45985308059448,33.91544832580827,48.9650585572322,54.05285630913615,L7
1999-08-11 20:53:07+00:00,29.35388748149489,32.446340773966135,40.56570632234273,18.548891260232423,7.021845730085201,3.426625524270201,0.913577926045652,6.332779236914388,-9.998435528653213,-15.888583628891514,-4.806630262156779,-10.968346831012294,-2.3956820766561355,2.123949454049222,5.051171721947118,8.453325292384259,0.3683426769460116,-7.274122058799128,4.678483563793333,7.27240738147981,14.676511460938316,13.312115161908766,17.398992574669236,31.645870966492343,47.81455130989616,51.29274074212414,L7
1999-08-20 20:46:55+00:00,35.963054497961686,37.02377921063163,40.33292935121475,21.052550613450062,8.68437490245137,4.502612747086919,10.235104484461935,6.439555018864522,-6.275531098269913,-2.20882141825881,2.27634773312174,-3.604995616367604,4.469805175611096,5.341197687477519,8.565377121410041,13.88159714356958,2.058277949492326,-4.1259270047605385,4.5957244706265685,13.848947662907063,21.75537872779732,17.07436561327746,20.318448094082864,32.32170298943507,46.9011852220326,54.84560849200639,L7
1999-09-12 20:53:05+00:00,26.919386695477275,27.585491845970747,30.471986148670062,18.160521845024885,6.805820246722203,7.953021789872669,8.946630053438227,6.24391381754488,-11.422669016843813,-12.131345221192532,-0.5722969666804962,-5.434897798733663,2.804033436237624,4.674712917925182,6.785350161536145,12.341528223318472,3.919049098926551,-7.222510699327642,2.0501134861836947,8.901312413908478,20.16877988766361,14.484995163899615,16.219314534496757,28.387563039410136,42.19034002271876,54.46806872195071,L7
1999-09-21 20:46:59+00:00,22.988195284119755,33.49105687033513,40.22799657721384,22.474355139603865,9.513944387718391,6.2318324706949575,13.676210129478116,13.875888987348468,-0.6915045944373124,-1.8938602019923327,3.8060311473182753,-2.6305375425858246,7.762295169362829,9.00998031448374,11.0542755421382,14.6128061959663,1.826728834370157,-3.36789138775413,18.788540288099725,27.05252770531393,32.50319094551784,20.9094412322523,20.50325010388876,32.04584876058915,45.2877420815685,55.1933446650446,L7
1999-11-08 20:46:58+00:00,,46.14057664919839,48.37511058129533,25.781399506297,16.630788056706226,20.54738422817686,26.78754611361308,24.985173633765992,-2.048260441892773,-19.932798857476666,-9.627955606503216,-10.83302329276474,-2.3888909691442,-3.856004644731972,-4.713868925737238,-4.177162288705894,-10.223425758502191,-13.78563148835748,-4.957505441866424,-1.3742355602571732,10.783539350378788,10.823382193265653,13.188330118574246,25.498007191309707,38.48810172650711,47.68452643174784,L7
1999-11-24 20:46:49+00:00,43.31889750260879,43.58443356682663,43.1174888907177,32.037559217673255,17.48527161615599,12.066738676044016,18.24870052549464,19.20854249125681,6.073304402642688,4.940531517836779,11.1108849542761,3.799492103498726,10.48883808936664,10.62288700094568,13.1693947118774,18.0874291351775,18.60754934148416,,,,,,,,,,L7
1999-12-01 20:53:02+00:00,29.95298153731316,34.60495411112347,40.33213391085093,23.087711073016504,16.464168666583536,18.292346886888364,23.9752785742648,16.716772308027505,1.7189800078681214,-1.2269872086533704,3.3831943925464456,-0.1868976566623184,7.219015549855693,9.65357922140931,10.857806857786889,13.1592699325106,8.245160080954715,9.183141999707054,23.93936252025624,29.02260230346777,38.10954976644705,25.98813263996306,25.306212482329745,38.02554401511545,51.64445703489788,59.86858068204518,L7
