dates,oahu0106_0001,oahu0106_0002,oahu0106_0003,oahu0106_0004,oahu0106_0005,oahu0106_0006,oahu0106_0007,oahu0106_0008,oahu0106_0009,oahu0106_0010,oahu0106_0011,oahu0106_0012,oahu0106_0013,oahu0106_0014,oahu0106_0015,oahu0106_0016,oahu0106_0017,oahu0106_0018,oahu0106_0019,satname
1991-12-03 20:24:42+00:00,22.433909920486336,30.623138688844456,35.482539602464335,37.81262745166302,37.320297957972166,41.48558401179686,49.49198802692216,50.95916767662009,39.25470897690007,24.26405560193254,24.28368525773756,22.436761997609125,22.84679854543127,21.38135805245598,11.568521219189206,6.27490335950863,8.327399673177277,15.451925945582156,9.863333639347957,L5
1991-12-12 20:18:31+00:00,15.810918917957526,30.51781059413592,40.506441326343925,45.09318434408126,42.37951612625822,31.89330383271758,41.40860582331168,51.300331128985,42.23838246376358,28.16407779054208,25.794236338960424,21.404004040727287,22.28954919811644,21.96493762161387,17.011122984785906,8.460301898720926,6.575176626068968,10.775176864636109,11.442032442358355,L5
1999-07-10 20:53:01+00:00,62.84418766605564,36.22778930263104,33.72079711375475,23.992762875436465,20.817965414906585,31.40709823206752,36.42623382179754,39.18660562274065,36.89304449525031,24.638485987769265,28.27196797894137,29.59885128385917,36.18408445758365,42.34440683777353,42.35110886494763,38.0479714216383,33.59670665384892,35.255023740468474,31.96847293118152,L7
1999-07-26 20:53:05+00:00,49.38121551428178,37.512683680497794,31.50937173015157,9.049878264014922,17.191404276478824,30.89118118324208,31.930774072154247,34.595566203311805,32.076592419257466,26.85887606842529,29.788719265928,32.993798724148434,41.94207530352578,50.28636200743922,48.46925060425564,43.37874303765849,41.48519121336168,43.03642065415275,37.379778810302966,L7
1999-10-14 20:53:13+00:00,34.60073737541899,31.50424165888178,30.720974146033942,30.238971318418184,25.423919020554766,29.32963340952415,32.213632240290025,39.00605818457979,34.41310972588552,30.017834824718808,34.08193789733584,34.49975538328562,43.91731822680175,50.968775073160415,47.94317620673282,43.383782278401775,36.61475918829088,37.2464699843604,33.17050004022376,L7
1999-11-15 20:53:07+00:00,26.82101662254163,27.92566721432433,32.44514361349836,,,,,,,,,,,,,,,,,L7
1999-12-17 20:53:11+00:00,34.811725290163594,44.21687494973349,49.18921897222039,52.69951748951764,53.02938352445285,53.33469292802,55.24912491146013,61.63225325393429,52.533143410098,47.442716158535056,38.62837721931512,32.59938801244438,33.449059958487126,33.82801957401939,34.8364198605422,24.3490043473038,22.93416107978456,26.02095774418202,18.37342788424325,L7
2000-01-02 20:53:03+00:00,46.41791283496159,52.67892718345172,51.8665800173508,54.35213066057379,60.59746595218013,64.84388811362362,66.20432229440208,61.406347316145485,50.9551997458524,41.27114253974634,36.04891697447854,28.59456081031881,30.354553426953032,23.820728891320567,19.26623378614616,12.09443427130201,17.71615720708214,25.252241088755248,26.32744106322631,L7
2000-02-19 20:52:54+00:00,56.544193750867926,61.20717250414311,65.44007695822921,66.0217407046014,69.76699467955464,,65.22483853524724,58.77450501463952,49.926688899634165,36.84573796710786,30.224663210255745,25.19481778903691,29.34236463922516,28.669567785587688,24.43177055919123,12.108418616056852,13.975364980305264,22.11990888265444,26.80971393685734,L7
2000-04-07 20:52:39+00:00,55.12299533162549,57.42904705451369,53.55385221291576,49.98602895632328,46.9712377684739,50.62984672929244,55.61275727919701,54.08114913699036,46.48813433672751,37.101084684089074,34.79159959199108,32.08116505936164,34.842913414569466,40.25519154686304,37.78115837094941,24.5955522239174,19.953744200583778,20.642667862386368,15.895804839859048,L7
2000-04-23 20:52:33+00:00,45.20152543583772,39.1435915763174,40.98551148420378,40.79313973290806,41.18181236205352,39.79559812687995,44.14046615889279,49.6712401785415,41.54475044650769,32.116743567429644,27.433435910008487,25.675253820259428,32.66009667180366,37.74112815430735,35.10553661180222,27.53974352081208,20.70927584104426,19.5093768458843,14.514546443874936,L7
2000-05-25 20:52:12+00:00,32.992277631191634,30.63251344702264,31.45968027491976,30.924378122884256,31.34586740085366,37.20876561338333,40.82077561229501,46.20994828801264,42.55819375230261,32.054532508108004,33.761888311457,32.4927037760053,36.959374423537454,44.44027215634192,42.62212100984,36.653871058602384,29.397496528085743,26.54895696254748,16.850964307697055,L7
2000-06-10 20:52:06+00:00,35.2177148685073,31.80828883957842,29.774453776363,9.086042485538185,20.03506258628655,29.19761392392288,31.931342409638148,44.57316229881743,41.17028399736282,29.21839614244248,29.739880253024744,31.32708365083417,37.75159002518724,42.03850023274194,40.3974271040127,33.36312272939882,26.836922734899115,32.784418343211314,29.78987477219912,L7
2000-06-26 20:51:56+00:00,42.13841865785118,32.03497594652071,22.06879808562303,8.703570201929779,18.687417880801668,28.39287373052734,30.00856058601641,42.356890332715736,38.90976623263592,30.81284260294313,33.241369279350224,33.954508518254414,40.33584124051601,45.69331758876251,41.86606037977491,33.45456037347342,17.464758940027707,12.042135819680505,3.632814557584133,L7
2000-07-28 20:51:26+00:00,43.2267177021063,37.485580323974325,32.71106582213983,12.42108039350454,18.14351700267881,20.7173227536404,26.356187404125755,30.937542481999635,37.45655729137949,27.19799073265453,35.99793253361268,43.19452288882365,50.635249349107625,58.53888968236577,54.83530568517752,51.83967538663454,48.39936604002629,49.72574130590508,44.68763784991389,L7
2000-09-30 20:50:41+00:00,40.1468543632629,35.85557640790329,36.619113455379534,35.8252440509936,32.522382637039414,35.217273266530654,42.30537903903589,44.65337252359365,39.55651746831004,35.518510173529364,34.75814919826994,32.627434598963646,35.107555240116284,40.369941070059205,39.46188957104247,35.00764455928141,25.98346655122992,25.21378125990565,20.177416924747664,L7
2000-11-17 20:50:34+00:00,48.81423417594627,42.76819069057947,46.80864870663539,50.38432948051014,51.81760787556989,51.50594167079173,55.60242484395928,58.5652424108211,45.99234403289051,33.67731036294536,26.71959337865828,17.72562446469742,17.039566067550414,18.50668791869936,22.02617219818492,9.660979202349274,9.898543119055146,9.258254297219818,3.0360737956879933,L7
2000-12-03 20:50:34+00:00,50.43496574914214,51.60397791622901,51.49095898067982,52.4062321099027,52.12831752566551,54.34909991932726,60.880926136998255,62.014904410324746,56.16123845638343,46.15968807009295,39.402878805508585,35.25906930432508,39.7961164687629,45.84531810673368,39.885334191563445,23.95564821394213,22.286816246441774,25.613233150019067,33.54525276353769,L7
2000-12-19 20:50:39+00:00,46.24520282866948,51.9427775357685,48.99978301764645,50.0508440106932,49.21287155562168,48.96006987943413,55.742041825305485,58.217118631693246,47.58744597433446,38.965779822815634,36.79316341006471,28.77910031104332,27.301963678330694,25.7218381947478,15.119268539787075,8.9505271355228,12.79464723530485,19.88235387032262,14.651406049300924,L7
2001-02-21 20:50:38+00:00,55.253733887091954,45.13531882062864,48.48519349150804,48.73155131209439,47.48837948703285,52.66714937561989,56.64254338757714,54.08848843504207,44.37984449443467,35.771783373990175,34.33263108565176,32.1986291797331,37.10915216104286,34.351403759695664,29.826707761382018,16.58912100900209,15.007794856603086,21.55953979184182,18.30136651658576,L7
2001-03-25 20:50:25+00:00,60.30816048475901,56.644293206869285,58.04257540954725,59.9049957085393,59.08430855773279,56.72537485447262,56.71841065258697,56.94102966063169,44.5898972893326,38.990842735143055,35.21784480805289,31.324208530848573,33.54888368306813,33.28202281475929,29.81832962990924,16.774421487600804,14.735077253569356,17.703938885942886,12.08925459569757,L7
2001-05-12 20:50:10+00:00,33.30624410197135,32.65321481805504,31.47307245160988,15.598920843844583,19.988392234134547,30.451115463343807,32.51176725897957,41.608345911641145,39.848399413124376,33.19036809046991,34.93647295466609,36.46187461055894,42.67662025665193,49.76196385513951,47.87534935688058,43.67719571643678,36.099944994773466,32.307273536868294,26.01893675191727,L7
2001-05-28 20:50:01+00:00,28.040393163253064,16.763854534950074,,19.083484596323355,,,,,,,,,,,,,,,,L7
2001-07-15 20:49:35+00:00,25.551863003363707,22.38893776529286,10.722716172891088,,,,,,,14.65628501952821,27.746652803176705,24.4537136817064,22.4990066344914,15.044551216788744,9.168129357543108,,38.18524536466682,43.2060804478088,37.35674576822559,L7
2001-09-01 20:48:54+00:00,44.79836207578361,37.38738963952966,30.92444940230128,15.53759698697394,15.516309934338144,,,30.782163502981085,32.828071689549674,24.91414611012,33.798818502821604,37.68309958228626,47.5036547925712,54.76609980842664,53.03894778722295,48.41231331733813,43.08197040598786,41.61408475357634,32.209189978610894,L7
2001-09-17 20:48:42+00:00,30.05107933307058,24.109848282906324,16.758461942829012,,,,,,20.568676714066296,15.95540484842024,24.08240739710018,25.76207499742493,32.34855680288877,37.75533254326318,35.02120189332034,30.858651541086484,27.56982975103876,28.575246803059954,23.31615117753828,L7
2001-10-03 20:48:30+00:00,31.41908629169524,28.001674075001823,22.078163394419555,17.795826135619322,14.996650383837476,19.459077902801496,25.655647586785115,38.13373798843354,37.30829772199203,23.7767491999506,29.475524440210645,27.90445700382508,31.988712410781595,40.38334318576007,43.620137782966566,40.90249096922899,34.897059347599104,32.380742632965294,25.143825399381264,L7
2001-11-04 20:48:37+00:00,31.50137196039272,36.504007709189246,43.230937981259565,44.58403245655134,43.21160625781786,46.79191986513719,53.74444208253547,57.008734966351454,47.55614365136584,43.29150934870778,41.26446492496622,43.867222357195246,48.33277546572739,54.60802350804459,46.18628273489889,34.287836898546765,29.369552336064054,34.69755932929348,40.980640270813375,L7
2001-11-20 20:48:45+00:00,36.42279680146378,38.43636947073768,38.22809232206448,41.75776507926671,44.52489422808727,41.1066595411334,50.538974437998455,53.81346490044445,41.60347054058305,21.162498874054272,20.6637973390705,15.235807467428216,13.623048500992391,15.15826736888297,11.15814770236224,7.233915212529708,12.295023595077597,16.01836577893599,13.68821187425782,L7
2001-12-06 20:48:46+00:00,21.777090274422545,29.417718424445336,32.407961975574075,34.03716134774863,30.95762143113148,25.905560561431017,27.692630175965363,31.389743969929647,34.55011936400668,23.556260874126256,24.76654410739389,21.714990845808902,16.213000932762164,14.443440598003503,10.95468072204531,6.676065959641586,9.736388929752366,16.598673880157804,12.883336363969104,L7
2001-12-22 20:48:56+00:00,22.80962471629312,38.31138499007282,46.861445012150014,50.00117141724497,50.39964333017209,50.66132948165175,56.67334249344441,59.37434766102314,47.8406192026517,29.609692055933568,31.453805006899543,31.8329332632492,38.25632094270817,39.428174307547614,36.54553999086276,23.382970295358604,22.3991972135944,25.96241452812793,20.01789691329488,L7
2002-01-07 20:48:58+00:00,30.86764928912737,37.8039142464306,42.81746141312591,42.833064889166046,38.2883778652046,34.01289770053989,33.060390866830296,40.60492734951072,34.65885775759921,17.58301155409928,23.838785459274195,17.245438217900936,10.928045708679203,8.559098856907859,,,8.52860292359725,11.636800141913252,7.532515069577562,L7
2002-01-23 20:49:06+00:00,54.90524674640846,,66.00268764769596,64.53771395902014,61.72115066364305,62.20262681164884,65.17003980311148,63.29418240940729,55.07162692784584,44.90260130717056,38.82148989640148,34.29247127504358,34.896022379754385,34.22884186659045,34.06071279393496,27.445869010554617,23.04815572399772,24.51473311877985,21.309658726722976,L7
2002-02-24 20:49:10+00:00,,,,,,,,,,,40.57487286839228,35.54123806099415,39.454409221856864,36.27208225171335,34.51924890672169,20.39198877112425,27.75861963206961,33.00227171260175,31.211111310983643,L7
2002-03-12 20:49:08+00:00,57.52307535252306,61.7376802322064,60.14561451420011,53.62610764880586,46.3917483735885,46.1197604805874,53.06856230623583,56.56753979848875,45.62285688653056,37.64720824369708,37.48015705189974,36.26874431971421,40.04710714823472,41.78493656090523,37.77504218932132,27.15137855930338,23.02315787960641,22.435248042699765,17.828403552775377,L7
