dates,oahu0037_0001,oahu0037_0002,oahu0037_0003,oahu0037_0004,oahu0037_0005,oahu0037_0006,oahu0037_0007,satname
1991-10-09 20:18:07+00:00,,,,,,,,L5
1991-12-12 20:18:31+00:00,103.4265313948914,,99.04350273941738,99.6056433350641,99.77360739673968,,,L5
1999-07-03 20:46:48+00:00,125.3669504405652,125.37417968227456,122.49722528746176,123.831592763975,127.32374542325148,128.8242233648766,133.9857942437047,L7
1999-07-26 20:53:05+00:00,,,,,,,,L7
1999-08-11 20:53:07+00:00,,,,,,,,L7
1999-08-20 20:46:55+00:00,112.73268581093436,113.33804628630354,108.45940918729109,109.0099481044111,,,,L7
1999-12-26 20:46:52+00:00,,,,,,,,L7
2000-02-03 20:53:01+00:00,115.75672400689056,115.44711033634988,116.03717879713992,116.37890376347414,118.28687774560136,,,L7
2000-02-12 20:46:47+00:00,120.44012472336308,122.61836493015969,123.11483582010592,122.50402701550314,121.44448669698424,127.7950340645268,131.30446944971473,L7
2000-03-15 20:46:37+00:00,115.57159239243714,115.6095221507552,113.4862819739262,113.10993960957066,,,133.92984693495765,L7
2000-05-09 20:52:21+00:00,,,,,,,,L7
2000-05-18 20:46:08+00:00,114.09023160803667,117.84107157446996,117.77267603477978,119.1513901982214,120.47218084414696,127.01085172669453,131.92042721013,L7
2000-06-03 20:45:56+00:00,,,,,,,,L7
2000-12-03 20:50:34+00:00,119.56546773085866,118.45393931747398,116.76448974936466,113.92551387087828,115.59685447374127,,121.6377156157121,L7
2000-12-19 20:50:39+00:00,130.35675207897893,131.25860287040746,124.15682556599803,125.59673424420863,,,,L7
2000-12-28 20:44:30+00:00,123.18450280196232,125.0386754491544,118.4735995149562,119.2723867191486,117.82407137781064,,129.19049292150214,L7
2001-02-14 20:44:29+00:00,,,,,,,,L7
2001-03-02 20:44:23+00:00,115.12523200048854,116.98401593930384,114.03262663526016,115.0426100954016,118.75535768241272,123.09487380231604,,L7
2001-03-18 20:44:17+00:00,123.39598197696564,125.4784164634802,125.26210909838098,121.9025997333196,124.25887663776446,127.21732999251758,136.9433912510402,L7
2001-04-03 20:44:06+00:00,114.02917763488418,112.7759672606702,107.8930059320601,109.38621562459082,114.75710736064282,116.140319016088,121.46338720451584,L7
2001-06-22 20:43:29+00:00,,120.91206139417176,121.3956533504442,119.22348207599788,118.93276057986702,116.51870445299444,117.9742091009124,L7
2001-09-10 20:42:38+00:00,,,,,125.7531853989464,126.8343635984848,125.21587100949388,L7
2002-01-16 20:42:50+00:00,117.7647571499676,120.53201579753396,115.23541377471982,114.02526644470628,118.00069363893289,125.7971473312758,128.30938635127936,L7
2002-03-21 20:42:50+00:00,115.98410751167158,117.5886852173767,120.80130605768184,120.16551489620524,120.6300514776192,123.53964703953557,122.89658261369004,L7
2002-07-27 20:42:18+00:00,101.77192043074344,103.9899492273774,106.25966508719632,105.8658072263394,105.39849959414384,,,L7
2002-11-07 20:48:07+00:00,,,,,,,,L7
2002-11-16 20:42:04+00:00,117.39640940054568,114.81106356858557,110.6523259189434,115.29202122367676,,,129.8519544162371,L7
2002-12-18 20:42:19+00:00,120.72806085939084,120.51016561814072,117.91806041044632,118.07642098923468,,,139.73172188353365,L7
2002-12-25 20:48:35+00:00,,138.95902210410776,134.4012329057951,129.30158809645505,,,145.9079282014906,L7
