dates,oahu0011_0001,oahu0011_0002,oahu0011_0003,oahu0011_0004,oahu0011_0005,oahu0011_0006,satname
1990-09-11 20:20:05+00:00,68.7668658471719,73.05583084537169,61.12513869894793,59.20217868334703,54.2318803885541,52.533090049220085,L5
1990-09-20 20:13:50+00:00,58.37511752809022,62.839391708283536,54.40151922588607,52.88372091286026,49.788767377364096,45.8143149619814,L5
1991-10-09 20:18:07+00:00,66.42750107626907,72.03465898516086,60.86278926038951,58.55963620502408,48.64156404784469,44.694507066398415,L5
1991-10-25 20:18:11+00:00,,,,,,,L5
1991-12-03 20:24:42+00:00,,,14.463903287986096,11.839013468298004,5.263778575729019,-0.1279096595805536,L5
1999-07-03 20:46:48+00:00,56.57149395978955,58.932929342163234,46.24805788432996,45.20279435808608,41.42162804278594,42.3238481860709,L7
1999-07-10 20:53:01+00:00,61.9386594416338,66.63684190062594,55.511625965262255,53.64125065123359,49.59132725375097,44.17831744605152,L7
1999-08-20 20:46:55+00:00,60.91058059184374,64.34445101324098,51.315789732567296,50.111528514500336,48.2036437087461,46.01120761746812,L7
1999-09-05 20:46:59+00:00,62.89895431837234,67.24537072048896,55.17319683822449,56.3728400679102,55.65998397261146,53.90479406625834,L7
1999-09-12 20:53:05+00:00,58.7309529637421,64.59208683032439,53.82806886338793,51.69772869726431,49.42050841326697,47.817000451704224,L7
1999-09-21 20:46:59+00:00,60.099293320363394,62.77406727923181,50.69864215397106,48.02734951873584,36.13106922676617,34.9773919413423,L7
1999-11-08 20:46:58+00:00,31.53139143734468,41.33783567210939,31.53051996261065,29.885883710532283,19.42956502833782,12.049339819991127,L7
1999-11-24 20:46:49+00:00,57.000774186368446,64.75620581839476,50.28989724542103,48.05795714346306,43.07894337284307,39.225187791716095,L7
2000-01-02 20:53:03+00:00,,,,,21.95706666454895,19.39442643477601,L7
2000-02-12 20:46:47+00:00,,46.93990899952806,33.58093062214221,32.03389336100023,28.764748296514,29.034300436417453,L7
2000-02-28 20:46:42+00:00,,55.05900691507463,44.749344197734615,42.33480718199341,29.37840066661406,28.05397298704585,L7
2000-03-15 20:46:37+00:00,41.81137143438184,49.61611105038572,34.09643944171645,33.11054127155453,25.356846642839503,22.54929392012508,L7
2000-04-07 20:52:39+00:00,,56.94449884544362,47.2885674044748,47.65240411348061,36.80651015903446,33.34300229427282,L7
2000-05-25 20:52:12+00:00,37.18214354647859,45.550205751830894,34.75255297519225,32.70017119405854,31.37929083463412,27.205668135798938,L7
2000-06-03 20:45:56+00:00,67.68915530956642,72.09753001522893,57.96417639016205,55.91252719794336,50.87640543744327,47.35120535192123,L7
2000-06-10 20:52:06+00:00,50.50830162598335,53.55273274379024,41.092831297529024,40.68037318124775,38.850115634499744,37.79782693707657,L7
2000-06-19 20:45:53+00:00,60.24331351694407,64.09282163124784,51.74435200625973,49.80360578766419,50.41607105137305,50.263347827983154,L7
2000-06-26 20:51:56+00:00,48.27335529205085,54.819766988124286,43.17297953317456,40.25521853366003,39.13495270670961,37.82991320824101,L7
2000-07-05 20:45:39+00:00,57.99202335174931,64.5439803685156,52.95153828764254,51.37117354571608,48.37173105846151,44.66733305999547,L7
2000-08-06 20:45:09+00:00,68.62483844315302,70.47428676926569,58.04382417998368,46.36808327514825,42.51845691611468,39.72154430503855,L7
2000-09-14 20:50:50+00:00,68.42177117047083,74.51136895195819,55.893715775991545,55.91894786711336,54.94350623856386,52.700014579380415,L7
2000-09-30 20:50:41+00:00,,49.26262666874913,34.51751115123312,31.91122626707169,28.50921509843476,28.93155042601684,L7
2000-10-09 20:44:25+00:00,53.175497675979386,59.8359974747696,48.50714500972167,47.4324360481817,40.03835935237139,39.62346363739215,L7
2000-10-25 20:44:20+00:00,53.6826329346556,57.73934472943285,46.35238192038683,43.44325341778294,33.573466750723355,26.26088693150736,L7
2000-11-17 20:50:34+00:00,50.0097210317827,57.787333820617455,47.47563780916375,47.384563076841005,39.56975435078771,25.552155751529188,L7
2000-11-26 20:44:25+00:00,30.4507132824904,37.59745555769877,25.4571321022129,24.47458086972748,24.784938902527184,25.17543571773949,L7
2000-12-03 20:50:34+00:00,52.09989213909547,56.03714274273904,44.70789601013185,42.603971116915424,38.55991140238158,34.728372601921485,L7
2000-12-12 20:44:27+00:00,44.73390854979894,54.99274519454194,43.44627660035288,41.34963276603905,35.71114486614698,26.410578389087487,L7
