dates,oahu0079_0001,oahu0079_0002,oahu0079_0003,oahu0079_0004,oahu0079_0005,oahu0079_0006,oahu0079_0007,oahu0079_0008,oahu0079_0009,oahu0079_0010,satname
1990-08-19 20:14:00+00:00,,-7.34180779474299,-19.999285234497066,-23.459294792132766,-24.33461671473037,-25.861086765611816,-21.47351354798952,-20.513723136758067,-12.85185439039599,-0.4207295348870329,L5
1991-10-09 20:18:07+00:00,-26.25583966708336,-29.27773417526877,,,-33.55295463871428,-33.0410656072644,-28.640050756046485,-28.42425981774713,-25.80707962539908,-15.72221653906664,L5
1991-10-25 20:18:11+00:00,-13.91882809493827,-22.59225561197489,-27.65641354765301,-28.491160110466257,-27.15749174411817,-25.534821737907365,-18.061560687974644,-15.054848469151596,-10.131158165785113,2.118841963408576,L5
1991-12-12 20:18:31+00:00,-12.293890886711642,-23.1863953538442,-29.755382885037672,-30.166106844877486,-28.1355963100142,-26.8270255883593,-20.97164087237628,-19.314785396437948,-15.571919291809582,-3.3656204342473424,L5
1991-12-28 20:18:23+00:00,-16.68888325872453,-20.95720861184457,-25.109024163882683,-25.46446509320744,-23.92988606886792,-22.867886691487048,-15.32918989880186,-11.3597271655095,-5.124739270033587,6.660358279210824,L5
1999-07-03 20:46:48+00:00,-5.140836877591943,-8.314072044697632,-18.00013078609981,-20.845619947350333,-21.894111227339327,-21.059656180717383,-16.32256392261947,-15.614473898835726,-9.965339373600152,2.6784402364442315,L7
1999-07-10 20:53:01+00:00,-24.76132173797291,-28.152348073302075,-33.166519478750985,-33.07444026767229,-31.809943596454502,-30.68533927834532,-25.448828386561804,-23.895342405051714,-19.03301240682969,-7.176085736103849,L7
1999-07-26 20:53:05+00:00,,,,,,,,,,,L7
1999-09-12 20:53:05+00:00,-17.35177756803376,-18.045635861457487,-24.391144633298733,-28.18182180884488,-28.087676504948806,-26.84714936106559,-21.598278554262667,-19.833534422581074,-13.770683361920849,-1.1201583626719227,L7
1999-11-08 20:46:58+00:00,3.4159912415096123,-4.534874346442138,-19.5117874944308,-21.585395345420803,-21.86612739553645,-21.21083263946869,-16.249349577769866,-14.288515572411974,-9.760586943562076,3.084588586066176,L7
2000-01-02 20:53:03+00:00,-1.393711322463687,-5.749736845447197,-17.507040267369167,-20.274057519093475,-19.71312880621767,-18.03060841056163,-13.136756451775042,-11.597891587473102,-7.048191904158543,4.442760205794187,L7
2000-01-18 20:53:00+00:00,,-20.36084286927134,-27.88355121995539,-26.501048444124724,-24.038257050320546,-23.86886019950918,-18.851260326623564,-18.698859590037504,-12.694665549353775,-1.3126012176511967,L7
2000-01-27 20:46:52+00:00,-5.343539908997893,-10.78862976360714,-17.568345316791756,-19.16209316358937,-18.01520155547156,-15.220140460906656,-7.3613353778063075,-5.53822868960792,-0.7096016312869635,10.279518320982897,L7
2000-02-12 20:46:47+00:00,1.744210451249903,-4.295314268000352,-14.938280179069178,-17.333475394198825,-17.966274519659308,-17.40926801526622,-11.810746965688034,-7.199074739067688,-0.3515563702341597,11.763067728093938,L7
2000-02-19 20:52:54+00:00,,,-0.6057766142470817,-1.3802214158252712,-11.37805546187388,-10.473608212420984,-6.839439938959757,-4.5643826669853205,1.2591336618178222,13.084178112495168,L7
2000-02-28 20:46:42+00:00,1.70154935088761,-5.03375521990519,-17.115197351513842,-18.483934350977275,-19.40751165611708,-19.469704798424388,-14.006949354432116,-8.24508103526647,-1.8251401683801776,9.86337169544066,L7
2000-03-06 20:52:49+00:00,,3.438330261111508,-1.363335079490975,-10.008942612519652,-15.067833327629993,-17.984095995443397,-15.434915537870053,-15.559797467074718,-12.154168814799908,-0.4848588704966545,L7
2000-04-07 20:52:39+00:00,,,,,,,,,,,L7
2000-05-09 20:52:21+00:00,-27.53965527193605,-29.711289468383853,,,,,,-36.63674663154593,-31.03278122769024,-20.05480939452421,L7
