dates,oahu0026_0001,oahu0026_0002,oahu0026_0003,oahu0026_0004,oahu0026_0005,oahu0026_0006,oahu0026_0007,oahu0026_0008,oahu0026_0009,oahu0026_0010,oahu0026_0011,oahu0026_0012,oahu0026_0013,oahu0026_0014,oahu0026_0015,oahu0026_0016,oahu0026_0017,oahu0026_0018,oahu0026_0019,oahu0026_0020,oahu0026_0021,oahu0026_0022,oahu0026_0023,oahu0026_0024,oahu0026_0025,oahu0026_0026,oahu0026_0027,oahu0026_0028,oahu0026_0029,oahu0026_0030,oahu0026_0031,oahu0026_0032,oahu0026_0033,oahu0026_0034,oahu0026_0035,oahu0026_0036,oahu0026_0037,oahu0026_0038,oahu0026_0039,oahu0026_0040,oahu0026_0041,oahu0026_0042,oahu0026_0043,oahu0026_0044,oahu0026_0045,oahu0026_0046,oahu0026_0047,oahu0026_0048,oahu0026_0049,oahu0026_0050,oahu0026_0051,oahu0026_0052,oahu0026_0053,oahu0026_0054,oahu0026_0055,oahu0026_0056,oahu0026_0057,satname
1991-10-09 20:18:07+00:00,28.01289974187545,23.62693278840288,19.3117538003851,24.54376695038945,17.350043112278758,15.774498607804905,9.516789885120646,8.261356687585925,8.135955780887828,8.842829493121203,4.95993229643552,-1.1873835113487607,-0.222705132810146,-3.344067176870828,-8.462541770177078,-3.4363595491547705,0.6152930647530489,3.3448177599164297,7.671684845331418,11.527045204508648,14.696101920394888,13.659588902289352,16.071122887853367,17.889122372906876,20.06148774348617,22.118476366579063,23.177658661108943,19.567982194678937,19.08318624119021,21.161307624198333,27.46259268693775,28.217780917215013,24.30784804597889,20.97028949524738,17.355328279125732,17.99598439513734,16.600471578995194,16.32287120297921,21.62568701918117,24.74444596169251,25.996472784444617,27.39582757196469,33.40932867364205,25.470235522487275,26.07744036896825,26.255636863175766,22.697077848685048,28.93771584628937,29.373242548930072,26.02942949970691,12.305713268902917,9.944512319810851,11.040407281448433,4.937877915734935,4.294184507590627,3.110505852596655,0.8571105592953522,L5
1991-12-03 20:24:42+00:00,,-9.272721626959052,-16.48660823236353,,-7.865601138156063,-0.9208069590712966,-6.108634840683636,2.2024522409044094,5.226798568947678,3.049054663471455,-2.63695289939247,-6.560958730516162,-6.221221794707282,-9.838435222812452,,-14.036970248424492,-14.507111519236108,-9.577182649509988,-3.6198667732620087,2.376789758781177,6.6268472188749525,11.585300683301504,19.368732001299275,32.65677007122636,32.95103996532724,27.31150909400198,15.388473420580333,2.5950869850600453,1.8218710895127528,12.769225177637727,13.868825616805944,8.500073739916697,2.9659537440886923,8.84487702086766,7.33840865477343,9.835459439280296,18.71748273058285,18.789715620237224,17.102578077814805,,,,,,,,,,,4.947237554974012,-8.889234073070726,-9.091165731350468,-3.500855159062757,-8.62851057192196,-10.156185997588535,-10.564951739993676,-17.28270961250228,L5
1991-12-12 20:18:31+00:00,,,,,,,,11.519686581280991,12.140541025396931,12.94012783822152,10.293790568840423,4.9257260454579965,2.9692180112517272,0.2736418848510176,-6.117615903523903,-6.655933461143321,4.1410032890129935,13.570386093057422,18.03955768536732,20.48513172733364,16.983755022999894,4.017146483472474,-3.655780051278304,-1.880767284587349,2.9969442682844027,1.4323938760540258,0.5488476023801112,-6.027606473965341,-5.85748452237027,4.694688494756471,7.381540941371818,9.339743934391208,10.69673818706515,12.703260694512949,8.089284589051772,4.753139219903383,4.5264096804837886,12.307987626081712,18.135700491773164,17.701343894576482,16.22775067123615,10.08283054008754,9.1294629794818,-1.1453236249693994,0.2073810584490807,0.2413284795224768,-0.750117536105154,3.5836972178362148,4.454648537642567,-1.1833534451140004,-14.354967873745233,-11.54420161205819,-9.217817630604207,-10.334988355096469,-14.793233117440067,-17.54546484329647,,L5
1999-07-03 20:46:48+00:00,24.714230164435005,7.3675288075537715,10.1463205857407,22.89661751363018,18.63183515430988,18.684273724366403,11.086431102881416,9.046986827761229,11.462921538837485,12.447305820013463,10.765702665244458,10.633736218259935,11.735184070160226,13.08685414313015,11.580984579695292,14.77170336720459,19.8435084211301,11.144524352098022,9.004391732569662,15.373733586267814,22.012948083412542,24.10385612780177,24.337195673966693,33.13178896173646,40.66269497270905,41.27345886292889,36.59409561108939,38.80990427343001,34.1483764317163,36.905909084747904,40.832234338832365,30.205841622450333,29.843151238588067,22.11277052718264,21.757720608311,21.965082806467823,20.54369758693273,22.314275072628007,22.512919780899207,27.58050087421657,26.55739562180806,28.26880757794982,29.71231943500992,20.627520857724743,21.79766843804432,18.148555874320767,16.73608669244332,18.812358379313867,23.46631117999668,20.038856615480857,6.920251556429552,6.859820509581715,5.648285653606301,-4.394402631688521,-4.877482101070559,-3.6017739505824338,-1.825524795314994,L7
1999-07-26 20:53:05+00:00,18.40611077049931,19.1645463000109,19.99727539515028,25.39143049854254,19.63230372843057,19.198745298770287,15.04468721140603,18.687873426248707,17.955375703418092,15.095951529432575,12.435837247759263,11.845414380803456,10.0564068416491,13.146507510992864,13.173557032562616,16.235274435980564,12.343980749119966,10.232216674678805,14.159467681517924,22.578409628873928,20.640498454709785,13.89285868383462,,,,,,,,,,,,,,,,,,,,,,,22.0609176022312,25.01884474126665,24.356194750926253,26.69035240466813,31.550229685235976,28.00464830379706,13.929855294554466,14.88131805485476,18.452350144287173,3.367969828535075,8.029553422878022,6.4005043245527045,7.008124773961034,L7
1999-08-20 20:46:55+00:00,6.381318693126399,3.616496588628614,7.367755672928606,16.795230772458854,8.344752824795066,9.426774394890192,4.5673519156305,3.893126448246296,2.9592535622264227,6.526022610707127,4.100249044340874,4.033390871571424,3.9450290871453255,3.374734791457591,1.378709918959203,6.809171821377419,6.735162041986996,3.9660603653455766,8.516236027588718,14.522004198483662,17.829585085214962,15.231161566055665,18.912255641031354,32.22892830052061,31.400127548159507,29.880244359664072,26.15658691669757,21.162679113883616,18.155661288675727,20.17188411073369,18.655709643297552,19.22947585388017,15.7304713937496,13.779922130138306,11.745770392165898,8.76020822627913,5.469917898270503,13.332762504357255,16.833923401730196,17.67697070045079,20.269670066088988,14.69538668383041,15.869168124862911,7.85794311318682,12.73206882936233,13.30611920579493,13.981914729704132,15.354025403170777,16.129929886703106,11.756903210010163,-0.3789225705841479,4.922213912307694,0.3435149519345766,-4.440359204571076,-7.065995121288257,-3.9509427741815326,-5.79668438315764,L7
1999-10-14 20:53:13+00:00,14.900569729849051,7.767039049743379,9.587058813766063,17.821017811331597,13.787195481182712,12.714751330380572,7.476572573216484,6.675073077326325,8.017677073612719,10.3174161558044,8.944093484331981,9.980826894023307,6.165778178866025,3.34403966860898,-3.750727592191767,-4.5813155612944,2.284154668737341,-1.8590942382805111,-1.0032919886705884,-0.2126205575543794,-3.589622387654123,-5.22922733070151,-8.626382873125067,-11.52826588226176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-11-15 20:53:07+00:00,28.875228872679344,24.12648603710192,21.24582385003764,30.130565712482163,23.96538043598913,24.564037865692413,24.029268371543846,24.89862357618997,24.43354440359733,24.535214177158178,24.35869031346964,19.71086902481134,15.197993725582794,11.373892918704149,5.0680013897927605,3.1755858808883533,8.1263832588259,13.69334922357466,14.574638861452794,18.755206701430804,22.922389874082047,18.078644808991505,12.351444572492756,13.001343366342876,16.39208159790636,19.49053973351138,14.591143604991718,11.533467181235842,11.675208643219626,18.39208444834344,20.86764605479753,23.227562014437,17.87198566977965,16.462746981920535,12.919720547385612,15.015067510404725,14.81795065713749,22.18972058461198,21.91897914513609,27.75019769043209,28.42240167753822,26.159206185012074,24.5385351198894,22.96452632711428,26.76119185062885,29.90324717819752,26.279192060793875,23.830845873251207,27.16318735888709,24.161333066249387,16.43013356059497,16.999403305008048,20.84001048474284,8.078902039094867,7.070700493791947,3.295185470081866,0.7383639212880952,L7
1999-12-17 20:53:11+00:00,4.637755598557463,2.924559915928026,8.271005453020747,20.121571669960687,11.43880211080905,10.465294639514662,10.90943859608365,9.645948031549336,8.231201138933757,10.562510596524522,8.786201157779514,12.301074083183748,11.34078977558534,7.714855019876098,1.3073852421412273,2.369607936462793,10.826784557509946,16.568168797997515,20.062264698236653,19.97161737251584,16.588805322155274,9.265651220460745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-12-26 20:46:52+00:00,7.660495595504267,5.024567404285788,8.651162860462856,20.39690270688649,15.892572915658478,14.1418431365886,7.086885896920501,5.407631850808143,7.168874185857144,7.703802328394955,4.479113089030859,6.570416135836181,7.492636210795828,-0.4468861462596843,-12.27975700983716,-9.253165154307926,-5.568274316729392,-1.474592874070888,1.828339530355164,5.514337521537337,4.278096771619255,0.5614556519061136,-1.3600441421811684,0.1734575596526842,3.352150531326105,-1.3824694551139327,-8.66660309894727,,-18.598601277260176,-10.719845989083325,-4.587385895807424,-5.580960168008589,-8.604556247384652,-11.132699241909895,-18.511875581480687,,,,-15.122887450146964,,,,,,,,,,,,,,,,,,,L7
