dates,oahu0009_0001,oahu0009_0002,oahu0009_0003,oahu0009_0004,oahu0009_0005,oahu0009_0006,oahu0009_0007,oahu0009_0008,oahu0009_0009,oahu0009_0010,oahu0009_0011,oahu0009_0012,oahu0009_0013,oahu0009_0014,oahu0009_0015,satname
1990-09-11 20:20:05+00:00,35.411431945530005,34.591544992941124,31.16679130849912,31.05627246075021,31.218405932871903,30.46421710033148,30.29046789245379,36.076372366204495,34.756357042155315,30.604470278617526,30.913224079035885,31.101409652452737,22.60856653431065,26.0564630374721,32.49860078176497,L5
1990-09-20 20:13:50+00:00,24.00808858946207,25.62521292688108,23.372923748240897,24.241169093095536,24.98474710787147,27.615699149257534,26.074464064971007,27.59840339581332,24.759498594356725,20.820188613522912,21.087606943393933,18.75189099789448,11.718536914362728,15.291735418947138,22.887775129062227,L5
1991-10-09 20:18:07+00:00,37.11002493761384,38.89439451872261,36.3646838987292,36.19412285387103,37.25313515771804,35.61994791252557,36.79779682478092,42.40889823941791,37.8552309661228,32.297410572578315,31.25404573769751,28.06806629829888,23.49037492565637,27.191440207222563,35.63155388602652,L5
1991-11-10 20:18:16+00:00,,3.6488287454672377,12.957096404020556,12.929694987758884,12.984526510264748,6.373336085545542,3.0332062227624887,4.642133913788975,2.303212033369173,-1.3715129762088445,0.9810414448277266,1.2694641749755724,-4.801123631690262,0.9535981358086292,4.95172535567551,L5
1999-07-26 20:53:05+00:00,23.96886266863108,26.12762787001696,24.143899508963845,24.63709413328196,26.68801971713994,26.2321371921779,27.299357554057003,32.64274484662134,27.228635117527844,23.50880591350562,20.51881703815875,13.904008570744772,7.08569678738411,9.731555775686797,,L7
1999-08-20 20:46:55+00:00,32.44511007299168,32.62671169970406,30.756322979201656,30.800216892898213,31.3198286919951,34.81731562157956,34.504319884092745,40.22297369087508,35.446915953470125,27.86084848164026,22.90024854078164,22.972012238692265,17.794461025000533,22.6525365860863,32.43050186582528,L7
1999-09-05 20:46:59+00:00,29.87616384834584,30.52730660129968,28.77607804589265,26.98479386860664,27.54888571235056,29.145618104534947,30.270439750331448,36.22848068261781,30.98846021631291,27.63017260955608,25.858898825512533,24.57699030707557,19.23498441836833,23.317261522917693,29.35578854422469,L7
1999-09-12 20:53:05+00:00,,21.92228124002583,23.333296901438235,24.79502022505892,,,,,27.05801609536025,23.25957594830876,21.71370060465245,20.63272689812515,16.398406372736495,22.93261527083288,31.84974744338245,L7
1999-09-21 20:46:59+00:00,26.21613796894744,28.628024174529344,28.17169451317105,29.44772331321981,29.586860190162422,25.535353937587164,24.98793112798967,22.50183256914189,24.786573334898108,22.6672909779028,23.8859196360788,23.33760024070432,18.98709953700178,20.988696009065425,26.21354633756509,L7
1999-10-14 20:53:13+00:00,28.28723388356271,29.716981539368504,25.62262170292264,25.334309985594462,26.08280705736234,25.82511871069992,26.65044478362107,29.98194435975664,23.26387026396868,20.102020309676508,18.87263511683973,18.7423879609482,14.043901881096462,15.973045209272172,22.152325324628173,L7
1999-11-08 20:46:58+00:00,12.044282541385126,13.368268134422022,11.831632200595584,10.594482822243826,10.176474192204251,8.450379272711048,6.9307515570701135,12.7585105631879,9.601178237461925,8.965762681433441,10.64503517824433,10.574228235846231,6.57046924901516,13.49511766108487,18.897157171932776,L7
1999-11-24 20:46:49+00:00,18.839341882338765,20.417100278892203,17.699893717914936,16.553658877441087,16.036903415548366,15.50624906957649,15.404902860404826,19.03131380812197,15.732469415784331,12.949294716657302,12.962029970053482,13.369257941437986,9.299705295761626,15.365007971963342,23.90195482888569,L7
1999-12-17 20:53:11+00:00,18.035446621161345,19.87691072103118,16.988534484192957,17.37731432447047,18.87665962882083,20.247203516629124,20.31548827607488,20.83103243270788,16.701589005809755,14.535119416241818,14.843152494823496,14.865195253223511,10.393465317319189,16.702005799508903,24.659239311453653,L7
2000-01-02 20:53:03+00:00,11.375776044529845,17.333591319253763,17.15353004233632,17.565121691075234,17.685560222289915,22.4819738994234,28.467816198667368,34.70958010745704,34.500105809493526,22.97204028319517,18.84851515061439,16.420339869387686,12.051184628669244,14.607492187959949,20.43524485593904,L7
2000-02-12 20:46:47+00:00,23.57403271087586,22.74400699708617,19.27301748190784,17.746736800585893,15.11441423366229,16.40004412340821,12.625059184044169,16.035793609696952,19.58758826799612,17.807017939262924,18.02083653740131,17.62696324579509,15.560969115532188,18.227949197777374,23.54205058693072,L7
2000-02-28 20:46:42+00:00,18.39123038333743,19.34794390256802,17.135527460826058,17.5321006445272,17.819067891073274,16.408674560347237,16.65322814503068,14.219497348431164,16.59872229133041,13.870953258991497,15.899730704949365,17.380393806496965,13.41480007019097,14.72898042926374,22.23977763625485,L7
2000-03-15 20:46:37+00:00,22.96912876160877,19.08173140887306,17.33100586266083,18.99365232759661,,,,,15.014775626575805,12.974656903365885,14.665610100815613,18.43939534465073,15.88583296445087,21.050840398575723,30.14808822032004,L7
2000-04-07 20:52:39+00:00,20.782597705506014,21.44701499169345,20.11680245687124,19.81196957681017,20.26322623901024,23.061052719759783,23.52074352762737,32.48921556990173,26.67924167331592,20.762753399029044,19.7756829064563,19.62241874798412,14.18827467234961,17.9404612080449,23.424740091441738,L7
2000-04-16 20:46:20+00:00,,,,,,,,,,,,,,,-8.595692670850905,L7
2000-04-23 20:52:33+00:00,16.34074451503331,22.12954958406606,22.697494774014327,20.48615010598329,20.61863477909293,22.99902708440944,23.178810807317667,33.273640412334046,27.134012492171674,24.710527877813924,22.06434483779987,21.37625540591716,16.634111527894582,19.82304743969196,26.56064479202516,L7
2000-05-09 20:52:21+00:00,22.12067994339391,24.43258761478293,22.89881048863059,22.79902148485691,23.408509909277,26.64992447668669,27.489220389475392,33.22914561094421,28.03377568672309,24.494480911561872,21.16520007224521,19.131070374012666,13.47450553010454,18.92657788634859,24.994618556065284,L7
