dates,oahu0076_0001,oahu0076_0002,oahu0076_0003,oahu0076_0004,oahu0076_0005,oahu0076_0006,oahu0076_0007,oahu0076_0008,oahu0076_0009,oahu0076_0010,oahu0076_0011,oahu0076_0012,oahu0076_0013,oahu0076_0014,oahu0076_0015,oahu0076_0016,oahu0076_0017,oahu0076_0018,oahu0076_0019,oahu0076_0020,oahu0076_0021,oahu0076_0022,oahu0076_0023,oahu0076_0024,oahu0076_0025,oahu0076_0026,oahu0076_0027,oahu0076_0028,oahu0076_0029,oahu0076_0030,oahu0076_0031,oahu0076_0032,oahu0076_0033,oahu0076_0034,oahu0076_0035,oahu0076_0036,oahu0076_0037,oahu0076_0038,oahu0076_0039,oahu0076_0040,oahu0076_0041,oahu0076_0042,oahu0076_0043,oahu0076_0044,oahu0076_0045,oahu0076_0046,oahu0076_0047,oahu0076_0048,oahu0076_0049,oahu0076_0050,oahu0076_0051,oahu0076_0052,satname
1990-08-19 20:14:00+00:00,21.456024171584048,21.45852835494938,21.402100359875323,20.058320810248347,14.593616584484932,14.0718927795861,15.657872182003842,21.602341371535143,27.151933963860348,28.22249193083323,28.509977228465207,31.381642222418808,29.02053374677222,25.02591081816123,22.358479485340848,23.4026620682124,22.707535927208667,16.252319308004765,16.539563286584627,18.420107797529013,21.809862955137792,24.240675872374457,25.784524793264787,29.265125095645026,30.502480988824388,27.409700142433195,29.601152470457187,28.66373525163264,27.388703190950668,18.3237926081846,18.404635734163666,15.290479071835652,14.536492877719382,19.83579936724864,23.659535541043407,31.359547784063466,25.975340590726045,26.688986486653683,21.66978445805491,26.433963658342545,22.846898310342148,23.771203642349565,26.553666403085018,30.655267077083423,31.291138203020243,35.439019057088665,34.12167545697959,35.40062814240404,40.81801470886446,38.72868384517261,40.02756547503106,25.719846891874923,L5
1991-10-09 20:18:07+00:00,6.954702752334477,11.819853231847723,15.227256047570611,15.996069568105115,10.812284665667686,8.278781282907227,8.376739425758227,13.499050583646872,17.68928989316597,16.535995743782554,13.846889113419898,14.607066526871938,12.021406553671566,9.279883839905184,9.110860736629387,12.651982501018798,14.049820860113323,9.258185660477285,10.766071578616208,11.029874574005923,11.30725435191019,11.618669163928418,11.198388514234258,12.655323074921624,11.368701504949218,11.698678814611762,18.21099478580691,16.337461020530174,16.00516611978999,10.09481252185956,9.808132768179178,3.891835788021956,3.2672066154245143,9.348028068412846,11.797254787006066,13.235213024523622,5.034534439973968,9.93726239385141,8.177615515023371,7.38493651489825,5.965765983105203,7.389381941053401,7.94711312983795,9.37559335146572,10.840967209305196,17.646681247888992,13.642951267329748,4.680999361479096,8.484034718739874,,,,L5
1991-10-25 20:18:11+00:00,24.550215054272226,27.92681113070088,27.77393431496061,23.32865184132598,14.403693868864815,11.377307060615948,10.964588928414736,15.431559253360788,19.70916219406309,19.499709945911743,18.96619657431385,22.183133369384908,22.037648864447544,20.3390093548601,18.4575143301646,20.70872029869418,21.66669468014781,14.387366901773628,11.996942732894665,11.448536083759034,13.020490881318068,15.002257120630622,16.863633716095176,20.63655823804229,22.51314727686508,21.156118614905097,22.90755180092302,19.30368013537088,18.12830855465777,11.046472055085864,12.0494051345478,9.386249779140169,9.515443763201583,14.72360596231659,17.102445603188393,21.187455984388983,17.84827573026065,23.677704271393463,18.16303724332432,20.26530291259052,18.550622529000822,21.53434168827373,25.7119713002988,29.200513011340355,28.62004048768167,30.07668343833031,24.42589333014932,22.94719648267356,29.39604450417524,31.3855177052722,34.80846356663556,18.268875261635728,L5
1991-12-12 20:18:31+00:00,23.24712106128412,24.330173819494803,23.071885312591128,20.035578032376783,12.925535322872062,11.095247286706693,12.663545516216624,19.1962634227873,24.11125594547276,24.059418995687327,24.01329844896969,27.58891984226021,27.161953701044457,25.08823704453226,23.38299173564792,24.257664766770848,22.59659375841367,14.390655213070344,12.228035651662951,12.419061078994693,14.751217095613196,17.040637138070263,18.98098134774104,22.874420920788,24.52268469074444,21.33073661121164,21.48922083806724,19.756163786563405,21.4454424103608,14.366191814867664,11.34883989729238,3.524305208445826,2.2667130900168795,8.743418063147738,11.978361659671709,14.928834022122487,4.066783207295749,5.305046371091886,6.009805492584963,8.19286352805274,7.222664713898778,8.585473809436715,9.02504505602255,10.02781436444764,10.322451741460275,18.25850903526012,20.87907656381932,22.84465028334405,26.014827123926374,21.8090589537016,17.345112677615603,5.094418123295072,L5
1999-08-20 20:46:55+00:00,15.845548636239135,18.9031351707561,24.51548903463588,25.261516878351813,18.02914249002076,12.21311189686916,11.220015254678277,15.25857151550956,19.159044663113928,18.35995020204356,17.25612858750682,19.178914100274504,16.228129953277623,12.729336538262327,11.397878354227176,15.723733016308076,20.492258185213,18.900346849645008,23.86700730975887,26.32064133168508,29.20466807956654,28.72872340843103,27.93969496315992,28.341902755959328,26.988587194844,26.50169660932546,28.21666173346837,21.668363857213595,23.5331646525044,21.50423272110444,21.287270586798943,15.127512515946242,14.940074546426525,23.41020560052436,29.92530905060196,32.57199721622072,23.37631513403013,26.88970107727802,23.91048977362944,25.02480683108152,20.793055380642805,20.635290171196576,19.491764098751386,20.02117824990496,16.439651228924106,21.725443409597453,29.43437873914372,34.88432394235548,39.998783603753175,38.19844761557749,34.02265780052339,14.256549775180144,L7
1999-11-08 20:46:58+00:00,3.945694928386422,8.803111672548917,8.55163655075873,9.57944415050154,5.710318503654985,6.344374165681826,8.913948334666358,15.052716793403254,20.31739307427956,20.494741917873565,20.30961149103684,23.243984188138864,24.025521429559863,26.498106102928286,27.555673521385,30.840438016166964,25.524493997516675,13.36886284753877,9.627516411113644,9.688066910589985,11.710427858766494,13.340497810154954,16.079199183785136,20.96894391498168,24.29210348660745,21.359467466044105,19.716803041363416,9.614561444836763,9.472753027414102,2.3327925618822114,9.474513818640782,9.069212213605534,9.41980701346023,16.335431795006635,20.260598587166864,26.00355431158558,24.05970476886065,29.22344797234874,23.301139030361984,23.900816940593,23.36347546216957,25.096450662252995,26.31037958542124,30.956333922197903,36.44324089532776,40.47621850085468,39.60503119855499,40.28702783444073,42.27962856471572,36.91897753835775,35.09500709546764,10.926585132192129,L7
2000-01-27 20:46:52+00:00,,,,,,,16.369270744116815,21.44801820133777,27.09712905794901,27.68790595326807,33.723846432903684,39.55516947499139,36.5991212894931,35.483669143847315,32.35525492961586,30.84273429266572,24.136103375826096,11.528734822749522,8.548470195363707,8.23470719105623,10.762984708446172,13.597683882035373,16.650907994550614,21.38849226623119,22.85563872174924,24.136442193279805,26.37765760304783,18.98550557266173,19.763669582556485,13.873275452477303,13.040868961374604,9.12727477175167,7.96607511049738,11.614613203363692,15.016609827332498,21.85152140927358,26.38538726361955,30.863624162701782,27.69028800482849,33.55718294906314,31.296566786930075,32.25994818340587,34.882438701225006,40.28285914642754,33.89144201569022,35.3188888351472,34.69917799484142,34.00145756141587,31.55582610970624,36.53935385696726,39.1122763887108,22.32114327044734,L7
2000-02-12 20:46:47+00:00,33.07694971261737,31.497019724378067,28.49533447156067,32.87889698678347,29.21729285238725,30.563305190928062,32.791659149819615,39.45796821224014,43.81489122726095,43.019469290204896,39.96970811516769,37.04065400823284,30.734385048633445,22.452763159546432,17.875916568639294,20.97317892486745,25.22071746628172,26.90502033340788,32.53741160972345,35.619448915339035,39.65025175782582,40.81907450355523,35.939589195950575,34.86233681168316,31.881036843888875,30.867513266696577,32.045062178568,27.613463713409576,27.324864341540536,25.314982231547305,21.920610763662907,15.7798134284545,16.201967851643776,27.314138432558583,37.11353300009194,44.34496315276007,34.51674682788893,33.813933528265544,29.778290056152,34.23129136186095,29.349487491494823,28.573570963926485,28.86218105086449,33.45343556516229,28.23832233370544,32.9574821329483,37.88499662730549,40.059023454350566,44.68032666694828,40.18243914764082,38.82587095828583,23.44986554420564,L7
2000-02-28 20:46:42+00:00,38.1775119327715,40.01521376864699,40.15187229799732,39.66880025368055,34.003631140202536,32.27095251893741,32.474789168296,28.87434912565617,27.90935304662476,20.72160710171763,19.38266781989727,21.81318237913354,23.86256882301399,25.486677597292296,23.39334635679552,28.85467350184637,31.288696136564933,21.50007791970643,16.88474258050692,15.98227696198083,16.82051957878463,16.6903381292325,15.733730975252229,25.52380192239,32.4686432735036,33.701548081249555,36.41020665809428,31.83173303131208,30.45368278322569,23.800608281133808,19.898456823333248,14.44789446606806,16.568325438869604,30.69262416070852,39.18234492256576,44.30319398994863,33.19246885230784,30.16032641470763,23.08505047108232,22.014345596467365,19.5125118740104,19.739818274321124,18.51382960386276,18.920347260881112,12.764365490818692,23.809923387323146,27.202386857331685,28.56173797229884,31.02448025783968,30.173912056340978,29.91813852151893,,L7
2000-03-15 20:46:37+00:00,25.9205326448676,24.24794985052705,21.13046315242164,16.329693971990128,6.798022933762019,1.509804848538244,,1.4016980657970028,,,,,,,,,,,,,3.0020979037448656,5.436136344937236,7.740959517338145,13.29464678685926,15.445115857378996,25.680951361322222,29.40187252347877,25.51897827069555,24.70209978027937,24.738437476595344,19.43440921261224,10.865027286357265,8.560083364891819,13.032071645072527,14.72062364694903,16.037752342883955,7.085981973171939,12.977388621790704,13.108344113569167,13.293988444628049,11.268714062616008,12.241696316850913,13.688253535076376,16.04464364058915,19.45499487911675,31.368689113201064,36.91781548079067,38.75943152387308,32.93572618292446,34.45296718149859,36.41535307361295,15.715013477981223,L7
2000-06-03 20:45:56+00:00,,,,,,,,,,,,,12.04325964387606,5.32576097496403,,,,,,,,,,,,,,,,,,,,,,,,,26.59477841464596,33.93057676807966,32.66264835386862,32.58857869121551,35.252180702853295,41.16633754717545,37.49384009995039,40.16839050105753,36.09453279098356,32.740654999908976,33.09120233345099,31.793674620438143,28.300005555742683,12.016281140094872,L7
2000-09-07 20:44:48+00:00,,,,,,,34.62914799521726,41.30676401293361,48.9144390060445,,,,,,,,,46.08437064371576,36.87079805870752,34.27041571009292,34.95340571115428,30.24118909072762,25.77242602847973,26.8633824032323,26.89774030286374,25.100810031967992,27.86792874756092,23.17407349166688,24.11803525791912,21.50548071416309,21.709511306246736,16.045732577940303,15.515883070931707,23.69168407596862,32.41483106377748,38.7040473108506,28.90323270518008,28.080833222600702,24.25861756760097,23.708900528306067,24.03284000405297,24.38623743687927,23.38141649796759,24.39247449589599,18.926822687796747,20.34991681524615,19.01874899403256,18.04445678592283,20.888808276026207,31.07409197713475,37.04170280260342,2.2906467623423623,L7
2000-09-23 20:44:31+00:00,33.040106660532814,35.33607941904946,37.35759205994367,36.95487787082438,31.23453397139896,26.293831679428763,23.203462432085527,24.821430821495213,26.34935561209415,23.445688042626653,21.557829358710933,23.218280860373355,21.597422071685216,19.985325083036106,21.455836930977853,30.230859784612587,37.14305373689052,30.692782321400266,28.40484137833969,26.44636769292418,24.52895335083621,23.74108194999777,21.71656241875521,25.06890653617155,25.517797906704505,25.77098767368842,26.19466846448508,19.09283051386716,17.1807151438596,12.148521333698636,9.868797948017646,4.675566015398059,6.098255693430296,14.406785439252236,21.277734590573203,29.809299531163635,26.92963999402962,31.63752501718469,26.28952861892468,26.57092433867576,26.79715713679269,26.962428550474723,25.93344736187085,26.787906847252493,22.64357368125789,24.508128877199265,24.1665665585156,27.81150326272739,35.2115936751368,37.638307318394034,35.28864205971983,14.503284530613032,L7
2000-11-10 20:44:23+00:00,36.45381631348896,38.18633516472507,38.0353662681475,34.70736737063598,23.851256909667644,19.18898224972669,21.55782541582111,31.84135179572928,39.80992845474611,41.246835682218126,43.311108726846186,45.93375645908,43.30998795135583,40.23170132695747,38.94265300033492,41.19469274028123,40.65567761080317,28.585865461194647,20.189222462967635,18.718368630264766,21.061244725128464,23.085514189348395,24.844973645433846,29.370605636628127,31.58633098133855,30.87100012963841,31.55707315134559,25.92559609059824,24.92597351963405,20.337857502885,19.781506698352228,17.16528670069452,19.93371741088588,22.99511078412132,24.787277129759733,28.328029087408098,28.182940709520807,30.472591114053305,26.664989781744456,32.22786328670879,31.59371010524655,32.245760495037345,34.29552526026339,37.79054223731968,36.92771597616595,39.73847674677455,38.48927797055899,39.50657494563728,43.44351190414201,37.88095709706116,34.62949296413027,17.841395999226084,L7
2000-12-03 20:50:34+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-12-28 20:44:30+00:00,36.17257544205574,37.69085148633796,37.4928828087824,35.57224887059856,28.31811381846639,27.78673645383622,32.205805483023376,39.34147257557647,43.88309855636586,43.77095786362497,41.98530105441141,44.45818653451326,40.816629928848734,36.28840164335606,29.2131186646382,27.600277502620813,28.32103499461825,25.98079695776169,30.13012780002316,33.58266518934076,39.23109259574043,39.09901018853511,36.61272252559086,34.326435705351955,32.46329895015811,32.3681349331473,34.09188230603339,31.839253687201072,34.27088379616687,27.40466866187662,23.81076768797007,17.58562014125052,17.24282009836266,24.314424744379853,32.907849374556626,43.74417098378594,34.48028608553232,33.49689439999723,30.02914751115073,43.30495078046238,36.65803594585295,33.780645763991046,33.135323089825135,36.01681636953494,27.875910723983377,26.56612383006936,22.964722283959443,22.465527982914,24.2741757538204,31.2386275306424,33.72656390640781,18.02666252939629,L7
2001-01-13 20:44:32+00:00,34.277303394691394,33.74366248737676,32.94458601625296,30.67116275339067,20.82216646122877,14.11830300788914,13.12658483759754,17.77996991331774,21.482874723968354,20.290459425414088,22.193396820348497,27.460083856064127,28.387435182423907,28.38593609233976,28.41230905979844,31.7352631711778,33.89178427812933,24.58007028684928,17.59214311582521,17.276115889638707,19.830824514192194,21.20672443211261,22.29098335124438,26.22702050758497,28.541577085653888,27.88426874667712,30.335398712133298,26.285428465663927,26.84235760469389,25.050421475944496,23.612298149404776,19.689077003539754,19.745392317617554,25.318283862411526,27.188772001517783,28.474721133651816,20.272318746226524,22.5977537734401,20.84464498288858,20.422797784758192,20.239343936307986,21.77188189337386,21.29931787872093,22.846028805250107,20.287418258461216,27.97003193834924,37.963574190806085,41.303323137837495,46.990757083184434,42.32375783414094,,,L7
2001-02-14 20:44:29+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-03-18 20:44:17+00:00,40.24219585797432,41.552912637740086,41.67178898198159,39.98277811221963,32.47881875658893,23.20439885384365,18.899672841289952,22.51338429951671,26.64032092242018,25.56933035995954,24.98928010324548,26.4753095180692,25.65728812786105,26.2685558753602,26.883128781187303,29.32301559994608,27.65714595383017,19.701220520904386,18.523002208222344,18.36355636812424,19.98099274028552,21.899926707567904,23.820826441656784,27.089833215550875,28.29406693384696,26.99047466130949,27.649528689190912,21.50921895037267,24.57766088385683,25.77077391642493,23.15305032429591,19.77090925272018,24.044475014389143,30.355448434184897,34.3152398815088,40.01581652970507,32.52015555831962,32.48517960691628,29.117434643404327,36.22234319955476,32.43191040678287,32.23195614946653,33.7617184835328,38.41797340835921,37.78504998699368,40.47719309820615,39.03252183901618,40.117341352164615,44.9120554338499,39.71929946972425,35.60551046437653,18.142721652439427,L7
2001-04-03 20:44:06+00:00,34.413946324756154,31.74425985374525,29.57595618789612,27.092430477877496,21.28105641434633,21.15230831131571,24.28850816928269,32.34170637979127,38.7475649826509,37.85640977595152,38.503836036358194,41.57014104404698,35.36364391241622,27.19820478085061,20.47871501636133,21.660704824083822,21.871689384745164,16.14700763598553,17.55413558060276,21.172100373903305,28.16415365540413,26.946004476048486,26.346375035736333,28.54123124406013,29.42232271737449,28.21769215061716,29.059930972055465,24.17647328688649,23.632236497224227,19.098839241898627,18.74674135115576,11.86596608322025,10.463193801960376,17.344110202696697,23.80772537410089,34.8676595684769,31.489549796674304,31.381926550353423,26.904055873558203,30.465094969132544,26.99550136038385,26.51324798409298,27.6089281068948,34.011802699131295,28.62517204130376,31.78699650100436,36.78494382469047,39.00621210136917,41.33850070141176,38.94782389675618,38.75648525540012,21.38854571327456,L7
