dates,oahu0077_0001,oahu0077_0002,oahu0077_0003,oahu0077_0004,oahu0077_0005,oahu0077_0006,oahu0077_0007,oahu0077_0008,oahu0077_0009,oahu0077_0010,oahu0077_0011,oahu0077_0012,oahu0077_0013,oahu0077_0014,oahu0077_0015,oahu0077_0016,oahu0077_0017,oahu0077_0018,oahu0077_0019,oahu0077_0020,oahu0077_0021,oahu0077_0022,oahu0077_0023,oahu0077_0024,oahu0077_0025,oahu0077_0026,oahu0077_0027,oahu0077_0028,oahu0077_0029,oahu0077_0030,oahu0077_0031,oahu0077_0032,oahu0077_0033,oahu0077_0034,oahu0077_0035,oahu0077_0036,oahu0077_0037,oahu0077_0038,oahu0077_0039,oahu0077_0040,oahu0077_0041,oahu0077_0042,oahu0077_0043,oahu0077_0044,oahu0077_0045,oahu0077_0046,oahu0077_0047,oahu0077_0048,oahu0077_0049,oahu0077_0050,oahu0077_0051,oahu0077_0052,oahu0077_0053,oahu0077_0054,oahu0077_0055,oahu0077_0056,oahu0077_0057,oahu0077_0058,oahu0077_0059,oahu0077_0060,oahu0077_0061,oahu0077_0062,oahu0077_0063,oahu0077_0064,oahu0077_0065,oahu0077_0066,oahu0077_0067,oahu0077_0068,oahu0077_0069,oahu0077_0070,oahu0077_0071,oahu0077_0072,oahu0077_0073,oahu0077_0074,oahu0077_0075,oahu0077_0076,oahu0077_0077,oahu0077_0078,oahu0077_0079,oahu0077_0080,satname
1990-08-19 20:14:00+00:00,30.55382209193541,31.51813184598917,29.09290973531657,27.72763028932717,21.989571095350925,21.58858012815504,19.91696019945594,23.718964506480543,21.9842466247018,19.69780809903492,22.249833928862905,33.43521891993096,37.326793678808336,35.20336145545431,31.75862510347564,31.28467494093085,31.23251436307554,28.24307313236377,26.16926857848919,26.32974759970952,32.255067369932405,32.57346192662421,29.658204404664648,36.41409958529511,34.95154632350411,25.700355534764206,25.228136303216537,,41.78493959083374,42.441094155968656,39.08261282853904,,,,22.811261769740728,23.34900853414926,19.188877685477166,17.990860121469794,16.769405748128133,19.08162685806532,20.83868509297746,20.58882812766257,21.24930481431717,21.245530877297146,21.727754594617004,22.517259512349128,20.71421955582195,20.009208862188128,17.033207312212884,16.306103602215092,16.638150623171178,20.884821597768987,19.027702695581773,19.2153869455154,16.919087860238793,17.394374498885437,18.32090048144381,32.57822877017157,33.49497139882113,28.377132363344497,24.023958449081142,23.756573720265905,19.953835318339724,16.940526393768582,21.4265486420768,22.04037668451671,15.574142884081718,19.24590003270872,26.15840969770816,26.41017104659191,26.55574762692461,24.45148759859924,22.473539364119297,39.7495173189183,42.2812371870716,39.90759934115091,33.43369013199879,23.91286446422839,25.758063536068413,27.794403800641245,L5
1991-10-09 20:18:07+00:00,9.763852956511622,9.372112167744284,6.7563923102947365,,5.251995596309068,-5.126646530798023,,-3.5692555789962253,-5.947750779027684,-5.844921888471704,-5.470105868077774,6.419453016201833,9.006530298858332,6.1626694928784245,,-6.129614070475906,-6.27075652693867,-6.319474620469523,-5.636749155058953,,,8.529472476494862,7.896061017970365,11.784307243274538,11.00741057760111,0.2893829078552318,-0.5029208227593145,9.000276536957939,15.180796505849722,12.278248806928367,12.519556952752032,12.27059939944916,10.809724274870614,13.01258774493636,14.277472112370804,10.589074249790526,6.905762384964731,4.541851705789978,2.8053508115398875,2.340008661258421,1.1599866534157548,-0.0453790836159776,-0.6138066959411849,-1.1651454385761069,-0.9874169066356646,0.0949133762274562,-1.7145936148952932,-1.5962419000503971,-7.295147945020906,-9.498182693856702,-10.120532795122196,-5.414604738231719,-7.258297465308838,-6.812729985435451,-8.028301273137629,-4.954149402418647,-2.517733650974045,2.122278946868261,6.20239606882279,-1.1588335750879604,-2.637010601952152,-5.040546739395965,-6.161976945106736,-6.350888744941865,,,,,,,9.64843436916831,7.167782144784321,7.727161459198897,26.599130968843383,24.65992259036736,21.88918663584469,15.824061698378877,4.856245739814718,,,L5
1991-10-25 20:18:11+00:00,26.15166915234023,23.25093669760776,18.814035354114093,18.174010105516498,17.05495671256593,14.308187057156507,12.815638745395663,17.504345170898457,15.768533385924629,14.410773372312548,15.090194393636342,23.70829729215673,27.942782393761707,26.930587616664155,24.715318601109605,12.908467370000311,13.512762016152632,13.80201613046144,13.661048639571316,17.484096138089424,26.745830790565847,25.00231051910975,23.49041884020573,28.71026240239743,26.966396911119613,16.535674578672495,14.140729280089538,23.33556997487211,28.459922508704405,25.47562141048853,24.398109795049503,21.43934570170382,21.850212948046693,21.173018839048435,21.857826638364934,17.947942779738714,14.198554853436772,12.383828402803813,10.07923999797886,11.12436477632774,11.607913014504822,13.175783992041268,13.370246632939494,12.143196531219711,11.858659016938107,13.002695749754484,9.420672556985476,9.24466712594066,6.032360048837778,5.373624981085592,4.7070860311126905,9.198593939371415,6.889395857491713,6.612084691922597,5.681998801688776,8.527596953274037,11.043388953360394,19.355846767446515,23.44045915384761,14.918028460018045,13.563453637735742,10.662111335753996,9.107441799015575,6.361709869803945,10.274154331619751,10.007201570810391,6.546784807823479,7.993279615058246,,17.627724993866213,23.26116297835603,19.75815268615837,18.053622659733573,35.64685281719965,40.28210300722591,37.28856794064805,30.1701626872963,19.85776230327628,18.11869272882358,,L5
1991-12-12 20:18:31+00:00,19.43345504063629,17.983920962327456,17.315990233846176,15.742943280230294,14.98510830337054,15.082793673807682,13.664976255890537,16.73956649565387,14.63974391618468,13.282548585987154,14.933693501769191,21.64720919032526,27.267976920535947,25.29218756534493,24.15464470116298,11.202472487426853,8.674254621168128,8.07218052307735,8.64931715709681,8.693616532114547,16.174938619280535,18.96145981462077,17.5976178208274,22.60473079938618,21.810442777645207,11.268962378050135,8.942924596299509,18.69516124986201,24.62687573794712,21.463545492350683,22.32152754405222,18.85866242238224,16.71615390479712,16.829546983416904,18.58575073331273,15.909292348644822,12.975263549569137,10.709337526910575,9.060218136763968,9.080075125422306,7.788686977149039,8.708902495028692,9.692517239523848,7.884568689535014,7.533066854721652,7.911730189849854,7.1127013430535575,4.693790286089761,1.1181032691296666,0.3032287349622521,0.1837506497241486,4.664188664596064,1.977003883315226,2.5764903185049306,0.5280826175564315,3.5459683481623667,5.904480400126627,10.925631442011545,17.42446587899482,8.400974482260292,6.72845761323281,6.139552616234027,4.917435920129224,3.4391753573769024,4.6961581213192325,4.476767582080309,-3.141986339038252,2.91309210398459,,14.5394498797917,12.491821815975738,12.149238882594627,11.759406291604892,30.0262025256693,34.10405996967434,31.99353242002565,24.7448430676963,14.32331668342288,13.66468394608607,,L5
1999-08-20 20:46:55+00:00,31.117922608616222,32.350776106911574,28.4119620922228,28.40624863418144,29.753723126530208,30.14219108790797,26.962722354720047,34.60582034997597,33.136562164996846,30.947194731347224,34.08681791169396,42.63987611609816,42.69797091872495,44.23352272417706,36.91548646738401,22.47659910697189,23.0850408283734,23.2699435114924,23.30909978510191,25.053321788309955,32.76284256646636,33.07345582342871,32.79616052429407,35.42861048896177,35.0333908917454,24.78110197868763,22.18547176161067,35.28000223434427,38.64961703699592,34.29330018032238,35.238230155171976,33.92436981050648,29.760072899668565,28.33280817875967,29.86192485451287,27.193607417465216,24.69064157253842,22.693379772541995,20.42527635498659,23.26835413166589,25.820175307339984,26.085021302454624,26.14305370214172,25.222174373847697,30.190325299745787,27.57834425827497,26.1182037729992,27.80563420890029,25.79995158734879,25.508612534731487,23.946759413059667,28.45172107118221,26.771147754997923,25.718117048335905,22.27676336692305,20.45590802451683,21.2558732339714,27.191767683215343,33.957765235265576,25.646228589656207,22.6676742082556,20.0573910602624,19.101443398920463,17.075004047393957,21.03707756938637,20.72813550156622,13.903017431465846,17.631635695904013,24.06927685214972,28.27690831781105,29.57350436535068,28.2485405494926,27.04232645714632,42.40972750076788,47.0791140289776,45.0982520634403,36.74297798685185,22.56564164328573,19.40659994224324,,L7
1999-09-12 20:53:05+00:00,,,,,,,,,,,,,,,,,,,,10.29940362522804,16.883416817002026,15.713155418913136,11.560020475480078,18.04964217447173,16.845430751976966,5.282322921237982,1.922352110363712,10.57102141830008,22.43345636279933,18.860186774533428,19.171589568971545,19.357664312528563,17.222994653488495,17.26629584705916,20.239903126349144,17.156499763980054,14.055650491794152,12.462407595720713,11.824154772861847,14.1110400799439,14.805856269669192,15.550977631368855,16.951578052449605,16.022249092852405,16.263827317237023,17.668525364512405,16.328368929222837,16.681566556828898,15.030448128240216,13.508041047441653,13.770728220027568,19.1574050195784,16.890193233151386,16.404414394289024,12.164790262333725,12.98677976809355,12.589166826617914,19.03142558084304,27.174683504094627,18.287841115674304,17.963575984997345,16.35189630732715,11.676719086843663,8.030232940927911,12.615092269969612,10.023474391157796,4.023854031282227,5.670958691514032,12.921434184454672,13.13599827603674,16.151534459944937,14.770654342576224,15.02775552703545,32.07758200916277,36.95734497290598,32.56882507353252,25.945401293499856,16.249839355162177,,,L7
1999-11-08 20:46:58+00:00,33.9808062347624,34.77899716768687,27.552968879665723,22.336355396579258,22.860486348249875,21.955512128654483,20.43478640526397,23.574611133153446,23.20002805812145,21.612532620634333,28.18270317735406,34.41253811366451,36.341152164193645,32.434781002808144,31.892303375447305,27.911711396902355,25.519949554055685,20.53866906853063,21.41927440726976,21.684891377929542,27.398053021201207,27.85436848711059,24.89390034537371,31.08626467439163,27.289897485059694,16.89411937467689,14.405112297461589,24.05661780572957,34.37547759254768,29.91878589919812,30.20988795977328,30.792989286396,26.36439942791296,25.360807075064063,26.490289345749527,23.553932132285425,20.93994677382621,19.426783727847862,17.941641394465115,21.55496347317713,24.438393042184053,23.818263741692643,24.134781760866545,23.28131390059417,27.32424977069196,28.34897309019352,24.721380035535315,25.768004203986205,23.74248825424072,24.72604544956005,22.168029484410344,27.47904043424463,25.282991341015368,25.51290341027942,20.738987159589936,20.461034816879145,20.30486310580417,26.2532563250609,32.228036998209184,25.050512050556296,21.741826340705607,21.39891871037913,19.967496333445787,18.437345951834565,24.19303476918289,20.72703467543264,17.956696449409527,19.107422468565165,27.85325819277537,29.430804025058755,31.879560005025304,30.61897946888676,29.80962087288504,46.5228057642608,51.54136975001728,47.41128275402224,42.5992601878991,30.41214491053396,29.35737161562393,30.19465754629554,L7
2000-01-02 20:53:03+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-01-18 20:53:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4077644002875775,7.491076048028953,6.217446980880134,7.429658894401978,8.884289099589108,7.736117090856897,5.328267337878579,3.410581445023582,1.8958258925409304,2.425749187781235,2.194537585099594,3.017156818574456,2.326342370642954,-0.189452947585078,0.2823691402307615,4.7004335130983055,2.962659966272305,1.4583605657111822,-0.951684795946658,-0.4485349254923959,-0.5324288871260394,4.763925564365959,1.875003892027868,3.2920103828022973,-0.4044906008978385,-0.5549229973320962,0.4081914830679564,9.770658648049409,15.521162479769076,9.076560197459315,5.619282688331392,1.7843410989580664,0.8416669326034951,-3.316839654737551,1.517818433299354,0.8900270805400103,-5.38813271606011,-3.2247463484174954,2.1429753003933496,2.452877941980826,3.468911619000701,2.859091208776896,0.0775994046779386,,,,,-0.0113516339542182,,,L7
2000-01-27 20:46:52+00:00,31.655083881491503,34.06766926573243,31.370234616770748,30.174031160101364,26.358867062768404,25.679378705101502,23.738884173040763,25.530479857174623,26.79707616773116,24.25609901131101,27.35313692526584,35.93256944933421,36.95596431679718,37.02758078645845,34.7944176126333,25.298784933553137,24.524348537031265,24.23039420543968,24.43458764936589,23.3336378488089,33.838693359221224,35.1830765150288,33.61167155436068,38.69227860322854,37.84554081319803,23.55307891675044,19.22287850723834,25.030129915788663,34.43361663102591,31.523566265886,31.94716204346947,32.60307763627298,33.156543475140694,33.76048169752462,32.93392868301858,26.51247138118152,23.97598536529921,22.83673717594097,19.72790603250218,19.68749271839313,22.086998015090032,23.89949134731453,23.243386526563143,22.3786760496992,22.225899162267822,26.06818277639249,24.063173115874896,24.53183300178129,22.88536235634954,26.260564766358247,26.72558297023786,31.971907693671795,30.12749549431479,29.91127508149893,26.387061921533693,19.94170487747796,20.775306043095835,,34.74151864840348,32.74650416251652,28.806880662000594,28.13759299783327,27.70945804217031,28.053117834055108,32.442391344706195,29.35729463296765,22.662436228432576,24.01474442379333,31.719135644403377,33.32629966631032,31.79427522201528,30.30808617518985,29.643230568117986,45.05238337957635,48.05025017764117,45.13497884202411,39.35381967328078,32.24364585616979,29.24948309260028,,L7
