dates,oahu0100_0001,oahu0100_0002,oahu0100_0003,oahu0100_0004,oahu0100_0005,oahu0100_0006,oahu0100_0007,oahu0100_0008,oahu0100_0009,oahu0100_0010,oahu0100_0011,oahu0100_0012,oahu0100_0013,oahu0100_0014,oahu0100_0015,oahu0100_0016,oahu0100_0017,oahu0100_0018,oahu0100_0019,oahu0100_0020,oahu0100_0021,oahu0100_0022,oahu0100_0023,oahu0100_0024,oahu0100_0025,oahu0100_0026,oahu0100_0027,oahu0100_0028,oahu0100_0029,oahu0100_0030,oahu0100_0031,oahu0100_0032,oahu0100_0033,oahu0100_0034,oahu0100_0035,oahu0100_0036,oahu0100_0037,oahu0100_0038,oahu0100_0039,oahu0100_0040,oahu0100_0041,oahu0100_0042,oahu0100_0043,oahu0100_0044,oahu0100_0045,oahu0100_0046,oahu0100_0047,oahu0100_0048,oahu0100_0049,oahu0100_0050,oahu0100_0051,oahu0100_0052,oahu0100_0053,oahu0100_0054,oahu0100_0055,oahu0100_0056,oahu0100_0057,oahu0100_0058,oahu0100_0059,oahu0100_0060,oahu0100_0061,oahu0100_0062,oahu0100_0063,oahu0100_0064,oahu0100_0065,oahu0100_0066,oahu0100_0067,oahu0100_0068,oahu0100_0069,oahu0100_0070,oahu0100_0071,oahu0100_0072,oahu0100_0073,oahu0100_0074,oahu0100_0075,oahu0100_0076,oahu0100_0077,oahu0100_0078,oahu0100_0079,oahu0100_0080,oahu0100_0081,oahu0100_0082,oahu0100_0083,oahu0100_0084,oahu0100_0085,oahu0100_0086,oahu0100_0087,oahu0100_0088,oahu0100_0089,oahu0100_0090,oahu0100_0091,oahu0100_0092,oahu0100_0093,oahu0100_0094,oahu0100_0095,oahu0100_0096,oahu0100_0097,oahu0100_0098,oahu0100_0099,oahu0100_0100,oahu0100_0101,oahu0100_0102,oahu0100_0103,oahu0100_0104,oahu0100_0105,oahu0100_0106,oahu0100_0107,oahu0100_0108,satname
1990-08-19 20:14:00+00:00,28.985615651381647,31.04360092289957,34.8424789061997,34.95738611273574,36.02579262687408,38.02172226578895,44.715358725958666,36.16180886979904,38.70063625362283,40.41083709870889,38.33326642715268,36.40337424799074,35.01581592548596,31.85792188853162,30.49333659173326,36.38724745960841,39.03963276956734,37.49730722112611,48.04170279070107,54.4484671666523,61.23123568276062,64.87969905392886,65.83934745259302,,,27.507244353583857,40.05758028679011,71.15102055277768,,60.02409931596538,59.11865318471869,65.13485745416988,65.93502052710639,59.3355072955245,46.546723559593744,39.33292102671885,35.86810459735935,29.52286751074676,20.635575638743067,26.80500163098484,32.632795728440165,35.245700568575344,36.4691214470318,35.33689580790231,38.52811363345951,40.105030527404274,38.42298687819815,34.7161370216379,32.71755154388618,28.876221621388225,25.93197776701702,33.8475120553812,42.35426517339508,44.117636662367815,47.271539389593634,45.76408902167712,42.43458487876296,44.173153751730425,51.11423636436572,54.37958350050315,40.71837581675527,31.715259332577403,32.78220628675691,37.59358328838829,43.41954445473757,48.669433911803104,50.13784876559564,51.4850294132563,50.75556995546911,52.05598912967487,49.2989340526385,50.013487601084336,53.94998379555301,55.26703442191262,58.55706573596728,61.86122024856762,62.54602046908818,63.08047251508226,64.12052102600332,59.63926184186101,52.62250701311904,48.4782107558984,44.365877715704464,45.06009870221334,53.45546817635323,61.41048721725521,59.49871995832574,51.43385893096425,49.30645799016633,46.83223387385434,45.8815453926364,44.11095375003707,43.13329182476368,48.44171257857714,53.671769440369175,54.747774241100586,49.764434747958056,53.585623162458766,71.79410002855911,79.02369197188452,85.40408984993152,78.15840349224632,75.5621145113244,84.40685543442127,85.15795199369578,72.11152539524275,66.67259775066613,,L5
1990-09-11 20:20:05+00:00,,,,30.007070989417286,26.97341055552999,29.68167638655862,39.55430207932597,33.11061892686525,33.30962261761239,37.61816129714399,35.72045520567956,28.595426517934296,24.40894379552718,26.162788642071543,25.690277512180284,22.97634669102601,25.481761080311408,28.64013319040386,,,,,,,39.282422044142585,4.416904263444033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.72676519231389,49.94368009584025,46.11815154120463,45.65546779104736,51.02080987103282,53.206048224967546,48.41264386576991,47.74484552294011,55.16563737117812,,,,,,,44.09323151331704,49.094327108457584,,,,,42.38257385925081,41.3715488094856,38.91502982149752,34.78697841018909,33.0331524727972,34.83306840194923,38.6568443056515,43.45292726765106,47.42198398642997,51.30363234336792,69.99198228080968,75.38950719301651,73.88541783021093,66.29901152689511,65.5194079704797,71.74569832787346,72.6970736119124,61.84427649384205,57.04699865824623,79.87627740569032,L5
1990-09-20 20:13:50+00:00,,,,,,,,,,17.592664746810186,26.253380404377545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5028016615558522,,,10.472121270408286,3.893953004265117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.10366570534127,L5
1991-10-09 20:18:07+00:00,25.082408258185406,30.178609696895272,32.74345442060597,29.096246910873298,26.541320402819387,30.342397816165416,36.353438990214215,30.73029052317749,32.24333389661265,34.64936144917613,29.587740319819087,25.208608952997256,19.992378163185336,15.73865035567114,19.48570739184255,18.79405176533479,18.31560917334317,20.563459804105804,34.80802583359425,40.3165418579857,45.63054345807111,53.36366471720389,55.77103442296493,,44.70425388859997,,,46.416147324349474,49.20723162493594,43.906227804933074,47.15497294854292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.349558854388754,49.025453138959584,65.26114634744532,70.13307130609577,,68.43979444904868,65.64785234269397,72.06536466436245,71.18674731377536,58.16193383600969,43.78929878265862,56.8288369271205,L5
1991-10-25 20:18:11+00:00,25.565261997851792,29.059208333182603,32.90091560475975,31.68240072997772,30.346440808043475,30.81506151089692,37.2561981919126,32.41335634929017,33.53120544977703,34.57431402068622,32.53559706602054,29.023981040309582,20.543774629291104,13.93451537566111,19.55989969314877,18.078089564310787,19.40565798861161,20.97853963823039,32.00336022909512,37.918762606452944,45.33924243045956,54.61313682754808,54.70475782994321,44.70134901245899,,20.92103000495054,,,46.908478621238594,42.0867890962471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
1991-12-03 20:24:42+00:00,27.231881347237803,32.11674655098708,34.67942924972838,31.53002322648958,28.967090605873192,33.18162955052005,41.85625509481372,40.00078392962953,40.4635826795409,41.63304203607283,34.10817122416248,28.941359376481,28.34986784476894,25.70365986669782,21.962958007513897,19.45856526175533,22.78297584884911,21.893245978099,29.895111823928183,35.945994007616385,43.41405936732162,48.98908411023834,48.393122836371646,48.03494788919056,44.49110427845126,24.07914281944162,34.909191682823554,41.5015143598854,43.70755247423368,42.90942972614616,42.64642856503166,49.985233574775386,42.350549567190505,39.93381400101776,36.56367648697126,30.36061397476716,28.86443727764417,31.252522954937533,25.544425674129545,18.68919432059093,19.91720090150117,23.25536963112642,20.29383948008057,25.978792435358503,32.368971787027164,32.13860075379158,33.85411128202896,36.74970982945181,30.203129634135863,26.09298889226436,23.935608357618875,28.551406658350512,34.33920264053885,32.56112403802439,26.7232875621936,23.91209934464085,31.749409165359804,39.6251946496222,47.96500521209336,55.36499608930004,51.57409737634864,47.68844485510306,44.24331693092441,42.01709143184876,38.51155787192975,35.60822640585216,38.17681749330539,39.26015067155103,44.228737244978014,46.00595613914711,45.66913798186918,43.97366550320101,43.060049298514336,40.38035394435598,42.907879695630896,46.48936967181654,42.61501905235639,39.537473997070514,38.83920169438967,39.0927604699569,40.28369314956059,38.238307321343726,35.70072770421549,36.44486529358196,42.615990008676185,50.73280483422119,48.37278253145603,48.496710136836846,48.48224252959548,48.72749081556133,49.96002083302086,52.8774450575422,57.166481442970536,58.26664010018752,59.72294672665145,58.06238419230078,50.26531929793524,50.990960826079,62.64254247097117,58.177085525674926,51.68347010007035,36.41965191688044,33.786551258242234,42.07382189817787,47.943869541479216,33.80931109237094,22.1707808995336,29.58663002739051,L5
1991-12-12 20:18:31+00:00,21.85838132027564,27.050731694141504,27.410773479971173,22.53564701452101,19.97332963099969,20.09986191447152,30.851554889116297,27.768142940260667,30.23717023040557,28.043876072048675,23.492169899695984,18.77273534337215,14.967084285169364,11.904811676582574,7.974642827272794,4.987382361263167,8.751242944010922,11.704731102968411,22.51378296233995,27.56991685593656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.51970286349488,46.909643379087605,59.056851232277225,59.20857855565761,58.749457969655424,45.47773221404772,40.47873141416842,50.06281899230414,49.67639431905371,32.40526514907665,18.92985630172508,,L5
1999-07-10 20:53:01+00:00,28.88574086175906,36.12082946359657,38.37853536294372,33.7321684245806,32.17250972231536,35.495153104843034,42.49322446786712,40.23029663774453,39.17216800940299,48.40889259223064,48.93674260832427,45.21903579530661,36.83628858067722,35.104080355913744,31.47664310183745,32.22739982186665,36.108951456894026,36.07281605005636,50.771622618332856,60.14060732929424,66.35149549752009,71.66458569618143,69.40514378805219,,24.12139427904481,6.02070348643927,25.00068232686148,47.19781772209167,53.25039856395232,54.526166259209546,51.268662886995024,52.39447281153947,60.81731164457165,62.068307626176136,48.71256873663806,33.17666553479992,26.02130641141432,25.53664202419971,24.318260619022844,30.370370979163845,31.63444560682055,44.65963174992028,40.6916767445608,32.4469148978033,37.32281071456232,36.740986252807865,35.26253435976543,38.08408072035577,36.73824331224695,32.55339376213239,25.72427543654684,31.03425056243261,33.28481659584705,31.58644082877929,34.727074635549066,43.02414087806879,41.33983778735602,41.687966324458586,46.90164211529656,51.87709415253004,57.300016362298514,54.14149998526235,47.18443043018268,45.54097615572988,42.103034164722125,33.4022241698782,21.95931902136358,18.73893850618281,17.75868006818488,19.4145338562176,20.886200010411528,23.765270061704808,31.72161721409913,29.40651095805512,27.17921418148645,29.658036787670696,34.0400394908642,33.86811110694505,33.87731870495983,29.956753285406982,24.55497383755664,22.483653320409,21.80057997188978,27.46454425983428,29.01860824728116,32.514249052282416,,20.599659129544328,16.57006002578296,,,,,,,,,,,,,,,,,,,,L7
1999-07-26 20:53:05+00:00,23.24055540685806,28.685719885695583,37.77969902417394,32.31530952775389,30.85552496440014,39.608320288741176,43.50047939076064,39.9200522900399,40.50113550381192,40.96026105244841,38.05172066030343,39.78719142610462,36.456593491001534,33.49488515745098,35.41522367818088,40.84134455580165,31.15777926924481,28.992260083649843,46.0579102306715,56.10737110283078,58.76983847183633,65.41672007456883,65.46146080425945,,23.91402101484108,7.900588057678642,33.3883372707505,69.47002701599804,69.2717244145747,59.34699425814048,56.21360746751471,66.37521272398129,61.135842826259896,51.2769652545214,39.52505902593358,24.29267800065681,26.28708998635793,31.04112583843452,29.02931829848594,34.221355167985294,35.38669441892269,36.6836746894128,43.22471855616365,44.324033801570245,42.333626856209854,38.4630624545288,34.40221511794471,33.997351006345376,33.042020827771815,32.02398251913722,25.90506522474357,24.47919952396825,24.1337875270223,19.07805916139498,14.0002415966313,6.521863689334008,,,,17.410700393633228,,15.666753851663348,21.255049045898968,32.97497005074991,43.13888860794105,48.87333026394999,49.68011564062335,47.14304272472299,45.2473181076416,43.82310440529446,46.38454015769206,50.03788622484504,53.682680529765726,48.91390120821587,44.71348800918697,52.976368237463554,53.83384378557601,52.89356672201721,51.53065442521789,43.99814828102979,23.964456099209823,13.366156429540933,18.37477533356642,36.31199965136338,60.19123024921915,68.3556457375068,59.54356580484279,48.55634167900221,43.43735407591191,44.087530815211885,43.16017644223818,36.84471915765729,32.17923570942263,29.61960770806085,32.68998506113526,42.5402595327141,43.95707664387446,47.7917193110082,61.17460243837829,64.2233382153823,71.01045150240857,69.25734498046324,67.41023414427481,74.95935922365024,73.86401138795739,62.16814271392214,59.28451122872489,79.68253299080101,L7
1999-10-14 20:53:13+00:00,,,,,,,,,,,,,,,,,,,,,,,,,48.838985006678016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.82684377267645,41.543142517332726,37.14953717658964,39.62122112817343,43.75076100307418,54.5065882766231,50.79399115401825,52.05298419767399,67.93986005985214,78.66465955892562,83.13002418965351,74.3940023721488,71.72252516082878,75.63297113590104,87.80651502919137,75.09740873061018,69.09077093731628,80.55953319198215,L7
